# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.8114872E+00   -5.8044654E+00   -3.9999999E+00   -4.8661028E+00   -5.1193579E+00   -5.1700743E+00   -6.7842441E+00   -4.6862818E+00   -2.9717045E+00   -3.4714771E+00   -6.4486734E+00   -7.1931693E+00   -1.4152197E+01   -1.4000000E+01   -1.4000004E+01   -5.3031216E+00   -1.4000000E+01   -4.2697392E+00   -3.0000000E+01   -3.5964929E+00   -6.6134940E+00   -7.9682184E+00   -6.3665420E+00   -1.0903000E+01   -1.0565268E+01   -1.9050473E+01   -2.6512498E+01   -8.6466797E+00   -8.2262431E+00   -1.0612689E+01   -1.2185152E+01   -8.0981675E+00   -1.2450053E+01   -8.2090303E+00
    2.7000000E-01    5.8561769E+00   -5.8485396E+00   -3.9999999E+00   -4.6503858E+00   -4.8614127E+00   -5.0011975E+00   -7.1824653E+00   -4.4224534E+00   -2.9661231E+00   -3.4839254E+00   -6.4486764E+00   -7.0940053E+00   -1.4498587E+01   -1.4000000E+01   -1.4000005E+01   -5.0414939E+00   -1.4000000E+01   -5.2450650E+00   -3.0000000E+01   -3.5455715E+00   -6.9272419E+00   -8.1925869E+00   -6.7230490E+00   -1.0761040E+01   -1.0869944E+01   -1.8956443E+01   -2.6866385E+01   -8.6013407E+00   -8.1287014E+00   -1.0421103E+01   -1.2441483E+01   -7.9506214E+00   -1.2139371E+01   -7.9436884E+00
    4.5000000E-01    5.8951099E+00   -5.8869341E+00   -3.9999999E+00   -4.5171194E+00   -4.7155096E+00   -4.8336518E+00   -7.4717557E+00   -4.2724113E+00   -2.9614622E+00   -3.4965054E+00   -6.4486792E+00   -7.0556939E+00   -1.4610245E+01   -1.4000000E+01   -1.4000005E+01   -4.8969707E+00   -1.4000000E+01   -6.1192468E+00   -3.0000000E+01   -3.5014061E+00   -7.1429574E+00   -8.3304363E+00   -6.9760024E+00   -1.0685455E+01   -1.0945265E+01   -1.8922638E+01   -2.6984609E+01   -8.5618371E+00   -8.0439078E+00   -1.0302492E+01   -1.2474902E+01   -7.8703718E+00   -1.1923574E+01   -7.7673956E+00
    6.3000000E-01    5.9274158E+00   -5.9187640E+00   -3.9999999E+00   -4.4215849E+00   -4.6164157E+00   -4.6873201E+00   -7.6868303E+00   -4.1703405E+00   -2.9555848E+00   -3.5094827E+00   -6.4486819E+00   -7.0483573E+00   -1.4702676E+01   -1.4000000E+01   -1.4000005E+01   -4.7996509E+00   -1.4000000E+01   -6.6098870E+00   -3.0000000E+01   -3.4627158E+00   -7.2972123E+00   -8.4200796E+00   -7.1610601E+00   -1.0647282E+01   -1.1007679E+01   -1.8919296E+01   -2.7082850E+01   -8.5290250E+00   -7.9714085E+00   -1.0226639E+01   -1.2500631E+01   -7.8263178E+00   -1.1757547E+01   -7.6341812E+00
    8.1000000E-01    5.9539646E+00   -5.9448842E+00   -3.9999999E+00   -4.3474356E+00   -4.5417935E+00   -4.5658274E+00   -7.8556971E+00   -4.0943229E+00   -2.9481880E+00   -3.5229094E+00   -6.4486844E+00   -7.0570757E+00   -1.4778344E+01   -1.4000000E+01   -1.4000005E+01   -4.7267130E+00   -1.4000000E+01   -6.7099238E+00   -3.0000000E+01   -3.4283119E+00   -7.4163954E+00   -8.4861650E+00   -7.3054346E+00   -1.0630777E+01   -1.1058855E+01   -1.8931620E+01   -2.7163754E+01   -8.5020189E+00   -7.9090986E+00   -1.0176643E+01   -1.2519215E+01   -7.8024123E+00   -1.1622900E+01   -7.5265409E+00
    9.9000000E-01    5.9755280E+00   -5.9660548E+00   -3.9999999E+00   -4.2869011E+00   -4.4813808E+00   -4.4665810E+00   -7.9916579E+00   -4.0344467E+00   -2.9391526E+00   -3.5368184E+00   -6.4486868E+00   -7.0728734E+00   -1.4839439E+01   -1.4000000E+01   -1.4000005E+01   -4.6678197E+00   -1.4000000E+01   -6.7102396E+00   -3.0000000E+01   -3.3972916E+00   -7.5123585E+00   -8.5390012E+00   -7.4217136E+00   -1.0626228E+01   -1.1100268E+01   -1.8950732E+01   -2.7229654E+01   -8.4800348E+00   -7.8552672E+00   -1.0141913E+01   -1.2531274E+01   -7.7888245E+00   -1.1510199E+01   -7.4358255E+00
    1.1700000E+00    5.9926689E+00   -5.9828300E+00   -3.9999999E+00   -4.2356869E+00   -4.4298579E+00   -4.3854570E+00   -8.1019941E+00   -3.9854184E+00   -2.9283785E+00   -3.5512435E+00   -6.4486891E+00   -7.0899674E+00   -1.4887552E+01   -1.4000000E+01   -1.4000004E+01   -4.6176340E+00   -1.4000000E+01   -6.6974481E+00   -3.0000000E+01   -3.3689832E+00   -7.5913248E+00   -8.5836857E+00   -7.5166569E+00   -1.0627315E+01   -1.1132988E+01   -1.8970917E+01   -2.7282243E+01   -8.4625012E+00   -7.8086539E+00   -1.0115476E+01   -1.2537240E+01   -7.7791342E+00   -1.1413926E+01   -7.3570864E+00
    1.3500000E+00    6.0057937E+00   -5.9956102E+00   -3.9999999E+00   -4.1911711E+00   -4.3843044E+00   -4.3185295E+00   -8.1911483E+00   -3.9440842E+00   -2.9157703E+00   -3.5662217E+00   -6.4486914E+00   -7.1046600E+00   -1.4923832E+01   -1.4000000E+01   -1.4000004E+01   -4.5732328E+00   -1.4000000E+01   -6.6827059E+00   -3.0000000E+01   -3.3428786E+00   -7.6569723E+00   -8.6230837E+00   -7.5943302E+00   -1.0629953E+01   -1.1157787E+01   -1.8988528E+01   -2.7322743E+01   -8.4490057E+00   -7.7683257E+00   -1.0092748E+01   -1.2537401E+01   -7.7691601E+00   -1.1330549E+01   -7.2872059E+00
    1.5300000E+00    6.0152011E+00   -6.0046900E+00   -3.9999999E+00   -4.1516354E+00   -4.3430450E+00   -4.2625686E+00   -8.2620376E+00   -3.9084129E+00   -2.9012385E+00   -3.5817945E+00   -6.4486936E+00   -7.1147320E+00   -1.4949124E+01   -1.4000000E+01   -1.4000004E+01   -4.5329456E+00   -1.4000000E+01   -6.6672331E+00   -3.0000000E+01   -3.3185851E+00   -7.7116547E+00   -8.6589513E+00   -7.6573727E+00   -1.0631636E+01   -1.1175232E+01   -1.9001381E+01   -2.7352051E+01   -8.4392447E+00   -7.7335774E+00   -1.0070843E+01   -1.2531951E+01   -7.7563082E+00   -1.1257663E+01   -7.2240821E+00
    1.7100000E+00    6.0211178E+00   -6.0102927E+00   -3.9999999E+00   -4.1158918E+00   -4.3050738E+00   -4.2150540E+00   -8.3166912E+00   -3.8770174E+00   -2.8847030E+00   -3.5980080E+00   -6.4486959E+00   -7.1190106E+00   -1.4964073E+01   -1.4000000E+01   -1.4000004E+01   -4.4957752E+00   -1.4000000E+01   -6.6511274E+00   -3.0000000E+01   -3.2957924E+00   -7.7569741E+00   -8.6924373E+00   -7.7076030E+00   -1.0630975E+01   -1.1185758E+01   -1.9008330E+01   -2.7370852E+01   -8.4329884E+00   -7.7038622E+00   -1.0048068E+01   -1.2521027E+01   -7.7391084E+00   -1.1193548E+01   -7.1662235E+00
