# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    3.5901934E-08    3.0267886E-07    6.2603202E-06    3.5735670E-06
    2.7000000E-01    4.3808119E-08    3.3142883E-07    6.2297829E-06    3.5869088E-06
    4.5000000E-01    5.0325213E-08    4.1181558E-07    6.2088857E-06    3.5640107E-06
    6.3000000E-01    5.5906398E-08    5.1402034E-07    6.1833310E-06    3.5353290E-06
    8.1000000E-01    6.0792798E-08    6.2305105E-07    6.1552789E-06    3.5061097E-06
    9.9000000E-01    6.5118322E-08    7.2928757E-07    6.1273728E-06    3.4784554E-06
    1.1700000E+00    6.8979206E-08    8.2724700E-07    6.1012612E-06    3.4534087E-06
    1.3500000E+00    7.2459066E-08    9.1459540E-07    6.0776735E-06    3.4313630E-06
    1.5300000E+00    7.5634177E-08    9.9101514E-07    6.0567335E-06    3.4123126E-06
    1.7100000E+00    7.8573512E-08    1.0573102E-06    6.0382242E-06    3.3960353E-06
    1.8900000E+00    8.1337211E-08    1.1146486E-06    6.0217130E-06    3.3823465E-06
    2.0700000E+00    2.1376219E-10    2.6309743E-09    1.4875606E-08    8.7074741E-09
    2.2500000E+00    2.2373320E-10    2.4939458E-09    1.4732681E-08    8.9133386E-09
    2.4300000E+00    2.3331924E-10    2.3716721E-09    1.4616763E-08    9.0850655E-09
    2.6100000E+00    2.4256333E-10    2.2612694E-09    1.4521447E-08    9.2304609E-09
    2.7900000E+00    2.5150046E-10    2.1606002E-09    1.4442175E-08    9.3551324E-09
    2.9700000E+00    2.6015949E-10    2.0680421E-09    1.4375611E-08    9.4632097E-09
    3.1500000E+00    2.6856450E-10    1.9823390E-09    1.4319261E-08    9.5578018E-09
    3.3300000E+00    2.7673578E-10    1.9025018E-09    1.4271221E-08    9.6412931E-09
    3.5100000E+00    2.8469057E-10    1.8277395E-09    1.4230017E-08    9.7155425E-09
    3.6900000E+00    2.9244360E-10    1.7574116E-09    1.4194491E-08    9.7820205E-09
    3.8700000E+00    3.0000750E-10    1.6909930E-09    1.4163719E-08    9.8419050E-09
    4.0500000E+00    3.0739320E-10    1.6280489E-09    1.4136957E-08    9.8961503E-09
    4.2300000E+00    3.1461011E-10    1.5682155E-09    1.4113600E-08    9.9455378E-09
    4.4100000E+00    3.2166636E-10    1.5111866E-09    1.4093150E-08    9.9907129E-09
    4.5900000E+00    3.2856899E-10    1.4567018E-09    1.4075195E-08    1.0032213E-08
    4.7700000E+00    3.3532402E-10    1.4045383E-09    1.4059391E-08    1.0070491E-08
    4.9500000E+00    3.4193660E-10    1.3545050E-09    1.4045448E-08    1.0105926E-08
    5.1300000E+00    3.4841106E-10    1.3064360E-09    1.4033121E-08    1.0138845E-08
    5.3100000E+00    3.5475100E-10    1.2601878E-09    1.4022203E-08    1.0169524E-08
    5.4900000E+00    3.6095928E-10    1.2156350E-09    1.4012514E-08    1.0198204E-08
    5.6700000E+00    3.6703814E-10    1.1726680E-09    1.4003902E-08    1.0225090E-08
    5.8500000E+00    3.7298911E-10    1.1311906E-09    1.3996232E-08    1.0250363E-08
    6.0300000E+00    3.7881311E-10    1.0911187E-09    1.3989390E-08    1.0274179E-08
    6.2100000E+00    3.8451041E-10    1.0523781E-09    1.3983274E-08    1.0296675E-08
    6.3900000E+00    3.9008063E-10    1.0149039E-09    1.3977798E-08    1.0317972E-08
    6.5700000E+00    3.9552273E-10    9.7863932E-10    1.3972881E-08    1.0338176E-08
    6.7500000E+00    4.0083494E-10    9.4353464E-10    1.3968457E-08    1.0357381E-08
    6.9300000E+00    4.0601481E-10    9.0954687E-10    1.3964465E-08    1.0375670E-08
    7.1100000E+00    4.1105909E-10    8.7663908E-10    1.3960849E-08    1.0393118E-08
    7.2900000E+00    4.1596372E-10    8.4477993E-10    1.3957563E-08    1.0409790E-08
    7.4700000E+00    4.2072378E-10    8.1394344E-10    1.3954563E-08    1.0425745E-08
    7.6500000E+00    4.2533338E-10    7.8410870E-10    1.3951809E-08    1.0441034E-08
    7.8300000E+00    4.2978564E-10    7.5525974E-10    1.3949268E-08    1.0455705E-08
