# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    2.0703407E-02    2.0647001E-01    1.9000024E-04
    2.7000000E-01    2.0971397E-02    2.0063779E-01    1.9000073E-04
    4.5000000E-01    2.1197867E-02    1.9491118E-01    1.9000121E-04
    6.3000000E-01    2.1486879E-02    1.8917474E-01    1.9000169E-04
    8.1000000E-01    2.1856154E-02    1.8341718E-01    1.9000216E-04
    9.9000000E-01    2.2315806E-02    1.7763742E-01    1.9000262E-04
    1.1700000E+00    2.2876524E-02    1.7183546E-01    1.9000309E-04
    1.3500000E+00    2.3550578E-02    1.6601139E-01    1.9000354E-04
    1.5300000E+00    2.4352113E-02    1.6016528E-01    1.9000399E-04
    1.7100000E+00    2.5297375E-02    1.5429722E-01    1.9000444E-04
    1.8900000E+00    2.6404981E-02    1.4840726E-01    1.9000488E-04
    2.0700000E+00    2.7696018E-02    1.4249637E-01    1.9000532E-04
    2.2500000E+00    2.9010956E-02    1.3675503E-01    1.9000575E-04
    2.4300000E+00    3.0327541E-02    1.3120813E-01    1.9000618E-04
    2.6100000E+00    3.1642236E-02    1.2586016E-01    1.9000660E-04
    2.7900000E+00    3.2954062E-02    1.2071260E-01    1.9000701E-04
    2.9700000E+00    3.4262362E-02    1.1576648E-01    1.9000742E-04
    3.1500000E+00    3.5566476E-02    1.1102277E-01    1.9000782E-04
    3.3300000E+00    3.6865681E-02    1.0648241E-01    1.9000822E-04
    3.5100000E+00    3.8159177E-02    1.0214632E-01    1.9000861E-04
    3.6900000E+00    3.9446067E-02    9.8015415E-02    1.9000899E-04
    3.8700000E+00    4.0725346E-02    9.4090618E-02    1.9000937E-04
    4.0500000E+00    4.1995878E-02    9.0372842E-02    1.9000975E-04
    4.2300000E+00    4.3256379E-02    8.6863001E-02    1.9001011E-04
    4.4100000E+00    4.4505392E-02    8.3562012E-02    1.9001047E-04
    4.5900000E+00    4.5741261E-02    8.0470801E-02    1.9001083E-04
    4.7700000E+00    4.6962098E-02    7.7590305E-02    1.9001118E-04
    4.9500000E+00    4.8165753E-02    7.4921471E-02    1.9001152E-04
    5.1300000E+00    4.9349768E-02    7.2465266E-02    1.9001185E-04
    5.3100000E+00    5.0511338E-02    7.0222677E-02    1.9001219E-04
    5.4900000E+00    5.1647257E-02    6.8194713E-02    1.9001251E-04
    5.6700000E+00    5.2753858E-02    6.6382412E-02    1.9001283E-04
    5.8500000E+00    5.3826955E-02    6.4786840E-02    1.9001314E-04
    6.0300000E+00    5.4861764E-02    6.3409095E-02    1.9001345E-04
    6.2100000E+00    5.5852820E-02    6.2250309E-02    1.9001375E-04
    6.3900000E+00    5.6793891E-02    6.1311645E-02    1.9001404E-04
    6.5700000E+00    5.7677866E-02    6.0594302E-02    1.9001433E-04
    6.7500000E+00    5.8496644E-02    6.0099505E-02    1.9001461E-04
    6.9300000E+00    5.9241001E-02    5.9828509E-02    1.9001488E-04
    7.1100000E+00    5.9900440E-02    5.9782592E-02    1.9001515E-04
    7.2900000E+00    6.0463026E-02    5.9963046E-02    1.9001541E-04
    7.4700000E+00    6.0915200E-02    6.0371176E-02    1.9001567E-04
    7.6500000E+00    6.1241557E-02    6.1008288E-02    1.9001592E-04
    7.8300000E+00    6.1424611E-02    6.1875686E-02    1.9001617E-04
    8.0100000E+00    6.1444518E-02    6.2974660E-02    1.9001640E-04
    8.1900000E+00    6.1278706E-02    6.4307187E-02    1.9001664E-04
    8.3700000E+00    6.1065341E-02    6.5710810E-02    1.9001686E-04
    8.5500000E+00    6.0842097E-02    6.7140612E-02    1.9001708E-04
    8.7300000E+00    6.0619048E-02    6.8584779E-02    1.9001730E-04
    8.9100000E+00    6.0398862E-02    7.0040222E-02    1.9001751E-04
    9.0900000E+00    6.0182260E-02    7.1506165E-02    1.9001771E-04
    9.2700000E+00    5.9969471E-02    7.2982438E-02    1.9001791E-04
    9.4500000E+00    5.9760620E-02    7.4469026E-02    1.9001810E-04
