# Time          5.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -3.8135182E-01   -5.6212694E+00   -1.0706924E+01   -2.6527603E+00   -5.6282108E+01    2.1900049E-01    2.8594433E+00   -1.0515255E+01   -4.1381715E-01    3.8126442E+00   -1.1651337E+01   -2.8626031E-01   -4.9957511E+00   -4.2547178E+03    3.7622024E+00    1.9901958E+00
    2.7000000E-01   -1.1751933E-01   -4.8397158E+00   -1.0002452E+01   -1.9180533E+00   -5.6236489E+01    1.1270279E-03    3.0547415E+00   -1.0418823E+01    1.0415393E-01    3.8009004E+00   -1.0537654E+01   -2.2427823E-02   -4.6453804E+00   -5.2300394E+03    3.5133176E+00    1.7204915E+00
    4.5000000E-01    3.2526761E-02   -4.3952956E+00   -9.5513715E+00   -1.4393598E+00   -5.6238805E+01    1.4092940E-03    3.1787351E+00   -1.0395576E+01    4.0000551E-01    3.7462927E+00   -9.8600266E+00    1.2761827E-01   -4.4191734E+00   -6.1042172E+03    3.2617979E+00    1.5431415E+00
    6.3000000E-01    1.3460127E-01   -4.0841875E+00   -9.2178744E+00   -1.0774603E+00   -5.6256681E+01    1.6010181E-03    3.2957297E+00   -1.0398456E+01    6.2250327E-01    3.7055368E+00   -9.3844002E+00    2.2969279E-01   -4.2515596E+00   -6.5948537E+03    3.0023259E+00    1.4206891E+00
    8.1000000E-01    2.1062247E-01   -3.8489693E+00   -8.9528369E+00   -7.9490420E-01   -5.6276941E+01    1.7107640E-03    3.3921080E+00   -1.0423414E+01    7.9409605E-01    3.6714014E+00   -9.0277351E+00    3.0571398E-01   -4.1182194E+00   -6.6948870E+03    2.7338631E+00    1.3276002E+00
    9.9000000E-01    2.7050213E-01   -3.6624680E+00   -8.7324294E+00   -5.6969629E-01   -5.6292183E+01    1.7589074E-03    3.4676806E+00   -1.0461780E+01    9.2893247E-01    3.6415254E+00   -8.7485397E+00    3.6559364E-01   -4.0072757E+00   -6.6951993E+03    2.4557523E+00    1.2527825E+00
    1.1700000E+00    3.1953380E-01   -3.5096234E+00   -8.5436119E+00   -3.8694702E-01   -5.6297735E+01    1.7664653E-03    3.5259990E+00   -1.0505852E+01    1.0369151E+00    3.6151579E+00   -8.5229581E+00    4.1462531E-01   -3.9122176E+00   -6.6824044E+03    2.1673189E+00    1.1905671E+00
    1.3500000E+00    3.6087134E-01   -3.3812296E+00   -8.3787733E+00   -2.3614664E-01   -5.6290657E+01    1.7501078E-03    3.5710172E+00   -1.0550059E+01    1.1250669E+00    3.5920508E+00   -8.3362742E+00    4.5596286E-01   -3.8292411E+00   -6.6676589E+03    1.8678206E+00    1.1376760E+00
    1.5300000E+00    3.9654591E-01   -3.2712399E+00   -8.2332289E+00   -1.0973674E-01   -5.6269236E+01    1.7210297E-03    3.6061750E+00   -1.0590890E+01    1.1984378E+00    3.5721479E+00   -8.1790006E+00    4.9163743E-01   -3.7560013E+00   -6.6521828E+03    1.5564308E+00    1.0920499E+00
    1.7100000E+00    4.2794463E-01   -3.1754607E+00   -8.1039350E+00   -2.1914479E-03   -5.6232632E+01    1.6857490E-03    3.6342404E+00   -1.0626490E+01    1.2607164E+00    3.5554654E+00   -8.0448196E+00    5.2303614E-01   -3.6909723E+00   -6.6360738E+03    1.2322253E+00    1.0523100E+00
    1.8900000E+00    4.5614770E-01   -3.0902362E+00   -7.9886676E+00    9.1163168E-02   -5.6180625E+01    1.6474960E-03    3.6585982E+00   -1.0655430E+01    1.3157101E+00    3.5428748E+00   -7.9285910E+00    5.5123921E-01   -3.6330474E+00   -6.6162420E+03    8.9416608E-01    1.0178116E+00
    2.0700000E+00    4.9923253E-01   -2.8510174E+00   -7.8484982E+00    2.8078629E-01   -5.6128639E+01    1.2733100E-03    3.9735295E+00   -1.0488525E+01    1.6237937E+00    3.7543526E+00   -7.6276907E+00    5.9432405E-01   -3.5718236E+00   -4.8970608E+03    5.4113904E-01    1.0804657E+00
    2.2500000E+00    5.3717241E-01   -2.7397459E+00   -7.7219440E+00    3.4660446E-01   -5.6067678E+01    1.2385265E-03    3.9499444E+00   -1.0530279E+01    1.6643427E+00    3.7408290E+00   -7.4861570E+00    6.3226392E-01   -3.5156265E+00   -4.8259906E+03    1.8392927E-01    1.0357640E+00
    2.4300000E+00    5.7099375E-01   -2.6405256E+00   -7.6059277E+00    4.0371592E-01   -5.6001415E+01    1.2150099E-03    3.9260889E+00   -1.0559826E+01    1.6984112E+00    3.7275048E+00   -7.3589321E+00    6.6608526E-01   -3.4633945E+00   -4.8012007E+03   -1.7572228E-01    9.9528057E-01
    2.6100000E+00    6.0142056E-01   -2.5509872E+00   -7.4986578E+00    4.5389302E-01   -5.5931747E+01    1.1983417E-03    3.9027434E+00   -1.0580323E+01    1.7277481E+00    3.7148358E+00   -7.2433529E+00    6.9651207E-01   -3.4145518E+00   -4.7822114E+03   -5.3717161E-01    9.5851926E-01
    2.7900000E+00    6.2900224E-01   -2.4695416E+00   -7.3988181E+00    4.9826719E-01   -5.5859857E+01    1.1858215E-03    3.8799116E+00   -1.0594232E+01    1.7532140E+00    3.7027932E+00   -7.1376549E+00    7.2409376E-01   -3.3686640E+00   -4.7639932E+03   -8.9988509E-01    9.2491630E-01
    2.9700000E+00    6.5416564E-01   -2.3949546E+00   -7.3053798E+00    5.3771412E-01   -5.5786538E+01    1.1758539E-03    3.8575889E+00   -1.0603184E+01    1.7754667E+00    3.6913503E+00   -7.0404209E+00    7.4925716E-01   -3.3253779E+00   -4.7458692E+03   -1.2632801E+00    8.9403145E-01
    3.1500000E+00    6.7724872E-01   -2.3262484E+00   -7.2175163E+00    5.7292541E-01   -5.5712363E+01    1.1674999E-03    3.8357626E+00   -1.0608284E+01    1.7950181E+00    3.6804789E+00   -6.9504931E+00    7.7234024E-01   -3.2843997E+00   -4.7277681E+03   -1.6266954E+00    8.6551265E-01
    3.3300000E+00    6.9852347E-01   -2.2626362E+00   -7.1345518E+00    6.0445606E-01   -5.5637775E+01    1.1602096E-03    3.8144143E+00   -1.0610308E+01    1.8122727E+00    3.6701495E+00   -6.8669178E+00    7.9361498E-01   -3.2454812E+00   -4.7097098E+03   -1.9893794E+00    8.3907322E-01
    3.5100000E+00    7.1821181E-01   -2.2034756E+00   -7.0559248E+00    6.3275747E-01   -5.5563146E+01    1.1536676E-03    3.7935217E+00   -1.0609825E+01    1.8275538E+00    3.6603322E+00   -6.7889037E+00    8.1330333E-01   -3.2084109E+00   -4.6917319E+03   -2.3504827E+00    8.1447619E-01
