# Time          5.0000E+01
# Units: Mol/kgw
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -2.5265377E-04    1.0000000E-04    1.3620947E-05    7.5982024E-06    6.7594030E-06    8.4903361E-07    2.0600480E-05    1.3210208E-03    3.3756300E-04    3.5589882E-07    7.2131173E-08    2.7891445E-11    1.0000000E-14    1.0000000E-14    4.9768348E-06    1.0000000E-14    5.3754078E-05    1.0000000E-30
    2.7000000E-01   -2.8383279E-04    1.0000000E-04    2.2392210E-05    1.3763925E-05    9.9713044E-06    3.8029908E-07    3.7832251E-05    1.3673121E-03    3.2775921E-04    3.5589636E-07    9.1906286E-08    1.3889033E-11    1.0000000E-14    1.0000000E-14    9.0923885E-06    1.0000000E-14    5.6956941E-06    1.0000000E-30
    4.5000000E-01   -3.1429625E-04    1.0000000E-04    3.0446871E-05    1.9263925E-05    1.4664329E-05    2.1680557E-07    5.3464084E-05    1.4105799E-03    3.1812755E-04    3.5589404E-07    1.0178711E-07    1.1728495E-11    1.0000000E-14    1.0000000E-14    1.2685635E-05    1.0000000E-14    7.6213955E-07    1.0000000E-30
    6.3000000E-01   -3.4373640E-04    1.0000000E-04    3.7954416E-05    2.4207484E-05    2.0538425E-05    1.4455810E-07    6.7654661E-05    1.4561230E-03    3.0847894E-04    3.5589187E-07    1.0496327E-07    1.0203294E-11    1.0000000E-14    1.0000000E-14    1.5876529E-05    1.0000000E-14    2.4642991E-07    1.0000000E-30
    8.1000000E-01   -3.7224406E-04    1.0000000E-04    4.5040520E-05    2.8753585E-05    2.7167210E-05    1.0575488E-07    8.0628509E-05    1.5050228E-03    2.9879484E-04    3.5588981E-07    1.0430600E-07    9.1097587E-12    1.0000000E-14    1.0000000E-14    1.8785680E-05    1.0000000E-14    1.9580409E-07    1.0000000E-30
    9.9000000E-01   -3.9997687E-04    1.0000000E-04    5.1800901E-05    3.3054575E-05    3.4141896E-05    8.2398829E-08    9.2586485E-05    1.5579968E-03    2.8907347E-04    3.5588785E-07    1.0197157E-07    8.3190774E-12    1.0000000E-14    1.0000000E-14    2.1520930E-05    1.0000000E-14    1.9583119E-07    1.0000000E-30
    1.1700000E+00   -4.2708870E-04    1.0000000E-04    5.8312200E-05    3.7229424E-05    4.1154384E-05    6.7283750E-08    1.0369767E-04    1.6157810E-03    2.7931477E-04    3.5588594E-07    9.9382970E-08    7.7514031E-12    1.0000000E-14    1.0000000E-14    2.4165363E-05    1.0000000E-14    2.0190167E-07    1.0000000E-30
    1.3500000E+00   -4.5371992E-04    1.0000000E-04    6.4638666E-05    4.1359538E-05    4.8012419E-05    5.7021201E-08    1.1410571E-04    1.6791806E-03    2.6951886E-04    3.5588407E-07    9.7383414E-08    7.3561859E-12    1.0000000E-14    1.0000000E-14    2.6776004E-05    1.0000000E-14    2.0912003E-07    1.0000000E-30
    1.5300000E+00   -4.7999823E-04    1.0000000E-04    7.0836188E-05    4.5496140E-05    5.4616995E-05    4.9836688E-08    1.2393516E-04    1.7490871E-03    2.5968586E-04    3.5588221E-07    9.6427517E-08    7.1010451E-12    1.0000000E-14    1.0000000E-14    2.9389242E-05    1.0000000E-14    2.1698200E-07    1.0000000E-30
    1.7100000E+00   -5.0604116E-04    1.0000000E-04    7.6954874E-05    4.9669324E-05    6.0933830E-05    4.4726708E-08    1.3329630E-04    1.8264948E-03    2.4981588E-04    3.5588036E-07    9.6743841E-08    6.9654910E-12    1.0000000E-14    1.0000000E-14    3.2027111E-05    1.0000000E-14    2.2549121E-07    1.0000000E-30
