# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997913130259E-05   7.24994874062700E-05   3.48284962853720E-09   6.81011786425175E-06   4.31999915439548E-05   1.21002243566731E-05   8.78999472028022E-07   5.27999800129056E-09   5.96999142129159E+00   1.38423793438001E-03   3.43462983065867E-04
  2.00000E-09                2.88997856040083E-05   7.24994731378164E-05   3.48570042020606E-09   6.81011483933424E-06   4.31999830879121E-05   1.21002189550247E-05   8.78998944057308E-07   5.27999600258361E-09   5.96999075602825E+00   1.38423756067277E-03   3.43462983129510E-04
  3.00000E-09                2.88997798595676E-05   7.24994587584721E-05   3.48855005013891E-09   6.81011183905886E-06   4.31999746318932E-05   1.21002136007086E-05   8.78998416086992E-07   5.27999400387493E-09   5.96999034788643E+00   1.38423732333809E-03   3.43462983184671E-04
  4.00000E-09                2.88997740076428E-05   7.24994441016917E-05   3.49139967828707E-09   6.81010890525182E-06   4.31999661758785E-05   1.21002083737466E-05   8.78997888117311E-07   5.27999200516726E-09   5.96999008882145E+00   1.38423716796001E-03   3.43462983217713E-04
  5.00000E-09                2.88997680919636E-05   7.24994292803426E-05   3.49424930432280E-09   6.81010601055335E-06   4.31999577198672E-05   1.21002032217366E-05   8.78997360148152E-07   5.27999000646048E-09   5.96998991803865E+00   1.38423706111257E-03   3.43462983237693E-04
  7.00000E-09                2.88997561202545E-05   7.24993992797407E-05   3.49995203439644E-09   6.81010030649749E-06   4.31999408078534E-05   1.21001930812556E-05   8.78996304212071E-07   5.27998600905157E-09   5.96998972387301E+00   1.38423692927923E-03   3.43462983249195E-04
  1.10000E-08                2.88997321144775E-05   7.24993391108448E-05   3.51134583662602E-09   6.81008893764362E-06   4.31999069838723E-05   1.21001728755677E-05   8.78994192344636E-07   5.27997801424170E-09   5.96998949382376E+00   1.38423675110921E-03   3.43462983259000E-04
  1.90000E-08                2.88996840368274E-05   7.24992186018426E-05   3.53414257963040E-09   6.81006624064060E-06   4.31998393360522E-05   1.21001325421996E-05   8.78989968635629E-07   5.27996202467404E-09   5.96998913163939E+00   1.38423644884856E-03   3.43462983265026E-04
  3.50000E-08                2.88995878385268E-05   7.24989774754776E-05   3.57973543626809E-09   6.81002087284789E-06   4.31997040409934E-05   1.21000519256643E-05   8.78981521315403E-07   5.27993004573263E-09   5.96998843860439E+00   1.38423586192932E-03   3.43462983268412E-04
  6.70000E-08                2.88993954294967E-05   7.24984951918923E-05   3.67091871087879E-09   6.80993014722432E-06   4.31994334531668E-05   1.20998907114882E-05   8.78964627065950E-07   5.27986608862532E-09   5.96998705764547E+00   1.38423469110744E-03   3.43462983272331E-04
  1.31000E-07                2.88990106172389E-05   7.24975306393385E-05   3.85327685196314E-09   6.80974870324999E-06   4.31988922864183E-05   1.20995682962707E-05   8.78930840130936E-07   5.27973817751272E-09   5.96998429617285E+00   1.38423234977696E-03   3.43462983279673E-04
  2.59000E-07                2.88982410250223E-05   7.24956016150742E-05   4.21794073114498E-09   6.80938583812701E-06   4.31978099864603E-05   1.20989235064255E-05   8.78863272515849E-07   5.27948236769501E-09   5.96997877342263E+00   1.38422766733121E-03   3.43462983294324E-04
  5.15000E-07                2.88967019711755E-05   7.24917438932354E-05   4.94707935830565E-09   6.80866019689476E-06   4.31956455040594E-05   1.20976340847995E-05   8.78728162300382E-07   5.27897079768467E-09   5.96996772868005E+00   1.38421830323585E-03   3.43462983324040E-04
