# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.8279308E+00   -5.8209276E+00   -3.9999999E+00   -4.8774982E+00   -5.1267197E+00   -5.1666535E+00   -6.8251533E+00   -4.7020590E+00   -2.9896752E+00   -3.4641279E+00   -6.4486735E+00   -7.2037933E+00   -1.4201667E+01   -1.4000000E+01   -1.4000004E+01   -5.3113771E+00   -1.4000000E+01   -3.2720514E+00   -3.0000000E+01   -3.5980396E+00   -6.6213673E+00   -7.9432045E+00   -6.3909174E+00   -1.0897124E+01   -1.0598204E+01   -1.9060942E+01   -2.6561741E+01   -8.6302557E+00   -8.2114046E+00   -1.0608319E+01   -1.2219557E+01   -8.1102615E+00   -1.2446532E+01   -8.2219333E+00
    2.7000000E-01    5.8829352E+00   -5.8753358E+00   -3.9999999E+00   -4.6674917E+00   -4.8720571E+00   -4.9939731E+00   -7.2553782E+00   -4.4426165E+00   -2.9959464E+00   -3.4641585E+00   -6.4486768E+00   -7.1223229E+00   -1.4579088E+01   -1.4000000E+01   -1.4000004E+01   -5.0534806E+00   -1.4000000E+01   -3.2708323E+00   -3.0000000E+01   -3.5486767E+00   -6.9463361E+00   -8.1581645E+00   -6.7690206E+00   -1.0762483E+01   -1.0923504E+01   -1.8984444E+01   -2.6946423E+01   -8.5746225E+00   -8.1051674E+00   -1.0425571E+01   -1.2497989E+01   -7.9818877E+00   -1.2132784E+01   -7.9638195E+00
    4.5000000E-01    5.9310122E+00   -5.9228962E+00   -3.9999999E+00   -4.5388612E+00   -4.7293765E+00   -4.8238823E+00   -7.5730766E+00   -4.2965315E+00   -3.0020659E+00   -3.4641888E+00   -6.4486799E+00   -7.1087528E+00   -1.4718324E+01   -1.4000000E+01   -1.4000004E+01   -4.9126034E+00   -1.4000000E+01   -3.2696166E+00   -3.0000000E+01   -3.5061711E+00   -7.1719974E+00   -8.2876717E+00   -7.0411332E+00   -1.0702427E+01   -1.1017153E+01   -1.8975195E+01   -2.7091958E+01   -8.5259982E+00   -8.0129589E+00   -1.0324103E+01   -1.2551303E+01   -7.9279482E+00   -1.1914116E+01   -7.7937757E+00
    6.3000000E-01    5.9734205E+00   -5.9648532E+00   -3.9999999E+00   -4.4477442E+00   -4.6335984E+00   -4.6763388E+00   -7.8195836E+00   -4.1985002E+00   -3.0080450E+00   -3.4642190E+00   -6.4486827E+00   -7.1333802E+00   -1.4841255E+01   -1.4000000E+01   -1.4000004E+01   -4.8190390E+00   -1.4000000E+01   -3.2684042E+00   -3.0000000E+01   -3.4692612E+00   -7.3372841E+00   -8.3681417E+00   -7.2474033E+00   -1.0686040E+01   -1.1099848E+01   -1.9003609E+01   -2.7220398E+01   -8.4831101E+00   -7.9322159E+00   -1.0271763E+01   -1.2598990E+01   -7.9175362E+00   -1.1744157E+01   -7.6667066E+00
    8.1000000E-01    6.0113460E+00   -6.0023772E+00   -3.9999999E+00   -4.3780681E+00   -4.5623580E+00   -4.5545589E+00   -8.0241663E+00   -4.1267292E+00   -3.0139037E+00   -3.4642491E+00   -6.4486854E+00   -7.1805923E+00   -1.4951295E+01   -1.4000000E+01   -1.4000004E+01   -4.7499560E+00   -1.4000000E+01   -3.2671953E+00   -3.0000000E+01   -3.4367657E+00   -7.4692130E+00   -8.4242199E+00   -7.4159874E+00   -1.0696567E+01   -1.1173889E+01   -1.9054196E+01   -2.7335340E+01   -8.4447567E+00   -7.8605247E+00   -1.0250649E+01   -1.2642231E+01   -7.9339190E+00   -1.1604486E+01   -7.5653892E+00
    9.9000000E-01    6.0456882E+00   -6.0363565E+00   -3.9999999E+00   -4.3221836E+00   -4.5053756E+00   -4.4555498E+00   -8.2005642E+00   -4.0713705E+00   -3.0196627E+00   -3.4642791E+00   -6.4486879E+00   -7.2401063E+00   -1.5051009E+01   -1.4000000E+01   -1.4000003E+01   -4.6950050E+00   -1.4000000E+01   -3.2659897E+00   -3.0000000E+01   -3.4077936E+00   -7.5798173E+00   -8.4661396E+00   -7.5597824E+00   -1.0722862E+01   -1.1241000E+01   -1.9116769E+01   -2.7439491E+01   -8.4100262E+00   -7.7960587E+00   -1.0248747E+01   -1.2681908E+01   -7.9659701E+00   -1.1485673E+01   -7.4813073E+00
    1.1700000E+00    6.0771163E+00   -6.0674518E+00   -3.9999999E+00   -4.2758657E+00   -4.4573509E+00   -4.3748989E+00   -8.3564232E+00   -4.0271763E+00   -3.0253416E+00   -3.4643089E+00   -6.4486903E+00   -7.3046591E+00   -1.5142299E+01   -1.4000000E+01   -1.4000003E+01   -4.6488714E+00   -1.4000000E+01   -3.2647874E+00   -3.0000000E+01   -3.3816867E+00   -7.6754705E+00   -8.4989366E+00   -7.6858054E+00   -1.0757019E+01   -1.1302455E+01   -1.9184132E+01   -2.7534853E+01   -8.3782413E+00   -7.7374655E+00   -1.0257508E+01   -1.2718668E+01   -8.0058022E+00   -1.1382175E+01   -7.4095947E+00
    1.3500000E+00    6.1061363E+00   -6.0961634E+00   -3.9999999E+00   -4.2365408E+00   -4.4154056E+00   -4.3084989E+00   -8.4965341E+00   -3.9910319E+00   -3.0309586E+00   -3.4643388E+00   -6.4486926E+00   -7.3693519E+00   -1.5226606E+01   -1.4000000E+01   -1.4000002E+01   -4.6086769E+00   -1.4000000E+01   -3.2635885E+00   -3.0000000E+01   -3.3579514E+00   -7.7599968E+00   -8.5254229E+00   -7.7983692E+00   -1.0793648E+01   -1.1359214E+01   -1.9251434E+01   -2.7622936E+01   -8.3488897E+00   -7.6837276E+00   -1.0271064E+01   -1.2753004E+01   -8.0480459E+00   -1.1290424E+01   -7.3471961E+00
    1.5300000E+00    6.1331401E+00   -6.1228791E+00   -3.9999999E+00   -4.2025299E+00   -4.3779094E+00   -4.2530220E+00   -8.6241377E+00   -3.9609434E+00   -3.0365314E+00   -3.4643685E+00   -6.4486949E+00   -7.4313180E+00   -1.5305052E+01   -1.4000000E+01   -1.4000002E+01   -4.5727989E+00   -1.4000000E+01   -3.2623928E+00   -3.0000000E+01   -3.3362095E+00   -7.8358861E+00   -8.5473047E+00   -7.9003428E+00   -1.0829505E+01   -1.1412031E+01   -1.9315841E+01   -2.7704911E+01   -8.3215757E+00   -7.6340626E+00   -1.0285799E+01   -1.2785306E+01   -8.0894729E+00   -1.1207975E+01   -7.2920624E+00
    1.7100000E+00    6.1584375E+00   -6.1479059E+00   -3.9999999E+00   -4.1726803E+00   -4.3438877E+00   -4.2059222E+00   -8.7415504E+00   -3.9355608E+00   -3.0420774E+00   -3.4643983E+00   -6.4486970E+00   -7.4892927E+00   -1.5378533E+01   -1.4000000E+01   -1.4000002E+01   -4.5402743E+00   -1.4000000E+01   -3.2612004E+00   -3.0000000E+01   -3.3161653E+00   -7.9048580E+00   -8.5656818E+00   -7.9937468E+00   -1.0863024E+01   -1.1461503E+01   -1.9376114E+01   -2.7781709E+01   -8.2959861E+00   -7.5878556E+00   -1.0299856E+01   -1.2815890E+01   -8.1285349E+00   -1.1133074E+01   -7.2427515E+00
    1.8900000E+00    6.1822838E+00   -6.1714967E+00   -3.9999999E+00   -4.1461562E+00   -4.3127062E+00   -4.1653166E+00   -8.8503484E+00   -3.9138866E+00   -3.0476142E+00   -3.4644280E+00   -6.4486991E+00   -7.5430839E+00   -1.5447792E+01   -1.4000000E+01   -1.4000001E+01   -4.5104617E+00   -1.4000000E+01   -3.2599422E+00   -3.0000000E+01   -3.2975788E+00   -7.9679970E+00   -8.5811282E+00   -8.0799137E+00   -1.0893764E+01   -1.1508130E+01   -1.9432077E+01   -2.7854101E+01   -8.2718635E+00   -7.5446045E+00   -1.0312561E+01   -1.2845023E+01   -8.1648090E+00   -1.1064392E+01   -7.1981922E+00
    2.0700000E+00    6.2063067E+00   -6.1952343E+00   -3.9999999E+00   -4.1100659E+00   -4.2766163E+00   -4.1678301E+00   -8.8610807E+00   -3.8814639E+00   -3.0531592E+00   -3.4644581E+00   -6.4487016E+00   -7.6096899E+00   -1.5517697E+01   -1.4000000E+01   -1.4000001E+01   -4.4569112E+00   -1.4000000E+01   -3.1956592E+00   -3.0000000E+01   -3.2787908E+00   -7.9329541E+00   -8.4980394E+00   -8.0679783E+00   -1.0937236E+01   -1.1555367E+01   -1.9501113E+01   -2.7927509E+01   -8.2475313E+00   -7.5008781E+00   -1.0337862E+01   -1.2874695E+01   -8.2138228E+00   -1.0985797E+01   -7.1439309E+00
    2.2500000E+00    6.2289064E+00   -6.2175654E+00   -3.9999999E+00   -4.0783227E+00   -4.2440037E+00   -4.1705187E+00   -8.9729299E+00   -3.8539507E+00   -3.0586122E+00   -3.4644882E+00   -6.4487040E+00   -7.6644804E+00   -1.5583102E+01   -1.4000000E+01   -1.4000001E+01   -4.4103872E+00   -1.4000000E+01   -3.1396758E+00   -3.0000000E+01   -3.2613519E+00   -8.0017401E+00   -8.5216262E+00   -8.1585011E+00   -1.0970264E+01   -1.1599446E+01   -1.9558194E+01   -2.7996211E+01   -8.2246400E+00   -7.4599767E+00   -1.0354033E+01   -1.2902487E+01   -8.2523009E+00   -1.0914305E+01   -7.0953306E+00
