# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    3.5270938E-08    3.0776725E-07    6.2635295E-06    3.5679892E-06
    2.7000000E-01    4.2628337E-08    3.4132187E-07    6.2340315E-06    3.5781201E-06
    4.5000000E-01    4.8617120E-08    4.2825421E-07    6.2134308E-06    3.5518810E-06
    6.3000000E-01    5.3650714E-08    5.3814727E-07    6.1878571E-06    3.5196148E-06
    8.1000000E-01    5.7949322E-08    6.5533743E-07    6.1597847E-06    3.4865986E-06
    9.9000000E-01    6.1635028E-08    7.6976151E-07    6.1320324E-06    3.4549861E-06
    1.1700000E+00    6.4797422E-08    8.7580331E-07    6.1063125E-06    3.4258256E-06
    1.3500000E+00    6.7515795E-08    9.7121705E-07    6.0833457E-06    3.3994764E-06
    1.5300000E+00    6.9862272E-08    1.0558592E-06    6.0632193E-06    3.3758846E-06
    1.7100000E+00    7.1900271E-08    1.1306541E-06    6.0456948E-06    3.3547918E-06
    1.8900000E+00    7.3683856E-08    1.1968526E-06    6.0303349E-06    3.3359801E-06
    2.0700000E+00    1.8999354E-10    2.8403590E-09    1.4902900E-08    8.5861626E-09
    2.2500000E+00    1.9519663E-10    2.7089823E-09    1.4764715E-08    8.7869119E-09
    2.4300000E+00    1.9991559E-10    2.5936202E-09    1.4652363E-08    8.9541412E-09
    2.6100000E+00    2.0422125E-10    2.4910639E-09    1.4559460E-08    9.0957846E-09
    2.7900000E+00    2.0817020E-10    2.3989585E-09    1.4481535E-08    9.2174532E-09
    2.9700000E+00    2.1180841E-10    2.3155290E-09    1.4415366E-08    9.3232256E-09
    3.1500000E+00    2.1517366E-10    2.2394084E-09    1.4358577E-08    9.4161380E-09
    3.3300000E+00    2.1829740E-10    2.1695227E-09    1.4309376E-08    9.4984967E-09
    3.5100000E+00    2.2120607E-10    2.1050143E-09    1.4266392E-08    9.5720851E-09
    3.6900000E+00    2.2392214E-10    2.0451883E-09    1.4228556E-08    9.6383040E-09
    3.8700000E+00    2.2646481E-10    1.9894739E-09    1.4195025E-08    9.6982686E-09
    4.0500000E+00    2.2885065E-10    1.9373972E-09    1.4165127E-08    9.7528783E-09
    4.2300000E+00    2.3109404E-10    1.8885604E-09    1.4138317E-08    9.8028659E-09
    4.4100000E+00    2.3320756E-10    1.8426264E-09    1.4114154E-08    9.8488350E-09
    4.5900000E+00    2.3520225E-10    1.7993075E-09    1.4092271E-08    9.8912869E-09
    4.7700000E+00    2.3708784E-10    1.7583557E-09    1.4072367E-08    9.9306417E-09
    4.9500000E+00    2.3887299E-10    1.7195562E-09    1.4054189E-08    9.9672541E-09
    5.1300000E+00    2.4056540E-10    1.6827217E-09    1.4037524E-08    1.0001426E-08
    5.3100000E+00    2.4217197E-10    1.6476876E-09    1.4022192E-08    1.0033414E-08
    5.4900000E+00    2.4369889E-10    1.6143090E-09    1.4008040E-08    1.0063442E-08
    5.6700000E+00    2.4515174E-10    1.5824572E-09    1.3994936E-08    1.0091700E-08
    5.8500000E+00    2.4653556E-10    1.5520176E-09    1.3982767E-08    1.0118358E-08
    6.0300000E+00    2.4785494E-10    1.5228879E-09    1.3971435E-08    1.0143560E-08
    6.2100000E+00    2.4911404E-10    1.4949761E-09    1.3960856E-08    1.0167436E-08
    6.3900000E+00    2.5031666E-10    1.4681992E-09    1.3950954E-08    1.0190098E-08
    6.5700000E+00    2.5146627E-10    1.4424824E-09    1.3941665E-08    1.0211647E-08
    6.7500000E+00    2.5256605E-10    1.4177576E-09    1.3932933E-08    1.0232172E-08
    6.9300000E+00    2.5361894E-10    1.3939629E-09    1.3924705E-08    1.0251754E-08
    7.1100000E+00    2.5462763E-10    1.3710420E-09    1.3916939E-08    1.0270462E-08
    7.2900000E+00    2.5559460E-10    1.3489431E-09    1.3909593E-08    1.0288361E-08
    7.4700000E+00    2.5652217E-10    1.3276189E-09    1.3902634E-08    1.0305509E-08
    7.6500000E+00    2.5741246E-10    1.3070258E-09    1.3896028E-08    1.0321957E-08
    7.8300000E+00    2.5826746E-10    1.2871237E-09    1.3889749E-08    1.0337754E-08
    8.0100000E+00    2.5908939E-10    1.2679027E-09    1.3883764E-08    1.0352934E-08
    8.1900000E+00    4.1637592E-08    2.0409294E-07    2.2193368E-06    1.6575431E-06
    8.3700000E+00    4.1816719E-08    2.0529631E-07    2.2174636E-06    1.6587242E-06
    8.5500000E+00    4.1989151E-08    2.0647069E-07    2.2156176E-06    1.6598965E-06
    8.7300000E+00    4.2155250E-08    2.0762094E-07    2.2137855E-06    1.6610704E-06
    8.9100000E+00    4.2315355E-08    2.0874980E-07    2.2119367E-06    1.6622751E-06
    9.0900000E+00    4.2469808E-08    2.0985929E-07    2.2100127E-06    1.6635677E-06
    9.2700000E+00    4.2618956E-08    2.1095128E-07    2.2079194E-06    1.6650412E-06
    9.4500000E+00    4.2763162E-08    2.1202764E-07    2.2055277E-06    1.6668235E-06
    9.6300000E+00    4.2902790E-08    2.1309029E-07    2.2026847E-06    1.6690666E-06
    9.8100000E+00    4.3038198E-08    2.1414110E-07    2.1992356E-06    1.6719239E-06
    9.9900000E+00    4.3169712E-08    2.1518173E-07    2.1950524E-06    1.6755225E-06
    1.0170000E+01    4.3297605E-08    2.1621350E-07    2.1900610E-06    1.6799357E-06
    1.0350000E+01    4.3422087E-08    2.1723728E-07    2.1842611E-06    1.6851631E-06
    1.0530000E+01    4.3543295E-08    2.1825342E-07    2.1777332E-06    1.6911241E-06
    1.0710000E+01    4.3661300E-08    2.1926187E-07    2.1706314E-06    1.6976645E-06
    1.0890000E+01    4.3776127E-08    2.2026225E-07    2.1631645E-06    1.7045758E-06
    1.1070000E+01    4.3887769E-08    2.2125418E-07    2.1555696E-06    1.7116210E-06
    1.1250000E+01    4.3996215E-08    2.2223753E-07    2.1480844E-06    1.7185624E-06
    1.1430000E+01    4.4101472E-08    2.2321287E-07    2.1409228E-06    1.7251857E-06
    1.1610000E+01    4.4203582E-08    2.2418189E-07    2.1342571E-06    1.7313181E-06
    1.1790000E+01    4.4302632E-08    2.2514799E-07    2.1282078E-06    1.7368370E-06
    1.1970000E+01    4.4398760E-08    2.2611700E-07    2.1228423E-06    1.7416721E-06
    1.2150000E+01    4.4492162E-08    2.2709808E-07    2.1181788E-06    1.7458005E-06
    1.2330000E+01    4.4582905E-08    2.2810468E-07    2.1141954E-06    1.7492374E-06
    1.2510000E+01    2.7807490E-08    1.4318151E-07    1.3198522E-06    1.0946970E-06
    1.2690000E+01    2.7749405E-08    1.4379815E-07    1.3183908E-06    1.0958793E-06
    1.2870000E+01    2.7692116E-08    1.4442908E-07    1.3170727E-06    1.0969104E-06
    1.3050000E+01    2.7635642E-08    1.4507919E-07    1.3158843E-06    1.0978019E-06
    1.3230000E+01    2.7580005E-08    1.4575426E-07    1.3148107E-06    1.0985656E-06
    1.3410000E+01    2.7525230E-08    1.4646116E-07    1.3138370E-06    1.0992132E-06
    1.3590000E+01    2.7471350E-08    1.4720794E-07    1.3129483E-06    1.0997553E-06
    1.3770000E+01    2.7418402E-08    1.4800403E-07    1.3121314E-06    1.1002005E-06
    1.3950000E+01    2.7366428E-08    1.4886034E-07    1.3113760E-06    1.1005536E-06
    1.4130000E+01    2.7315475E-08    1.4978945E-07    1.3106771E-06    1.1008134E-06
    1.4310000E+01    2.7265588E-08    1.5080574E-07    1.3100387E-06    1.1009684E-06
