# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    1.9864195E-02    2.0999357E-01    1.9000014E-04
    2.7000000E-01    1.9579597E-02    2.0998073E-01    1.9000044E-04
    4.5000000E-01    1.9305808E-02    2.0996785E-01    1.9000073E-04
    6.3000000E-01    1.9041993E-02    2.0995495E-01    1.9000101E-04
    8.1000000E-01    1.8786982E-02    2.0994201E-01    1.9000129E-04
    9.9000000E-01    1.8539634E-02    2.0992905E-01    1.9000156E-04
    1.1700000E+00    1.8298915E-02    2.0991607E-01    1.9000183E-04
    1.3500000E+00    1.8063889E-02    2.0990307E-01    1.9000209E-04
    1.5300000E+00    1.7833692E-02    2.0989004E-01    1.9000235E-04
    1.7100000E+00    1.7607511E-02    2.0987699E-01    1.9000260E-04
    1.8900000E+00    1.7384566E-02    2.0986392E-01    1.9000285E-04
    2.0700000E+00    1.7164135E-02    2.0985083E-01    1.9000309E-04
    2.2500000E+00    1.6950082E-02    2.0983771E-01    1.9000333E-04
    2.4300000E+00    1.6741845E-02    2.0982456E-01    1.9000356E-04
    2.6100000E+00    1.6538986E-02    2.0981139E-01    1.9000379E-04
    2.7900000E+00    1.6341121E-02    2.0979819E-01    1.9000401E-04
    2.9700000E+00    1.6147909E-02    2.0978496E-01    1.9000423E-04
    3.1500000E+00    1.5959048E-02    2.0977170E-01    1.9000445E-04
    3.3300000E+00    1.5774267E-02    2.0975842E-01    1.9000466E-04
    3.5100000E+00    1.5593326E-02    2.0974511E-01    1.9000486E-04
    3.6900000E+00    1.5416006E-02    2.0973178E-01    1.9000506E-04
    3.8700000E+00    1.5242113E-02    2.0971842E-01    1.9000526E-04
    4.0500000E+00    1.5071468E-02    2.0970503E-01    1.9000545E-04
    4.2300000E+00    1.4903911E-02    2.0969161E-01    1.9000564E-04
    4.4100000E+00    1.4739294E-02    2.0967817E-01    1.9000583E-04
    4.5900000E+00    1.4577484E-02    2.0966470E-01    1.9000601E-04
    4.7700000E+00    1.4418358E-02    2.0965120E-01    1.9000618E-04
    4.9500000E+00    1.4261803E-02    2.0963768E-01    1.9000636E-04
    5.1300000E+00    1.4107717E-02    2.0962413E-01    1.9000653E-04
    5.3100000E+00    1.3956005E-02    2.0961055E-01    1.9000669E-04
    5.4900000E+00    1.3806579E-02    2.0959695E-01    1.9000686E-04
    5.6700000E+00    1.3659359E-02    2.0958332E-01    1.9000701E-04
    5.8500000E+00    1.3514273E-02    2.0956967E-01    1.9000717E-04
    6.0300000E+00    1.3371251E-02    2.0955598E-01    1.9000732E-04
    6.2100000E+00    1.3230232E-02    2.0954227E-01    1.9000747E-04
    6.3900000E+00    1.3091159E-02    2.0952854E-01    1.9000761E-04
    6.5700000E+00    1.2953982E-02    2.0951477E-01    1.9000775E-04
    6.7500000E+00    1.2818653E-02    2.0950098E-01    1.9000789E-04
    6.9300000E+00    1.2685131E-02    2.0948716E-01    1.9000803E-04
    7.1100000E+00    1.2553379E-02    2.0947332E-01    1.9000816E-04
    7.2900000E+00    1.2423365E-02    2.0945945E-01    1.9000828E-04
    7.4700000E+00    1.2295061E-02    2.0944555E-01    1.9000841E-04
    7.6500000E+00    1.2168446E-02    2.0943162E-01    1.9000853E-04
    7.8300000E+00    1.2043502E-02    2.0941767E-01    1.9000865E-04
    8.0100000E+00    1.1920218E-02    2.0940369E-01    1.9000876E-04
    8.1900000E+00    1.1798540E-02    2.0938967E-01    1.9000888E-04
    8.3700000E+00    1.1678461E-02    2.0937563E-01    1.9000899E-04
    8.5500000E+00    1.1560025E-02    2.0936155E-01    1.9000909E-04
    8.7300000E+00    1.1443242E-02    2.0934745E-01    1.9000919E-04
    8.9100000E+00    1.1328127E-02    2.0933332E-01    1.9000929E-04
    9.0900000E+00    1.1214706E-02    2.0931916E-01    1.9000939E-04
    9.2700000E+00    1.1103013E-02    2.0930497E-01    1.9000949E-04
    9.4500000E+00    1.0993090E-02    2.0929076E-01    1.9000958E-04
    9.6300000E+00    1.0884992E-02    2.0927652E-01    1.9000967E-04
    9.8100000E+00    1.0778785E-02    2.0926225E-01    1.9000975E-04
    9.9900000E+00    1.0674550E-02    2.0924795E-01    1.9000983E-04
    1.0170000E+01    1.0572382E-02    2.0923362E-01    1.9000991E-04
    1.0350000E+01    1.0472394E-02    2.0921926E-01    1.9000999E-04
    1.0530000E+01    1.0374720E-02    2.0920488E-01    1.9001007E-04
    1.0710000E+01    1.0279513E-02    2.0919047E-01    1.9001014E-04
    1.0890000E+01    1.0186955E-02    2.0917603E-01    1.9001021E-04
    1.1070000E+01    1.0097254E-02    2.0916156E-01    1.9001027E-04
    1.1250000E+01    1.0010650E-02    2.0914706E-01    1.9001034E-04
    1.1430000E+01    9.9274221E-03    2.0913253E-01    1.9001040E-04
    1.1610000E+01    9.8478896E-03    2.0911797E-01    1.9001046E-04
    1.1790000E+01    9.7724198E-03    2.0910338E-01    1.9001051E-04
    1.1970000E+01    9.7014337E-03    2.0908877E-01    1.9001057E-04
    1.2150000E+01    9.6354141E-03    2.0907412E-01    1.9001062E-04
    1.2330000E+01    9.5749137E-03    2.0905945E-01    1.9001066E-04
    1.2510000E+01    9.5202222E-03    2.0904465E-01    1.9001071E-04
    1.2690000E+01    9.4656356E-03    2.0903021E-01    1.9001075E-04
    1.2870000E+01    9.4114604E-03    2.0901622E-01    1.9001080E-04
    1.3050000E+01    9.3577129E-03    2.0900269E-01    1.9001084E-04
    1.3230000E+01    9.3044124E-03    2.0898961E-01    1.9001088E-04
    1.3410000E+01    9.2515813E-03    2.0897699E-01    1.9001091E-04
    1.3590000E+01    9.1992455E-03    2.0896483E-01    1.9001095E-04
    1.3770000E+01    9.1474346E-03    2.0895313E-01    1.9001098E-04
    1.3950000E+01    9.0961829E-03    2.0894190E-01    1.9001102E-04
    1.4130000E+01    9.0455295E-03    2.0893113E-01    1.9001105E-04
    1.4310000E+01    8.9955193E-03    2.0892083E-01    1.9001108E-04
    1.4490000E+01    8.9462039E-03    2.0891100E-01    1.9001110E-04
    1.4670000E+01    8.8976419E-03    2.0890164E-01    1.9001113E-04
    1.4850000E+01    8.8499007E-03    2.0889276E-01    1.9001115E-04
    1.5030000E+01    8.8030571E-03    2.0888435E-01    1.9001118E-04
    1.5210000E+01    8.7571989E-03    2.0887641E-01    1.9001120E-04
    1.5390000E+01    8.7124261E-03    2.0886896E-01    1.9001122E-04
    1.5570000E+01    8.6688529E-03    2.0886199E-01    1.9001124E-04
    1.5750000E+01    8.6266098E-03    2.0885551E-01    1.9001125E-04
    1.5930000E+01    8.5858452E-03    2.0884951E-01    1.9001127E-04
    1.6110000E+01    8.5467285E-03    2.0884400E-01    1.9001128E-04
    1.6290000E+01    8.5094527E-03    2.0883897E-01    1.9001130E-04
    1.6470000E+01    8.4742378E-03    2.0883445E-01    1.9001131E-04
    1.6650000E+01    8.4413344E-03    2.0883041E-01    1.9001132E-04
    1.6830000E+01    8.4110280E-03    2.0882687E-01    1.9001133E-04
    1.7010000E+01    8.3836438E-03    2.0882384E-01    1.9001133E-04
    1.7190000E+01    8.3595523E-03    2.0882130E-01    1.9001134E-04
    1.7370000E+01    8.3391753E-03    2.0881926E-01    1.9001134E-04
    1.7550000E+01    8.3229934E-03    2.0881773E-01    1.9001135E-04
    1.7730000E+01    8.3115537E-03    2.0881671E-01    1.9001135E-04
    1.7910000E+01    8.3054791E-03    2.0881620E-01    1.9001135E-04
