# Time          5.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -3.9712915E-01   -5.6549439E+00   -1.0692557E+01   -2.6716183E+00   -5.6351108E+01    2.1902974E-01    2.8577647E+00   -1.0469172E+01   -4.3117408E-01    3.7982691E+00   -1.1651108E+01   -3.0203764E-01   -4.9881197E+00   -3.2570301E+03    3.9091831E+00    1.9987856E+00
    2.7000000E-01   -1.3768264E-01   -4.8828095E+00   -9.9773866E+00   -1.9368163E+00   -5.6387030E+01    1.2430180E-03    3.0513864E+00   -1.0372867E+01    8.2136090E-02    3.7759817E+00   -1.0529110E+01   -4.2591125E-02   -4.6321752E+00   -3.2558070E+03    3.9086518E+00    1.7281954E+00
    4.5000000E-01    8.4061110E-03   -4.4465086E+00   -9.5179806E+00   -1.4590608E+00   -5.6476020E+01    1.5772277E-03    3.1728848E+00   -1.0367860E+01    3.7305646E-01    3.7119021E+00   -9.8493617E+00    1.0349762E-01   -4.4015924E+00   -3.2545875E+03    3.9081192E+00    1.5500669E+00
    6.3000000E-01    1.0644087E-01   -4.1427115E+00   -9.1746560E+00   -1.0988427E+00   -5.6591066E+01    1.7976816E-03    3.2863920E+00   -1.0399898E+01    5.9028005E-01    3.6612608E+00   -9.3725297E+00    2.0153238E-01   -4.2288437E+00   -3.2533716E+03    3.9075853E+00    1.4267114E+00
    8.1000000E-01    1.7821518E-01   -3.9146415E+00   -8.8976358E+00   -8.1867400E-01   -5.6719112E+01    1.9116177E-03    3.3777026E+00   -1.0463037E+01    7.5569468E-01    3.6159513E+00   -9.0148370E+00    2.7330670E-01   -4.0892741E+00   -3.2521594E+03    3.9070501E+00    1.3322824E+00
    9.9000000E-01    2.3357701E-01   -3.7353630E+00   -8.6628277E+00   -5.9627559E-01   -5.6851819E+01    1.9471986E-03    3.4468055E+00   -1.0545648E+01    8.8348818E-01    3.5733794E+00   -8.7338758E+00    3.2866852E-01   -3.9708723E+00   -3.2509506E+03    3.9065140E+00    1.2556346E+00
    1.1700000E+00    2.7777428E-01   -3.5899594E+00   -8.4570463E+00   -4.1654361E-01   -5.6983363E+01    1.9363978E-03    3.4973781E+00   -1.0636776E+01    9.8358682E-01    3.5326146E+00   -8.5048491E+00    3.7286580E-01   -3.8670533E+00   -3.2497454E+03    3.9059768E+00    1.1910549E+00
    1.3500000E+00    3.1392160E-01   -3.4693374E+00   -8.2725939E+00   -2.6885095E-01   -5.7109928E+01    1.9048129E-03    3.5333995E+00   -1.0728177E+01    1.0629777E+00    3.4932380E+00   -8.3122888E+00    4.0901312E-01   -3.7739683E+00   -3.2485435E+03    3.9054387E+00    1.1352193E+00
    1.5300000E+00    3.4401286E-01   -3.3675509E+00   -8.1047186E+00   -1.4560273E-01   -5.7229481E+01    1.8685422E-03    3.5582604E+00   -1.0814796E+01    1.1266311E+00    3.4550331E+00   -8.1462660E+00    4.3910437E-01   -3.6892374E+00   -3.2473451E+03    3.9048997E+00    1.0860256E+00
    1.7100000E+00    3.6939823E-01   -3.2805024E+00   -7.9503012E+00   -4.1308254E-02   -5.7341414E+01    1.8355197E-03    3.5746257E+00   -1.0894363E+01    1.1781278E+00    3.4178747E+00   -8.0003201E+00    4.6448974E-01   -3.6112956E+00   -3.2461499E+03    3.9043596E+00    1.0420610E+00
    1.8900000E+00    3.9107503E-01   -3.2049430E+00   -7.8070993E+00    4.8328606E-02   -5.7446074E+01    1.8083866E-03    3.5851284E+00   -1.0966156E+01    1.2206129E+00    3.3820941E+00   -7.8697749E+00    4.8616654E-01   -3.5390252E+00   -3.2448890E+03    3.9038186E+00    1.0024940E+00
