# Time          5.0000E+01
# Units: Mol/kgw
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -2.5177354E-04    1.0000000E-04    1.3264724E-05    7.4693061E-06    6.8131269E-06    8.0661760E-07    1.9858249E-05    1.2764034E-03    3.4345673E-04    3.5589874E-07    7.0342130E-08    2.5832414E-11    1.0000000E-14    1.0000000E-14    4.8822812E-06    1.0000000E-14    5.3450102E-04    1.0000000E-30
    2.7000000E-01   -2.8182991E-04    1.0000000E-04    2.1514323E-05    1.3425882E-05    1.0139739E-05    3.4584979E-07    3.6089718E-05    1.2921048E-03    3.4343258E-04    3.5589603E-07    8.5933766E-08    1.2246369E-11    1.0000000E-14    1.0000000E-14    8.8413657E-06    1.0000000E-14    5.3600356E-04    1.0000000E-30
    4.5000000E-01   -3.1086838E-04    1.0000000E-04    2.8932112E-05    1.8647622E-05    1.5000909E-05    1.9014299E-07    5.0520598E-05    1.3070579E-03    3.4340856E-04    3.5589350E-07    8.9719798E-08    9.8956284E-12    1.0000000E-14    1.0000000E-14    1.2229156E-05    1.0000000E-14    5.3750610E-04    1.0000000E-30
    6.3000000E-01   -3.3856284E-04    1.0000000E-04    3.5687655E-05    2.3248851E-05    2.1069833E-05    1.2200112E-07    6.3313997E-05    1.3211124E-03    3.4338467E-04    3.5589115E-07    8.5721393E-08    8.1992796E-12    1.0000000E-14    1.0000000E-14    1.5169140E-05    1.0000000E-14    5.3900864E-04    1.0000000E-30
    8.1000000E-01   -3.6498894E-04    1.0000000E-04    4.1899994E-05    2.7393147E-05    2.7889521E-05    8.5541567E-08    7.4691424E-05    1.3343371E-03    3.4336090E-04    3.5588896E-07    7.7698971E-08    6.9295900E-12    1.0000000E-14    1.0000000E-14    1.7784594E-05    1.0000000E-14    5.4051118E-04    1.0000000E-30
    9.9000000E-01   -3.9028069E-04    1.0000000E-04    4.7655967E-05    3.1233768E-05    3.5030806E-05    6.3589901E-08    8.4845617E-05    1.3468209E-03    3.4333722E-04    3.5588689E-07    6.8420308E-08    5.9500597E-12    1.0000000E-14    1.0000000E-14    2.0183426E-05    1.0000000E-14    5.4201372E-04    1.0000000E-30
    1.1700000E+00   -4.1456257E-04    1.0000000E-04    5.3021660E-05    3.4885830E-05    4.2179465E-05    4.9298816E-08    9.3934186E-05    1.3586392E-03    3.4331360E-04    3.5588492E-07    5.9523962E-08    5.1754757E-12    1.0000000E-14    1.0000000E-14    2.2445461E-05    1.0000000E-14    5.4351626E-04    1.0000000E-30
    1.3500000E+00   -4.3794085E-04    1.0000000E-04    5.8049117E-05    3.8423270E-05    4.9147459E-05    3.9456773E-08    1.0208645E-04    1.3698510E-03    3.4329004E-04    3.5588303E-07    5.1744003E-08    4.5502557E-12    1.0000000E-14    1.0000000E-14    2.4621983E-05    1.0000000E-14    5.4501880E-04    1.0000000E-30
    1.5300000E+00   -4.6050508E-04    1.0000000E-04    6.2780285E-05    4.1888090E-05    5.5844180E-05    3.2383299E-08    1.0940988E-04    1.3805015E-03    3.4326651E-04    3.5588121E-07    4.5245700E-08    4.0367417E-12    1.0000000E-14    1.0000000E-14    2.6742440E-05    1.0000000E-14    5.4652134E-04    1.0000000E-30
    1.7100000E+00   -4.8233092E-04    1.0000000E-04    6.7249502E-05    4.5301467E-05    6.2241162E-05    2.7125883E-08    1.1599497E-04    1.3906241E-03    3.4324301E-04    3.5587944E-07    3.9914098E-08    3.6086020E-12    1.0000000E-14    1.0000000E-14    2.8822103E-05    1.0000000E-14    5.4802397E-04    1.0000000E-30
