# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    3.3103999E-08    3.0221026E-07    6.2719679E-06    3.5630455E-06
    2.7000000E-01    3.9180640E-08    2.7908344E-07    6.2408683E-06    3.6045543E-06
    4.5000000E-01    4.4543694E-08    3.0782450E-07    6.2311775E-06    3.5970170E-06
    6.3000000E-01    4.9306206E-08    3.6222083E-07    6.2177893E-06    3.5805988E-06
    8.1000000E-01    5.3614984E-08    4.3184076E-07    6.2001116E-06    3.5610770E-06
    9.9000000E-01    5.7555088E-08    5.0939670E-07    6.1798067E-06    3.5404100E-06
    1.1700000E+00    6.1175600E-08    5.8920646E-07    6.1584896E-06    3.5198036E-06
    1.3500000E+00    6.4511588E-08    6.6715095E-07    6.1373749E-06    3.5000861E-06
    1.5300000E+00    6.7595363E-08    7.4062862E-07    6.1172335E-06    3.4817708E-06
    1.7100000E+00    7.0460107E-08    8.0829681E-07    6.0984605E-06    3.4651170E-06
    1.8900000E+00    7.3139825E-08    8.6969100E-07    6.0811748E-06    3.4502208E-06
    2.0700000E+00    1.9230136E-10    2.0611072E-09    1.5011527E-08    8.8699588E-09
    2.2500000E+00    2.0121954E-10    1.9613961E-09    1.4856100E-08    9.0701906E-09
    2.4300000E+00    2.0969521E-10    1.8726217E-09    1.4728378E-08    9.2375359E-09
    2.6100000E+00    2.1778719E-10    1.7926724E-09    1.4621936E-08    9.3794099E-09
    2.7900000E+00    2.2554231E-10    1.7199402E-09    1.4532196E-08    9.5011698E-09
    2.9700000E+00    2.3299846E-10    1.6532035E-09    1.4455790E-08    9.6067728E-09
    3.1500000E+00    2.4018686E-10    1.5915158E-09    1.4390188E-08    9.6992062E-09
    3.3300000E+00    2.4713346E-10    1.5341315E-09    1.4333448E-08    9.7807679E-09
    3.5100000E+00    2.5386010E-10    1.4804549E-09    1.4284062E-08    9.8532542E-09
    3.6900000E+00    2.6038528E-10    1.4300037E-09    1.4240835E-08    9.9180895E-09
    3.8700000E+00    2.6672478E-10    1.3823832E-09    1.4202811E-08    9.9764178E-09
    4.0500000E+00    2.7289212E-10    1.3372666E-09    1.4169216E-08    1.0029168E-08
    4.2300000E+00    2.7889896E-10    1.2943816E-09    1.4139417E-08    1.0077104E-08
