# Time          5.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -5.1495996E-01   -6.0134593E+00   -1.0922966E+01   -3.0105160E+00   -5.6277809E+01    2.9222398E-01    2.7549652E+00   -1.0496229E+01   -6.8206540E-01    3.7987056E+00   -1.2195857E+01   -4.1986845E-01   -5.1027309E+00   -3.9266996E+03    3.7968669E+00    2.1168347E+00
    2.7000000E-01   -2.5224362E-01   -5.2335170E+00   -1.0284399E+01   -2.3383398E+00   -5.6172608E+01    6.3155906E-04    2.9528531E+00   -1.0346165E+01   -1.5613573E-01    3.8498500E+00   -1.1121730E+01   -1.5715211E-01   -4.7870422E+00   -4.5854745E+03    3.6118744E+00    1.8796906E+00
    4.5000000E-01   -9.6652084E-02   -4.7883741E+00   -9.8733795E+00   -1.9063425E+00   -5.6116871E+01    8.1989344E-04    3.0274022E+00   -1.0282125E+01    1.1419693E-01    3.8035849E+00   -1.0452388E+01   -1.5605731E-03   -4.5814152E+00   -5.2237049E+03    3.4320953E+00    1.7009664E+00
    6.3000000E-01    1.1636223E-02   -4.4693857E+00   -9.5679741E+00   -1.5607992E+00   -5.6082948E+01    9.9769766E-04    3.1224698E+00   -1.0224220E+01    3.2983256E-01    3.7696858E+00   -9.9642403E+00    1.0672773E-01   -4.4281862E+00   -5.8013375E+03    3.2499763E+00    1.5757286E+00
    8.1000000E-01    9.3471188E-02   -4.2232927E+00   -9.3252235E+00   -1.2747406E+00   -5.6059767E+01    1.1551359E-03    3.2182197E+00   -1.0180073E+01    5.0790755E-01    3.7430470E+00   -9.5851405E+00    1.8856270E-01   -4.3062420E+00   -6.2199300E+03    3.0637378E+00    1.4805742E+00
    9.9000000E-01    1.5862533E-01   -4.0250052E+00   -9.1238361E+00   -1.0355182E+00   -5.6041715E+01    1.2871830E-03    3.3042959E+00   -1.0150938E+01    6.5569466E-01    3.7202091E+00   -9.2802456E+00    2.5371684E-01   -4.2049967E+00   -6.4135499E+03    2.8728111E+00    1.4040011E+00
    1.1700000E+00    2.1241001E-01   -3.8602619E+00   -8.9515767E+00   -8.3405802E-01   -5.6025341E+01    1.3919002E-03    3.3779836E+00   -1.0135078E+01    7.7915260E-01    3.7000060E+00   -9.0289762E+00    3.0750152E-01   -4.1183498E+00   -6.4667496E+03    2.6768850E+00    1.3401149E+00
    1.3500000E+00    2.5801936E-01   -3.7202339E+00   -8.8009141E+00   -6.6313291E-01   -5.6008238E+01    1.4696252E-03    3.4396887E+00   -1.0130191E+01    8.8316973E-01    3.6820046E+00   -8.8181327E+00    3.5311087E-01   -4.0425444E+00   -6.4726254E+03    2.4756931E+00    1.2855049E+00
    1.5300000E+00    2.9752147E-01   -3.5990872E+00   -8.6670635E+00   -5.1688899E-01   -5.5988584E+01    1.5222325E-03    3.4909738E+00   -1.0134047E+01    9.7170348E-01    3.6660501E+00   -8.6387982E+00    3.9261298E-01   -3.9751936E+00   -6.4661713E+03    2.2689641E+00    1.2380255E+00
    1.7100000E+00    3.3233283E-01   -3.4927622E+00   -8.5469240E+00   -3.9062005E-01   -5.5964941E+01    1.5524783E-03    3.5336819E+00   -1.0144668E+01    1.0479176E+00    3.6521119E+00   -8.4847262E+00    4.2742434E-01   -3.9147502E+00   -6.4565550E+03    2.0564087E+00    1.1962451E+00
