# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    3.9820153E-02    2.0999506E-01    1.9000012E-04
    2.7000000E-01    3.9459653E-02    2.0998521E-01    1.9000037E-04
    4.5000000E-01    3.9108911E-02    2.0997534E-01    1.9000062E-04
    6.3000000E-01    3.8767097E-02    2.0996545E-01    1.9000086E-04
    8.1000000E-01    3.8433376E-02    2.0995556E-01    1.9000109E-04
    9.9000000E-01    3.8106933E-02    2.0994566E-01    1.9000133E-04
    1.1700000E+00    3.7787019E-02    2.0993575E-01    1.9000155E-04
    1.3500000E+00    3.7472949E-02    2.0992585E-01    1.9000178E-04
    1.5300000E+00    3.7164103E-02    2.0991594E-01    1.9000200E-04
    1.7100000E+00    3.6859930E-02    2.0990603E-01    1.9000221E-04
    1.8900000E+00    3.6559919E-02    2.0989612E-01    1.9000243E-04
    2.0700000E+00    3.6265551E-02    2.0988628E-01    1.9000263E-04
    2.2500000E+00    3.5979223E-02    2.0987650E-01    1.9000284E-04
    2.4300000E+00    3.5698677E-02    2.0986672E-01    1.9000304E-04
    2.6100000E+00    3.5423558E-02    2.0985693E-01    1.9000323E-04
    2.7900000E+00    3.5153554E-02    2.0984714E-01    1.9000342E-04
    2.9700000E+00    3.4888384E-02    2.0983735E-01    1.9000361E-04
    3.1500000E+00    3.4627797E-02    2.0982756E-01    1.9000379E-04
    3.3300000E+00    3.4371567E-02    2.0981776E-01    1.9000397E-04
    3.5100000E+00    3.4119494E-02    2.0980796E-01    1.9000415E-04
    3.6900000E+00    3.3871393E-02    2.0979815E-01    1.9000432E-04
    3.8700000E+00    3.3627100E-02    2.0978834E-01    1.9000449E-04
    4.0500000E+00    3.3386466E-02    2.0977853E-01    1.9000465E-04
    4.2300000E+00    3.3149356E-02    2.0976872E-01    1.9000482E-04
    4.4100000E+00    3.2915646E-02    2.0975890E-01    1.9000498E-04
    4.5900000E+00    3.2685227E-02    2.0974908E-01    1.9000513E-04
    4.7700000E+00    3.2457998E-02    2.0973926E-01    1.9000528E-04
    4.9500000E+00    3.2233867E-02    2.0972943E-01    1.9000543E-04
    5.1300000E+00    3.2012753E-02    2.0971960E-01    1.9000558E-04
    5.3100000E+00    3.1794582E-02    2.0970977E-01    1.9000572E-04
    5.4900000E+00    3.1579287E-02    2.0969994E-01    1.9000587E-04
    5.6700000E+00    3.1366811E-02    2.0969010E-01    1.9000600E-04
    5.8500000E+00    3.1157100E-02    2.0968027E-01    1.9000614E-04
    6.0300000E+00    3.0950109E-02    2.0967043E-01    1.9000627E-04
    6.2100000E+00    3.0745800E-02    2.0966058E-01    1.9000640E-04
    6.3900000E+00    3.0544138E-02    2.0965074E-01    1.9000652E-04
    6.5700000E+00    3.0345096E-02    2.0964089E-01    1.9000665E-04
    6.7500000E+00    3.0148653E-02    2.0963104E-01    1.9000677E-04
    6.9300000E+00    2.9954793E-02    2.0962119E-01    1.9000688E-04
    7.1100000E+00    2.9763505E-02    2.0961133E-01    1.9000700E-04
    7.2900000E+00    2.9574785E-02    2.0960147E-01    1.9000711E-04
    7.4700000E+00    2.9388634E-02    2.0959161E-01    1.9000722E-04
    7.6500000E+00    2.9205058E-02    2.0958175E-01    1.9000732E-04
    7.8300000E+00    2.9024069E-02    2.0957189E-01    1.9000743E-04
    8.0100000E+00    2.8845686E-02    2.0956202E-01    1.9000753E-04
    8.1900000E+00    2.8668672E-02    2.0955208E-01    1.9000763E-04
    8.3700000E+00    2.8493285E-02    2.0954207E-01    1.9000772E-04
    8.5500000E+00    2.8320744E-02    2.0953206E-01    1.9000782E-04
    8.7300000E+00    2.8151094E-02    2.0952205E-01    1.9000791E-04
    8.9100000E+00    2.7984390E-02    2.0951203E-01    1.9000800E-04
    9.0900000E+00    2.7820691E-02    2.0950202E-01    1.9000808E-04
    9.2700000E+00    2.7660067E-02    2.0949201E-01    1.9000817E-04
    9.4500000E+00    2.7502596E-02    2.0948199E-01    1.9000825E-04
    9.6300000E+00    2.7348364E-02    2.0947197E-01    1.9000833E-04
    9.8100000E+00    2.7197467E-02    2.0946196E-01    1.9000840E-04
    9.9900000E+00    2.7050012E-02    2.0945194E-01    1.9000848E-04
    1.0170000E+01    2.6906115E-02    2.0944192E-01    1.9000855E-04
    1.0350000E+01    2.6765904E-02    2.0943190E-01    1.9000862E-04
    1.0530000E+01    2.6629517E-02    2.0942189E-01    1.9000869E-04
    1.0710000E+01    2.6497106E-02    2.0941187E-01    1.9000875E-04
    1.0890000E+01    2.6368837E-02    2.0940185E-01    1.9000881E-04
    1.1070000E+01    2.6244889E-02    2.0939183E-01    1.9000887E-04
    1.1250000E+01    2.6125456E-02    2.0938180E-01    1.9000893E-04
    1.1430000E+01    2.6010747E-02    2.0937178E-01    1.9000898E-04
    1.1610000E+01    2.5900990E-02    2.0936176E-01    1.9000903E-04
    1.1790000E+01    2.5796430E-02    2.0935174E-01    1.9000908E-04
    1.1970000E+01    2.5697331E-02    2.0934172E-01    1.9000913E-04
    1.2150000E+01    2.5603979E-02    2.0933169E-01    1.9000917E-04
    1.2330000E+01    2.5516680E-02    2.0932167E-01    1.9000922E-04
    1.2510000E+01    2.5435276E-02    2.0931158E-01    1.9000926E-04
    1.2690000E+01    2.5354500E-02    2.0930175E-01    1.9000930E-04
