# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997330657501E-05   7.24993519067429E-05   3.48474883178680E-09   6.81014503187992E-06   4.31999859514484E-05   1.21002818513303E-05   8.78999306595151E-07   5.27999667433457E-09   5.96998972936290E+00   2.77204036285686E-03   3.43448887430234E-04
  2.00000E-09                2.88997233615144E-05   7.24993276181809E-05   3.48950089299192E-09   6.81014013586853E-06   4.31999719029039E-05   1.21002731181426E-05   8.78998613191536E-07   5.27999334867348E-09   5.96998935149781E+00   2.77203982876850E-03   3.43448887514033E-04
  3.00000E-09                2.88997135710443E-05   7.24993030908795E-05   3.49424971304175E-09   6.81013529468401E-06   4.31999578543830E-05   1.21002644924967E-05   8.78997919788315E-07   5.27999002301099E-09   5.96998912959899E+00   2.77203949878787E-03   3.43448887572709E-04
  4.00000E-09                2.88997036820041E-05   7.24992783106316E-05   3.49899852635135E-09   6.81013051251473E-06   4.31999438058685E-05   1.21002559825311E-05   8.78997226385832E-07   5.27998669735101E-09   5.96998898126118E+00   2.77203927045583E-03   3.43448887604532E-04
  5.00000E-09                2.88996937431343E-05   7.24992534028670E-05   3.50374733293084E-09   6.81012576063268E-06   4.31999297573605E-05   1.21002475318899E-05   8.78996532984043E-07   5.27998337169337E-09   5.96998886848563E+00   2.77203909139563E-03   3.43448887622683E-04
  7.00000E-09                2.88996737717718E-05   7.24992033519841E-05   3.51325458569693E-09   6.81011631222288E-06   4.31999016603704E-05   1.21002307390751E-05   8.78995146183978E-07   5.27997672038996E-09   5.96998868717288E+00   2.77203879619557E-03   3.43448887633890E-04
  1.10000E-08                2.88996337994459E-05   7.24991031720296E-05   3.53228821918299E-09   6.81009743473250E-06   4.31998454664988E-05   1.21001971912432E-05   8.78992372596088E-07   5.27996341782298E-09   5.96998835886821E+00   2.77203825219880E-03   3.43448887647734E-04
  1.90000E-08                2.88995538310044E-05   7.24989027518105E-05   3.57043150625285E-09   6.81005969409540E-06   4.31997330791820E-05   1.21001301236655E-05   8.78986825469185E-07   5.27993681284835E-09   5.96998771618775E+00   2.77203718378881E-03   3.43448887668973E-04
  3.50000E-08                2.88993938830456E-05   7.24985018840038E-05   3.64620437470533E-09   6.80998421992093E-06   4.31995083062356E-05   1.20999960023367E-05   8.78975731340021E-07   5.27988360326790E-09   5.96998643363089E+00   2.77203505127525E-03   3.43448887708443E-04
  6.70000E-08                2.88990739974310E-05   7.24977001738078E-05   3.79815407166670E-09   6.80983327390096E-06   4.31990587669397E-05   1.20997277634420E-05   8.78953543792715E-07   5.27977718638633E-09   5.96998386904197E+00   2.77203078680457E-03   3.43448887788319E-04
  1.31000E-07                2.88984342486084E-05   7.24960968095177E-05   4.10203909157105E-09   6.80953139783085E-06   4.31981597135853E-05   1.20991913140727E-05   8.78909171400338E-07   5.27956436120405E-09   5.96997874002229E+00   2.77202225821777E-03   3.43448887947978E-04
  2.59000E-07                2.88971548398803E-05   7.24928903034487E-05   4.70962823381545E-09   6.80892770790394E-06   4.31963616985255E-05   1.20981185259211E-05   8.78820437423082E-07   5.27913874516000E-09   5.96996848257427E+00   2.77200520234917E-03   3.43448888267252E-04
  5.15000E-07                2.88945963855842E-05   7.24864781999776E-05   5.92426360870445E-09   6.80772057782216E-06   4.31927659605638E-05   1.20959733933394E-05   8.78643012687050E-07   5.27828765033187E-09   5.96994797005274E+00   2.77197109573000E-03   3.43448888906268E-04
  1.02700E-06                2.88894809188226E-05   7.24736576012925E-05   8.35063616335152E-09   6.80530731836963E-06   4.31855750563501E-05   1.20916849066357E-05   8.78288335997225E-07   5.27658600953846E-09   5.96990695362173E+00   2.77190290213799E-03   3.43448890184456E-04
  2.05100E-06                2.88792557450537E-05   7.24480308188761E-05   1.31875048674592E-08   6.80048479675043E-06   4.31711909873753E-05   1.20831150371421E-05   8.77579673017933E-07   5.27318492198738E-09   5.96982495036674E+00   2.77176658735214E-03   3.43448892741569E-04
  4.09900E-06                2.88588283774549E-05   7.23968347727587E-05   2.27632436770705E-08   6.79085569911410E-06   4.31423782326034E-05   1.20660036360726E-05   8.76165102907634E-07   5.26639151171764E-09   5.96966102431389E+00   2.77149419884395E-03   3.43448897859592E-04
  8.19500E-06                2.88180649373597E-05   7.22946712386027E-05   4.12515084040895E-08   6.77166086672307E-06   4.30843146007653E-05   1.20318934372873E-05   8.73346941166163E-07   5.25283966025729E-09   5.96933321665096E+00   2.77095003038979E-03   3.43448908117460E-04
  1.63870E-05                2.87368989125118E-05   7.20912478297819E-05   7.41742607275168E-08   6.73352162500027E-06   4.29649745469849E-05   1.19641180511272E-05   8.67754185444994E-07   5.22587511535689E-09   5.96867621102870E+00   2.76986210832970E-03   3.43448928768774E-04
  3.27710E-05                2.85759924795364E-05   7.16879714783038E-05   1.21208039702367E-07   6.65822882054224E-06   4.27107989785707E-05   1.18303187547179E-05   8.56740256303556E-07   5.17249696999269E-09   5.96735369382915E+00   2.76768395506379E-03   3.43448970880695E-04
  6.55390E-05                2.82598485399637E-05   7.08956120981016E-05   1.66686998148707E-07   6.51151556678257E-06   4.21672765241650E-05   1.15696008312282E-05   8.35377197210415E-07   5.06789987646856E-09   5.96470223361428E+00   2.76335220992484E-03   3.43449058718687E-04
  1.31075E-04                2.76497905503832E-05   6.93665328842035E-05   1.97917828371714E-07   6.23298953036096E-06   4.10740813663227E-05   1.10746431171905E-05   7.95142665013843E-07   4.86699997946782E-09   5.95951162223761E+00   2.75495676709594E-03   3.43449242677276E-04
  2.62147E-04                2.65132343981139E-05   6.65175226846851E-05   2.25103346818686E-07   5.73027676846648E-06   3.90519775097379E-05   1.01812973668885E-05   7.23452040529761E-07   4.49584641280301E-09   5.94975282036695E+00   2.73941893525402E-03   3.43449612804073E-04
  5.24291E-04                2.45337307400232E-05   6.15545803009338E-05   2.69305302699927E-07   4.90513856228446E-06   3.56732843592831E-05   8.71501211717151E-06   6.07805344663171E-07   3.85874733308842E-09   5.93256418988758E+00   2.71282550471414E-03   3.43450309808701E-04
