# Time          5.0000E+01
# Units: Mole component in mineral/m^3 porous medium
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -3.4415983E+04    0.0000000E+00    1.1858501E+03    3.5706004E+01    3.4783045E+02    6.4808940E+03    2.3629955E+04    2.5032493E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9639143E+03    0.0000000E+00    0.0000000E+00    1.1087394E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    2.7000000E-01   -3.4408487E+04    0.0000000E+00    1.1864502E+03    3.5912974E+01    3.4785256E+02    6.4809614E+03    2.3631541E+04    2.5446433E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608611E+03    0.0000000E+00    0.0000000E+00    1.1089524E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    4.5000000E-01   -3.4409424E+04    0.0000000E+00    1.1868825E+03    3.6074813E+01    3.4787839E+02    6.4808949E+03    2.3632622E+04    2.5770111E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608663E+03    0.0000000E+00    0.0000000E+00    1.1091217E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    6.3000000E-01   -3.4410279E+04    0.0000000E+00    1.1872100E+03    3.6206070E+01    3.4790597E+02    6.4808789E+03    2.3633512E+04    2.6032625E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608686E+03    0.0000000E+00    0.0000000E+00    1.1092611E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    8.1000000E-01   -3.4411003E+04    0.0000000E+00    1.1874680E+03    3.6315744E+01    3.4793293E+02    6.4808732E+03    2.3634243E+04    2.6251972E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608690E+03    0.0000000E+00    0.0000000E+00    1.1093787E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    9.9000000E-01   -3.4411615E+04    0.0000000E+00    1.1876776E+03    3.6409544E+01    3.4795486E+02    6.4808706E+03    2.3634846E+04    2.6439572E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608686E+03    0.0000000E+00    0.0000000E+00    1.1094798E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.1700000E+00   -3.4412140E+04    0.0000000E+00    1.1878520E+03    3.6491258E+01    3.4797121E+02    6.4808693E+03    2.3635350E+04    2.6603001E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608679E+03    0.0000000E+00    0.0000000E+00    1.1095679E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.3500000E+00   -3.4412597E+04    0.0000000E+00    1.1879998E+03    3.6563499E+01    3.4798442E+02    6.4808685E+03    2.3635777E+04    2.6747483E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608673E+03    0.0000000E+00    0.0000000E+00    1.1096457E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.5300000E+00   -3.4413000E+04    0.0000000E+00    1.1881271E+03    3.6628140E+01    3.4799543E+02    6.4808680E+03    2.3636145E+04    2.6876765E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608669E+03    0.0000000E+00    0.0000000E+00    1.1097149E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.7100000E+00   -3.4413359E+04    0.0000000E+00    1.1882382E+03    3.6686571E+01    3.4800439E+02    6.4808677E+03    2.3636464E+04    2.6993627E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608665E+03    0.0000000E+00    0.0000000E+00    1.1097770E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
