# Time          5.0000E+01
# Units: Weight % Component
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -1.4866956E+00    0.0000000E+00    1.1684481E+00    6.1332650E-02    5.8286759E-01    7.4945481E+00    6.0851087E+01    4.7216950E-02    2.3146737E-05    0.0000000E+00    6.2938495E+00    4.7007464E+00    0.0000000E+00    0.0000000E+00    1.1549669E+00    0.0000000E+00    8.5657667E+00    0.0000000E+00
    2.7000000E-01   -1.4864864E+00    0.0000000E+00    1.1691295E+00    6.1692920E-02    5.8294958E-01    7.4952037E+00    6.0859862E+01    4.8001436E-02    2.3148521E-05    0.0000000E+00    6.2943346E+00    4.6938001E+00    0.0000000E+00    0.0000000E+00    1.1552778E+00    0.0000000E+00    8.5664269E+00    0.0000000E+00
    4.5000000E-01   -1.4864650E+00    0.0000000E+00    1.1695069E+00    6.1968357E-02    5.8296861E-01    7.4948151E+00    6.0860114E+01    4.8609991E-02    2.3147558E-05    0.0000000E+00    6.2940728E+00    4.6936174E+00    0.0000000E+00    0.0000000E+00    1.1554062E+00    0.0000000E+00    8.5660706E+00    0.0000000E+00
    6.3000000E-01   -1.4864499E+00    0.0000000E+00    1.1697886E+00    6.2191647E-02    5.8299440E-01    7.4945338E+00    6.0860272E+01    4.9103448E-02    2.3146747E-05    0.0000000E+00    6.2938522E+00    4.6934584E+00    0.0000000E+00    0.0000000E+00    1.1555109E+00    0.0000000E+00    8.5657704E+00    0.0000000E+00
    8.1000000E-01   -1.4864379E+00    0.0000000E+00    1.1700088E+00    6.2378221E-02    5.8302262E-01    7.4943092E+00    6.0860385E+01    4.9515747E-02    2.3146074E-05    0.0000000E+00    6.2936691E+00    4.6933228E+00    0.0000000E+00    0.0000000E+00    1.1555998E+00    0.0000000E+00    8.5655213E+00    0.0000000E+00
    9.9000000E-01   -1.4864283E+00    0.0000000E+00    1.1701869E+00    6.2537820E-02    5.8304521E-01    7.4941244E+00    6.0860462E+01    4.9868383E-02    2.3145512E-05    0.0000000E+00    6.2935164E+00    4.6932079E+00    0.0000000E+00    0.0000000E+00    1.1556770E+00    0.0000000E+00    8.5653134E+00    0.0000000E+00
    1.1700000E+00   -1.4864205E+00    0.0000000E+00    1.1703347E+00    6.2676890E-02    5.8306067E-01    7.4939693E+00    6.0860511E+01    5.0175602E-02    2.3145038E-05    0.0000000E+00    6.2933874E+00    4.6931101E+00    0.0000000E+00    0.0000000E+00    1.1557451E+00    0.0000000E+00    8.5651379E+00    0.0000000E+00
    1.3500000E+00   -1.4864140E+00    0.0000000E+00    1.1704597E+00    6.2799862E-02    5.8307253E-01    7.4938363E+00    6.0860539E+01    5.0447217E-02    2.3144630E-05    0.0000000E+00    6.2932765E+00    4.6930260E+00    0.0000000E+00    0.0000000E+00    1.1558057E+00    0.0000000E+00    8.5649869E+00    0.0000000E+00
    1.5300000E+00   -1.4864086E+00    0.0000000E+00    1.1705672E+00    6.2909920E-02    5.8308200E-01    7.4937205E+00    6.0860551E+01    5.0690272E-02    2.3144274E-05    0.0000000E+00    6.2931797E+00    4.6929527E+00    0.0000000E+00    0.0000000E+00    1.1558601E+00    0.0000000E+00    8.5648552E+00    0.0000000E+00
    1.7100000E+00   -1.4864040E+00    0.0000000E+00    1.1706607E+00    6.3009425E-02    5.8308914E-01    7.4936189E+00    6.0860549E+01    5.0909987E-02    2.3143961E-05    0.0000000E+00    6.2930946E+00    4.6928885E+00    0.0000000E+00    0.0000000E+00    1.1559092E+00    0.0000000E+00    8.5647394E+00    0.0000000E+00
    1.8900000E+00   -1.4864001E+00    0.0000000E+00    1.1707432E+00    6.3100174E-02    5.8309414E-01    7.4935289E+00    6.0860537E+01    5.1110338E-02    2.3143684E-05    0.0000000E+00    6.2930193E+00    4.6928317E+00    0.0000000E+00    0.0000000E+00    1.1559539E+00    0.0000000E+00    8.5646368E+00    0.0000000E+00
    2.0700000E+00   -1.4978354E+00    0.0000000E+00    1.7033996E+00    5.0930621E-02    5.4837486E-01    7.5582203E+00    5.7891147E+01    5.4019973E-02    2.4370139E-05    0.0000000E+00    5.6695649E+00    5.3542972E+00    0.0000000E+00    0.0000000E+00    7.8254739E-01    0.0000000E+00    5.4111021E+02    0.0000000E+00
    2.2500000E+00   -1.4978293E+00    0.0000000E+00    1.7034971E+00    5.1013812E-02    5.4837600E-01    7.5581193E+00    5.7891258E+01    5.4203460E-02    2.4369810E-05    0.0000000E+00    5.6694884E+00    5.3542229E+00    0.0000000E+00    0.0000000E+00    7.8258991E-01    0.0000000E+00    5.4110290E+02    0.0000000E+00
    2.4300000E+00   -1.4978240E+00    0.0000000E+00    1.7035848E+00    5.1090635E-02    5.4837364E-01    7.5580283E+00    5.7891345E+01    5.4372873E-02    2.4369517E-05    0.0000000E+00    5.6694203E+00    5.3541579E+00    0.0000000E+00    0.0000000E+00    7.8262856E-01    0.0000000E+00    5.4109640E+02    0.0000000E+00
    2.6100000E+00   -1.4978193E+00    0.0000000E+00    1.7036641E+00    5.1161964E-02    5.4836887E-01    7.5579465E+00    5.7891415E+01    5.4530151E-02    2.4369254E-05    0.0000000E+00    5.6693590E+00    5.3540997E+00    0.0000000E+00    0.0000000E+00    7.8266399E-01    0.0000000E+00    5.4109055E+02    0.0000000E+00
    2.7900000E+00   -1.4978152E+00    0.0000000E+00    1.7037363E+00    5.1228510E-02    5.4836235E-01    7.5578726E+00    5.7891469E+01    5.4676865E-02    2.4369016E-05    0.0000000E+00    5.6693036E+00    5.3540473E+00    0.0000000E+00    0.0000000E+00    7.8269670E-01    0.0000000E+00    5.4108526E+02    0.0000000E+00
    2.9700000E+00   -1.4978117E+00    0.0000000E+00    1.7038024E+00    5.1290858E-02    5.4835455E-01    7.5578055E+00    5.7891510E+01    5.4814307E-02    2.4368800E-05    0.0000000E+00    5.6692533E+00    5.3539996E+00    0.0000000E+00    0.0000000E+00    7.8272709E-01    0.0000000E+00    5.4108046E+02    0.0000000E+00
    3.1500000E+00   -1.4978086E+00    0.0000000E+00    1.7038632E+00    5.1349492E-02    5.4834587E-01    7.5577443E+00    5.7891540E+01    5.4943548E-02    2.4368603E-05    0.0000000E+00    5.6692075E+00    5.3539562E+00    0.0000000E+00    0.0000000E+00    7.8275546E-01    0.0000000E+00    5.4107609E+02    0.0000000E+00
    3.3300000E+00   -1.4978058E+00    0.0000000E+00    1.7039193E+00    5.1404819E-02    5.4833657E-01    7.5576883E+00    5.7891560E+01    5.5065486E-02    2.4368422E-05    0.0000000E+00    5.6691655E+00    5.3539165E+00    0.0000000E+00    0.0000000E+00    7.8278210E-01    0.0000000E+00    5.4107208E+02    0.0000000E+00
    3.5100000E+00   -1.4978034E+00    0.0000000E+00    1.7039714E+00    5.1457184E-02    5.4832689E-01    7.5576369E+00    5.7891572E+01    5.5180884E-02    2.4368257E-05    0.0000000E+00    5.6691269E+00    5.3538800E+00    0.0000000E+00    0.0000000E+00    7.8280720E-01    0.0000000E+00    5.4106840E+02    0.0000000E+00
    3.6900000E+00   -1.4978014E+00    0.0000000E+00    1.7040199E+00    5.1506880E-02    5.4831697E-01    7.5575895E+00    5.7891576E+01    5.5290389E-02    2.4368104E-05    0.0000000E+00    5.6690914E+00    5.3538464E+00    0.0000000E+00    0.0000000E+00    7.8283095E-01    0.0000000E+00    5.4106501E+02    0.0000000E+00
    3.8700000E+00   -1.4977996E+00    0.0000000E+00    1.7040652E+00    5.1554160E-02    5.4830695E-01    7.5575457E+00    5.7891575E+01    5.5394560E-02    2.4367963E-05    0.0000000E+00    5.6690586E+00    5.3538153E+00    0.0000000E+00    0.0000000E+00    7.8285349E-01    0.0000000E+00    5.4106188E+02    0.0000000E+00
    4.0500000E+00   -1.4977980E+00    0.0000000E+00    1.7041076E+00    5.1599242E-02    5.4829691E-01    7.5575052E+00    5.7891567E+01    5.5493880E-02    2.4367832E-05    0.0000000E+00    5.6690282E+00    5.3537866E+00    0.0000000E+00    0.0000000E+00    7.8287496E-01    0.0000000E+00    5.4105898E+02    0.0000000E+00
    4.2300000E+00   -1.4977967E+00    0.0000000E+00    1.7041474E+00    5.1642318E-02    5.4828692E-01    7.5574675E+00    5.7891555E+01    5.5588771E-02    2.4367711E-05    0.0000000E+00    5.6690000E+00    5.3537599E+00    0.0000000E+00    0.0000000E+00    7.8289547E-01    0.0000000E+00    5.4105628E+02    0.0000000E+00
    4.4100000E+00   -1.4977956E+00    0.0000000E+00    1.7041849E+00    5.1683554E-02    5.4827705E-01    7.5574325E+00    5.7891538E+01    5.5679602E-02    2.4367598E-05    0.0000000E+00    5.6689737E+00    5.3537351E+00    0.0000000E+00    0.0000000E+00    7.8291510E-01    0.0000000E+00    5.4105378E+02    0.0000000E+00
    4.5900000E+00   -1.4977946E+00    0.0000000E+00    1.7042203E+00    5.1723098E-02    5.4826733E-01    7.5573999E+00    5.7891518E+01    5.5766698E-02    2.4367493E-05    0.0000000E+00    5.6689492E+00    5.3537119E+00    0.0000000E+00    0.0000000E+00    7.8293393E-01    0.0000000E+00    5.4105144E+02    0.0000000E+00
    4.7700000E+00   -1.4977939E+00    0.0000000E+00    1.7042538E+00    5.1761079E-02    5.4825778E-01    7.5573694E+00    5.7891494E+01    5.5850345E-02    2.4367395E-05    0.0000000E+00    5.6689264E+00    5.3536903E+00    0.0000000E+00    0.0000000E+00    7.8295203E-01    0.0000000E+00    5.4104926E+02    0.0000000E+00
    4.9500000E+00   -1.4977932E+00    0.0000000E+00    1.7042855E+00    5.1797614E-02    5.4824843E-01    7.5573409E+00    5.7891467E+01    5.5930801E-02    2.4367303E-05    0.0000000E+00    5.6689050E+00    5.3536701E+00    0.0000000E+00    0.0000000E+00    7.8296947E-01    0.0000000E+00    5.4104722E+02    0.0000000E+00
    5.1300000E+00   -1.4977927E+00    0.0000000E+00    1.7043155E+00    5.1832805E-02    5.4823928E-01    7.5573143E+00    5.7891437E+01    5.6008292E-02    2.4367217E-05    0.0000000E+00    5.6688850E+00    5.3536512E+00    0.0000000E+00    0.0000000E+00    7.8298629E-01    0.0000000E+00    5.4104531E+02    0.0000000E+00
    5.3100000E+00   -1.4977924E+00    0.0000000E+00    1.7043441E+00    5.1866745E-02    5.4823037E-01    7.5572892E+00    5.7891405E+01    5.6083024E-02    2.4367136E-05    0.0000000E+00    5.6688662E+00    5.3536334E+00    0.0000000E+00    0.0000000E+00    7.8300254E-01    0.0000000E+00    5.4104352E+02    0.0000000E+00
    5.4900000E+00   -1.4977921E+00    0.0000000E+00    1.7043713E+00    5.1899518E-02    5.4822167E-01    7.5572657E+00    5.7891370E+01    5.6155179E-02    2.4367060E-05    0.0000000E+00    5.6688486E+00    5.3536168E+00    0.0000000E+00    0.0000000E+00    7.8301827E-01    0.0000000E+00    5.4104184E+02    0.0000000E+00
    5.6700000E+00   -1.4977920E+00    0.0000000E+00    1.7043973E+00    5.1931197E-02    5.4821321E-01    7.5572436E+00    5.7891334E+01    5.6224923E-02    2.4366989E-05    0.0000000E+00    5.6688320E+00    5.3536011E+00    0.0000000E+00    0.0000000E+00    7.8303350E-01    0.0000000E+00    5.4104025E+02    0.0000000E+00
    5.8500000E+00   -1.4977919E+00    0.0000000E+00    1.7044221E+00    5.1961851E-02    5.4820497E-01    7.5572228E+00    5.7891296E+01    5.6292405E-02    2.4366922E-05    0.0000000E+00    5.6688164E+00    5.3535863E+00    0.0000000E+00    0.0000000E+00    7.8304828E-01    0.0000000E+00    5.4103876E+02    0.0000000E+00
    6.0300000E+00   -1.4977920E+00    0.0000000E+00    1.7044457E+00    5.1991542E-02    5.4819696E-01    7.5572031E+00    5.7891256E+01    5.6357761E-02    2.4366858E-05    0.0000000E+00    5.6688017E+00    5.3535724E+00    0.0000000E+00    0.0000000E+00    7.8306263E-01    0.0000000E+00    5.4103736E+02    0.0000000E+00
    6.2100000E+00   -1.4977921E+00    0.0000000E+00    1.7044684E+00    5.2020324E-02    5.4818918E-01    7.5571846E+00    5.7891216E+01    5.6421114E-02    2.4366799E-05    0.0000000E+00    5.6687878E+00    5.3535593E+00    0.0000000E+00    0.0000000E+00    7.8307657E-01    0.0000000E+00    5.4103603E+02    0.0000000E+00
    6.3900000E+00   -1.4977922E+00    0.0000000E+00    1.7044901E+00    5.2048248E-02    5.4818162E-01    7.5571671E+00    5.7891174E+01    5.6482576E-02    2.4366742E-05    0.0000000E+00    5.6687746E+00    5.3535468E+00    0.0000000E+00    0.0000000E+00    7.8309014E-01    0.0000000E+00    5.4103478E+02    0.0000000E+00
