# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997841140027E-05   7.24994709010607E-05   3.48302562918282E-09   6.81012384130918E-06   4.31999959932841E-05   1.21002363824562E-05   8.78999553089486E-07   5.27999846623690E-09   5.96999119027011E+00   1.59221808678694E-03   3.43460876706559E-04
  2.00000E-09                2.88997804055519E-05   7.24994616443049E-05   3.48605256989428E-09   6.81012176867730E-06   4.31999919865679E-05   1.21002326723722E-05   8.78999106179962E-07   5.27999693247587E-09   5.96999061990728E+00   1.59221770555535E-03   3.43460876771814E-04
  3.00000E-09                2.88997766572003E-05   7.24994522646768E-05   3.48907819967908E-09   6.81011972368357E-06   4.31999879798721E-05   1.21002290155516E-05   8.78998659270740E-07   5.27999539871284E-09   5.96999028336096E+00   1.59221747282679E-03   3.43460876827069E-04
  4.00000E-09                2.88997728004300E-05   7.24994426055780E-05   3.49210382740655E-09   6.81011774497266E-06   4.31999839731773E-05   1.21002254862350E-05   8.78998212361995E-07   5.27999386495054E-09   5.96999007804166E+00   1.59221732685533E-03   3.43460876858905E-04
  5.00000E-09                2.88997688817477E-05   7.24994327868374E-05   3.49512945280381E-09   6.81011580413061E-06   4.31999799664834E-05   1.21002220297639E-05   8.78997765453629E-07   5.27999233118884E-09   5.96998994813854E+00   1.59221723073464E-03   3.43460876877361E-04
  7.00000E-09                2.88997609195095E-05   7.24994128307688E-05   3.50118462485418E-09   6.81011199851979E-06   4.31999719530924E-05   1.21002152631257E-05   8.78996871638499E-07   5.27998926366834E-09   5.96998980907123E+00   1.59221711908830E-03   3.43460876887476E-04
  1.10000E-08                2.88997449393886E-05   7.24993727692561E-05   3.51330276754224E-09   6.81010442292615E-06   4.31999559263096E-05   1.21002017983712E-05   8.78995084013434E-07   5.27998312863565E-09   5.96998965373902E+00   1.59221697555231E-03   3.43460876895149E-04
  1.90000E-08                2.88997129218621E-05   7.24992924984272E-05   3.53748655572528E-09   6.81008930695549E-06   4.31999238727458E-05   1.21001749365946E-05   8.78991508776260E-07   5.27997085859002E-09   5.96998941381361E+00   1.59221673518272E-03   3.43460876898081E-04
  3.50000E-08                2.88996488545370E-05   7.24991318754035E-05   3.58589534863127E-09   6.81005909507252E-06   4.31998597655277E-05   1.21001212515730E-05   8.78984358375295E-07   5.27994631862036E-09   5.96998895645067E+00   1.59221626986286E-03   3.43460876896986E-04
  6.70000E-08                2.88995207095011E-05   7.24988106036351E-05   3.68271040538620E-09   6.80999867875456E-06   4.31997315507576E-05   1.21000138957530E-05   8.78970057852181E-07   5.27989723913777E-09   5.96998804507904E+00   1.59221534163981E-03   3.43460876892416E-04
  1.31000E-07                2.88992644211472E-05   7.24981680644680E-05   3.87633209944569E-09   6.80987784973378E-06   4.31994751195654E-05   1.20997991906998E-05   8.78941457921154E-07   5.27979908199942E-09   5.96998622258821E+00   1.59221348542177E-03   3.43460876882893E-04
  2.59000E-07                2.88987518613990E-05   7.24968830286037E-05   4.26351829504394E-09   6.80963620314376E-06   4.31989622480398E-05   1.20993698009628E-05   8.78884262519537E-07   5.27960277502977E-09   5.96998257766907E+00   1.59220977312326E-03   3.43460876863828E-04
  5.15000E-07                2.88977268119531E-05   7.24943131321866E-05   5.03768828565788E-09   6.80915295471865E-06   4.31979364481417E-05   1.20985111009291E-05   8.78769889555092E-07   5.27921019031653E-09   5.96997528806442E+00   1.59220234902088E-03   3.43460876826035E-04
  1.02700E-06                2.88956769898637E-05   7.24891740323768E-05   6.58503136668077E-09   6.80818663956217E-06   4.31958844583110E-05   1.20967940237207E-05   8.78541214958007E-07   5.27842513777681E-09   5.96996070932913E+00   1.59218750259566E-03   3.43460876750960E-04
  2.05100E-06                2.88915784487542E-05   7.24788985946873E-05   9.67448289357396E-09   6.80625473382808E-06   4.31917776150001E-05   1.20933611568247E-05   8.78084150906841E-07   5.27685550010511E-09   5.96993155126077E+00   1.59215781528461E-03   3.43460876602870E-04
  4.09900E-06                2.88833857764319E-05   7.24583587630295E-05   1.58232045704992E-08   6.80239381759123E-06   4.31835427365714E-05   1.20865005675310E-05   8.77171161940824E-07   5.27371809327865E-09   5.96987321432300E+00   1.59209845114545E-03   3.43460876315134E-04
  8.19500E-06                2.88670179418844E-05   7.24173229638771E-05   2.79243742122393E-08   6.79468348990098E-06   4.31669114816664E-05   1.20727998308654E-05   8.75349729668326E-07   5.26745074479196E-09   5.96975631124056E+00   1.59197967204174E-03   3.43460875774864E-04
  1.63870E-05                2.88343512787836E-05   7.23354243210929E-05   5.07960999857597E-08   6.77930824385511E-06   4.31324758087040E-05   1.20454790355713E-05   8.71724968855010E-07   5.25494583744070E-09   5.96952058793524E+00   1.59174126947539E-03   3.43460874846486E-04
  3.27710E-05                2.87692883475612E-05   7.21723051332123E-05   8.89272032814423E-08   6.74873579463250E-06   4.30565243475900E-05   1.19911537285753E-05   8.64547304890821E-07   5.23005461558562E-09   5.96903693660412E+00   1.59125812425606E-03   3.43460873674127E-04
  6.55390E-05                2.86402402037616E-05   7.18487690146134E-05   1.35902430703593E-07   6.68829490092372E-06   4.28775140963616E-05   1.18837535517305E-05   8.50474924327865E-07   5.18074206093826E-09   5.96802309278233E+00   1.59026714590331E-03   3.43460874342467E-04
  1.31075E-04                2.83865345421602E-05   7.12126951963092E-05   1.72614762321776E-07   6.57023428459161E-06   4.24718297748275E-05   1.16739642386827E-05   8.23420413877676E-07   5.08396132128943E-09   5.96592395751914E+00   1.58825617996436E-03   3.43460886272170E-04
  2.62147E-04                2.78965179394980E-05   6.99840972050133E-05   1.93665119185724E-07   6.34512644202756E-06   4.16478177318508E-05   1.12739526723493E-05   7.73329345760902E-07   4.89750618402407E-09   5.96177281192640E+00   1.58432572989194E-03   3.43460934067679E-04
  5.24291E-04                2.69819771227381E-05   6.76908685254919E-05   2.12156121839857E-07   5.93542827038844E-06   4.01251137645555E-05   1.05459281636794E-05   6.86835858897525E-07   4.55100611388461E-09   5.95397051287039E+00   1.57702338975514E-03   3.43461063702974E-04
  1.04858E-03                2.53836278960660E-05   6.36821957692664E-05   2.42947403329621E-07   5.25214541028976E-06   3.75793509647686E-05   9.33175934332333E-06   5.54636951414636E-07   3.94966167788888E-09   5.94026340366000E+00   1.56447051900129E-03   3.43461348066994E-04
  2.09715E-03                2.29112261569183E-05   5.74792222908254E-05   2.99301019969850E-07   4.27732960604518E-06   3.39623561138699E-05   7.59957225468268E-06   3.88500941673527E-07   3.02789062840257E-09   5.91887425075519E+00   1.54560163570258E-03   3.43461873135182E-04
  4.19431E-03                1.98229851722132E-05   4.97262066724140E-05   3.87873176943267E-07   3.19978646404542E-06   3.00683153900580E-05   5.68487994043760E-06   2.31365750576314E-07   1.88231201747859E-09   5.89180554183364E+00   1.52287060666890E-03   3.43462670049057E-04
  7.75471E-03                1.72739668082263E-05   4.33185476782680E-05   4.76460292451402E-07   2.42721602167510E-06   2.75062062527270E-05   4.31209359512631E-06   1.35362623434779E-07   9.26031348050282E-10   5.86914586188256E+00   1.50457374279844E-03   3.43463592379870E-04
  1.37056E-02                1.57794407295414E-05   3.95458917810818E-05   5.31715934694814E-07   2.02274745383192E-06   2.64429775191700E-05   3.59335289126678E-06   9.37272954246333E-08   3.39856345872472E-10   5.85568605023213E+00   1.49361431670155E-03   3.43464274701104E-04
  2.28040E-02                1.52021942483942E-05   3.80607393623035E-05   5.51193441810349E-07   1.87454988486076E-06   2.62159559490318E-05   3.32990826124774E-06   8.17167780753170E-08   9.35015554995203E-11   5.85048384359588E+00   1.48876932863918E-03   3.43464628232666E-04
  3.36789E-02                1.50582268715307E-05   3.76544834748160E-05   5.55044802459181E-07   1.83621225417870E-06   2.62037749570356E-05   3.26163263732631E-06   7.93789975237053E-08   2.25546166688240E-11   5.84924566746384E+00   1.48695912207226E-03   3.43464745552741E-04
  4.61098E-02                1.50351115688055E-05   3.75447187090365E-05   5.55400688134087E-07   1.82734977790095E-06   2.62066425617399E-05   3.24570482695815E-06   7.89819110023386E-08   4.91721019922861E-12   5.84910248098768E+00   1.48608737726172E-03   3.43464764786172E-04
  6.13876E-02                1.50426299048991E-05   3.75002552766768E-05   5.55183402846379E-07   1.82530811787748E-06   2.62021185505407E-05   3.24185386400899E-06   7.89066290689874E-08   9.16499661861953E-13   5.84920984040854E+00   1.48546861525061E-03   3.43464756143745E-04
  8.19414E-02                1.50616583719622E-05   3.74636971777748E-05   5.54898890163868E-07   1.82483067427289E-06   2.61933275879185E-05   3.24070468028898E-06   7.88778886473773E-08   1.40770095199425E-13   5.84937138226272E+00   1.48490675659548E-03   3.43464736545031E-04
  1.10085E-01                1.50897753882259E-05   3.74205538583038E-05   5.54620029600716E-07   1.82484628167503E-06   2.61835471541267E-05   3.24032040405950E-06   7.88551676895112E-08   2.43471594164996E-14   5.84953830177755E+00   1.48436914792573E-03   3.43464708853852E-04
  1.47990E-01                1.51280003130850E-05   3.73663817405674E-05   5.54360711671767E-07   1.82524228907731E-06   2.61742791603002E-05   3.24046913513584E-06   7.88344959677782E-08   1.12037885804960E-14   5.84969489023048E+00   1.48386679457216E-03   3.43464672310480E-04
  1.98492E-01                1.51784035413046E-05   3.72980192372789E-05   5.54127922733226E-07   1.82612856144091E-06   2.61660103891779E-05   3.24130438064752E-06   7.88160595118264E-08   1.00775004163199E-14   5.84983517769162E+00   1.48341127753704E-03   3.43464622397423E-04
  2.67093E-01                1.52451279666791E-05   3.72097431424294E-05   5.53923834866239E-07   1.82775863579888E-06   2.61588127382695E-05   3.24319552879964E-06   7.87999437828995E-08   1.00037402524069E-14   5.84995787829367E+00   1.48300418510866E-03   3.43464546212639E-04
  3.64513E-01                1.53357263086201E-05   3.70908027251655E-05   5.53750406091204E-07   1.83066479563890E-06   2.61527189104853E-05   3.24692958646786E-06   7.87862222055246E-08   1.00001290771983E-14   5.85006206651100E+00   1.48264524660230E-03   3.43464413263425E-04
  5.59354E-01                1.55005736678202E-05   3.68719271880969E-05   5.53586505680864E-07   1.83822726503158E-06   2.61469823496935E-05   3.25749504525241E-06   7.87731775118904E-08   1.00000022686428E-14   5.85016077587331E+00   1.48228802827678E-03   3.43464056910368E-04
  9.49034E-01                1.57713603968715E-05   3.64800798499855E-05   5.53496145451779E-07   1.85760684494481E-06   2.61436993693957E-05   3.28611951118536E-06   7.87654718987774E-08   1.00000000201340E-14   5.85021623666582E+00   1.48201371559613E-03   3.43463181145796E-04
  1.72840E+00                1.61471442623243E-05   3.58096800855447E-05   5.53522287266040E-07   1.90755748504989E-06   2.61441831048935E-05   3.36289259855621E-06   7.87660861320590E-08   1.00000000000898E-14   5.85020313431238E+00   1.48184827226735E-03   3.43461477619414E-04
  2.72840E+00                1.64511799751074E-05   3.50423839893672E-05   5.53695455360013E-07   1.98290590395745E-06   2.61490512317109E-05   3.48057447831143E-06   7.87765683870159E-08   1.00000000000003E-14   5.85010441434253E+00   1.48174051767725E-03   3.43459700629885E-04
  3.72840E+00                1.66413125072482E-05   3.43231578727542E-05   5.53938910476574E-07   2.06670819387599E-06   2.61559474914880E-05   3.61222885235342E-06   7.87916505060525E-08   9.99999999999998E-15   5.84996460222193E+00   1.48164259643385E-03   3.43458330865889E-04
  4.72840E+00                1.67603056577157E-05   3.36353534940985E-05   5.54185932113528E-07   2.15811474636145E-06   2.61629529983552E-05   3.75622149640076E-06   7.88070179782434E-08   9.99999999999994E-15   5.84982244554319E+00   1.48155187208510E-03   3.43457294973375E-04
  5.72840E+00                1.68329118186433E-05   3.29618849019797E-05   5.54435677841711E-07   2.25576697578149E-06   2.61699949108224E-05   3.91006736251146E-06   7.88224928523871E-08   9.99999999999995E-15   5.84967951586695E+00   1.48146313510568E-03   3.43456514668603E-04
  6.72840E+00                1.68753373880479E-05   3.22920762144121E-05   5.54687301888232E-07   2.35868182422583E-06   2.61770591489849E-05   4.07197315527629E-06   7.88380123141502E-08   9.99999999999994E-15   5.84953630144388E+00   1.48137506638414E-03   3.43455927265757E-04
  7.72840E+00                1.68982150895801E-05   3.16194478873151E-05   5.54940507167397E-07   2.46612158390521E-06   2.61841459382953E-05   4.24059860361151E-06   7.88535560282264E-08   9.99999999999997E-15   5.84939296130426E+00   1.48128731146722E-03   3.43455484405576E-04
  8.72840E+00                1.69085091498833E-05   3.09402924115023E-05   5.55195147375694E-07   2.57750601531941E-06   2.61912576511912E-05   4.41489610674385E-06   7.88691154214978E-08   9.99999999999998E-15   5.84924956307983E+00   1.48119976272197E-03   3.43455149542486E-04
  9.72840E+00                1.69107647595696E-05   3.02527512551865E-05   5.55451120541704E-07   2.69235372193828E-06   2.61983962111501E-05   4.59400434863152E-06   7.88846855456972E-08   9.99999999999994E-15   5.84910614522537E+00   1.48111237950042E-03   3.43454895263619E-04
