# Time          5.0000E+01
# Units: Weight % Mineral
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    2.6555527E+01    1.2277661E+01    9.7719587E-02    3.2855481E-01    0.0000000E+00    8.1684545E+00    1.0917193E+00    1.5858981E+01    1.9410965E+00    8.6932668E+00    1.6066582E+01    8.8776123E+00    1.0790893E-06    4.2821918E-02    1.1571934E-06    1.0460117E-06
    2.7000000E-01    2.6563187E+01    1.2284827E+01    9.8555215E-02    3.2868759E-01    0.0000000E+00    8.1326389E+00    1.0920342E+00    1.5863556E+01    1.9417476E+00    8.7002271E+00    1.6071217E+01    8.8804856E+00    1.0794009E-06    4.2834270E-02    1.1575272E-06    1.0463134E-06
    4.5000000E-01    2.6562872E+01    1.2287848E+01    9.9288869E-02    3.2871996E-01    0.0000000E+00    8.1325607E+00    1.0920212E+00    1.5863367E+01    1.9418311E+00    8.6969519E+00    1.6071025E+01    8.8806770E+00    1.0793885E-06    4.2833761E-02    1.1575134E-06    1.0463010E-06
    6.3000000E-01    2.6562425E+01    1.2290398E+01    9.9951507E-02    3.2874990E-01    0.0000000E+00    8.1324407E+00    1.0920028E+00    1.5863099E+01    1.9419325E+00    8.6946025E+00    1.6070755E+01    8.8808063E+00    1.0793709E-06    4.2833039E-02    1.1574939E-06    1.0462834E-06
    8.1000000E-01    2.6561929E+01    1.2292578E+01    1.0055046E-01    3.2877909E-01    0.0000000E+00    8.1323037E+00    1.0919824E+00    1.5862803E+01    1.9420552E+00    8.6928287E+00    1.6070454E+01    8.8809008E+00    1.0793513E-06    4.2832238E-02    1.1574723E-06    1.0462638E-06
    9.9000000E-01    2.6561450E+01    1.2294477E+01    1.0109494E-01    3.2880875E-01    0.0000000E+00    8.1321692E+00    1.0919627E+00    1.5862517E+01    1.9421978E+00    8.6913393E+00    1.6070165E+01    8.8809838E+00    1.0793326E-06    4.2831466E-02    1.1574514E-06    1.0462449E-06
    1.1700000E+00    2.6561004E+01    1.2296153E+01    1.0159305E-01    3.2883918E-01    0.0000000E+00    8.1320418E+00    1.0919444E+00    1.5862250E+01    1.9423555E+00    8.6900291E+00    1.6069894E+01    8.8810615E+00    1.0793153E-06    4.2830746E-02    1.1574319E-06    1.0462274E-06
    1.3500000E+00    2.6560591E+01    1.2297647E+01    1.0205152E-01    3.2887038E-01    0.0000000E+00    8.1319219E+00    1.0919274E+00    1.5862004E+01    1.9425234E+00    8.6888506E+00    1.6069644E+01    8.8811358E+00    1.0792994E-06    4.2830080E-02    1.1574139E-06    1.0462111E-06
    1.5300000E+00    2.6560209E+01    1.2298989E+01    1.0247592E-01    3.2890219E-01    0.0000000E+00    8.1318091E+00    1.0919117E+00    1.5861776E+01    1.9426973E+00    8.6877769E+00    1.6069414E+01    8.8812069E+00    1.0792849E-06    4.2829465E-02    1.1573973E-06    1.0461960E-06
    1.7100000E+00    2.6559855E+01    1.2300204E+01    1.0287090E-01    3.2893441E-01    0.0000000E+00    8.1317029E+00    1.0918972E+00    1.5861565E+01    1.9428736E+00    8.6867904E+00    1.6069200E+01    8.8812749E+00    1.0792717E-06    4.2828894E-02    1.1573819E-06    1.0461821E-06
