# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.8037E+00
  2.7000E-01    5.8341E+00
  4.5000E-01    5.8629E+00
  6.3000E-01    5.8897E+00
  8.1000E-01    5.9148E+00
  9.9000E-01    5.9383E+00
  1.1700E+00    5.9603E+00
  1.3500E+00    5.9812E+00
  1.5300E+00    6.0009E+00
  1.7100E+00    6.0196E+00
  1.8900E+00    6.0375E+00
  2.0700E+00    6.0559E+00
  2.2500E+00    6.0733E+00
  2.4300E+00    6.0899E+00
  2.6100E+00    6.1057E+00
  2.7900E+00    6.1209E+00
  2.9700E+00    6.1355E+00
  3.1500E+00    6.1496E+00
  3.3300E+00    6.1631E+00
  3.5100E+00    6.1762E+00
  3.6900E+00    6.1888E+00
  3.8700E+00    6.2011E+00
  4.0500E+00    6.2130E+00
  4.2300E+00    6.2245E+00
  4.4100E+00    6.2357E+00
  4.5900E+00    6.2466E+00
  4.7700E+00    6.2572E+00
  4.9500E+00    6.2676E+00
  5.1300E+00    6.2777E+00
  5.3100E+00    6.2876E+00
  5.4900E+00    6.2972E+00
  5.6700E+00    6.3067E+00
  5.8500E+00    6.3159E+00
  6.0300E+00    6.3249E+00
  6.2100E+00    6.3338E+00
  6.3900E+00    6.3425E+00
  6.5700E+00    6.3511E+00
  6.7500E+00    6.3594E+00
  6.9300E+00    6.3677E+00
  7.1100E+00    6.3758E+00
  7.2900E+00    6.3837E+00
  7.4700E+00    6.3916E+00
  7.6500E+00    6.3993E+00
  7.8300E+00    6.4069E+00
  8.0100E+00    6.4144E+00
  8.1900E+00    6.4218E+00
  8.3700E+00    6.4292E+00
  8.5500E+00    6.4364E+00
  8.7300E+00    6.4436E+00
  8.9100E+00    6.4506E+00
  9.0900E+00    6.4576E+00
  9.2700E+00    6.4644E+00
  9.4500E+00    6.4711E+00
  9.6300E+00    6.4778E+00
  9.8100E+00    6.4844E+00
  9.9900E+00    6.4908E+00
  1.0170E+01    6.4972E+00
  1.0350E+01    6.5035E+00
  1.0530E+01    6.5097E+00
  1.0710E+01    6.5158E+00
  1.0890E+01    6.5218E+00
  1.1070E+01    6.5277E+00
  1.1250E+01    6.5335E+00
  1.1430E+01    6.5391E+00
  1.1610E+01    6.5446E+00
  1.1790E+01    6.5500E+00
  1.1970E+01    6.5552E+00
  1.2150E+01    6.5602E+00
  1.2330E+01    6.5649E+00
  1.2510E+01    6.5681E+00
  1.2690E+01    6.5713E+00
  1.2870E+01    6.5745E+00
  1.3050E+01    6.5777E+00
  1.3230E+01    6.5808E+00
  1.3410E+01    6.5840E+00
  1.3590E+01    6.5871E+00
  1.3770E+01    6.5902E+00
  1.3950E+01    6.5933E+00
  1.4130E+01    6.5963E+00
  1.4310E+01    6.5994E+00
  1.4490E+01    6.6024E+00
  1.4670E+01    6.6054E+00
  1.4850E+01    6.6084E+00
  1.5030E+01    6.6114E+00
  1.5210E+01    6.6143E+00
  1.5390E+01    6.6172E+00
  1.5570E+01    6.6201E+00
  1.5750E+01    6.6230E+00
  1.5930E+01    6.6258E+00
  1.6110E+01    6.6286E+00
  1.6290E+01    6.6314E+00
  1.6470E+01    6.6341E+00
  1.6650E+01    6.6367E+00
  1.6830E+01    6.6393E+00
  1.7010E+01    6.6418E+00
  1.7190E+01    6.6442E+00
  1.7370E+01    6.6465E+00
  1.7550E+01    6.6486E+00
  1.7730E+01    6.6506E+00
  1.7910E+01    6.6523E+00
