# Time          5.0000E+01
# Units:           Transport Porosity  Mineral Porosity
    9.0000000E-02    1.0016668E-01    1.0016668E-01
    2.7000000E-01    1.0040125E-01    1.0040125E-01
    4.5000000E-01    1.0039199E-01    1.0039199E-01
    6.3000000E-01    1.0037879E-01    1.0037879E-01
    8.1000000E-01    1.0036191E-01    1.0036191E-01
    9.9000000E-01    1.0034439E-01    1.0034439E-01
    1.1700000E+00    1.0032721E-01    1.0032721E-01
    1.3500000E+00    1.0031066E-01    1.0031066E-01
    1.5300000E+00    1.0029481E-01    1.0029481E-01
    1.7100000E+00    1.0027968E-01    1.0027968E-01
    1.8900000E+00    1.0026525E-01    1.0026525E-01
    2.0700000E+00    1.0132173E-01    1.0132173E-01
    2.2500000E+00    1.0130011E-01    1.0130011E-01
    2.4300000E+00    1.0128152E-01    1.0128152E-01
    2.6100000E+00    1.0126427E-01    1.0126427E-01
    2.7900000E+00    1.0124824E-01    1.0124824E-01
    2.9700000E+00    1.0123332E-01    1.0123332E-01
    3.1500000E+00    1.0121944E-01    1.0121944E-01
    3.3300000E+00    1.0120651E-01    1.0120651E-01
    3.5100000E+00    1.0119447E-01    1.0119447E-01
    3.6900000E+00    1.0118323E-01    1.0118323E-01
    3.8700000E+00    1.0117275E-01    1.0117275E-01
    4.0500000E+00    1.0116297E-01    1.0116297E-01
    4.2300000E+00    1.0115383E-01    1.0115383E-01
    4.4100000E+00    1.0114528E-01    1.0114528E-01
    4.5900000E+00    1.0113729E-01    1.0113729E-01
    4.7700000E+00    1.0112981E-01    1.0112981E-01
    4.9500000E+00    1.0112280E-01    1.0112280E-01
    5.1300000E+00    1.0111623E-01    1.0111623E-01
    5.3100000E+00    1.0111006E-01    1.0111006E-01
    5.4900000E+00    1.0110428E-01    1.0110428E-01
    5.6700000E+00    1.0109885E-01    1.0109885E-01
    5.8500000E+00    1.0109375E-01    1.0109375E-01
    6.0300000E+00    1.0108896E-01    1.0108896E-01
    6.2100000E+00    1.0108444E-01    1.0108444E-01
    6.3900000E+00    1.0108020E-01    1.0108020E-01
    6.5700000E+00    1.0107620E-01    1.0107620E-01
    6.7500000E+00    1.0107244E-01    1.0107244E-01
    6.9300000E+00    1.0106889E-01    1.0106889E-01
    7.1100000E+00    1.0106554E-01    1.0106554E-01
    7.2900000E+00    1.0106238E-01    1.0106238E-01
    7.4700000E+00    1.0105940E-01    1.0105940E-01
    7.6500000E+00    1.0105659E-01    1.0105659E-01
    7.8300000E+00    1.0105393E-01    1.0105393E-01
    8.0100000E+00    1.0105142E-01    1.0105142E-01
    8.1900000E+00    9.9984871E-02    9.9984871E-02
    8.3700000E+00    9.9981291E-02    9.9981291E-02
    8.5500000E+00    9.9977957E-02    9.9977957E-02
    8.7300000E+00    9.9974834E-02    9.9974834E-02
    8.9100000E+00    9.9971901E-02    9.9971901E-02
    9.0900000E+00    9.9969140E-02    9.9969140E-02
    9.2700000E+00    9.9966539E-02    9.9966539E-02
    9.4500000E+00    9.9964086E-02    9.9964086E-02
    9.6300000E+00    9.9961774E-02    9.9961774E-02
    9.8100000E+00    9.9959592E-02    9.9959592E-02
    9.9900000E+00    9.9957536E-02    9.9957536E-02
    1.0170000E+01    9.9955596E-02    9.9955596E-02
    1.0350000E+01    9.9953768E-02    9.9953768E-02
