# Time          5.0000E+01
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    2.3399998E+01    1.0953095E+01    7.9536705E-02    2.9954198E-01    0.0000000E+00    6.1334489E+00    9.0000000E-01    1.1499870E+01    5.8995953E+00    7.8193815E+00    1.2899928E+01    9.9990038E+00    9.2924626E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    2.7000000E-01    2.3399998E+01    1.0955950E+01    8.0112893E-02    2.9957212E-01    0.0000000E+00    6.1000454E+00    9.0000000E-01    1.1499870E+01    5.8998192E+00    7.8253366E+00    1.2899928E+01    9.9993093E+00    9.2924654E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    4.5000000E-01    2.3399999E+01    1.0958501E+01    8.0646122E-02    2.9960093E-01    0.0000000E+00    6.1000576E+00    9.0000000E-01    1.1499870E+01    5.9000719E+00    7.8225920E+00    1.2899928E+01    9.9996026E+00    9.2924686E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    6.3000000E-01    2.3399999E+01    1.0960769E+01    8.1136630E-02    2.9962902E-01    0.0000000E+00    6.1000694E+00    9.0000000E-01    1.1499870E+01    5.9003856E+00    7.8205197E+00    1.2899928E+01    9.9998819E+00    9.2924724E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    8.1000000E-01    2.3400000E+01    1.0962783E+01    8.1585953E-02    2.9965680E-01    0.0000000E+00    6.1000801E+00    9.0000000E-01    1.1499870E+01    5.9007635E+00    7.8190633E+00    1.2899928E+01    1.0000146E+01    9.2924767E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    9.9000000E-01    2.3400000E+01    1.0964579E+01    8.1998603E-02    2.9968459E-01    0.0000000E+00    6.1000894E+00    9.0000000E-01    1.1499870E+01    5.9011931E+00    7.8178911E+00    1.2899928E+01    1.0000394E+01    9.2924815E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.1700000E+00    2.3400000E+01    1.0966191E+01    8.2379270E-02    2.9971256E-01    0.0000000E+00    6.1000971E+00    9.0000000E-01    1.1499870E+01    5.9016617E+00    7.8168784E+00    1.2899928E+01    1.0000628E+01    9.2924869E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.3500000E+00    2.3400000E+01    1.0967647E+01    8.2732134E-02    2.9974078E-01    0.0000000E+00    6.1001032E+00    9.0000000E-01    1.1499870E+01    5.9021583E+00    7.8159735E+00    1.2899928E+01    1.0000849E+01    9.2924929E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.5300000E+00    2.3400000E+01    1.0968971E+01    8.3060798E-02    2.9976925E-01    0.0000000E+00    6.1001077E+00    9.0000000E-01    1.1499870E+01    5.9026732E+00    7.8151501E+00    1.2899928E+01    1.0001057E+01    9.2924995E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.7100000E+00    2.3400000E+01    1.0970181E+01    8.3368360E-02    2.9979788E-01    0.0000000E+00    6.1001107E+00    9.0000000E-01    1.1499870E+01    5.9031981E+00    7.8143922E+00    1.2899928E+01    1.0001253E+01    9.2925067E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
