# Time          5.0000E+01
# Units: Mol/kgw/yr
    Distance        CH2O_decomp      FeII_oxidation_a
    9.0000000E-02    1.8324081E-12    6.5356912E-06
    2.7000000E-01    1.8340973E-12    8.6988339E-06
    4.5000000E-01    1.8357859E-12    1.0889007E-05
    6.3000000E-01    1.8374737E-12    1.3078085E-05
    8.1000000E-01    1.8391608E-12    1.5212939E-05
    9.9000000E-01    1.8408474E-12    1.7246435E-05
    1.1700000E+00    1.8425334E-12    1.9140688E-05
    1.3500000E+00    1.8442189E-12    2.0867009E-05
    1.5300000E+00    1.8459039E-12    2.2405828E-05
    1.7100000E+00    1.8475884E-12    2.3746442E-05
    1.8900000E+00    1.8492996E-12    2.4886389E-05
    2.0700000E+00    1.9544636E-12    2.5374686E-05
    2.2500000E+00    2.0596195E-12    2.5679573E-05
    2.4300000E+00    2.1647668E-12    2.5832552E-05
    2.6100000E+00    2.2699056E-12    2.5856651E-05
    2.7900000E+00    2.3750358E-12    2.5775412E-05
    2.9700000E+00    2.4801571E-12    2.5611831E-05
    3.1500000E+00    2.5852697E-12    2.5387376E-05
    3.3300000E+00    2.6903733E-12    2.5121293E-05
    3.5100000E+00    2.7954680E-12    2.4830176E-05
    3.6900000E+00    2.9005535E-12    2.4527779E-05
    3.8700000E+00    3.0056299E-12    2.4225034E-05
    4.0500000E+00    3.1106970E-12    2.3930219E-05
    4.2300000E+00    3.2157546E-12    2.3649231E-05
    4.4100000E+00    3.3208028E-12    2.3385929E-05
    4.5900000E+00    3.4258414E-12    2.3142495E-05
    4.7700000E+00    3.5308704E-12    2.2919793E-05
    4.9500000E+00    3.6358894E-12    2.2717698E-05
    5.1300000E+00    3.7408986E-12    2.2535395E-05
    5.3100000E+00    3.8458978E-12    2.2371613E-05
    5.4900000E+00    3.9508868E-12    2.2224825E-05
    5.6700000E+00    4.0558655E-12    2.2093396E-05
    5.8500000E+00    4.1608339E-12    2.1975690E-05
    6.0300000E+00    4.2657917E-12    2.1870139E-05
    6.2100000E+00    4.3707390E-12    2.1775294E-05
    6.3900000E+00    4.4756755E-12    2.1689842E-05
    6.5700000E+00    4.5806011E-12    2.1612618E-05
    6.7500000E+00    4.6855158E-12    2.1542602E-05
    6.9300000E+00    4.7904193E-12    2.1478908E-05
    7.1100000E+00    4.8953115E-12    2.1420777E-05
    7.2900000E+00    5.0001924E-12    2.1367556E-05
    7.4700000E+00    5.1050618E-12    2.1318690E-05
    7.6500000E+00    5.2099195E-12    2.1273708E-05
    7.8300000E+00    5.3147654E-12    2.1232211E-05
    8.0100000E+00    5.4195721E-12    2.1193980E-05
    8.1900000E+00    5.4210616E-12    2.1963660E-05
    8.3700000E+00    5.4225472E-12    2.2401359E-05
    8.5500000E+00    5.4240304E-12    2.2641289E-05
    8.7300000E+00    5.4255114E-12    2.2765571E-05
    8.9100000E+00    5.4269900E-12    2.2823401E-05
    9.0900000E+00    5.4284663E-12    2.2843825E-05
    9.2700000E+00    5.4299402E-12    2.2843741E-05
    9.4500000E+00    5.4314117E-12    2.2832824E-05
    9.6300000E+00    5.4328808E-12    2.2816519E-05
    9.8100000E+00    5.4343474E-12    2.2797828E-05
    9.9900000E+00    5.4358115E-12    2.2778362E-05
    1.0170000E+01    5.4372730E-12    2.2758951E-05
    1.0350000E+01    5.4387321E-12    2.2739991E-05
    1.0530000E+01    5.4401885E-12    2.2721639E-05
    1.0710000E+01    5.4416423E-12    2.2703917E-05
    1.0890000E+01    5.4430934E-12    2.2686772E-05
    1.1070000E+01    5.4445419E-12    2.2670097E-05
    1.1250000E+01    5.4459877E-12    2.2653744E-05
    1.1430000E+01    5.4474307E-12    2.2637520E-05
    1.1610000E+01    5.4488709E-12    2.2621181E-05
    1.1790000E+01    5.4503082E-12    2.2604415E-05
    1.1970000E+01    5.4517428E-12    2.2586816E-05
    1.2150000E+01    5.4531744E-12    2.2567853E-05
    1.2330000E+01    5.4546031E-12    2.2548306E-05
    1.2510000E+01    5.4560307E-12    3.5779753E-05
