# Time          5.0000E+01
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    7.0649995E+01    2.9264985E+01    2.2090993E-03    2.6692281E-01    0.0000000E+00    4.0154526E-01    8.8660000E-01    2.5649807E+01    1.5083869E+00    3.3453141E+00    1.9683779E+01    6.2149423E+02    7.5544732E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    2.7000000E-01    7.0649996E+01    2.9268756E+01    2.2168983E-03    2.6693577E-01    0.0000000E+00    3.9842856E-01    8.8660000E-01    2.5649807E+01    1.5084223E+00    3.3500499E+00    1.9683779E+01    6.2150791E+02    7.5544747E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    4.5000000E-01    7.0649996E+01    2.9272207E+01    2.2242084E-03    2.6694809E-01    0.0000000E+00    3.9842913E-01    8.8660000E-01    2.5649807E+01    1.5084603E+00    3.3493474E+00    1.9683779E+01    6.2152105E+02    7.5544763E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    6.3000000E-01    7.0649997E+01    2.9275428E+01    2.2311920E-03    2.6696018E-01    0.0000000E+00    3.9842971E-01    8.8660000E-01    2.5649807E+01    1.5085035E+00    3.3483361E+00    1.9683779E+01    6.2153395E+02    7.5544782E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    8.1000000E-01    7.0649998E+01    2.9278399E+01    2.2377806E-03    2.6697205E-01    0.0000000E+00    3.9843027E-01    8.8660000E-01    2.5649807E+01    1.5085560E+00    3.3476429E+00    1.9683779E+01    6.2154644E+02    7.5544802E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    9.9000000E-01    7.0649999E+01    2.9281129E+01    2.2439680E-03    2.6698378E-01    0.0000000E+00    3.9843081E-01    8.8660000E-01    2.5649807E+01    1.5086176E+00    3.3471334E+00    1.9683779E+01    6.2155844E+02    7.5544825E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.1700000E+00    7.0649999E+01    2.9283642E+01    2.2497796E-03    2.6699546E-01    0.0000000E+00    3.9843131E-01    8.8660000E-01    2.5649807E+01    1.5086870E+00    3.3467174E+00    1.9683779E+01    6.2156995E+02    7.5544849E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.3500000E+00    7.0650000E+01    2.9285961E+01    2.2552496E-03    2.6700713E-01    0.0000000E+00    3.9843176E-01    8.8660000E-01    2.5649807E+01    1.5087631E+00    3.3463559E+00    1.9683779E+01    6.2158098E+02    7.5544876E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.5300000E+00    7.0650000E+01    2.9288109E+01    2.2604127E-03    2.6701885E-01    0.0000000E+00    3.9843216E-01    8.8660000E-01    2.5649807E+01    1.5088445E+00    3.3460310E+00    1.9683779E+01    6.2159155E+02    7.5544905E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.7100000E+00    7.0650000E+01    2.9290107E+01    2.2653024E-03    2.6703065E-01    0.0000000E+00    3.9843250E-01    8.8660000E-01    2.5649807E+01    1.5089303E+00    3.3457330E+00    1.9683779E+01    6.2160167E+02    7.5544936E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
