# Time          5.0000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -7.0318247E-13   -3.0250948E-09   -1.8820753E-09   -2.7283841E-11    0.0000000E+00    8.8144706E-09    0.0000000E+00   -7.7461188E-12   -5.6452703E-12    1.0066991E-09   -3.2666945E-12   -2.3734687E-10   -1.1713896E-14   -4.4979051E-13    0.0000000E+00    1.3455490E-24
    2.7000000E-01   -5.9423722E-13   -2.8978864E-09   -1.8491746E-09   -2.6101045E-11    0.0000000E+00    7.0526912E-12    0.0000000E+00   -7.7461188E-12   -4.4156646E-12    1.7164097E-09   -3.2666945E-12   -1.8903461E-10   -1.1713852E-14   -4.4979051E-13    0.0000000E+00    1.0186597E-24
    4.5000000E-01   -4.8933474E-13   -2.7806951E-09   -1.8179433E-09   -2.5001806E-11    0.0000000E+00    8.6237919E-12    0.0000000E+00   -7.7461188E-12   -3.3447451E-12    1.6170412E-09   -3.2666945E-12   -1.4251316E-10   -1.1713803E-14   -4.4979051E-13    0.0000000E+00    7.0249853E-25
    6.3000000E-01   -3.8619676E-13   -2.6704912E-09   -1.7877111E-09   -2.3954055E-11    0.0000000E+00    1.0225575E-11    0.0000000E+00   -7.7461188E-12   -2.2006732E-12    1.4703000E-09   -3.2666945E-12   -9.6772330E-11   -1.1713749E-14   -4.4979051E-13    0.0000000E+00    5.2057140E-25
    8.1000000E-01   -2.8617440E-13   -2.5682155E-09   -1.7588645E-09   -2.2959914E-11    0.0000000E+00    1.1786934E-11    0.0000000E+00   -7.7461188E-12   -7.6571548E-13    1.3702154E-09   -3.2666945E-12   -5.2411463E-11   -1.1713691E-14   -4.4979051E-13    0.0000000E+00    4.1268173E-25
    9.9000000E-01   -1.8985768E-13   -2.4737318E-09   -1.7315029E-09   -2.2010999E-11    0.0000000E+00    1.3273507E-11    0.0000000E+00   -7.7461188E-12    1.0302111E-12    1.2971440E-09   -3.2666945E-12   -9.6924236E-12   -1.1713629E-14   -4.4979051E-13    0.0000000E+00    3.4217361E-25
    1.1700000E+00   -9.7351253E-14   -2.3864037E-09   -1.7055711E-09   -2.1093775E-11    0.0000000E+00    1.4657750E-11    0.0000000E+00   -7.7461188E-12    3.2184415E-12    1.2376846E-09   -3.2666945E-12    3.1338173E-11   -1.1713563E-14   -4.4979051E-13    0.0000000E+00    2.9241230E-25
    1.3500000E+00   -8.5785560E-15   -2.3054894E-09   -1.6809634E-09   -2.0194052E-11    0.0000000E+00    1.5918794E-11    0.0000000E+00   -7.7461188E-12    5.8088253E-12    1.1860415E-09   -3.2666945E-12    7.0714105E-11   -1.1713495E-14   -4.4979051E-13    0.0000000E+00    2.5534659E-25
    1.5300000E+00    0.0000000E+00   -2.2302695E-09   -1.6575606E-09   -1.9299264E-11    0.0000000E+00    1.7042414E-11    0.0000000E+00   -7.7461188E-12    8.7875757E-12    1.1395303E-09   -3.2666945E-12    1.0849726E-10   -1.1713424E-14   -4.4979051E-13    0.0000000E+00    2.2663135E-25
    1.7100000E+00    0.0000000E+00   -2.1600784E-09   -1.6352414E-09   -1.8399570E-11    0.0000000E+00    1.8020857E-11    0.0000000E+00   -7.7461188E-12    1.2119740E-11    1.0967246E-09   -3.2666945E-12    1.4475657E-10   -1.1713350E-14   -4.4979051E-13    0.0000000E+00    2.0370789E-25
    1.8900000E+00    0.0000000E+00   -2.0943026E-09   -1.6138840E-09   -1.7488182E-11    0.0000000E+00    1.8852391E-11    0.0000000E+00   -7.7461188E-12    1.5755925E-11    1.0567742E-09   -3.2666945E-12    1.7956459E-10   -1.1713273E-14   -4.4979051E-13    0.0000000E+00    1.8496652E-25
    2.0700000E+00    0.0000000E+00   -2.9298788E-09   -1.5916244E-09   -2.2231239E-11    0.0000000E+00    1.9166198E-11    0.0000000E+00   -7.0032162E-12    4.2812865E-11    1.4278820E-09   -2.0511803E-12    2.0585330E-10   -1.1713177E-14   -2.6987431E-11    0.0000000E+00    2.2041391E-25
    2.2500000E+00    0.0000000E+00   -2.8403327E-09   -1.5706432E-09   -2.0974412E-11    0.0000000E+00    1.9387720E-11    0.0000000E+00   -7.0032162E-12    4.9637605E-11    1.3909616E-09   -2.0511803E-12    2.4803251E-10   -1.1713075E-14   -2.6987431E-11    0.0000000E+00    1.9932821E-25
    2.4300000E+00    0.0000000E+00   -2.7568135E-09   -1.5506842E-09   -1.9785251E-11    0.0000000E+00    1.9497713E-11    0.0000000E+00   -7.0032162E-12    5.5648648E-11    1.3401174E-09   -2.0511803E-12    2.8854028E-10   -1.1712967E-14   -2.6987431E-11    0.0000000E+00    1.8094989E-25
    2.6100000E+00    0.0000000E+00   -2.6786935E-09   -1.5316602E-09   -1.8645035E-11    0.0000000E+00    1.9512622E-11    0.0000000E+00   -7.0032162E-12    6.1501357E-11    1.2923045E-09   -2.0511803E-12    3.2747346E-10   -1.1712853E-14   -2.6987431E-11    0.0000000E+00    1.6562929E-25
    2.7900000E+00    0.0000000E+00   -2.6054384E-09   -1.5134952E-09   -1.7551906E-11    0.0000000E+00    1.9449861E-11    0.0000000E+00   -7.0032162E-12    6.7192585E-11    1.2474872E-09   -2.0511803E-12    3.6491632E-10   -1.1712732E-14   -2.6987431E-11    0.0000000E+00    1.5267810E-25
    2.9700000E+00    0.0000000E+00   -2.5365823E-09   -1.4961216E-09   -1.6504472E-11    0.0000000E+00    1.9326439E-11    0.0000000E+00   -7.0032162E-12    7.2707535E-11    1.2053492E-09   -2.0511803E-12    4.0094693E-10   -1.1712606E-14   -2.6987431E-11    0.0000000E+00    1.4158654E-25
    3.1500000E+00    0.0000000E+00   -2.4717172E-09   -1.4794790E-09   -1.5501373E-11    0.0000000E+00    1.9158227E-11    0.0000000E+00   -7.0032162E-12    7.8035186E-11    1.1656279E-09   -2.0511803E-12    4.3563761E-10   -1.1712472E-14   -2.6987431E-11    0.0000000E+00    1.3198119E-25
    3.3300000E+00    0.0000000E+00   -2.4104847E-09   -1.4635131E-09   -1.4541267E-11    0.0000000E+00    1.8959442E-11    0.0000000E+00   -7.0032162E-12    8.3167862E-11    1.1281043E-09   -2.0511803E-12    4.6905538E-10   -1.1712333E-14   -2.6987431E-11    0.0000000E+00    1.2358250E-25
    3.5100000E+00    0.0000000E+00   -2.3525690E-09   -1.4481752E-09   -1.3622795E-11    0.0000000E+00    1.8742336E-11    0.0000000E+00   -7.0032162E-12    8.8100617E-11    1.0925918E-09   -2.0511803E-12    5.0126240E-10   -1.1712187E-14   -2.6987431E-11    0.0000000E+00    1.1617695E-25
    3.6900000E+00    0.0000000E+00   -2.2976905E-09   -1.4334213E-09   -1.2744641E-11    0.0000000E+00    1.8517062E-11    0.0000000E+00   -7.0032162E-12    9.2830743E-11    1.0589291E-09   -2.0511803E-12    5.3231638E-10   -1.1712035E-14   -2.6987431E-11    0.0000000E+00    1.0959871E-25
    3.8700000E+00    0.0000000E+00   -2.2456008E-09   -1.4192118E-09   -1.1905546E-11    0.0000000E+00    1.8291680E-11    0.0000000E+00   -7.0032162E-12    9.7357368E-11    1.0269751E-09   -2.0511803E-12    5.6227101E-10   -1.1711876E-14   -2.6987431E-11    0.0000000E+00    1.0371698E-25
    4.0500000E+00    0.0000000E+00   -2.1960787E-09   -1.4055109E-09   -1.1104262E-11    0.0000000E+00    1.8072290E-11    0.0000000E+00   -7.0032162E-12    1.0168111E-10    9.9660485E-10   -2.0511803E-12    5.9117633E-10   -1.1711711E-14   -2.6987431E-11    0.0000000E+00    9.8427226E-26
    4.2300000E+00    0.0000000E+00   -2.1489261E-09   -1.3922859E-09   -1.0339551E-11    0.0000000E+00    1.7863234E-11    0.0000000E+00   -7.0032162E-12    1.0580383E-10    9.6770687E-10   -2.0511803E-12    6.1907900E-10   -1.1711540E-14   -2.6987431E-11    0.0000000E+00    9.3644872E-26
    4.4100000E+00    0.0000000E+00   -2.1039657E-09   -1.3795070E-09   -9.6101841E-12    0.0000000E+00    1.7667349E-11    0.0000000E+00   -7.0032162E-12    1.0972833E-10    9.4018114E-10   -2.0511803E-12    6.4602269E-10   -1.1711362E-14   -2.6987431E-11    0.0000000E+00    8.9300762E-26
    4.5900000E+00    0.0000000E+00   -2.0610376E-09   -1.3671470E-09   -8.9149485E-12    0.0000000E+00    1.7486234E-11    0.0000000E+00   -7.0032162E-12    1.1345827E-10    9.1393724E-10   -2.0511803E-12    6.7204826E-10   -1.1711177E-14   -2.6987431E-11    0.0000000E+00    8.5337795E-26
    4.7700000E+00    0.0000000E+00   -2.0199976E-09   -1.3551813E-09   -8.2526486E-12    0.0000000E+00    1.7320515E-11    0.0000000E+00   -7.0032162E-12    1.1699788E-10    8.8889313E-10   -2.0511802E-12    6.9719404E-10   -1.1710986E-14   -2.6987431E-11    0.0000000E+00    8.1708400E-26
    4.9500000E+00    0.0000000E+00   -1.9807152E-09   -1.3435870E-09   -7.6221072E-12    0.0000000E+00    1.7170093E-11    0.0000000E+00   -7.0032162E-12    1.2035193E-10    8.6497395E-10   -2.0511802E-12    7.2149604E-10   -1.1710789E-14   -2.6987431E-11    0.0000000E+00    7.8372629E-26
    5.1300000E+00    0.0000000E+00   -1.9430721E-09   -1.3323430E-09   -7.0221689E-12    0.0000000E+00    1.7034355E-11    0.0000000E+00   -7.0032162E-12    1.2352554E-10    8.4211120E-10   -2.0511802E-12    7.4498814E-10   -1.1710584E-14   -2.6987431E-11    0.0000000E+00    7.5296684E-26
    5.3100000E+00    0.0000000E+00   -1.9069604E-09   -1.3214303E-09   -6.4517000E-12    0.0000000E+00    1.6912356E-11    0.0000000E+00   -7.0032162E-12    1.2652412E-10    8.2024198E-10   -2.0511802E-12    7.6770225E-10   -1.1710374E-14   -2.6987431E-11    0.0000000E+00    7.2451774E-26
    5.4900000E+00    0.0000000E+00   -1.8722820E-09   -1.3108308E-09   -5.9095924E-12    0.0000000E+00    1.6802964E-11    0.0000000E+00   -7.0032162E-12    1.2935325E-10    7.9930833E-10   -2.0511802E-12    7.8966847E-10   -1.1710156E-14   -2.6987431E-11    0.0000000E+00    6.9813223E-26
    5.6700000E+00    0.0000000E+00   -1.8389470E-09   -1.3005281E-09   -5.3947625E-12    0.0000000E+00    1.6704966E-11    0.0000000E+00   -7.0032162E-12    1.3201868E-10    7.7925672E-10   -2.0511802E-12    8.1091523E-10   -1.1709932E-14   -2.6987431E-11    0.0000000E+00    6.7359755E-26
