# Time series at grid cell: 100   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                1.58993076169168E-05   2.07991082682506E-05   1.72801644280068E-12   4.91997974941831E-05   3.87000004770730E-05   1.25000995629959E-04   9.20985527478802E-07   1.35000004040097E-06   7.11997574593712E+00   7.17822105490428E-03   3.43217569558097E-04
  2.00000E-09                1.58993075328158E-05   2.07991081607938E-05   1.92655590860953E-12   4.91997977315018E-05   3.87000009541459E-05   1.25000996554079E-04   9.20971055299613E-07   1.35000008080195E-06   7.11997573744708E+00   7.17822103545562E-03   3.43217569418811E-04
  3.00000E-09                1.58993075818546E-05   2.07991082237819E-05   2.11348503580103E-12   4.91997980182152E-05   3.87000014312187E-05   1.25000997277116E-04   9.20956583235496E-07   1.35000012120292E-06   7.11997573368062E+00   7.17822101635031E-03   3.43217569378014E-04
  4.00000E-09                1.58993076309056E-05   2.07991082867865E-05   2.30060437688210E-12   4.91997983049980E-05   3.87000019082914E-05   1.25000998000326E-04   9.20942111399520E-07   1.35000016160389E-06   7.11997572991471E+00   7.17822099725152E-03   3.43217569337220E-04
  5.00000E-09                1.58993076799573E-05   2.07991083497924E-05   2.48786635578264E-12   4.91997985917891E-05   3.87000023853639E-05   1.25000998723557E-04   9.20927639791899E-07   1.35000020200486E-06   7.11997572614886E+00   7.17822097815311E-03   3.43217569296425E-04
  7.00000E-09                1.58993077760618E-05   2.07991084732426E-05   2.88589790382292E-12   4.91997991644895E-05   3.87000033395083E-05   1.25001000172628E-04   9.20898697831125E-07   1.35000028280682E-06   7.11997571854773E+00   7.17822093995337E-03   3.43217569213376E-04
  1.10000E-08                1.58993079682646E-05   2.07991087201343E-05   3.71622291166893E-12   4.91998003098519E-05   3.87000052477949E-05   1.25001003070674E-04   9.20840818244889E-07   1.35000044441075E-06   7.11997570334650E+00   7.17822086355960E-03   3.43217569047290E-04
  1.90000E-08                1.58993083526944E-05   2.07991092139507E-05   5.12500609894516E-12   4.91998026007371E-05   3.87000090643591E-05   1.25001008867174E-04   9.20725069136446E-07   1.35000076761844E-06   7.11997567294811E+00   7.17822071078975E-03   3.43217568715157E-04
  3.50000E-08                1.58993091215375E-05   2.07991102015584E-05   8.18259215970905E-12   4.91998071824013E-05   3.87000166974517E-05   1.25001020459911E-04   9.20493632988189E-07   1.35000141403397E-06   7.11997561216764E+00   7.17822040533647E-03   3.43217568051057E-04
  6.70000E-08                1.58993106592267E-05   2.07991121767690E-05   1.41381314069576E-11   4.91998163457612E-05   3.87000319634932E-05   1.25001043645486E-04   9.20030994296236E-07   1.35000270686502E-06   7.11997549067191E+00   7.17821979476469E-03   3.43217566723517E-04
  1.31000E-07                1.58993137345968E-05   2.07991161271428E-05   2.61748070725487E-11   4.91998346724738E-05   3.87000624950001E-05   1.25001090016710E-04   9.19106650386517E-07   1.35000529252710E-06   7.11997524794103E+00   7.17821857495932E-03   3.43217564071074E-04
  2.59000E-07                1.58993198852904E-05   2.07991240276824E-05   5.02522565554950E-11   4.91998713257859E-05   3.87001235556981E-05   1.25001182759236E-04   9.17261688926053E-07   1.35001046385119E-06   7.11997476351939E+00   7.17821614069021E-03   3.43217558776717E-04
  5.15000E-07                1.58993321864437E-05   2.07991398278682E-05   9.84084528285375E-11   4.91999446316516E-05   3.87002456677308E-05   1.25001368243820E-04   9.13586611382804E-07   1.35002080649902E-06   7.11997379881993E+00   7.17821129343249E-03   3.43217548229949E-04
  1.02700E-06                1.58993567879079E-05   2.07991714248111E-05   1.94710332904942E-10   4.92000912409870E-05   3.87004898535158E-05   1.25001739212715E-04   9.06295361205093E-07   1.35004149179342E-06   7.11997188586292E+00   7.17820168335649E-03   3.43217527302837E-04
  2.05100E-06                1.58994059873615E-05   2.07992346049860E-05   3.86931655342319E-10   4.92003844496639E-05   3.87009780649723E-05   1.25002481148179E-04   8.91944728505205E-07   1.35008286237716E-06   7.11996812466728E+00   7.17818279558742E-03   3.43217486103662E-04
  4.09900E-06                1.58995043719485E-05   2.07993609110583E-05   7.71381715156442E-10   4.92009708263551E-05   3.87019537882178E-05   1.25003965006595E-04   8.64141860618009E-07   1.35016560352503E-06   7.11996085302024E+00   7.17814630793499E-03   3.43217406242935E-04
  8.19500E-06                1.58997010808047E-05   2.07996133104667E-05   1.53863802825764E-09   4.92021434118365E-05   3.87039019256502E-05   1.25006932648672E-04   8.11911293053041E-07   1.35033108574704E-06   7.11994725163929E+00   7.17807817131772E-03   3.43217256051793E-04
