# Time          5.0000E+01
# Units: Mol/kgw/yr
    Distance        CH2O_decomp      FeII_oxidation_a
    9.0000000E-02    1.8415414E-12    1.4593336E-05
    2.7000000E-01    1.8523497E-12    2.2175751E-05
    4.5000000E-01    1.8631593E-12    2.5635300E-05
    6.3000000E-01    1.8739692E-12    2.6327875E-05
    8.1000000E-01    1.8847790E-12    2.5909460E-05
    9.9000000E-01    1.8955884E-12    2.5306046E-05
    1.1700000E+00    1.9063972E-12    2.4822591E-05
    1.3500000E+00    1.9172052E-12    2.4488407E-05
    1.5300000E+00    1.9280122E-12    2.4262845E-05
    1.7100000E+00    1.9388200E-12    2.4106699E-05
    1.8900000E+00    1.9506845E-12    2.3993815E-05
    2.0700000E+00    2.6079132E-12    2.1245993E-05
    2.2500000E+00    3.2650354E-12    2.0787862E-05
    2.4300000E+00    3.9220560E-12    2.0687763E-05
    2.6100000E+00    4.5789756E-12    2.0644429E-05
    2.7900000E+00    5.2357948E-12    2.0614034E-05
    2.9700000E+00    5.8925138E-12    2.0589646E-05
    3.1500000E+00    6.5491332E-12    2.0569440E-05
    3.3300000E+00    7.2056532E-12    2.0552464E-05
    3.5100000E+00    7.8620743E-12    2.0538052E-05
    3.6900000E+00    8.5183968E-12    2.0525704E-05
    3.8700000E+00    9.1746209E-12    2.0515039E-05
    4.0500000E+00    9.8307469E-12    2.0505760E-05
    4.2300000E+00    1.0486775E-11    2.0497633E-05
    4.4100000E+00    1.1142706E-11    2.0490470E-05
    4.5900000E+00    1.1798539E-11    2.0484122E-05
    4.7700000E+00    1.2454276E-11    2.0478468E-05
    4.9500000E+00    1.3109915E-11    2.0473406E-05
    5.1300000E+00    1.3765458E-11    2.0468856E-05
    5.3100000E+00    1.4420904E-11    2.0464748E-05
    5.4900000E+00    1.5076255E-11    2.0461026E-05
    5.6700000E+00    1.5731509E-11    2.0457640E-05
    5.8500000E+00    1.6386667E-11    2.0454550E-05
    6.0300000E+00    1.7041730E-11    2.0451721E-05
    6.2100000E+00    1.7696697E-11    2.0449124E-05
    6.3900000E+00    1.8351569E-11    2.0446733E-05
    6.5700000E+00    1.9006346E-11    2.0444525E-05
    6.7500000E+00    1.9661027E-11    2.0442482E-05
    6.9300000E+00    2.0315614E-11    2.0440587E-05
    7.1100000E+00    2.0970106E-11    2.0438825E-05
    7.2900000E+00    2.1624504E-11    2.0437183E-05
    7.4700000E+00    2.2278807E-11    2.0435651E-05
    7.6500000E+00    2.2933016E-11    2.0434217E-05
    7.8300000E+00    2.3587128E-11    2.0432874E-05
    8.0100000E+00    2.4240087E-11    2.0431664E-05
    8.1900000E+00    2.4249236E-11    2.2220553E-05
    8.3700000E+00    2.4258374E-11    2.2252111E-05
    8.5500000E+00    2.4267512E-11    2.2251372E-05
    8.7300000E+00    2.4276651E-11    2.2250138E-05
    8.9100000E+00    2.4285791E-11    2.2248963E-05
    9.0900000E+00    2.4294931E-11    2.2247852E-05
    9.2700000E+00    2.4304072E-11    2.2246801E-05
    9.4500000E+00    2.4313213E-11    2.2245806E-05
    9.6300000E+00    2.4322355E-11    2.2244862E-05
    9.8100000E+00    2.4331497E-11    2.2243966E-05
    9.9900000E+00    2.4340639E-11    2.2243115E-05
    1.0170000E+01    2.4349782E-11    2.2242306E-05
    1.0350000E+01    2.4358925E-11    2.2241535E-05
    1.0530000E+01    2.4368069E-11    2.2240800E-05
    1.0710000E+01    2.4377213E-11    2.2240099E-05
    1.0890000E+01    2.4386359E-11    2.2239430E-05
    1.1070000E+01    2.4395505E-11    2.2238789E-05
    1.1250000E+01    2.4404652E-11    2.2238176E-05
    1.1430000E+01    2.4413801E-11    2.2237588E-05
    1.1610000E+01    2.4422953E-11    2.2237024E-05
    1.1790000E+01    2.4432108E-11    2.2236480E-05
    1.1970000E+01    2.4441266E-11    2.2235957E-05
    1.2150000E+01    2.4450429E-11    2.2235451E-05
    1.2330000E+01    2.4459597E-11    2.2235236E-05
    1.2510000E+01    2.4468792E-11    4.5535989E-05
    1.2690000E+01    2.4478029E-11    4.5709552E-05
    1.2870000E+01    2.4487319E-11    4.5709330E-05
    1.3050000E+01    2.4496664E-11    4.5707877E-05
    1.3230000E+01    2.4506063E-11    4.5706463E-05
    1.3410000E+01    2.4515517E-11    4.5705094E-05
    1.3590000E+01    2.4525024E-11    4.5703771E-05
    1.3770000E+01    2.4534587E-11    4.5702493E-05
    1.3950000E+01    2.4544203E-11    4.5701261E-05
    1.4130000E+01    2.4553874E-11    4.5700074E-05
    1.4310000E+01    2.4563599E-11    4.5698932E-05
    1.4490000E+01    2.4573378E-11    4.5697834E-05
    1.4670000E+01    2.4583211E-11    4.5696781E-05
    1.4850000E+01    2.4593096E-11    4.5695772E-05
    1.5030000E+01    2.4603035E-11    4.5694808E-05
    1.5210000E+01    2.4613027E-11    4.5693888E-05
    1.5390000E+01    2.4623071E-11    4.5693012E-05
    1.5570000E+01    2.4633167E-11    4.5692178E-05
    1.5750000E+01    2.4643316E-11    4.5691389E-05
    1.5930000E+01    2.4653516E-11    4.5690642E-05
    1.6110000E+01    2.4663769E-11    4.5689937E-05
    1.6290000E+01    2.4674073E-11    4.5689275E-05
    1.6470000E+01    2.4684429E-11    4.5688654E-05
    1.6650000E+01    2.4694838E-11    4.5688074E-05
    1.6830000E+01    2.4705299E-11    4.5687534E-05
    1.7010000E+01    2.4715812E-11    4.5687035E-05
    1.7190000E+01    2.4726378E-11    4.5686575E-05
    1.7370000E+01    2.4736997E-11    4.5686154E-05
    1.7550000E+01    2.4747669E-11    4.5685770E-05
    1.7730000E+01    2.4758394E-11    4.5685423E-05
    1.7910000E+01    2.4769156E-11    4.5685112E-05
