# Time series at grid cell: 100   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                1.58993076169157E-05   2.07991082682492E-05   1.72801644280068E-12   4.91997974941762E-05   3.87000004770730E-05   1.25000995629942E-04   9.20985527478802E-07   1.35000004040097E-06   7.11997574593712E+00   7.17822105490428E-03   3.43217569558097E-04
  2.00000E-09                1.58993075328126E-05   2.07991081607893E-05   1.92655590860952E-12   4.91997977314808E-05   3.87000009541459E-05   1.25000996554026E-04   9.20971055299613E-07   1.35000008080195E-06   7.11997573744708E+00   7.17822103545562E-03   3.43217569418811E-04
  3.00000E-09                1.58993075818556E-05   2.07991082237833E-05   2.11348503580102E-12   4.91997980182218E-05   3.87000014312187E-05   1.25000997277133E-04   9.20956583235497E-07   1.35000012120292E-06   7.11997573368062E+00   7.17822101635030E-03   3.43217569378014E-04
  4.00000E-09                1.58993076308930E-05   2.07991082867693E-05   2.30060437688210E-12   4.91997983049161E-05   3.87000019082914E-05   1.25000998000117E-04   9.20942111399519E-07   1.35000016160389E-06   7.11997572991471E+00   7.17822099725152E-03   3.43217569337220E-04
  5.00000E-09                1.58993076799311E-05   2.07991083497564E-05   2.48786635578262E-12   4.91997985916175E-05   3.87000023853639E-05   1.25000998723121E-04   9.20927639791898E-07   1.35000020200486E-06   7.11997572614886E+00   7.17822097815312E-03   3.43217569296425E-04
  7.00000E-09                1.58993077760381E-05   2.07991084732100E-05   2.88589790382295E-12   4.91997991643342E-05   3.87000033395083E-05   1.25001000172233E-04   9.20898697831124E-07   1.35000028280682E-06   7.11997571854774E+00   7.17822093995339E-03   3.43217569213376E-04
  1.10000E-08                1.58993079682453E-05   2.07991087201078E-05   3.71622291166892E-12   4.91998003097258E-05   3.87000052477949E-05   1.25001003070353E-04   9.20840818244890E-07   1.35000044441075E-06   7.11997570334650E+00   7.17822086355962E-03   3.43217569047290E-04
  1.90000E-08                1.58993083526716E-05   2.07991092139193E-05   5.12500609894519E-12   4.91998026005874E-05   3.87000090643591E-05   1.25001008866794E-04   9.20725069136447E-07   1.35000076761844E-06   7.11997567294812E+00   7.17822071078978E-03   3.43217568715157E-04
  3.50000E-08                1.58993091215185E-05   2.07991102015322E-05   8.18259215970899E-12   4.91998071822764E-05   3.87000166974517E-05   1.25001020459593E-04   9.20493632988186E-07   1.35000141403397E-06   7.11997561216765E+00   7.17822040533646E-03   3.43217568051057E-04
  6.70000E-08                1.58993106592157E-05   2.07991121767539E-05   1.43691628153477E-11   4.91998163456890E-05   3.87000319634932E-05   1.25001043645302E-04   9.20030994296246E-07   1.35000270686502E-06   7.11997549067192E+00   7.17821979476472E-03   3.43217566723517E-04
  1.31000E-07                1.58993137345851E-05   2.07991161271266E-05   2.68471953965181E-11   4.91998346723977E-05   3.87000624950004E-05   1.25001090016516E-04   9.19106650386636E-07   1.35000529252710E-06   7.11997524794103E+00   7.17821857495936E-03   3.43217564071074E-04
  2.59000E-07                1.58993198852778E-05   2.07991240276651E-05   5.19074616451589E-11   4.91998713257068E-05   3.87001235557003E-05   1.25001182759036E-04   9.17261688927921E-07   1.35001046385119E-06   7.11997476351938E+00   7.17821614069022E-03   3.43217558776717E-04
  5.15000E-07                1.58993321864329E-05   2.07991398278536E-05   9.84451765849348E-11   4.91999446315935E-05   3.87002456677224E-05   1.25001368243677E-04   9.13586611382807E-07   1.35002080649902E-06   7.11997379881987E+00   7.17821129343252E-03   3.43217548229947E-04
  1.02700E-06                1.58993567878862E-05   2.07991714247813E-05   1.94747008875095E-10   4.92000912408570E-05   3.87004898534924E-05   1.25001739212389E-04   9.06295361205102E-07   1.35004149179342E-06   7.11997188586285E+00   7.17820168335655E-03   3.43217527302836E-04
  2.05100E-06                1.58994059873273E-05   2.07992346049390E-05   3.87291515529296E-10   4.92003844494525E-05   3.87009780649517E-05   1.25002481147646E-04   8.91944728505214E-07   1.35008286237716E-06   7.11996812466722E+00   7.17818279558746E-03   3.43217486103661E-04
  4.09900E-06                1.58995043719211E-05   2.07993609110206E-05   7.72083622014064E-10   4.92009708261876E-05   3.87019537883996E-05   1.25003965006173E-04   8.64141860618032E-07   1.35016560352503E-06   7.11996085302018E+00   7.17814630793490E-03   3.43217406242934E-04
  8.19500E-06                1.58997010807826E-05   2.07996133104369E-05   1.54002131947577E-09   4.92021434117044E-05   3.87039019280984E-05   1.25006932648340E-04   8.11911293054450E-07   1.35033108574704E-06   7.11994725163922E+00   7.17807817131654E-03   3.43217256051792E-04
  1.63870E-05                1.59000942331332E-05   2.08001172851581E-05   3.06267949363189E-09   4.92044878446684E-05   3.87077805223792E-05   1.25012867379440E-04   7.19404001673695E-07   1.35066204992902E-06   7.11992338424046E+00   7.17795903755815E-03   3.43216989400200E-04
  3.27710E-05                1.59008793429621E-05   2.08011221344694E-05   6.04067313184458E-09   4.92091733074845E-05   3.87154345170955E-05   1.25024732879183E-04   5.72377226347787E-07   1.35132397745391E-06   7.11988624580384E+00   7.17777525516210E-03   3.43216563143801E-04
  6.55390E-05                1.59024441219637E-05   2.08031204817805E-05   1.15198930078005E-08   4.92185268616636E-05   3.87301002423566E-05   1.25048434642988E-04   3.78481613903418E-07   1.35264783025029E-06   7.11983990296991E+00   7.17755148802462E-03   3.43215992104386E-04
  1.31075E-04                1.59055514227869E-05   2.08070786253806E-05   1.98451014793216E-08   4.92371504616799E-05   3.87560374742080E-05   1.25095665369795E-04   1.87704522125224E-07   1.35529553116793E-06   7.11980221154714E+00   7.17738763336375E-03   3.43215400694555E-04
  2.62147E-04                1.59117035920055E-05   2.08148975957780E-05   2.81663293186076E-08   4.92741418197915E-05   3.87973304128354E-05   1.25189554368446E-04   6.32075810092140E-08   1.36059092563252E-06   7.11979875891253E+00   7.17743240993287E-03   3.43214928580214E-04
  5.24291E-04                1.59239120691762E-05   2.08303936415727E-05   3.27483810051391E-08   4.93477487054696E-05   3.88645941812623E-05   1.25376478342861E-04   1.46643011925273E-08   1.37118170274009E-06   7.11984798274374E+00   7.17781503352766E-03   3.43214526501698E-04
  1.04858E-03                1.59482365316024E-05   2.08612528193438E-05   3.39816061910490E-08   4.94946930160003E-05   3.89887548148688E-05   1.25749719461050E-04   4.17557712407544E-09   1.39236322449174E-06   7.11997045912399E+00   7.17870800818533E-03   3.43213946266928E-04
  2.09715E-03                1.59967511242091E-05   2.09227789153510E-05   3.39126728670146E-08   4.97884111379445E-05   3.92324668676774E-05   1.26495800707673E-04   2.97649197725269E-09   1.43472614616903E-06   7.12022061723010E+00   7.18052276590192E-03   3.43212832275732E-04
  4.19431E-03                1.60933409547363E-05   2.10451992974749E-05   3.33806697524350E-08   5.03754759437844E-05   3.97138248730038E-05   1.27987022058708E-04   2.90113051312644E-09   1.51945150320397E-06   7.12072093483117E+00   7.18415286924899E-03   3.43210608770952E-04
  8.26678E-03                1.62792723758000E-05   2.12805733273834E-05   3.23740476509569E-08   5.15141562672114E-05   4.06280266796424E-05   1.30879451487575E-04   2.88909931919839E-09   1.68397856037338E-06   7.12168963954762E+00   7.19119139617029E-03   3.43206276645931E-04
  1.51265E-02                1.65876738114932E-05   2.16701593870699E-05   3.08323132038679E-08   5.34284111162892E-05   4.21116483840980E-05   1.35742381951209E-04   2.87248764131120E-09   1.96110507698727E-06   7.12330929593784E+00   7.20301439574034E-03   3.43198850281508E-04
  2.64314E-02                1.70840943058290E-05   2.22950699725263E-05   2.86410195473430E-08   5.65736168680519E-05   4.44160935097412E-05   1.43732453570459E-04   2.84559821863074E-09   2.41769895833080E-06   7.12594833032884E+00   7.22208960676620E-03   3.43186593224495E-04
  4.37503E-02                1.78245939265137E-05   2.32227549381550E-05   2.57614397761949E-08   6.14135398036770E-05   4.78487212543781E-05   1.56028368117800E-04   2.81152833453773E-09   3.11226075287919E-06   7.12911154816151E+00   7.23794189965137E-03   3.43167743633764E-04
  6.28421E-02                1.86490481546805E-05   2.42522141369257E-05   2.25351400875806E-08   6.70271120396206E-05   5.23714130123877E-05   1.70292650765560E-04   2.80582984821452E-09   3.85251108385850E-06   7.12850131075431E+00   7.19512491070787E-03   3.43146513719478E-04
  8.48137E-02                1.97244930454478E-05   2.55978223594303E-05   1.80209175057499E-08   7.47073978090496E-05   6.04528150403793E-05   1.89796535072227E-04   2.89045383462823E-09   4.62179273865321E-06   7.11634124730273E+00   6.98136799534213E-03   3.43124852197979E-04
  1.13659E-01                2.16069991707974E-05   2.79624458784033E-05   1.17277252969385E-08   8.91296661994313E-05   7.82002216850316E-05   2.26385428143910E-04   3.24227851997727E-09   5.39709195771049E-06   7.07397228337289E+00   6.36500704047467E-03   3.43103300578035E-04
  1.54408E-01                2.51641769318547E-05   3.23840961535741E-05   6.14167665228050E-09   1.19353080392420E-04   1.10886810470285E-04   3.02965668854630E-04   4.26250559975203E-09   6.01545735963699E-06   6.97841072263669E+00   5.21827901355548E-03   3.43084891352088E-04
  2.11061E-01                3.04443701419500E-05   3.86441362432144E-05   3.54437360831135E-09   1.69452977942490E-04   1.47463482607694E-04   4.29687737383107E-04   6.29360696780381E-09   6.33023146109155E-06   6.84935748265685E+00   4.01573628404412E-03   3.43067688535587E-04
  2.88381E-01                3.63823989040343E-05   4.49840509877517E-05   2.93288918156596E-09   2.29375292505292E-04   1.64338922913174E-04   5.81079015815402E-04   7.95114409845772E-09   6.41767272571984E-06   6.77150345748815E+00   3.35800825043629E-03   3.43029176557143E-04
  3.95509E-01                4.18985386111102E-05   4.99001138406821E-05   3.03297436995642E-09   2.83492101263956E-04   1.55053358803084E-04   7.17908035427559E-04   7.04779621958571E-09   6.42252333678120E-06   6.79693622434965E+00   3.27208759646832E-03   3.42948205571364E-04
  5.51491E-01                4.72604091987163E-05   5.27384697506893E-05   3.57799914243021E-09   3.19330021786649E-04   1.34989736452482E-04   8.08622167880007E-04   5.16659465343957E-09   6.41534278642589E-06   6.87438094292113E+00   3.39291170399603E-03   3.42825677607795E-04
  8.63455E-01                6.51014316995491E-05   5.32301323973931E-05   4.49208559572001E-09   3.28743943358392E-04   1.16240599910793E-04   8.31821670398061E-04   3.42333020714895E-09   6.40904524215291E-06   6.97012458885470E+00   3.37897708249842E-03   3.42640721605803E-04
  1.48738E+00                1.23253038882147E-04   5.15375864660673E-05   5.61920514918065E-09   3.12038159628830E-04   1.04224782353872E-04   7.87652327966451E-04   2.09804156250239E-09   6.40356124222273E-06   7.07575711034612E+00   3.16408886145438E-03   3.42386152658980E-04
  2.48738E+00                1.97648702902651E-04   4.95318066611206E-05   6.65440490470081E-09   2.92372189195687E-04   9.78251738326948E-05   7.34904110200563E-04   1.37787086605166E-09   6.39818019630831E-06   7.16546871264878E+00   2.97638904889629E-03   3.42111052867670E-04
  3.48738E+00                2.47222079044876E-04   4.83040951139949E-05   7.20253296362008E-09   2.81726221154429E-04   9.53187421574531E-05   7.05212178103762E-04   1.12389392669847E-09   6.39423563862681E-06   7.20916330694407E+00   2.89639200380320E-03   3.41910649793376E-04
