# Time          5.0000E+01
# Units: Weight % Mineral
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    2.6560225E+01    1.2287552E+01    9.9500068E-02    3.2869962E-01    0.0000000E+00    8.1419564E+00    1.0919124E+00    1.5861786E+01    1.9416928E+00    8.6945120E+00    1.6069424E+01    8.8799066E+00    1.0792814E-06    4.2829492E-02    1.1573981E-06    1.0461967E-06
    2.7000000E-01    2.6561112E+01    1.2295576E+01    1.0142534E-01    3.2883370E-01    0.0000000E+00    8.1320604E+00    1.0919488E+00    1.5862315E+01    1.9423725E+00    8.6904937E+00    1.6069960E+01    8.8810681E+00    1.0793200E-06    4.2830921E-02    1.1574367E-06    1.0462316E-06
    4.5000000E-01    2.6559844E+01    1.2300117E+01    1.0284699E-01    3.2894634E-01    0.0000000E+00    8.1316899E+00    1.0918967E+00    1.5861558E+01    1.9429954E+00    8.6867425E+00    1.6069193E+01    8.8813387E+00    1.0792724E-06    4.2828876E-02    1.1573814E-06    1.0461817E-06
    6.3000000E-01    2.6558847E+01    1.2303377E+01    1.0396243E-01    3.2905421E-01    0.0000000E+00    8.1313878E+00    1.0918557E+00    1.5860962E+01    1.9436182E+00    8.6839471E+00    1.6068590E+01    8.8815683E+00    1.0792370E-06    4.2827268E-02    1.1573380E-06    1.0461424E-06
    8.1000000E-01    2.6558061E+01    1.2305858E+01    1.0487374E-01    3.2908309E-01    0.0000000E+00    8.1311444E+00    1.0918234E+00    1.5860493E+01    1.9441737E+00    8.6817817E+00    1.6068114E+01    8.8817655E+00    1.0792117E-06    4.2826000E-02    1.1573037E-06    1.0461114E-06
    9.9000000E-01    2.6557423E+01    1.2307824E+01    1.0564055E-01    3.2907549E-01    0.0000000E+00    8.1309459E+00    1.0917972E+00    1.5860112E+01    1.9446338E+00    8.6800611E+00    1.6067728E+01    8.8819306E+00    1.0791938E-06    4.2824972E-02    1.1572759E-06    1.0460863E-06
    1.1700000E+00    2.6556893E+01    1.2309428E+01    1.0630028E-01    3.2906892E-01    0.0000000E+00    8.1307810E+00    1.0917754E+00    1.5859795E+01    1.9449928E+00    8.6786662E+00    1.6067407E+01    8.8820648E+00    1.0791818E-06    4.2824117E-02    1.1572528E-06    1.0460654E-06
    1.3500000E+00    2.6556445E+01    1.2310768E+01    1.0687793E-01    3.2906337E-01    0.0000000E+00    8.1306422E+00    1.0917570E+00    1.5859528E+01    1.9452606E+00    8.6775239E+00    1.6067136E+01    8.8821711E+00    1.0791748E-06    4.2823395E-02    1.1572333E-06    1.0460478E-06
    1.5300000E+00    2.6556063E+01    1.2311909E+01    1.0739091E-01    3.2905863E-01    0.0000000E+00    8.1305239E+00    1.0917412E+00    1.5859299E+01    1.9454513E+00    8.6765799E+00    1.6066905E+01    8.8822528E+00    1.0791721E-06    4.2822778E-02    1.1572166E-06    1.0460327E-06
    1.7100000E+00    2.6555732E+01    1.2312895E+01    1.0785178E-01    3.2905454E-01    0.0000000E+00    8.1304220E+00    1.0917277E+00    1.5859102E+01    1.9455790E+00    8.6757928E+00    1.6066705E+01    8.8823128E+00    1.0791731E-06    4.2822245E-02    1.1572022E-06    1.0460197E-06
