# Time          5.0000E+01
# Units: Mole component in mineral/m^3 porous medium
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -3.4414096E+04    0.0000000E+00    1.1860689E+03    3.5779371E+01    3.4783710E+02    6.4809214E+03    2.3630528E+04    2.5179226E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9630837E+03    0.0000000E+00    0.0000000E+00    1.1088145E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    2.7000000E-01   -3.4409123E+04    0.0000000E+00    1.1867463E+03    3.6022543E+01    3.4786985E+02    6.4809164E+03    2.3632280E+04    2.5665570E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608640E+03    0.0000000E+00    0.0000000E+00    1.1090670E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    4.5000000E-01   -3.4410264E+04    0.0000000E+00    1.1872027E+03    3.6203036E+01    3.4790670E+02    6.4808805E+03    2.3633500E+04    2.6026556E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608679E+03    0.0000000E+00    0.0000000E+00    1.1092584E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    6.3000000E-01   -3.4411196E+04    0.0000000E+00    1.1875338E+03    3.6344665E+01    3.4794215E+02    6.4808725E+03    2.3634444E+04    2.6309814E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608686E+03    0.0000000E+00    0.0000000E+00    1.1094106E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    8.1000000E-01   -3.4411947E+04    0.0000000E+00    1.1877870E+03    3.6460370E+01    3.4796775E+02    6.4808698E+03    2.3635177E+04    2.6541224E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608680E+03    0.0000000E+00    0.0000000E+00    1.1095356E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    9.9000000E-01   -3.4412565E+04    0.0000000E+00    1.1879883E+03    3.6557721E+01    3.4798625E+02    6.4808686E+03    2.3635763E+04    2.6735926E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608673E+03    0.0000000E+00    0.0000000E+00    1.1096406E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.1700000E+00   -3.4413088E+04    0.0000000E+00    1.1881529E+03    3.6641472E+01    3.4800076E+02    6.4808679E+03    2.3636241E+04    2.6903430E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608668E+03    0.0000000E+00    0.0000000E+00    1.1097304E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.3500000E+00   -3.4413537E+04    0.0000000E+00    1.1882906E+03    3.6714798E+01    3.4801173E+02    6.4808676E+03    2.3636638E+04    2.7050081E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608664E+03    0.0000000E+00    0.0000000E+00    1.1098083E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.5300000E+00   -3.4413928E+04    0.0000000E+00    1.1884078E+03    3.6779909E+01    3.4801970E+02    6.4808674E+03    2.3636969E+04    2.7180303E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608661E+03    0.0000000E+00    0.0000000E+00    1.1098768E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.7100000E+00   -3.4414272E+04    0.0000000E+00    1.1885092E+03    3.6838401E+01    3.4802524E+02    6.4808672E+03    2.3637249E+04    2.7297286E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608659E+03    0.0000000E+00    0.0000000E+00    1.1099376E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.8900000E+00   -3.4414579E+04    0.0000000E+00    1.1885980E+03    3.6891463E+01    3.4802884E+02    6.4808671E+03    2.3637487E+04    2.7403411E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608658E+03    0.0000000E+00    0.0000000E+00    1.1099921E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    2.0700000E+00   -3.2934192E+04    0.0000000E+00    1.6423479E+03    2.8312667E+01    3.1083134E+02    6.2078440E+03    2.1352911E+04    2.7503219E+01    1.6877637E-02    0.0000000E+00    2.2497653E+03    2.1246618E+03    0.0000000E+00    0.0000000E+00    7.1366994E+02    0.0000000E+00    5.9957436E+04    0.0000000E+00
    2.2500000E+00   -3.2934476E+04    0.0000000E+00    1.6424513E+03    2.8358261E+01    3.1083045E+02    6.2078443E+03    2.1353193E+04    2.7594407E+01    1.6877637E-02    0.0000000E+00    2.2497653E+03    2.1246612E+03    0.0000000E+00    0.0000000E+00    7.1371517E+02    0.0000000E+00    5.9957436E+04    0.0000000E+00
    2.4300000E+00   -3.2934731E+04    0.0000000E+00    1.6425438E+03    2.8400271E+01    3.1082787E+02    6.2078443E+03    2.1353437E+04    2.7678427E+01    1.6877637E-02    0.0000000E+00    2.2497653E+03    2.1246611E+03    0.0000000E+00    0.0000000E+00    7.1375610E+02    0.0000000E+00    5.9957436E+04    0.0000000E+00
    2.6100000E+00   -3.2934963E+04    0.0000000E+00    1.6426270E+03    2.8439205E+01    3.1082418E+02    6.2078442E+03    2.1353649E+04    2.7756294E+01    1.6877637E-02    0.0000000E+00    2.2497653E+03    2.1246611E+03    0.0000000E+00    0.0000000E+00    7.1379350E+02    0.0000000E+00    5.9957436E+04    0.0000000E+00
