# Time          5.0000E+01
# Units: Weight % Component
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -1.4866370E+00    0.0000000E+00    1.1686817E+00    6.1459619E-02    5.8288772E-01    7.4946951E+00    6.0853499E+01    4.7494454E-02    2.3147093E-05    0.0000000E+00    6.2939463E+00    4.6988307E+00    0.0000000E+00    0.0000000E+00    1.1550629E+00    0.0000000E+00    8.5658985E+00    0.0000000E+00
    2.7000000E-01   -1.4864717E+00    0.0000000E+00    1.1693882E+00    6.1879389E-02    5.8296203E-01    7.4949393E+00    6.0860040E+01    4.8413438E-02    2.3147865E-05    0.0000000E+00    6.2941562E+00    4.6936741E+00    0.0000000E+00    0.0000000E+00    1.1553645E+00    0.0000000E+00    8.5661842E+00    0.0000000E+00
    4.5000000E-01   -1.4864500E+00    0.0000000E+00    1.1697820E+00    6.2186469E-02    5.8299595E-01    7.4945398E+00    6.0860276E+01    4.9092028E-02    2.3146760E-05    0.0000000E+00    6.2938557E+00    4.6934593E+00    0.0000000E+00    0.0000000E+00    1.1555087E+00    0.0000000E+00    8.5657751E+00    0.0000000E+00
    6.3000000E-01   -1.4864345E+00    0.0000000E+00    1.1700643E+00    6.2427404E-02    5.8303347E-01    7.4942494E+00    6.0860422E+01    4.9624455E-02    2.3145891E-05    0.0000000E+00    6.2936195E+00    4.6932848E+00    0.0000000E+00    0.0000000E+00    1.1556238E+00    0.0000000E+00    8.5654537E+00    0.0000000E+00
    8.1000000E-01   -1.4864229E+00    0.0000000E+00    1.1702792E+00    6.2624291E-02    5.8305910E-01    7.4940242E+00    6.0860509E+01    5.0059448E-02    2.3145206E-05    0.0000000E+00    6.2934331E+00    4.6931444E+00    0.0000000E+00    0.0000000E+00    1.1557198E+00    0.0000000E+00    8.5652000E+00    0.0000000E+00
    9.9000000E-01   -1.4864140E+00    0.0000000E+00    1.1704493E+00    6.2789992E-02    5.8307611E-01    7.4938429E+00    6.0860555E+01    5.0425464E-02    2.3144650E-05    0.0000000E+00    6.2932820E+00    4.6930301E+00    0.0000000E+00    0.0000000E+00    1.1558015E+00    0.0000000E+00    8.5649943E+00    0.0000000E+00
    1.1700000E+00   -1.4864069E+00    0.0000000E+00    1.1705881E+00    6.2932584E-02    5.8308878E-01    7.4936926E+00    6.0860572E+01    5.0740373E-02    2.3144188E-05    0.0000000E+00    6.2931563E+00    4.6929350E+00    0.0000000E+00    0.0000000E+00    1.1558720E+00    0.0000000E+00    8.5648233E+00    0.0000000E+00
    1.3500000E+00   -1.4864012E+00    0.0000000E+00    1.1707041E+00    6.3057460E-02    5.8309732E-01    7.4935658E+00    6.0860567E+01    5.1016100E-02    2.3143798E-05    0.0000000E+00    6.2930502E+00    4.6928550E+00    0.0000000E+00    0.0000000E+00    1.1559336E+00    0.0000000E+00    8.5646790E+00    0.0000000E+00
    1.5300000E+00   -1.4863967E+00    0.0000000E+00    1.1708027E+00    6.3168377E-02    5.8310228E-01    7.4934576E+00    6.0860544E+01    5.1260957E-02    2.3143464E-05    0.0000000E+00    6.2929596E+00    4.6927868E+00    0.0000000E+00    0.0000000E+00    1.1559882E+00    0.0000000E+00    8.5645556E+00    0.0000000E+00
    1.7100000E+00   -1.4863931E+00    0.0000000E+00    1.1708881E+00    6.3268049E-02    5.8310431E-01    7.4933643E+00    6.0860508E+01    5.1480944E-02    2.3143176E-05    0.0000000E+00    6.2928813E+00    4.6927280E+00    0.0000000E+00    0.0000000E+00    1.1560372E+00    0.0000000E+00    8.5644490E+00    0.0000000E+00
    1.8900000E+00   -1.4863902E+00    0.0000000E+00    1.1709628E+00    6.3358493E-02    5.8310402E-01    7.4932829E+00    6.0860461E+01    5.1680528E-02    2.3142926E-05    0.0000000E+00    6.2928131E+00    4.6926768E+00    0.0000000E+00    0.0000000E+00    1.1560815E+00    0.0000000E+00    8.5643562E+00    0.0000000E+00
    2.0700000E+00   -1.4978210E+00    0.0000000E+00    1.7037105E+00    5.1201454E-02    5.4837562E-01    7.5579210E+00    5.7891335E+01    5.4617070E-02    2.4369174E-05    0.0000000E+00    5.6693403E+00    5.3540832E+00    0.0000000E+00    0.0000000E+00    7.8268768E-01    0.0000000E+00    5.4108877E+02    0.0000000E+00
    2.2500000E+00   -1.4978160E+00    0.0000000E+00    1.7037974E+00    5.1283291E-02    5.4836748E-01    7.5578307E+00    5.7891403E+01    5.4797496E-02    2.4368881E-05    0.0000000E+00    5.6692722E+00    5.3540176E+00    0.0000000E+00    0.0000000E+00    7.8272788E-01    0.0000000E+00    5.4108227E+02    0.0000000E+00
    2.4300000E+00   -1.4978117E+00    0.0000000E+00    1.7038752E+00    5.1358717E-02    5.4835710E-01    7.5577505E+00    5.7891450E+01    5.4963762E-02    2.4368623E-05    0.0000000E+00    5.6692121E+00    5.3539605E+00    0.0000000E+00    0.0000000E+00    7.8276447E-01    0.0000000E+00    5.4107653E+02    0.0000000E+00
    2.6100000E+00   -1.4978081E+00    0.0000000E+00    1.7039455E+00    5.1428638E-02    5.4834542E-01    7.5576790E+00    5.7891480E+01    5.5117869E-02    2.4368392E-05    0.0000000E+00    5.6691585E+00    5.3539098E+00    0.0000000E+00    0.0000000E+00    7.8279808E-01    0.0000000E+00    5.4107141E+02    0.0000000E+00
    2.7900000E+00   -1.4978050E+00    0.0000000E+00    1.7040093E+00    5.1493784E-02    5.4833296E-01    7.5576150E+00    5.7891496E+01    5.5261431E-02    2.4368186E-05    0.0000000E+00    5.6691105E+00    5.3538644E+00    0.0000000E+00    0.0000000E+00    7.8282920E-01    0.0000000E+00    5.4106683E+02    0.0000000E+00
