# Time          5.0000E+01
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    7.0649998E+01    2.9279590E+01    2.2404649E-03    2.6697772E-01    0.0000000E+00    3.9893023E-01    8.8660000E-01    2.5649807E+01    1.5085983E+00    3.3471720E+00    1.9683779E+01    6.2155352E+02    7.5544846E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    2.7000000E-01    7.0650000E+01    2.9291682E+01    2.2692204E-03    2.6704437E-01    0.0000000E+00    3.9843207E-01    8.8660000E-01    2.5649807E+01    1.5090761E+00    3.3455135E+00    1.9683779E+01    6.2161408E+02    7.5545029E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    4.5000000E-01    7.0650000E+01    2.9299826E+01    2.2904466E-03    2.6711384E-01    0.0000000E+00    3.9843294E-01    8.8660000E-01    2.5649807E+01    1.5096321E+00    3.3442291E+00    1.9683779E+01    6.2166271E+02    7.5545298E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    6.3000000E-01    7.0650000E+01    2.9305734E+01    2.3070337E-03    2.6717892E-01    0.0000000E+00    3.9843309E-01    8.8660000E-01    2.5649807E+01    1.5101727E+00    3.3432784E+00    1.9683779E+01    6.2170211E+02    7.5545660E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    8.1000000E-01    7.0650000E+01    2.9310253E+01    2.3205405E-03    2.6719982E-01    0.0000000E+00    3.9843296E-01    8.8660000E-01    2.5649807E+01    1.5106490E+00    3.3425437E+00    1.9683779E+01    6.2173433E+02    7.5546121E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    9.9000000E-01    7.0650000E+01    2.9313844E+01    2.3318743E-03    2.6719999E-01    0.0000000E+00    3.9843280E-01    8.8660000E-01    2.5649807E+01    1.5110428E+00    3.3419615E+00    1.9683779E+01    6.2176082E+02    7.5546686E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.1700000E+00    7.0650000E+01    2.9316781E+01    2.3416029E-03    2.6719999E-01    0.0000000E+00    3.9843268E-01    8.8660000E-01    2.5649807E+01    1.5113520E+00    3.3414912E+00    1.9683779E+01    6.2178262E+02    7.5547358E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.3500000E+00    7.0650000E+01    2.9319237E+01    2.3501039E-03    2.6719999E-01    0.0000000E+00    3.9843259E-01    8.8660000E-01    2.5649807E+01    1.5115856E+00    3.3411077E+00    1.9683779E+01    6.2180055E+02    7.5548140E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.5300000E+00    7.0650000E+01    2.9321329E+01    2.3576396E-03    2.6719999E-01    0.0000000E+00    3.9843254E-01    8.8660000E-01    2.5649807E+01    1.5117555E+00    3.3407923E+00    1.9683779E+01    6.2181523E+02    7.5549036E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.7100000E+00    7.0650000E+01    2.9323138E+01    2.3643990E-03    2.6719999E-01    0.0000000E+00    3.9843250E-01    8.8660000E-01    2.5649807E+01    1.5118736E+00    3.3405309E+00    1.9683779E+01    6.2182716E+02    7.5550050E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
