# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.8720E+00
  2.7000E-01    5.9534E+00
  4.5000E-01    6.0190E+00
  6.3000E-01    6.0742E+00
  8.1000E-01    6.1219E+00
  9.9000E-01    6.1641E+00
  1.1700E+00    6.2020E+00
  1.3500E+00    6.2365E+00
  1.5300E+00    6.2682E+00
  1.7100E+00    6.2977E+00
  1.8900E+00    6.3253E+00
  2.0700E+00    6.3522E+00
  2.2500E+00    6.3774E+00
  2.4300E+00    6.4012E+00
  2.6100E+00    6.4239E+00
  2.7900E+00    6.4455E+00
  2.9700E+00    6.4662E+00
  3.1500E+00    6.4861E+00
  3.3300E+00    6.5052E+00
  3.5100E+00    6.5237E+00
  3.6900E+00    6.5416E+00
  3.8700E+00    6.5589E+00
  4.0500E+00    6.5757E+00
  4.2300E+00    6.5920E+00
  4.4100E+00    6.6079E+00
  4.5900E+00    6.6234E+00
  4.7700E+00    6.6386E+00
  4.9500E+00    6.6534E+00
  5.1300E+00    6.6679E+00
  5.3100E+00    6.6821E+00
  5.4900E+00    6.6960E+00
  5.6700E+00    6.7096E+00
  5.8500E+00    6.7230E+00
  6.0300E+00    6.7362E+00
  6.2100E+00    6.7491E+00
  6.3900E+00    6.7619E+00
  6.5700E+00    6.7744E+00
  6.7500E+00    6.7867E+00
  6.9300E+00    6.7989E+00
  7.1100E+00    6.8109E+00
  7.2900E+00    6.8227E+00
  7.4700E+00    6.8343E+00
  7.6500E+00    6.8458E+00
  7.8300E+00    6.8571E+00
  8.0100E+00    6.8683E+00
  8.1900E+00    6.8794E+00
  8.3700E+00    6.8904E+00
  8.5500E+00    6.9012E+00
  8.7300E+00    6.9119E+00
  8.9100E+00    6.9225E+00
  9.0900E+00    6.9329E+00
  9.2700E+00    6.9432E+00
  9.4500E+00    6.9533E+00
  9.6300E+00    6.9632E+00
  9.8100E+00    6.9731E+00
  9.9900E+00    6.9827E+00
  1.0170E+01    6.9923E+00
  1.0350E+01    7.0016E+00
  1.0530E+01    7.0108E+00
  1.0710E+01    7.0198E+00
  1.0890E+01    7.0286E+00
  1.1070E+01    7.0373E+00
  1.1250E+01    7.0457E+00
  1.1430E+01    7.0539E+00
  1.1610E+01    7.0620E+00
  1.1790E+01    7.0698E+00
  1.1970E+01    7.0773E+00
  1.2150E+01    7.0847E+00
  1.2330E+01    7.0917E+00
  1.2510E+01    7.0973E+00
  1.2690E+01    7.1028E+00
  1.2870E+01    7.1083E+00
  1.3050E+01    7.1137E+00
  1.3230E+01    7.1190E+00
  1.3410E+01    7.1244E+00
  1.3590E+01    7.1296E+00
  1.3770E+01    7.1348E+00
  1.3950E+01    7.1399E+00
  1.4130E+01    7.1449E+00
  1.4310E+01    7.1499E+00
  1.4490E+01    7.1547E+00
  1.4670E+01    7.1595E+00
  1.4850E+01    7.1642E+00
  1.5030E+01    7.1688E+00
  1.5210E+01    7.1733E+00
  1.5390E+01    7.1776E+00
  1.5570E+01    7.1819E+00
  1.5750E+01    7.1860E+00
  1.5930E+01    7.1899E+00
  1.6110E+01    7.1938E+00
  1.6290E+01    7.1974E+00
  1.6470E+01    7.2009E+00
  1.6650E+01    7.2043E+00
  1.6830E+01    7.2074E+00
  1.7010E+01    7.2104E+00
  1.7190E+01    7.2131E+00
  1.7370E+01    7.2156E+00
  1.7550E+01    7.2179E+00
  1.7730E+01    7.2199E+00
  1.7910E+01    7.2217E+00
