# Time          5.0000E+01
# Units:           Transport Porosity  Mineral Porosity
    9.0000000E-02    1.0031025E-01    1.0031025E-01
    2.7000000E-01    1.0031214E-01    1.0031214E-01
    4.5000000E-01    1.0025390E-01    1.0025390E-01
    6.3000000E-01    1.0020520E-01    1.0020520E-01
    8.1000000E-01    1.0016538E-01    1.0016538E-01
    9.9000000E-01    1.0013289E-01    1.0013289E-01
    1.1700000E+00    1.0010641E-01    1.0010641E-01
    1.3500000E+00    1.0008484E-01    1.0008484E-01
    1.5300000E+00    1.0006726E-01    1.0006726E-01
    1.7100000E+00    1.0005290E-01    1.0005290E-01
    1.8900000E+00    1.0004115E-01    1.0004115E-01
    2.0700000E+00    1.0103330E-01    1.0103330E-01
    2.2500000E+00    1.0102351E-01    1.0102351E-01
    2.4300000E+00    1.0101594E-01    1.0101594E-01
    2.6100000E+00    1.0101005E-01    1.0101005E-01
    2.7900000E+00    1.0100546E-01    1.0100546E-01
    2.9700000E+00    1.0100190E-01    1.0100190E-01
    3.1500000E+00    1.0099917E-01    1.0099917E-01
    3.3300000E+00    1.0099709E-01    1.0099709E-01
    3.5100000E+00    1.0099555E-01    1.0099555E-01
    3.6900000E+00    1.0099445E-01    1.0099445E-01
    3.8700000E+00    1.0099371E-01    1.0099371E-01
    4.0500000E+00    1.0099327E-01    1.0099327E-01
    4.2300000E+00    1.0099306E-01    1.0099306E-01
    4.4100000E+00    1.0099307E-01    1.0099307E-01
    4.5900000E+00    1.0099324E-01    1.0099324E-01
    4.7700000E+00    1.0099356E-01    1.0099356E-01
    4.9500000E+00    1.0099399E-01    1.0099399E-01
    5.1300000E+00    1.0099452E-01    1.0099452E-01
    5.3100000E+00    1.0099514E-01    1.0099514E-01
    5.4900000E+00    1.0099582E-01    1.0099582E-01
    5.6700000E+00    1.0099655E-01    1.0099655E-01
    5.8500000E+00    1.0099734E-01    1.0099734E-01
    6.0300000E+00    1.0099816E-01    1.0099816E-01
    6.2100000E+00    1.0099900E-01    1.0099900E-01
    6.3900000E+00    1.0099988E-01    1.0099988E-01
    6.5700000E+00    1.0100076E-01    1.0100076E-01
    6.7500000E+00    1.0100167E-01    1.0100167E-01
    6.9300000E+00    1.0100257E-01    1.0100257E-01
    7.1100000E+00    1.0100349E-01    1.0100349E-01
    7.2900000E+00    1.0100440E-01    1.0100440E-01
    7.4700000E+00    1.0100532E-01    1.0100532E-01
    7.6500000E+00    1.0100623E-01    1.0100623E-01
    7.8300000E+00    1.0100713E-01    1.0100713E-01
    8.0100000E+00    1.0100803E-01    1.0100803E-01
    8.1900000E+00    9.9948907E-02    9.9948907E-02
    8.3700000E+00    9.9950438E-02    9.9950438E-02
    8.5500000E+00    9.9951935E-02    9.9951935E-02
    8.7300000E+00    9.9953386E-02    9.9953386E-02
    8.9100000E+00    9.9954787E-02    9.9954787E-02
    9.0900000E+00    9.9956137E-02    9.9956137E-02
    9.2700000E+00    9.9957438E-02    9.9957438E-02
    9.4500000E+00    9.9958690E-02    9.9958690E-02
    9.6300000E+00    9.9959895E-02    9.9959895E-02
    9.8100000E+00    9.9961053E-02    9.9961053E-02
    9.9900000E+00    9.9962167E-02    9.9962167E-02
    1.0170000E+01    9.9963238E-02    9.9963238E-02
    1.0350000E+01    9.9964267E-02    9.9964267E-02
    1.0530000E+01    9.9965255E-02    9.9965255E-02
    1.0710000E+01    9.9966205E-02    9.9966205E-02
    1.0890000E+01    9.9967117E-02    9.9967117E-02
    1.1070000E+01    9.9967993E-02    9.9967993E-02
    1.1250000E+01    9.9968834E-02    9.9968834E-02
    1.1430000E+01    9.9969642E-02    9.9969642E-02
    1.1610000E+01    9.9970419E-02    9.9970419E-02
    1.1790000E+01    9.9971166E-02    9.9971166E-02
    1.1970000E+01    9.9971887E-02    9.9971887E-02
    1.2150000E+01    9.9972582E-02    9.9972582E-02
    1.2330000E+01    9.9973253E-02    9.9973253E-02
    1.2510000E+01    9.9014816E-02    9.9014816E-02
    1.2690000E+01    9.9014886E-02    9.9014886E-02
    1.2870000E+01    9.9014861E-02    9.9014861E-02
    1.3050000E+01    9.9014838E-02    9.9014838E-02
    1.3230000E+01    9.9014816E-02    9.9014816E-02
    1.3410000E+01    9.9014796E-02    9.9014796E-02
    1.3590000E+01    9.9014779E-02    9.9014779E-02
    1.3770000E+01    9.9014765E-02    9.9014765E-02
    1.3950000E+01    9.9014753E-02    9.9014753E-02
    1.4130000E+01    9.9014744E-02    9.9014744E-02
    1.4310000E+01    9.9014736E-02    9.9014736E-02
    1.4490000E+01    9.9014731E-02    9.9014731E-02
    1.4670000E+01    9.9014727E-02    9.9014727E-02
    1.4850000E+01    9.9014726E-02    9.9014726E-02
    1.5030000E+01    9.9014725E-02    9.9014725E-02
    1.5210000E+01    9.9014727E-02    9.9014727E-02
    1.5390000E+01    9.9014729E-02    9.9014729E-02
    1.5570000E+01    9.9014734E-02    9.9014734E-02
    1.5750000E+01    9.9014739E-02    9.9014739E-02
    1.5930000E+01    9.9014747E-02    9.9014747E-02
    1.6110000E+01    9.9014757E-02    9.9014757E-02
    1.6290000E+01    9.9014769E-02    9.9014769E-02
    1.6470000E+01    9.9014783E-02    9.9014783E-02
    1.6650000E+01    9.9014800E-02    9.9014800E-02
    1.6830000E+01    9.9014819E-02    9.9014819E-02
    1.7010000E+01    9.9014841E-02    9.9014841E-02
