# Time          5.0000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -2.2734751E-13   -2.5248516E-09   -1.7449218E-09   -2.2419141E-11    0.0000000E+00    1.4246551E-09    0.0000000E+00   -7.7461185E-12    1.6875418E-12    1.2984230E-09   -3.2666944E-12   -2.6320345E-11   -1.1709010E-14   -4.4978936E-13    0.0000000E+00    3.6323062E-25
    2.7000000E-01    0.0000000E+00   -2.1019502E-09   -1.6151185E-09   -1.7203498E-11    0.0000000E+00    1.6870789E-11    0.0000000E+00   -7.7461185E-12    1.9488183E-11    1.0627881E-09   -3.2666944E-12    1.9036922E-10   -1.1708575E-14   -4.4978936E-13    0.0000000E+00    1.8130528E-25
    4.5000000E-01    0.0000000E+00   -1.8133823E-09   -1.5162552E-09   -1.1886164E-11    0.0000000E+00    1.9389062E-11    0.0000000E+00   -7.7461185E-12    4.3169638E-11    8.7717740E-10   -3.2666944E-12    3.6539437E-10   -1.1707991E-14   -4.4978936E-13    0.0000000E+00    1.1939446E-25
    6.3000000E-01    0.0000000E+00   -1.6023830E-09   -1.4373302E-09   -6.2289032E-12    0.0000000E+00    1.9885857E-11    0.0000000E+00   -7.7461185E-12    6.8519593E-11    7.3713956E-10   -3.2666944E-12    5.0781592E-10   -1.1707252E-14   -4.4978936E-13    0.0000000E+00    8.8562719E-26
    8.1000000E-01    0.0000000E+00   -1.4402530E-09   -1.3720755E-09   -5.0931998E-13    0.0000000E+00    1.9572699E-11    0.0000000E+00   -7.7461185E-12    9.1996274E-11    6.2532608E-10   -3.2666944E-12    6.2427179E-10   -1.1706348E-14   -4.4978936E-13    0.0000000E+00    6.9987265E-26
    9.9000000E-01    0.0000000E+00   -1.3109698E-09   -1.3166500E-09    0.0000000E+00    0.0000000E+00    1.9126112E-11    0.0000000E+00   -7.7461185E-12    1.1243087E-10    5.3653262E-10   -3.2666944E-12    7.2014785E-10   -1.1705267E-14   -4.4978936E-13    0.0000000E+00    5.7643477E-26
    1.1700000E+00    0.0000000E+00   -1.2049679E-09   -1.2686036E-09    0.0000000E+00    0.0000000E+00    1.8768437E-11    0.0000000E+00   -7.7461185E-12    1.2911549E-10    4.6414201E-10   -3.2666943E-12    7.9916118E-10   -1.1704001E-14   -4.4978936E-13    0.0000000E+00    4.8822652E-26
    1.3500000E+00    0.0000000E+00   -1.1161312E-09   -1.2262743E-09    0.0000000E+00    0.0000000E+00    1.8520728E-11    0.0000000E+00   -7.7461185E-12    1.4216564E-10    4.0460116E-10   -3.2666943E-12    8.6416086E-10   -1.1702539E-14   -4.4978936E-13    0.0000000E+00    4.2222079E-26
    1.5300000E+00    0.0000000E+00   -1.0403526E-09   -1.1884873E-09    0.0000000E+00    0.0000000E+00    1.8353064E-11    0.0000000E+00   -7.7461185E-12    1.5201965E-10    3.5530963E-10   -3.2666942E-12    9.1740472E-10   -1.1700875E-14   -4.4978936E-13    0.0000000E+00    3.7117526E-26
    1.7100000E+00    0.0000000E+00   -9.7476516E-10   -1.1543849E-09    0.0000000E+00    0.0000000E+00    1.8236651E-11    0.0000000E+00   -7.7461185E-12    1.5919135E-10    3.1422320E-10   -3.2666942E-12    9.6071014E-10   -1.1699003E-14   -4.4978936E-13    0.0000000E+00    3.3069026E-26
    1.8900000E+00    0.0000000E+00   -9.1729901E-10   -1.1233222E-09    0.0000000E+00    0.0000000E+00    1.8152275E-11    0.0000000E+00   -7.7461185E-12    1.6417183E-10    2.7973227E-10   -3.2666941E-12    9.9561716E-10   -1.1696915E-14   -4.4978936E-13    0.0000000E+00    2.9791422E-26
    2.0700000E+00    0.0000000E+00   -1.2490468E-09   -1.0938997E-09    0.0000000E+00    0.0000000E+00    1.6058837E-11    0.0000000E+00   -7.0032159E-12    2.8466924E-10    3.0540121E-10   -2.0511798E-12    9.5466736E-10   -1.1694400E-14   -2.6987362E-11    0.0000000E+00    3.4118413E-26
    2.2500000E+00    0.0000000E+00   -1.1817233E-09   -1.0669403E-09    0.0000000E+00    0.0000000E+00    1.5719930E-11    0.0000000E+00   -7.0032159E-12    2.8427023E-10    2.7231979E-10   -2.0511797E-12    1.0043211E-09   -1.1691638E-14   -2.6987362E-11    0.0000000E+00    3.0319666E-26
    2.4300000E+00    0.0000000E+00   -1.1215390E-09   -1.0420359E-09    0.0000000E+00    0.0000000E+00    1.5645077E-11    0.0000000E+00   -7.0032159E-12    2.8206697E-10    2.4474175E-10   -2.0511796E-12    1.0461757E-09   -1.1688622E-14   -2.6987362E-11    0.0000000E+00    2.7257921E-26
    2.6100000E+00    0.0000000E+00   -1.0673400E-09   -1.0188999E-09    0.0000000E+00    0.0000000E+00    1.5612285E-11    0.0000000E+00   -7.0032159E-12    2.7865857E-10    2.2154781E-10   -2.0511794E-12    1.0812188E-09   -1.1685347E-14   -2.6987362E-11    0.0000000E+00    2.4751352E-26
