# Time          5.0000E+01
# Units: Mol/g solid
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02    0.0000000E+00    0.0000000E+00    4.3153617E-08    6.2273238E-06    3.9885136E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.5551225E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.7000000E-01    0.0000000E+00    0.0000000E+00    5.4381498E-08    6.1752060E-06    5.7194667E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.5150996E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01    0.0000000E+00    0.0000000E+00    6.2499795E-08    6.1278997E-06    7.6584002E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.4607526E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.3000000E-01    0.0000000E+00    0.0000000E+00    6.8679754E-08    6.0848765E-06    9.4439944E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.4108648E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.1000000E-01    0.0000000E+00    0.0000000E+00    7.3499005E-08    6.0486184E-06    1.0964753E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.3682327E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.9000000E-01    0.0000000E+00    0.0000000E+00    7.7326490E-08    6.0190891E-06    1.2223760E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.3325368E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.1700000E+00    0.0000000E+00    0.0000000E+00    8.0421626E-08    5.9952843E-06    1.3258955E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.3027400E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.3500000E+00    0.0000000E+00    0.0000000E+00    8.2969237E-08    5.9759777E-06    1.4115882E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.2776867E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5300000E+00    0.0000000E+00    0.0000000E+00    8.5100459E-08    5.9601006E-06    1.4834435E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.2563751E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.7100000E+00    0.0000000E+00    0.0000000E+00    8.6908733E-08    5.9468285E-06    1.5445818E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.2380144E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
