# Time          5.0000E+01
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    2.3399999E+01    1.0960436E+01    8.1063709E-02    2.9962569E-01    0.0000000E+00    6.1077192E+00    9.0000000E-01    1.1499870E+01    5.9003869E+00    7.8201455E+00    1.2899928E+01    9.9998680E+00    9.2924747E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    2.7000000E-01    2.3400000E+01    1.0967228E+01    8.2629494E-02    2.9973791E-01    0.0000000E+00    6.1000922E+00    9.0000000E-01    1.1499870E+01    5.9022555E+00    7.8162705E+00    1.2899928E+01    1.0000842E+01    9.2924972E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    4.5000000E-01    2.3400000E+01    1.0971802E+01    8.3791688E-02    2.9985490E-01    0.0000000E+00    6.1001055E+00    9.0000000E-01    1.1499870E+01    5.9044302E+00    7.8132698E+00    1.2899928E+01    1.0001625E+01    9.2925303E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    6.3000000E-01    2.3400000E+01    1.0975122E+01    8.4703637E-02    2.9996449E-01    0.0000000E+00    6.1001078E+00    9.0000000E-01    1.1499870E+01    5.9065445E+00    7.8110486E+00    1.2899928E+01    1.0002259E+01    9.2925749E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    8.1000000E-01    2.3400000E+01    1.0977661E+01    8.5448662E-02    2.9999970E-01    0.0000000E+00    6.1001059E+00    9.0000000E-01    1.1499870E+01    5.9084076E+00    7.8093321E+00    1.2899928E+01    1.0002777E+01    9.2926317E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    9.9000000E-01    2.3400000E+01    1.0979678E+01    8.6075503E-02    2.9999998E-01    0.0000000E+00    6.1001035E+00    9.0000000E-01    1.1499870E+01    5.9099478E+00    7.8079720E+00    1.2899928E+01    1.0003203E+01    9.2927011E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.1700000E+00    2.3400000E+01    1.0981328E+01    8.6614782E-02    2.9999998E-01    0.0000000E+00    6.1001016E+00    9.0000000E-01    1.1499870E+01    5.9111570E+00    7.8068731E+00    1.2899928E+01    1.0003554E+01    9.2927837E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.3500000E+00    2.3400000E+01    1.0982709E+01    8.7086926E-02    2.9999998E-01    0.0000000E+00    6.1001003E+00    9.0000000E-01    1.1499870E+01    5.9120705E+00    7.8059771E+00    1.2899928E+01    1.0003842E+01    9.2928799E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.5300000E+00    2.3400000E+01    1.0983884E+01    8.7506174E-02    2.9999998E-01    0.0000000E+00    6.1000994E+00    9.0000000E-01    1.1499870E+01    5.9127352E+00    7.8052403E+00    1.2899928E+01    1.0004078E+01    9.2929902E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.7100000E+00    2.3400000E+01    1.0984901E+01    8.7882803E-02    2.9999998E-01    0.0000000E+00    6.1000988E+00    9.0000000E-01    1.1499870E+01    5.9131970E+00    7.8046294E+00    1.2899928E+01    1.0004271E+01    9.2931148E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
