# Time series at grid cell:  50   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                3.23998503229658E-05   1.21999446745822E-04   1.16090511311018E-08   8.77017019855535E-06   4.39000270186482E-05   9.45019281888825E-06   8.82999964847108E-07   6.98000000000004E-09   5.64999101723000E+00   1.37975542775659E-03   3.43467211387018E-04
  2.00000E-09                3.23998540149186E-05   1.21999460511856E-04   1.16181057897424E-08   8.77017156926585E-06   4.39000540373041E-05   9.45019427012754E-06   8.82999929695262E-07   6.98000000000390E-09   5.64998904657820E+00   1.37975534709144E-03   3.43467190542568E-04
  3.00000E-09                3.23998577778016E-05   1.21999474508201E-04   1.16271569965685E-08   8.77017286949211E-06   4.39000810561917E-05   9.45019564104804E-06   8.82999894543098E-07   6.98000000000323E-09   5.64998742084929E+00   1.37975537401681E-03   3.43467169711428E-04
  4.00000E-09                3.23998614638748E-05   1.21999488195954E-04   1.16362082288109E-08   8.77017425965053E-06   4.39001080751562E-05   9.45019711453825E-06   8.82999859391347E-07   6.98000000000267E-09   5.64998607234246E+00   1.37975548980321E-03   3.43467148863200E-04
  5.00000E-09                3.23998650868165E-05   1.21999501630112E-04   1.16452594818591E-08   8.77017572376487E-06   4.39001350941849E-05   9.45019867237585E-06   8.82999824239926E-07   6.98000000000221E-09   5.64998495126686E+00   1.37975567849178E-03   3.43467128000935E-04
  7.00000E-09                3.23998720019156E-05   1.21999527221118E-04   1.16633725581476E-08   8.77017902771866E-06   4.39001891323023E-05   9.45020221650151E-06   8.82999753938215E-07   6.98000000000490E-09   5.64998333537706E+00   1.37975625923682E-03   3.43467086205220E-04
  1.10000E-08                3.23998857049437E-05   1.21999577810479E-04   1.16996199060596E-08   8.77018580385398E-06   4.39002972090195E-05   9.45020949671364E-06   8.82999613336524E-07   6.98000000000763E-09   5.64998146161935E+00   1.37975785216274E-03   3.43467002582580E-04
  1.90000E-08                3.23999128210393E-05   1.21999677740935E-04   1.17719745560837E-08   8.77019971564310E-06   4.39005133638696E-05   9.45022446726506E-06   8.82999332137059E-07   6.98000000000150E-09   5.64997967718614E+00   1.37976166176335E-03   3.43466835273085E-04
  3.50000E-08                3.23999666184737E-05   1.21999875837395E-04   1.19167963650971E-08   8.77022805309601E-06   4.39009456742551E-05   9.45025499445883E-06   8.82998769747883E-07   6.98000000000115E-09   5.64997787341183E+00   1.37976984733047E-03   3.43466500574733E-04
  6.70000E-08                3.24000738003266E-05   1.22000270427053E-04   1.22064409707664E-08   8.77028519976219E-06   4.39018102986250E-05   9.45031658679945E-06   8.82997644999686E-07   6.98000000000075E-09   5.64997514013324E+00   1.37978649900612E-03   3.43465831163158E-04
  1.31000E-07                3.24002879545706E-05   1.22001058812456E-04   1.27857381195873E-08   8.77039973058000E-06   4.39035395606828E-05   9.45044004218765E-06   8.82995395620292E-07   6.98000000000073E-09   5.64996990550089E+00   1.37981987090167E-03   3.43464492594475E-04
  2.59000E-07                3.24007162114890E-05   1.22002635388936E-04   1.39443164268740E-08   8.77062886063379E-06   4.39069981364214E-05   9.45068703065866E-06   8.82990897328159E-07   6.98000000000071E-09   5.64995947753048E+00   1.37988659714071E-03   3.43461816641846E-04
  5.15000E-07                3.24015727399369E-05   1.22005788590416E-04   1.62615007707451E-08   8.77108714988616E-06   4.39139154830994E-05   9.45118103957007E-06   8.82981902607063E-07   6.98000000000072E-09   5.64993866712809E+00   1.38001993864890E-03   3.43456469517564E-04
  1.02700E-06                3.24032858862566E-05   1.22012095302541E-04   2.08958362782252E-08   8.77200381038086E-06   4.39277508667004E-05   9.45216914584241E-06   8.82963920590798E-07   6.98000000000071E-09   5.64989721991001E+00   1.38028617559021E-03   3.43445794364384E-04
  2.05100E-06                3.24067125333128E-05   1.22024709951665E-04   3.01637756931986E-08   8.77383745384174E-06   4.39554236645313E-05   9.45414570610997E-06   8.82927986050068E-07   6.98000000000072E-09   5.64981501330050E+00   1.38081687052538E-03   3.43424520160718E-04
  4.09900E-06                3.24135672109239E-05   1.22049944026656E-04   4.86923745077586E-08   8.77750601162178E-06   4.40107717052281E-05   9.45810019696627E-06   8.82856233270180E-07   6.98000000000072E-09   5.64965330218558E+00   1.38187118813931E-03   3.43382273946433E-04
  8.19500E-06                3.24272818597923E-05   1.22100430425958E-04   8.56800161676434E-08   8.78484807757849E-06   4.41214328551656E-05   9.46601451613238E-06   8.82713180057736E-07   6.98000000000071E-09   5.64934030190832E+00   1.38395187763845E-03   3.43298972812709E-04
  1.63870E-05                3.24547302180117E-05   1.22201468607158E-04   1.58965416029416E-07   8.79955083828171E-06   4.43422568494299E-05   9.48186323676937E-06   8.82428787432500E-07   6.98000000000072E-09   5.64875294264612E+00   1.38800412087290E-03   3.43137000010890E-04
  3.27710E-05                3.25096877407076E-05   1.22403750793023E-04   3.00406306334417E-07   8.82902221122396E-06   4.47792480281862E-05   9.51363164138079E-06   8.81866199585853E-07   6.98000000000071E-09   5.64771013918787E+00   1.39569209351669E-03   3.42830548381745E-04
  6.55390E-05                3.26197505677880E-05   1.22808792849302E-04   5.47832209389520E-07   8.88817350041536E-06   4.56190464838530E-05   9.57739295691910E-06   8.80761893719867E-07   6.98000000000072E-09   5.64600871108090E+00   1.40955010035738E-03   3.42280309529617E-04
  1.31075E-04                3.28400555954045E-05   1.23619288040642E-04   8.73804447037212E-07   9.00706196935496E-06   4.71317687892556E-05   9.70554468220598E-06   8.78616559419210E-07   6.98000000000073E-09   5.64356374433784E+00   1.43225500684331E-03   3.41383280819347E-04
  2.62147E-04                3.32799629475263E-05   1.25236736307858E-04   1.10967467981510E-06   9.24635033034345E-06   4.97388106594690E-05   9.96346460372021E-06   8.74469704722543E-07   6.98000000000073E-09   5.64138158683452E+00   1.46399825076712E-03   3.40146601636146E-04
  5.24291E-04                3.41495971936465E-05   1.28430778641992E-04   1.10992437558431E-06   9.72731044295810E-06   5.44183540904054E-05   1.04818432065781E-05   8.66231590652653E-07   6.98000000000073E-09   5.64405519165985E+00   1.49941990799492E-03   3.38840720968055E-04
  1.04858E-03                3.58236441266917E-05   1.34567890052538E-04   8.87252868058988E-07   1.06850706375643E-05   6.31162517808610E-05   1.15140988016191E-05   8.48476957075854E-07   6.98000000000074E-09   5.65998051180701E+00   1.53062084837933E-03   3.37897300985599E-04
  2.09715E-03                3.89030312818025E-05   1.45820137889383E-04   5.61135682165094E-07   1.25591503569998E-05   7.87752204594301E-05   1.35340207957393E-05   8.06081229425179E-07   6.98000000000076E-09   5.69765693761012E+00   1.55799810376083E-03   3.37465654937670E-04
  4.19431E-03                4.42401802826926E-05   1.65211681031907E-04   2.80989233777109E-07   1.61506496997054E-05   1.04774852723437E-04   1.74053834436262E-05   7.01453217595760E-07   6.98000000000073E-09   5.76274964310543E+00   1.59378220847359E-03   3.37285214862855E-04
  7.80509E-03                5.18454243867850E-05   1.92595710881949E-04   1.26949701766696E-07   2.20151681564854E-05   1.38944699671539E-04   2.37282965571218E-05   5.11884337772716E-07   6.97999999997160E-09   5.84597169580979E+00   1.64778809950972E-03   3.37039564653159E-04
  1.37734E-02                6.19548526798522E-05   2.28540102698836E-04   5.53063384964485E-08   3.11301218966934E-05   1.78460661733557E-04   3.35586347214344E-05   2.82024634294646E-07   6.97999983601262E-09   5.94051794169188E+00   1.73106988687343E-03   3.36487920065556E-04
  2.29574E-02                7.44496644059779E-05   2.72254582834668E-04   2.50153311609051E-08   4.44150126762908E-05   2.18505398366504E-04   4.78924987825284E-05   1.24068067847252E-07   6.97994821020748E-09   6.03704108215198E+00   1.85363845198258E-03   3.35418746577988E-04
  3.38285E-02                8.68283053311427E-05   3.14783034617270E-04   1.36020664365767E-08   5.97425997493185E-05   2.50843970673846E-04   6.44430004418657E-05   6.41383391449819E-08   6.97902952681721E-09   6.11521091996261E+00   1.99610490473685E-03   3.33968212708141E-04
