# Time          5.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer           HCO3-            Al(OH)2+         AlO2-            AlOH++           FeOH+            FeOH++           FeSO4(aq)        FeSO4+           OH-              CO3--            FeCO3(aq)        FeCO3+           FeHCO3+          NaCO3-           NaHCO3(aq)   
    9.0000000E-02    5.8286705E+00   -5.8211311E+00   -3.9999999E+00   -4.7665675E+00   -4.9989280E+00   -5.0747115E+00   -6.9574559E+00   -4.5629128E+00   -2.9131490E+00   -3.4708402E+00   -6.4486768E+00   -7.1475688E+00   -1.4252533E+01   -1.4000000E+01   -1.4000004E+01   -5.1817666E+00   -1.4000000E+01   -4.3746310E+00   -3.0000000E+01   -3.5202075E+00   -6.7564648E+00   -8.0768226E+00   -6.5250732E+00   -1.0841808E+01   -1.0650924E+01   -1.9009188E+01   -2.6619137E+01   -8.6289506E+00   -8.1311514E+00   -1.0476301E+01   -1.2196688E+01   -7.9784164E+00   -1.2257593E+01   -8.0342994E+00
    2.7000000E-01    5.8755186E+00   -5.8671978E+00   -3.9999999E+00   -4.5376564E+00   -4.7405477E+00   -4.8443087E+00   -7.3758603E+00   -4.2967112E+00   -2.9015905E+00   -3.4828482E+00   -6.4486815E+00   -7.0512827E+00   -1.4550329E+01   -1.4000000E+01   -1.4000005E+01   -4.9215790E+00   -1.4000000E+01   -5.4459884E+00   -3.0000000E+01   -3.4609714E+00   -7.0874006E+00   -8.3140621E+00   -6.9003966E+00   -1.0701083E+01   -1.0905639E+01   -1.8919443E+01   -2.6926463E+01   -8.5812743E+00   -8.0226066E+00   -1.0277993E+01   -1.2395451E+01   -7.8261269E+00   -1.1923421E+01   -7.7478054E+00
    4.5000000E-01    5.9131421E+00   -5.9041534E+00   -3.9999999E+00   -4.3987608E+00   -4.5949756E+00   -4.6542834E+00   -7.6567194E+00   -4.1482194E+00   -2.8897609E+00   -3.4950789E+00   -6.4486859E+00   -7.0236039E+00   -1.4656904E+01   -1.4000000E+01   -1.4000005E+01   -4.7777774E+00   -1.4000000E+01   -6.3248724E+00   -3.0000000E+01   -3.4108056E+00   -7.2983323E+00   -8.4497470E+00   -7.1468398E+00   -1.0637844E+01   -1.0977798E+01   -1.8897377E+01   -2.7041194E+01   -8.5429393E+00   -7.9327053E+00   -1.0166008E+01   -1.2420264E+01   -7.7510531E+00   -1.1697443E+01   -7.5601642E+00
    6.3000000E-01    5.9428008E+00   -5.9332263E+00   -3.9999999E+00   -4.2996982E+00   -4.4944793E+00   -4.5062936E+00   -7.8609253E+00   -4.0481015E+00   -2.8766710E+00   -3.5076846E+00   -6.4486900E+00   -7.0259527E+00   -1.4740440E+01   -1.4000000E+01   -1.4000005E+01   -4.6792285E+00   -1.4000000E+01   -6.6546954E+00   -3.0000000E+01   -3.3674285E+00   -7.4478867E+00   -8.5399839E+00   -7.3241925E+00   -1.0612349E+01   -1.1034481E+01   -1.8904667E+01   -2.7131895E+01   -8.5126535E+00   -7.8578094E+00   -1.0098387E+01   -1.2436054E+01   -7.7124625E+00   -1.1525968E+01   -7.4189762E+00
    8.1000000E-01    5.9660815E+00   -5.9559799E+00   -3.9999999E+00   -4.2228633E+00   -4.4168952E+00   -4.3916881E+00   -8.0180114E+00   -3.9740218E+00   -2.8622629E+00   -3.5206992E+00   -6.4486940E+00   -7.0406789E+00   -1.4805456E+01   -1.4000000E+01   -1.4000005E+01   -4.6034227E+00   -1.4000000E+01   -6.6869219E+00   -3.0000000E+01   -3.3291717E+00   -7.5626086E+00   -8.6081444E+00   -7.4605155E+00   -1.0605430E+01   -1.1078734E+01   -1.8923854E+01   -2.7203366E+01   -8.4888060E+00   -7.7945920E+00   -1.0054343E+01   -1.2444292E+01   -7.6911306E+00   -1.1388159E+01   -7.3050154E+00
    9.9000000E-01    5.9841444E+00   -5.9735589E+00   -3.9999999E+00   -4.1600564E+00   -4.3526592E+00   -4.3018201E+00   -8.1419412E+00   -3.9160248E+00   -2.8465536E+00   -3.5341494E+00   -6.4486978E+00   -7.0583031E+00   -1.4855260E+01   -1.4000000E+01   -1.4000005E+01   -4.5407470E+00   -1.4000000E+01   -6.6774914E+00   -3.0000000E+01   -3.2948763E+00   -7.6542638E+00   -8.6636738E+00   -7.5686871E+00   -1.0606495E+01   -1.1112779E+01   -1.8945585E+01   -2.7259100E+01   -8.4702210E+00   -7.7406872E+00   -1.0022154E+01   -1.2446107E+01   -7.6764817E+00   -1.1273512E+01   -7.2089547E+00
    1.1700000E+00    5.9978288E+00   -5.9867927E+00   -3.9999999E+00   -4.1068087E+00   -4.2971120E+00   -4.2299065E+00   -8.2406159E+00   -3.8688278E+00   -2.8295687E+00   -3.5480636E+00   -6.4487016E+00   -7.0736778E+00   -1.4892255E+01   -1.4000000E+01   -1.4000005E+01   -4.4865436E+00   -1.4000000E+01   -6.6639089E+00   -3.0000000E+01   -3.2637179E+00   -7.7291553E+00   -8.7111965E+00   -7.6558185E+00   -1.0609588E+01   -1.1138230E+01   -1.8964794E+01   -2.7301623E+01   -8.4560487E+00   -7.6944001E+00   -9.9950624E+00   -1.2442329E+01   -7.6625851E+00   -1.1175906E+01   -7.1255221E+00
    1.3500000E+00    6.0077773E+00   -5.9963169E+00   -3.9999999E+00   -4.0604281E+00   -4.2477441E+00   -4.1709487E+00   -8.3186473E+00   -3.8291616E+00   -2.8113377E+00   -3.5624733E+00   -6.4487053E+00   -7.0842677E+00   -1.4918289E+01   -1.4000000E+01   -1.4000004E+01   -4.4383195E+00   -1.4000000E+01   -6.6495288E+00   -3.0000000E+01   -3.2350761E+00   -7.7906662E+00   -8.7528103E+00   -7.7259137E+00   -1.0611553E+01   -1.1156329E+01   -1.8979005E+01   -2.7332870E+01   -8.4456391E+00   -7.6544454E+00   -9.9693050E+00   -1.2433607E+01   -7.6463140E+00   -1.1091392E+01   -7.0514195E+00
    1.5300000E+00    6.0144706E+00   -6.0026071E+00   -3.9999999E+00   -4.0191712E+00   -4.2030699E+00   -4.1215984E+00   -8.3799455E+00   -3.7950387E+00   -2.7918932E+00   -3.5774131E+00   -6.4487090E+00   -7.0890813E+00   -1.4934753E+01   -1.4000000E+01   -1.4000004E+01   -4.3946058E+00   -1.4000000E+01   -6.6346110E+00   -3.0000000E+01   -3.2084977E+00   -7.8417849E+00   -8.7905425E+00   -7.7824262E+00   -1.0610932E+01   -1.1168007E+01   -1.8987268E+01   -2.7354290E+01   -8.4385064E+00   -7.6198744E+00   -9.9429825E+00   -1.2420443E+01   -7.6262442E+00   -1.1017300E+01   -6.9844607E+00
    1.7100000E+00    6.0182887E+00   -6.0060396E+00   -3.9999999E+00   -3.9818484E+00   -4.1621326E+00   -4.0795096E+00   -8.4270506E+00   -3.7651190E+00   -2.7712714E+00   -3.5929219E+00   -6.4487127E+00   -7.0879899E+00   -1.4942751E+01   -1.4000000E+01   -1.4000004E+01   -4.3544639E+00   -1.4000000E+01   -6.6191427E+00   -3.0000000E+01   -3.1836351E+00   -7.8843207E+00   -8.8254420E+00   -7.8275342E+00   -1.0607228E+01   -1.1174008E+01   -1.8989483E+01   -2.7367032E+01   -8.4342668E+00   -7.5899476E+00   -9.9152569E+00   -1.2403244E+01   -7.6019140E+00   -1.0951714E+01   -6.9231160E+00
