# Time          5.0000E+01
    Distance         pH
  9.0000E-02    5.8287E+00
  2.7000E-01    5.8755E+00
  4.5000E-01    5.9131E+00
  6.3000E-01    5.9428E+00
  8.1000E-01    5.9661E+00
  9.9000E-01    5.9841E+00
  1.1700E+00    5.9978E+00
  1.3500E+00    6.0078E+00
  1.5300E+00    6.0145E+00
  1.7100E+00    6.0183E+00
  1.8900E+00    6.0195E+00
  2.0700E+00    6.0203E+00
  2.2500E+00    6.0208E+00
  2.4300E+00    6.0212E+00
  2.6100E+00    6.0217E+00
  2.7900E+00    6.0221E+00
  2.9700E+00    6.0226E+00
  3.1500E+00    6.0231E+00
  3.3300E+00    6.0236E+00
  3.5100E+00    6.0242E+00
  3.6900E+00    6.0249E+00
  3.8700E+00    6.0257E+00
  4.0500E+00    6.0266E+00
  4.2300E+00    6.0276E+00
  4.4100E+00    6.0286E+00
  4.5900E+00    6.0299E+00
  4.7700E+00    6.0312E+00
  4.9500E+00    6.0327E+00
  5.1300E+00    6.0344E+00
  5.3100E+00    6.0362E+00
  5.4900E+00    6.0382E+00
  5.6700E+00    6.0405E+00
  5.8500E+00    6.0429E+00
  6.0300E+00    6.0456E+00
  6.2100E+00    6.0486E+00
  6.3900E+00    6.0519E+00
  6.5700E+00    6.0554E+00
  6.7500E+00    6.0594E+00
  6.9300E+00    6.0637E+00
  7.1100E+00    6.0685E+00
  7.2900E+00    6.0737E+00
  7.4700E+00    6.0794E+00
  7.6500E+00    6.0858E+00
  7.8300E+00    6.0928E+00
  8.0100E+00    6.1004E+00
  8.1900E+00    6.1091E+00
  8.3700E+00    6.1177E+00
  8.5500E+00    6.1261E+00
  8.7300E+00    6.1344E+00
  8.9100E+00    6.1424E+00
  9.0900E+00    6.1503E+00
  9.2700E+00    6.1579E+00
  9.4500E+00    6.1654E+00
  9.6300E+00    6.1728E+00
  9.8100E+00    6.1799E+00
  9.9900E+00    6.1869E+00
  1.0170E+01    6.1938E+00
  1.0350E+01    6.2005E+00
  1.0530E+01    6.2070E+00
  1.0710E+01    6.2134E+00
  1.0890E+01    6.2197E+00
  1.1070E+01    6.2258E+00
  1.1250E+01    6.2318E+00
  1.1430E+01    6.2376E+00
  1.1610E+01    6.2433E+00
  1.1790E+01    6.2488E+00
  1.1970E+01    6.2542E+00
  1.2150E+01    6.2595E+00
  1.2330E+01    6.2646E+00
  1.2510E+01    6.2677E+00
  1.2690E+01    6.2709E+00
  1.2870E+01    6.2740E+00
  1.3050E+01    6.2771E+00
  1.3230E+01    6.2802E+00
  1.3410E+01    6.2832E+00
  1.3590E+01    6.2862E+00
  1.3770E+01    6.2892E+00
  1.3950E+01    6.2921E+00
  1.4130E+01    6.2950E+00
  1.4310E+01    6.2979E+00
  1.4490E+01    6.3007E+00
  1.4670E+01    6.3035E+00
  1.4850E+01    6.3063E+00
  1.5030E+01    6.3090E+00
  1.5210E+01    6.3117E+00
  1.5390E+01    6.3144E+00
  1.5570E+01    6.3171E+00
  1.5750E+01    6.3197E+00
  1.5930E+01    6.3222E+00
  1.6110E+01    6.3248E+00
  1.6290E+01    6.3272E+00
  1.6470E+01    6.3297E+00
  1.6650E+01    6.3321E+00
  1.6830E+01    6.3345E+00
  1.7010E+01    6.3368E+00
  1.7190E+01    6.3390E+00
  1.7370E+01    6.3412E+00
  1.7550E+01    6.3434E+00
  1.7730E+01    6.3455E+00
  1.7910E+01    6.3475E+00
