# Time          5.0000E+01
# Units:           Transport Porosity  Mineral Porosity
    9.0000000E-02    1.0031089E-01    1.0031089E-01
    2.7000000E-01    1.0036988E-01    1.0036988E-01
    4.5000000E-01    1.0033038E-01    1.0033038E-01
    6.3000000E-01    1.0029337E-01    1.0029337E-01
    8.1000000E-01    1.0026024E-01    1.0026024E-01
    9.9000000E-01    1.0023095E-01    1.0023095E-01
    1.1700000E+00    1.0020516E-01    1.0020516E-01
    1.3500000E+00    1.0018235E-01    1.0018235E-01
    1.5300000E+00    1.0016211E-01    1.0016211E-01
    1.7100000E+00    1.0014409E-01    1.0014409E-01
    1.8900000E+00    1.0012799E-01    1.0012799E-01
    2.0700000E+00    1.0110839E-01    1.0110839E-01
    2.2500000E+00    1.0108475E-01    1.0108475E-01
    2.4300000E+00    1.0106367E-01    1.0106367E-01
    2.6100000E+00    1.0104458E-01    1.0104458E-01
    2.7900000E+00    1.0102723E-01    1.0102723E-01
    2.9700000E+00    1.0101144E-01    1.0101144E-01
    3.1500000E+00    1.0099703E-01    1.0099703E-01
    3.3300000E+00    1.0098385E-01    1.0098385E-01
    3.5100000E+00    1.0097179E-01    1.0097179E-01
    3.6900000E+00    1.0096074E-01    1.0096074E-01
    3.8700000E+00    1.0095061E-01    1.0095061E-01
    4.0500000E+00    1.0094131E-01    1.0094131E-01
    4.2300000E+00    1.0093278E-01    1.0093278E-01
    4.4100000E+00    1.0092496E-01    1.0092496E-01
    4.5900000E+00    1.0091780E-01    1.0091780E-01
    4.7700000E+00    1.0091124E-01    1.0091124E-01
    4.9500000E+00    1.0090524E-01    1.0090524E-01
    5.1300000E+00    1.0089978E-01    1.0089978E-01
    5.3100000E+00    1.0089482E-01    1.0089482E-01
    5.4900000E+00    1.0089032E-01    1.0089032E-01
    5.6700000E+00    1.0088627E-01    1.0088627E-01
    5.8500000E+00    1.0088264E-01    1.0088264E-01
    6.0300000E+00    1.0087940E-01    1.0087940E-01
    6.2100000E+00    1.0087656E-01    1.0087656E-01
    6.3900000E+00    1.0087407E-01    1.0087407E-01
    6.5700000E+00    1.0087194E-01    1.0087194E-01
    6.7500000E+00    1.0087015E-01    1.0087015E-01
    6.9300000E+00    1.0086869E-01    1.0086869E-01
    7.1100000E+00    1.0086754E-01    1.0086754E-01
    7.2900000E+00    1.0086670E-01    1.0086670E-01
    7.4700000E+00    1.0086617E-01    1.0086617E-01
    7.6500000E+00    1.0086592E-01    1.0086592E-01
    7.8300000E+00    1.0086597E-01    1.0086597E-01
    8.0100000E+00    1.0086629E-01    1.0086629E-01
    8.1900000E+00    9.9764961E-02    9.9764961E-02
    8.3700000E+00    9.9764528E-02    9.9764528E-02
    8.5500000E+00    9.9764477E-02    9.9764477E-02
    8.7300000E+00    9.9764711E-02    9.9764711E-02
    8.9100000E+00    9.9765170E-02    9.9765170E-02
    9.0900000E+00    9.9765813E-02    9.9765813E-02
    9.2700000E+00    9.9766606E-02    9.9766606E-02
    9.4500000E+00    9.9767526E-02    9.9767526E-02
    9.6300000E+00    9.9768549E-02    9.9768549E-02
    9.8100000E+00    9.9769659E-02    9.9769659E-02
    9.9900000E+00    9.9770839E-02    9.9770839E-02
    1.0170000E+01    9.9772076E-02    9.9772076E-02
    1.0350000E+01    9.9773357E-02    9.9773357E-02
    1.0530000E+01    9.9774673E-02    9.9774673E-02
    1.0710000E+01    9.9776013E-02    9.9776013E-02
    1.0890000E+01    9.9777369E-02    9.9777369E-02
    1.1070000E+01    9.9778734E-02    9.9778734E-02
    1.1250000E+01    9.9780101E-02    9.9780101E-02
    1.1430000E+01    9.9781463E-02    9.9781463E-02
    1.1610000E+01    9.9782816E-02    9.9782816E-02
    1.1790000E+01    9.9784152E-02    9.9784152E-02
    1.1970000E+01    9.9785468E-02    9.9785468E-02
    1.2150000E+01    9.9786759E-02    9.9786759E-02
    1.2330000E+01    9.9788019E-02    9.9788019E-02
    1.2510000E+01    9.9011291E-02    9.9011291E-02
    1.2690000E+01    9.9011289E-02    9.9011289E-02
    1.2870000E+01    9.9011240E-02    9.9011240E-02
    1.3050000E+01    9.9011229E-02    9.9011229E-02
    1.3230000E+01    9.9011237E-02    9.9011237E-02
    1.3410000E+01    9.9011255E-02    9.9011255E-02
    1.3590000E+01    9.9011275E-02    9.9011275E-02
    1.3770000E+01    9.9011296E-02    9.9011296E-02
    1.3950000E+01    9.9011315E-02    9.9011315E-02
    1.4130000E+01    9.9011331E-02    9.9011331E-02
    1.4310000E+01    9.9011343E-02    9.9011343E-02
    1.4490000E+01    9.9011351E-02    9.9011351E-02
    1.4670000E+01    9.9011356E-02    9.9011356E-02
    1.4850000E+01    9.9011357E-02    9.9011357E-02
    1.5030000E+01    9.9011356E-02    9.9011356E-02
    1.5210000E+01    9.9011353E-02    9.9011353E-02
    1.5390000E+01    9.9011350E-02    9.9011350E-02
    1.5570000E+01    9.9011347E-02    9.9011347E-02
    1.5750000E+01    9.9011346E-02    9.9011346E-02
    1.5930000E+01    9.9011350E-02    9.9011350E-02
    1.6110000E+01    9.9011358E-02    9.9011358E-02
    1.6290000E+01    9.9011374E-02    9.9011374E-02
    1.6470000E+01    9.9011400E-02    9.9011400E-02
    1.6650000E+01    9.9011435E-02    9.9011435E-02
    1.6830000E+01    9.9011483E-02    9.9011483E-02
    1.7010000E+01    9.9011545E-02    9.9011545E-02
    1.7190000E+01    9.9011621E-02    9.9011621E-02
    1.7370000E+01    9.9011714E-02    9.9011714E-02
    1.7550000E+01    9.9011823E-02    9.9011823E-02
    1.7730000E+01    9.9011951E-02    9.9011951E-02
    1.7910000E+01    9.9012096E-02    9.9012096E-02
