# Time          5.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -2.5797941E-01   -5.2613075E+00   -1.0283517E+01   -2.2969762E+00   -5.6279604E+01    1.6554532E-01    2.9625659E+00   -1.0488879E+01   -1.6696896E-01    3.8067276E+00   -1.1134717E+01   -1.6288790E-01   -4.7845305E+00   -4.3596061E+03    3.7750087E+00    1.8638651E+00
    2.7000000E-01    8.2279223E-03   -4.4726614E+00   -9.5608265E+00   -1.5068473E+00   -5.6244845E+01    1.2424602E-03    3.1828720E+00   -1.0418995E+01    3.6299106E-01    3.7693195E+00   -1.0003792E+01    1.0331943E-01   -4.4241223E+00   -5.4309577E+03    3.5349636E+00    1.5789537E+00
    4.5000000E-01    1.5672515E-01   -4.0253737E+00   -9.1027679E+00   -1.0084382E+00   -5.6258068E+01    1.5109085E-03    3.3332498E+00   -1.0418219E+01    6.7274029E-01    3.7182826E+00   -9.3342295E+00    2.5181666E-01   -4.1942392E+00   -6.3098363E+03    3.2904586E+00    1.4049381E+00
    6.3000000E-01    2.5684826E-01   -3.7174252E+00   -8.7637137E+00   -6.5157040E-01   -5.6283068E+01    1.6615285E-03    3.4490798E+00   -1.0450072E+01    8.9106013E-01    3.6774910E+00   -8.8761929E+00    3.5193977E-01   -4.0237680E+00   -6.6396542E+03    3.0384476E+00    1.2844192E+00
    8.1000000E-01    3.3093294E-01   -3.4876226E+00   -8.4927154E+00   -3.8400478E-01   -5.6305535E+01    1.7276358E-03    3.5326371E+00   -1.0500723E+01    1.0511927E+00    3.6416521E+00   -8.5383440E+00    4.2602445E-01   -3.8874080E+00   -6.6718757E+03    2.7782551E+00    1.1924150E+00
    9.9000000E-01    3.8893473E-01   -3.3073766E+00   -8.2661137E+00   -1.7670507E-01   -5.6318407E+01    1.7428493E-03    3.5917154E+00   -1.0557984E+01    1.1723959E+00    3.6094342E+00   -8.2763998E+00    4.8402624E-01   -3.7733544E+00   -6.6624404E+03    2.5093486E+00    1.1183043E+00
    1.1700000E+00    4.3613656E-01   -3.1610148E+00   -8.0713671E+00   -1.1684578E-02   -5.6318240E+01    1.7315575E-03    3.6333531E+00   -1.0613951E+01    1.2667104E+00    3.5804551E+00   -8.0658655E+00    5.3122808E-01   -3.6753359E+00   -6.6488531E+03    2.2311593E+00    1.0566129E+00
    1.3500000E+00    4.7580738E-01   -3.0381506E+00   -7.9010186E+00    1.2374969E-01   -5.6303762E+01    1.7085054E-03    3.6647475E+00   -1.0663267E+01    1.3435758E+00    3.5557569E+00   -7.8909695E+00    5.7089890E-01   -3.5896160E+00   -6.6344683E+03    1.9430602E+00    1.0045930E+00
    1.5300000E+00    5.0993497E-01   -2.9331149E+00   -7.7502974E+00    2.3687177E-01   -5.6274882E+01    1.6812580E-03    3.6881469E+00   -1.0705106E+01    1.4070660E+00    3.5342894E+00   -7.7431097E+00    6.0502649E-01   -3.5138010E+00   -6.6195457E+03    1.6443562E+00    9.5973166E-01
    1.7100000E+00    5.3985942E-01   -2.8417545E+00   -7.6158893E+00    3.3299116E-01   -5.6232142E+01    1.6531095E-03    3.7059948E+00   -1.0739246E+01    1.4606297E+00    3.5158667E+00   -7.6162689E+00    6.3495093E-01   -3.4462249E+00   -6.6040729E+03    1.3342739E+00    9.2059588E-01
