# Time          5.0000E+01
# Units: Mol/kgw
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -3.0106068E-04    1.0000000E-04    1.7126428E-05    1.0024713E-05    8.4195407E-06    5.9235905E-07    2.7358175E-05    1.5232586E-03    3.3818922E-04    3.5589598E-07    8.1749317E-08    2.2981020E-11    1.0000000E-14    1.0000000E-14    6.5801131E-06    1.0000000E-14    4.2205486E-05    1.0000000E-30
    2.7000000E-01   -3.4496773E-04    1.0000000E-04    2.9014238E-05    1.8174072E-05    1.4311699E-05    2.5448699E-07    5.0499692E-05    1.6003276E-03    3.2896657E-04    3.5589214E-07    1.0385843E-07    1.2831973E-11    1.0000000E-14    1.0000000E-14    1.1979010E-05    1.0000000E-14    3.5810597E-06    1.0000000E-30
    4.5000000E-01   -3.8733500E-04    1.0000000E-04    3.9951999E-05    2.5411149E-05    2.2167490E-05    1.4721683E-07    7.1085420E-05    1.6773399E-03    3.1983140E-04    3.5588856E-07    1.1254101E-07    1.0906680E-11    1.0000000E-14    1.0000000E-14    1.6681018E-05    1.0000000E-14    4.7329025E-07    1.0000000E-30
    6.3000000E-01   -4.2816533E-04    1.0000000E-04    5.0191672E-05    3.2027324E-05    3.1167816E-05    9.9716175E-08    8.9515549E-05    1.7575845E-03    3.1068149E-04    3.5588517E-07    1.1369153E-07    9.6049559E-12    1.0000000E-14    1.0000000E-14    2.0930107E-05    1.0000000E-14    2.2146470E-07    1.0000000E-30
    8.1000000E-01   -4.6772602E-04    1.0000000E-04    5.9909542E-05    3.8291709E-05    4.0579984E-05    7.4068853E-08    1.0616422E-04    1.8419243E-03    3.0150934E-04    3.5588193E-07    1.1153594E-07    8.7029973E-12    1.0000000E-14    1.0000000E-14    2.4921675E-05    1.0000000E-14    2.0562598E-07    1.0000000E-30
    9.9000000E-01   -5.0627520E-04    1.0000000E-04    6.9235913E-05    4.4395678E-05    4.9909110E-05    5.8546702E-08    1.2133193E-04    1.9310276E-03    2.9231466E-04    3.5587878E-07    1.0861998E-07    8.0723556E-12    1.0000000E-14    1.0000000E-14    2.8790749E-05    1.0000000E-14    2.1013988E-07    1.0000000E-30
    1.1700000E+00   -5.4403350E-04    1.0000000E-04    7.8272105E-05    5.0453113E-05    5.8897032E-05    4.8437115E-08    1.3526087E-04    2.0255512E-03    2.8309771E-04    3.5587569E-07    1.0626953E-07    7.6363516E-12    1.0000000E-14    1.0000000E-14    3.2617922E-05    1.0000000E-14    2.1681582E-07    1.0000000E-30
    1.3500000E+00   -5.8121051E-04    1.0000000E-04    8.7099377E-05    5.6526992E-05    6.7460756E-05    4.1558176E-08    1.4819662E-04    2.1261881E-03    2.7385880E-04    3.5587264E-07    1.0507282E-07    7.3467055E-12    1.0000000E-14    1.0000000E-14    3.6448568E-05    1.0000000E-14    2.2411508E-07    1.0000000E-30
    1.5300000E+00   -6.1796848E-04    1.0000000E-04    9.5785312E-05    6.2651289E-05    7.5579068E-05    3.6687522E-08    1.6031022E-04    2.2336385E-03    2.6459816E-04    3.5586960E-07    1.0523957E-07    7.1728843E-12    1.0000000E-14    1.0000000E-14    4.0308268E-05    1.0000000E-14    2.3194710E-07    1.0000000E-30
    1.7100000E+00   -6.5444695E-04    1.0000000E-04    1.0438751E-04    6.8844198E-05    8.3270335E-05    3.3162744E-08    1.7174377E-04    2.3486358E-03    2.5531601E-04    3.5586657E-07    1.0681476E-07    7.0950113E-12    1.0000000E-14    1.0000000E-14    4.4211577E-05    1.0000000E-14    2.4035722E-07    1.0000000E-30
    1.8900000E+00   -6.9077229E-04    1.0000000E-04    1.1296028E-04    7.5117664E-05    9.0559324E-05    3.0585202E-08    1.8262720E-04    2.4719600E-03    2.4601252E-04    3.5586353E-07    1.0978725E-07    7.1001001E-12    1.0000000E-14    1.0000000E-14    4.8170793E-05    1.0000000E-14    2.5097389E-07    1.0000000E-30
    2.0700000E+00   -7.2986264E-04    1.0000000E-04    1.2529800E-04    8.2284417E-05    8.9514318E-05    3.5183953E-08    1.9993294E-04    2.6065991E-03    2.3674857E-04    3.5585995E-07    1.0748931E-07    7.1226927E-12    1.0000000E-14    1.0000000E-14    5.4898260E-05    1.0000000E-14    1.3820507E-05    1.0000000E-30
    2.2500000E+00   -7.6875041E-04    1.0000000E-04    1.3761175E-04    8.9447525E-05    8.8388064E-05    3.1894575E-08    2.1648277E-04    2.7409616E-03    2.2782576E-04    3.5585638E-07    1.0828655E-07    7.1539652E-12    1.0000000E-14    1.0000000E-14    6.1589426E-05    1.0000000E-14    1.5822467E-05    1.0000000E-30
    2.4300000E+00   -8.0747841E-04    1.0000000E-04    1.4990239E-04    9.6607546E-05    8.7189995E-05    2.9203525E-08    2.3232835E-04    2.8747074E-03    2.1921488E-04    3.5585281E-07    1.1092137E-07    7.1866192E-12    1.0000000E-14    1.0000000E-14    6.8248519E-05    1.0000000E-14    1.6606843E-05    1.0000000E-30
    2.6100000E+00   -8.4605878E-04    1.0000000E-04    1.6216941E-04    1.0376464E-04    8.5927858E-05    2.6968504E-08    2.4750549E-04    3.0076906E-03    2.1092047E-04    3.5584924E-07    1.1469870E-07    7.2190178E-12    1.0000000E-14    1.0000000E-14    7.4878744E-05    1.0000000E-14    1.7278490E-05    1.0000000E-30
    2.7900000E+00   -8.8450175E-04    1.0000000E-04    1.7441168E-04    1.1091880E-04    8.4608612E-05    2.5084372E-08    2.6204632E-04    3.1398450E-03    2.0294402E-04    3.5584568E-07    1.1922775E-07    7.2503881E-12    1.0000000E-14    1.0000000E-14    8.1482851E-05    1.0000000E-14    1.7959356E-05    1.0000000E-30
    2.9700000E+00   -9.2281579E-04    1.0000000E-04    1.8662766E-04    1.1806988E-04    8.3238525E-05    2.3475665E-08    2.7597978E-04    3.2711078E-03    1.9528667E-04    3.5584211E-07    1.2428313E-07    7.2801587E-12    1.0000000E-14    1.0000000E-14    8.8063207E-05    1.0000000E-14    1.8663091E-05    1.0000000E-30
    3.1500000E+00   -9.6100776E-04    1.0000000E-04    1.9881542E-04    1.2521762E-04    8.1823255E-05    2.2086721E-08    2.8933209E-04    3.4014107E-03    1.8794948E-04    3.5583856E-07    1.2973023E-07    7.3078543E-12    1.0000000E-14    1.0000000E-14    9.4621838E-05    1.0000000E-14    1.9390754E-05    1.0000000E-30
    3.3300000E+00   -9.9908304E-04    1.0000000E-04    2.1097275E-04    1.3236169E-04    8.0367930E-05    2.0875591E-08    3.0212707E-04    3.5306784E-03    1.8093350E-04    3.5583500E-07    1.3548463E-07    7.3330603E-12    1.0000000E-14    1.0000000E-14    1.0116047E-04    1.0000000E-14    2.0141591E-05    1.0000000E-30
    3.5100000E+00   -1.0370457E-03    1.0000000E-04    2.2309716E-04    1.3950165E-04    7.8877213E-05    1.9810068E-08    3.1438641E-04    3.6588279E-03    1.7423972E-04    3.5583144E-07    1.4148943E-07    7.3554019E-12    1.0000000E-14    1.0000000E-14    1.0768058E-04    1.0000000E-14    2.0914254E-05    1.0000000E-30
    3.6900000E+00   -1.0748985E-03    1.0000000E-04    2.3518593E-04    1.4663701E-04    7.7355370E-05    1.8865008E-08    3.2612991E-04    3.7857682E-03    1.6786913E-04    3.5582788E-07    1.4770239E-07    7.3745295E-12    1.0000000E-14    1.0000000E-14    1.1418339E-04    1.0000000E-14    2.1706884E-05    1.0000000E-30
    3.8700000E+00   -1.1126433E-03    1.0000000E-04    2.4723614E-04    1.5376718E-04    7.5806316E-05    1.8020493E-08    3.3737565E-04    3.9113994E-03    1.6182273E-04    3.5582432E-07    1.5408839E-07    7.3901084E-12    1.0000000E-14    1.0000000E-14    1.2066992E-04    1.0000000E-14    2.2517074E-05    1.0000000E-30
    4.0500000E+00   -1.1502808E-03    1.0000000E-04    2.5924465E-04    1.6089152E-04    7.4233661E-05    1.7260526E-08    3.4814019E-04    4.0356121E-03    1.5610147E-04    3.5582076E-07    1.6061488E-07    7.4018101E-12    1.0000000E-14    1.0000000E-14    1.2714102E-04    1.0000000E-14    2.3341803E-05    1.0000000E-30
    4.2300000E+00   -1.1878108E-03    1.0000000E-04    2.7120812E-04    1.6800932E-04    7.2640753E-05    1.6572099E-08    3.5843868E-04    4.1582869E-03    1.5070632E-04    3.5581720E-07    1.6724903E-07    7.4093060E-12    1.0000000E-14    1.0000000E-14    1.3359733E-04    1.0000000E-14    2.4177376E-05    1.0000000E-30
    4.4100000E+00   -1.2252322E-03    1.0000000E-04    2.8312301E-04    1.7511981E-04    7.1030709E-05    1.5944513E-08    3.6828498E-04    4.2792927E-03    1.4563825E-04    3.5581364E-07    1.7395588E-07    7.4122626E-12    1.0000000E-14    1.0000000E-14    1.4003935E-04    1.0000000E-14    2.5019381E-05    1.0000000E-30
    4.5900000E+00   -1.2625431E-03    1.0000000E-04    2.9498559E-04    1.8222211E-04    6.9406449E-05    1.5368868E-08    3.7769171E-04    4.3984868E-03    1.4089822E-04    3.5581009E-07    1.8069707E-07    7.4103366E-12    1.0000000E-14    1.0000000E-14    1.4646743E-04    1.0000000E-14    2.5862637E-05    1.0000000E-30
    4.7700000E+00   -1.2997406E-03    1.0000000E-04    3.0679191E-04    1.8931531E-04    6.7770717E-05    1.4837686E-08    3.8667039E-04    4.5157129E-03    1.3648719E-04    3.5580653E-07    1.8742989E-07    7.4031718E-12    1.0000000E-14    1.0000000E-14    1.5288177E-04    1.0000000E-14    2.6701184E-05    1.0000000E-30
    4.9500000E+00   -1.3368213E-03    1.0000000E-04    3.1853781E-04    1.9639839E-04    6.6126107E-05    1.4344618E-08    3.9523145E-04    4.6308006E-03    1.3240614E-04    3.5580297E-07    1.9410670E-07    7.3903960E-12    1.0000000E-14    1.0000000E-14    1.5928243E-04    1.0000000E-14    2.7528277E-05    1.0000000E-30
    5.1300000E+00   -1.3737806E-03    1.0000000E-04    3.3021887E-04    2.0347027E-04    6.4475085E-05    1.3884221E-08    4.0338429E-04    4.7435636E-03    1.2865608E-04    3.5579941E-07    2.0067442E-07    7.3716182E-12    1.0000000E-14    1.0000000E-14    1.6566932E-04    1.0000000E-14    2.8336421E-05    1.0000000E-30
