# Time          5.0000E+01
# Units: Mol/g solid
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02    0.0000000E+00    0.0000000E+00    3.9300776E-08    6.2462515E-06    3.2825990E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.5734240E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.7000000E-01    0.0000000E+00    0.0000000E+00    4.9378921E-08    6.2064736E-06    4.1384821E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.5660247E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01    0.0000000E+00    0.0000000E+00    5.7426069E-08    6.1719689E-06    5.4141463E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.5322832E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.3000000E-01    0.0000000E+00    0.0000000E+00    6.4157288E-08    6.1361411E-06    6.7699613E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.4965433E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.1000000E-01    0.0000000E+00    0.0000000E+00    6.9921337E-08    6.1021129E-06    8.0484626E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.4633960E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.9000000E-01    0.0000000E+00    0.0000000E+00    7.4938188E-08    6.0718086E-06    9.1803690E-07    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.4342710E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.1700000E+00    0.0000000E+00    0.0000000E+00    7.9376895E-08    6.0456892E-06    1.0151022E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.4093517E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.3500000E+00    0.0000000E+00    0.0000000E+00    8.3370942E-08    6.0233609E-06    1.0974896E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.3882357E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5300000E+00    0.0000000E+00    0.0000000E+00    8.7026603E-08    6.0042761E-06    1.1671433E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.3704408E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.7100000E+00    0.0000000E+00    0.0000000E+00    9.0427647E-08    5.9878584E-06    1.2261180E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.3554704E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.8900000E+00    0.0000000E+00    0.0000000E+00    9.3641854E-08    5.9735394E-06    1.2761045E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    3.3430101E-06    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.0700000E+00    0.0000000E+00    0.0000000E+00    2.4700659E-10    1.4775525E-08    2.9997583E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.6041075E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.2500000E+00    0.0000000E+00    0.0000000E+00    2.5931037E-10    1.4650920E-08    2.8314422E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.8060616E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.4300000E+00    0.0000000E+00    0.0000000E+00    2.7109335E-10    1.4551231E-08    2.6806919E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.9746484E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.6100000E+00    0.0000000E+00    0.0000000E+00    2.8241430E-10    1.4470367E-08    2.5441445E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.1175944E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.7900000E+00    0.0000000E+00    0.0000000E+00    2.9332039E-10    1.4404020E-08    2.4193084E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.2404238E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.9700000E+00    0.0000000E+00    0.0000000E+00    3.0385002E-10    1.4349059E-08    2.3042918E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.3471889E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.1500000E+00    0.0000000E+00    0.0000000E+00    3.1403495E-10    1.4303158E-08    2.1976283E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.4409287E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.3300000E+00    0.0000000E+00    0.0000000E+00    3.2390167E-10    1.4264554E-08    2.0981609E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.5239663E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5100000E+00    0.0000000E+00    0.0000000E+00    3.3347250E-10    1.4231892E-08    2.0049624E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.5981071E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.6900000E+00    0.0000000E+00    0.0000000E+00    3.4276640E-10    1.4204111E-08    1.9172797E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.6647753E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.8700000E+00    0.0000000E+00    0.0000000E+00    3.5179959E-10    1.4180372E-08    1.8344935E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.7251085E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.0500000E+00    0.0000000E+00    0.0000000E+00    3.6058598E-10    1.4160005E-08    1.7560891E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.7800267E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.2300000E+00    0.0000000E+00    0.0000000E+00    3.6913756E-10    1.4142465E-08    1.6816346E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.8302810E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.4100000E+00    0.0000000E+00    0.0000000E+00    3.7746469E-10    1.4127309E-08    1.6107647E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.8764910E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5900000E+00    0.0000000E+00    0.0000000E+00    3.8557634E-10    1.4114171E-08    1.5431676E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.9191718E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.7700000E+00    0.0000000E+00    0.0000000E+00    3.9348023E-10    1.4102749E-08    1.4785759E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.9587552E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.9500000E+00    0.0000000E+00    0.0000000E+00    4.0118303E-10    1.4092790E-08    1.4167584E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.9956057E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.1300000E+00    0.0000000E+00    0.0000000E+00    4.0869046E-10    1.4084079E-08    1.3575143E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0030033E-08    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.3100000E+00    0.0000000E+00    0.0000000E+00    4.1600736E-10    1.4076437E-08    1.3006686E-09    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0062301E-08    0.0000000E+00    0.0000000E+00    0.0000000E+00
