# Time          5.0000E+01
# Units: Mol/kgw/yr
    Distance        CH2O_decomp      FeII_oxidation_a
    9.0000000E-02    1.9546581E-01    9.4926684E-06
    2.7000000E-01    2.1598609E-02    1.4180094E-05
    4.5000000E-01    2.9290852E-03    1.8063722E-05
    6.3000000E-01    8.7476143E-04    2.0878633E-05
    8.1000000E-01    6.4312971E-04    2.2676851E-05
    9.9000000E-01    6.1634326E-04    2.3652597E-05
    1.1700000E+00    6.1313417E-04    2.4032581E-05
    1.3500000E+00    6.1268389E-04    2.4016749E-05
    1.5300000E+00    6.1253898E-04    2.3755697E-05
    1.7100000E+00    6.1240182E-04    2.3350226E-05
    1.8900000E+00    6.1574204E-04    2.2860593E-05
    2.0700000E+00    3.1338022E-02    2.1448764E-05
    2.2500000E+00    3.5624671E-02    2.0500198E-05
    2.4300000E+00    3.6240040E-02    1.9854649E-05
    2.6100000E+00    3.6328772E-02    1.9404009E-05
    2.7900000E+00    3.6339192E-02    1.9078877E-05
    2.9700000E+00    3.6337374E-02    1.8835669E-05
    3.1500000E+00    3.6333478E-02    1.8647010E-05
    3.3300000E+00    3.6329243E-02    1.8495670E-05
    3.5100000E+00    3.6325110E-02    1.8370839E-05
    3.6900000E+00    3.6321330E-02    1.8265817E-05
    3.8700000E+00    3.6318140E-02    1.8176590E-05
    4.0500000E+00    3.6315795E-02    1.8100933E-05
    4.2300000E+00    3.6314569E-02    1.8037836E-05
    4.4100000E+00    3.6314755E-02    1.7987148E-05
    4.5900000E+00    3.6316663E-02    1.7949332E-05
    4.7700000E+00    3.6320612E-02    1.7925313E-05
    4.9500000E+00    3.6326924E-02    1.7916371E-05
    5.1300000E+00    3.6335913E-02    1.7924062E-05
    5.3100000E+00    3.6347871E-02    1.7950162E-05
    5.4900000E+00    3.6363056E-02    1.7996622E-05
    5.6700000E+00    3.6381674E-02    1.8065524E-05
    5.8500000E+00    3.6403861E-02    1.8159043E-05
    6.0300000E+00    3.6429668E-02    1.8279408E-05
    6.2100000E+00    3.6459044E-02    1.8428860E-05
    6.3900000E+00    3.6491822E-02    1.8609605E-05
    6.5700000E+00    3.6527715E-02    1.8823773E-05
    6.7500000E+00    3.6566315E-02    1.9073356E-05
    6.9300000E+00    3.6607093E-02    1.9360161E-05
    7.1100000E+00    3.6649421E-02    1.9685740E-05
    7.2900000E+00    3.6692590E-02    2.0051326E-05
    7.4700000E+00    3.6735838E-02    2.0457755E-05
    7.6500000E+00    3.6778386E-02    2.0905377E-05
    7.8300000E+00    3.6819470E-02    2.1393951E-05
    8.0100000E+00    3.6853085E-02    2.1922739E-05
    8.1900000E+00    1.0253767E-02    2.2858991E-05
    8.3700000E+00    3.1510993E-03    2.3663722E-05
    8.5500000E+00    1.2774080E-03    2.4309926E-05
    8.7300000E+00    7.8955531E-04    2.4803846E-05
    8.9100000E+00    6.6416749E-04    2.5160917E-05
    9.0900000E+00    6.3231754E-04    2.5399323E-05
    9.2700000E+00    6.2428533E-04    2.5537667E-05
