# Time series at grid cell: 100   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                1.58993076169105E-05   2.07991082682505E-05   1.72801649078997E-12   4.91997974941823E-05   3.87000004770732E-05   1.25000995629958E-04   9.20985527491386E-07   1.35000004040097E-06   7.11997556728960E+00   7.17822154425451E-03   3.43217548666032E-04
  2.00000E-09                1.58993075329496E-05   2.07991081609816E-05   1.92655601048999E-12   4.91997977316172E-05   3.87000009541462E-05   1.25000996554039E-04   9.20971055337367E-07   1.35000008080194E-06   7.11997538015753E+00   7.17822201415481E-03   3.43217527634855E-04
  3.00000E-09                1.58993075821224E-05   2.07991082241495E-05   2.11348528637521E-12   4.91997980184081E-05   3.87000014312194E-05   1.25000997276940E-04   9.20956583310995E-07   1.35000012120291E-06   7.11997519774972E+00   7.17822248439671E-03   3.43217506702240E-04
  4.00000E-09                1.58993076312926E-05   2.07991082873137E-05   2.30060482365818E-12   4.91997983051721E-05   3.87000019082926E-05   1.25000997999767E-04   9.20942111525351E-07   1.35000016160386E-06   7.11997501534317E+00   7.17822295464350E-03   3.43217485769701E-04
  5.00000E-09                1.58993076804633E-05   2.07991083504785E-05   2.48786704650134E-12   4.91997985919412E-05   3.87000023853658E-05   1.25000998722610E-04   9.20927639980641E-07   1.35000020200482E-06   7.11997483293737E+00   7.17822342488896E-03   3.43217464837234E-04
  7.00000E-09                1.58993077766919E-05   2.07991084741033E-05   2.88589918101227E-12   4.91997991646944E-05   3.87000033395118E-05   1.25001000171481E-04   9.20898698196016E-07   1.35000028280675E-06   7.11997446805434E+00   7.17822436537006E-03   3.43217422971035E-04
  1.10000E-08                1.58993079691557E-05   2.07991087213618E-05   3.71622601335533E-12   4.91998003102460E-05   3.87000052478031E-05   1.25001003069340E-04   9.20840819163338E-07   1.35000044441061E-06   7.11997373830016E+00   7.17822624631176E-03   3.43217339239818E-04
  1.90000E-08                1.58993083540781E-05   2.07991092158709E-05   5.12501685205024E-12   4.91998026013152E-05   3.87000090643916E-05   1.25001008864974E-04   9.20725071966557E-07   1.35000076761789E-06   7.11997227883943E+00   7.17823000810102E-03   3.43217171782077E-04
  3.50000E-08                1.58993091239285E-05   2.07991102048939E-05   8.18262947008773E-12   4.91998071834909E-05   3.87000166975653E-05   1.25001020456342E-04   9.20493642858174E-07   1.35000141403204E-06   7.11996936011025E+00   7.17823753133387E-03   3.43216836885443E-04
  6.70000E-08                1.58993106636286E-05   2.07991121829281E-05   1.43693014148092E-11   4.91998163478441E-05   3.87000319639175E-05   1.25001043639106E-04   9.20031031093775E-07   1.35000270685782E-06   7.11996352341732E+00   7.17825257640288E-03   3.43216167167560E-04
  1.31000E-07                1.58993137430438E-05   2.07991161389731E-05   2.68477293087647E-11   4.91998346766711E-05   3.87000624966397E-05   1.25001090005038E-04   9.19106792286434E-07   1.35000529249929E-06   7.11995185309218E+00   7.17828266095408E-03   3.43214828033261E-04
  2.59000E-07                1.58993199019637E-05   2.07991240510104E-05   5.02647304441665E-11   4.91998713350030E-05   3.87001235621385E-05   1.25001182739016E-04   9.17262244871956E-07   1.35001046374189E-06   7.11992852467655E+00   7.17834280770965E-03   3.43212150969956E-04
  5.15000E-07                1.58993322201954E-05   2.07991398749232E-05   9.84272580815164E-11   4.91999446545915E-05   3.87002456932530E-05   1.25001368215956E-04   9.13588801678756E-07   1.35002080606588E-06   7.11988191671856E+00   7.17846301183707E-03   3.43206801659948E-04
  1.02700E-06                1.58993568581481E-05   2.07991715220167E-05   1.94754413309496E-10   4.92000913050244E-05   3.87004899550346E-05   1.25001739204629E-04   9.06303973456174E-07   1.35004149007022E-06   7.11978889577479E+00   7.17870306259152E-03   3.43196122269820E-04
  2.05100E-06                1.58994061399625E-05   2.07992348133847E-05   3.87399629881730E-10   4.92003846509346E-05   3.87009784691721E-05   1.25002481320983E-04   8.91978240494086E-07   1.35008285551350E-06   7.11960362964485E+00   7.17918173446283E-03   3.43174840118289E-04
  4.09900E-06                1.58995047265253E-05   2.07993613852312E-05   7.72591465624826E-10   4.92009715208984E-05   3.87019553949904E-05   1.25003966102876E-04   8.64269196802452E-07   1.35016557621184E-06   7.11923616791151E+00   7.18013336389277E-03   3.43132580023644E-04
  8.19500E-06                1.58997019857536E-05   2.07996144876736E-05   1.54075961632454E-09   4.92021459545902E-05   3.87039082770330E-05   1.25006937802596E-04   8.12372540794053E-07   1.35033097743365E-06   7.11851327481265E+00   7.18201381887354E-03   3.43049258531152E-04
  1.63870E-05                1.59000968058385E-05   2.08001205386596E-05   3.07080583691969E-09   4.92044974292891E-05   3.87078052959520E-05   1.25012889222470E-04   7.20928994198374E-07   1.35066162366648E-06   7.11711371649840E+00   7.18568420240940E-03   3.42887270044981E-04
  3.27710E-05                1.59008873852996E-05   2.08011320938310E-05   6.07027079766517E-09   4.92092095835355E-05   3.87155279331788E-05   1.25024820354220E-04   5.76651190629672E-07   1.35132232516996E-06   7.11448597311608E+00   7.19267136421451E-03   3.42580859229182E-04
  6.55390E-05                1.59024707136403E-05   2.08031530485996E-05   1.16067677296103E-08   4.92186612755034E-05   3.87304217286142E-05   1.25048767592423E-04   3.87564422072517E-07   1.35264160664072E-06   7.10982672685615E+00   7.20532357056324E-03   3.42030853767868E-04
  1.31075E-04                1.59056397135703E-05   2.08071861733179E-05   1.99641226054178E-08   4.92376240394312E-05   3.87569612429002E-05   1.25096852993356E-04   2.00443756250172E-07   1.35527325409839E-06   7.10237092554985E+00   7.22614718376107E-03   3.41134431968884E-04
  2.62147E-04                1.59119834351157E-05   2.08152373222284E-05   2.79971904040416E-08   4.92756861709797E-05   3.87997547185573E-05   1.25193449269389E-04   7.35561759934070E-08   1.36051748266724E-06   7.09234028243281E+00   7.25512287318489E-03   3.39898677768757E-04
  5.24291E-04                1.59247205390715E-05   2.08313732058558E-05   3.19876362787008E-08   4.93522801565216E-05   3.88715975598778E-05   1.25387940972574E-04   1.92770539843629E-08   1.37096566800329E-06   7.08204331819545E+00   7.28606694210814E-03   3.38593580709622E-04
  1.04858E-03                1.59503073880736E-05   2.08637586649109E-05   3.27818485433461E-08   4.95064229942997E-05   3.90080843714450E-05   1.25779445765541E-04   5.65125835267835E-09   1.39180388999500E-06   7.07484900595301E+00   7.30905064958522E-03   3.37651317149948E-04
  2.09715E-03                1.60015142148276E-05   2.09285352708798E-05   3.25389091417414E-08   4.98156125119395E-05   3.92791364016408E-05   1.26564812265261E-04   3.79094907423788E-09   1.43342831150374E-06   7.07187351157686E+00   7.32080916413815E-03   3.37229719687509E-04
  4.12340E-03                1.61000876859327E-05   2.10531420992737E-05   3.19628245770441E-08   5.04132713007264E-05   3.97979292595487E-05   1.28082970135336E-04   3.66276627119871E-09   1.51383433116331E-06   7.07147329415391E+00   7.32723536716866E-03   3.37111271504706E-04
  7.42709E-03                1.62595038583602E-05   2.12544259764119E-05   3.10913396158874E-08   5.13870227420045E-05   4.06290084509611E-05   1.30556745926127E-04   3.65265402427371E-09   1.64491606512187E-06   7.07198063382577E+00   7.33413671434287E-03   3.37070501229206E-04
  1.27846E-02                1.65148717819663E-05   2.15762666990483E-05   2.97879803342410E-08   5.29637402649921E-05   4.19425639025991E-05   1.34562336121182E-04   3.64159210011163E-09   1.85736266157497E-06   7.07293451937404E+00   7.34446319762320E-03   3.37025412872797E-04
  2.06913E-02                1.68847081333178E-05   2.20414006997317E-05   2.79066960662627E-08   5.52862947575990E-05   4.39870361993122E-05   1.40463066074543E-04   3.63437733627810E-09   2.16718774814473E-06   7.07346763258832E+00   7.34736717262572E-03   3.36960427631935E-04
  2.92632E-02                1.72838242947383E-05   2.25435041150746E-05   2.53798711549246E-08   5.78506635514765E-05   4.70512495910806E-05   1.46978312883392E-04   3.66644258441065E-09   2.48601496066644E-06   7.07020302077216E+00   7.29696865980541E-03   3.36890008575840E-04
  3.87799E-02                1.77647106581940E-05   2.31522935202963E-05   2.12359812032909E-08   6.10175741253185E-05   5.31911527109188E-05   1.55015681178350E-04   3.81159853811313E-09   2.79159950417351E-06   7.05644779785285E+00   7.10229107328027E-03   3.36813928879081E-04
  5.07598E-02                1.85652849023409E-05   2.41762178816819E-05   1.45758304754065E-08   6.64821382073928E-05   6.81872775222051E-05   1.68862980669809E-04   4.28736846644307E-09   3.05583131210291E-06   7.01566725868581E+00   6.56763678453731E-03   3.36723215259752E-04
  6.71638E-02                2.02435683439545E-05   2.63232353422705E-05   7.64029082910176E-09   7.86105944244443E-05   1.01481929292791E-04   1.99556971313492E-04   5.69438062214443E-09   3.19696436704564E-06   6.92057246512234E+00   5.50364421825281E-03   3.36607733294672E-04
  8.95321E-02                2.32911621927681E-05   3.01359962850671E-05   3.75563359484231E-09   1.02483376252452E-04   1.53312746492385E-04   2.59877771128234E-04   9.33754172974488E-09   3.17513249859602E-06   6.76414872008296E+00   4.18891275883901E-03   3.36453860279759E-04
  1.18938E-01                2.73739143837302E-05   3.49523521124964E-05   2.76003703254413E-09   1.36985480410679E-04   2.05549009447119E-04   3.46927667100822E-04   1.60952514494812E-08   3.07858987788122E-06   6.60277618953393E+00   3.24250825453683E-03   3.36215930054706E-04
  1.57367E-01                3.17066805674260E-05   3.95601911389247E-05   2.45011348814868E-09   1.75086159795325E-04   2.38734907309618E-04   4.43070617036211E-04   2.07177368984262E-08   3.00060903122197E-06   6.53004652169817E+00   2.90622146704723E-03   3.35784582121556E-04
