# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997815848685E-05   7.24994645638837E-05   3.48309731117132E-09   6.81012265087001E-06   4.31999908173227E-05   1.21002342672814E-05   8.78999451761294E-07   5.27999782855721E-09   5.96999099340579E+00   1.59221855927418E-03   3.43460855785091E-04
  2.00000E-09                2.88997753541604E-05   7.24994489868374E-05   3.48619599642737E-09   6.81011938390670E-06   4.31999816346485E-05   1.21002284345280E-05   8.78998903523981E-07   5.27999565711714E-09   5.96999022574990E+00   1.59221865009318E-03   3.43460834930397E-04
  3.00000E-09                2.88997690810208E-05   7.24994332807962E-05   3.48929330974163E-09   6.81011614635941E-06   4.31999724520040E-05   1.21002226584367E-05   8.78998355287243E-07   5.27999348567532E-09   5.96998969144855E+00   1.59221888918637E-03   3.43460814065248E-04
  4.00000E-09                2.88997627002669E-05   7.24994172972607E-05   3.49239062181343E-09   6.81011297446261E-06   4.31999632693671E-05   1.21002170086437E-05   8.78997807051323E-07   5.27999131423465E-09   5.96998928820162E+00   1.59221921490076E-03   3.43460793177003E-04
  5.00000E-09                2.88997562580549E-05   7.24994011552292E-05   3.49548793236991E-09   6.81010984049023E-06   4.31999540867371E-05   1.21002114317817E-05   8.78997258816122E-07   5.27998914279504E-09   5.96998896025538E+00   1.59221959038526E-03   3.43460772275533E-04
  7.00000E-09                2.88997432429332E-05   7.24993685383094E-05   3.50168666245688E-09   6.81010365117131E-06   4.31999357214909E-05   1.21002004293258E-05   8.78996162348867E-07   5.27998479992119E-09   5.96998842469683E+00   1.59222042178997E-03   3.43460730445262E-04
  1.10000E-08                2.88997171564164E-05   7.24993031535261E-05   3.51409230132105E-09   6.81009130778366E-06   4.31998989910823E-05   1.21001784922575E-05   8.78993969425346E-07   5.27997611419033E-09   5.96998747619782E+00   1.59222216418789E-03   3.43460646774170E-04
  1.90000E-08                2.88996649264327E-05   7.24991722370228E-05   3.53884868147956E-09   6.81006665647302E-06   4.31998255307940E-05   1.21001346862995E-05   8.78989583610751E-07   5.27995874276803E-09   5.96998564980045E+00   1.59222569539230E-03   3.43460479427472E-04
  3.50000E-08                2.88995604342897E-05   7.24989103228765E-05   3.58840483095058E-09   6.81001737355126E-06   4.31996786116665E-05   1.21000471122376E-05   8.78980812144049E-07   5.27992400016679E-09   5.96998201953581E+00   1.59223277238639E-03   3.43460144758947E-04
  6.70000E-08                2.88993514418404E-05   7.24983864744203E-05   3.68751545122080E-09   6.80991881642755E-06   4.31993847796125E-05   1.20998719805883E-05   8.78963269838367E-07   5.27985451587946E-09   5.96997476338874E+00   1.59224692607549E-03   3.43459475546454E-04
  1.31000E-07                2.88989334667689E-05   7.24973388021598E-05   3.88573183942527E-09   6.80972171096310E-06   4.31987971399731E-05   1.20995217330610E-05   8.78928187737362E-07   5.27971555096522E-09   5.96996025559201E+00   1.59227522291931E-03   3.43458137628569E-04
  2.59000E-07                2.88980975634434E-05   7.24952435747361E-05   4.28211965543331E-09   6.80932753093243E-06   4.31976219558812E-05   1.20988212929377E-05   8.78858033572587E-07   5.27943763577774E-09   5.96993125704177E+00   1.59233177372911E-03   3.43455463821344E-04
  5.15000E-07                2.88964259442426E-05   7.24910535885473E-05   5.07474509898069E-09   6.80853929183087E-06   4.31952719469487E-05   1.20974206275184E-05   8.78717765358385E-07   5.27888186396061E-09   5.96987332802674E+00   1.59244470399468E-03   3.43450124310586E-04
  1.02700E-06                2.88930834508893E-05   7.24826754793151E-05   6.65919808093014E-09   6.80696330122033E-06   4.31905731939074E-05   1.20946201631488E-05   8.78437389123806E-07   5.27777055450827E-09   5.96975774107734E+00   1.59266988060474E-03   3.43439477614811E-04
  2.05100E-06                2.88864014337684E-05   7.24659266870796E-05   9.82361668325735E-09   6.80381326468442E-06   4.31811793748911E-05   1.20890226901700E-05   8.77877275304413E-07   5.27554887193640E-09   5.96952764313805E+00   1.59311751006275E-03   3.43418312827165E-04
  4.09900E-06                2.88730492502644E-05   7.24324587408233E-05   1.61248905963454E-08   6.79752095191747E-06   4.31623962351676E-05   1.20778415343836E-05   8.76759585495894E-07   5.27110924896717E-09   5.96907168627269E+00   1.59400196925445E-03   3.43376492133528E-04
  8.19500E-06                2.88463919306773E-05   7.23656405274933E-05   2.85340788040863E-08   6.78496715746999E-06   4.31247680210171E-05   1.20555340092928E-05   8.74534226715484E-07   5.26224494651567E-09   5.96817622069717E+00   1.59572843661651E-03   3.43294842918388E-04
  1.63870E-05                2.87932627175285E-05   7.22324680075103E-05   5.20663779967936E-08   6.75998125274375E-06   4.30487262267097E-05   1.20111351842440E-05   8.70122603083146E-07   5.24457591455049E-09   5.96644732787439E+00   1.59901741651301E-03   3.43139180423193E-04
  3.27710E-05                2.86877277427965E-05   7.19679334056469E-05   9.16941109873467E-08   6.71048497803523E-06   4.28911289323114E-05   1.19231824874518E-05   8.61448555691047E-07   5.20947454507872E-09   5.96321304512646E+00   1.60498489382286E-03   3.42855944902349E-04
  6.55390E-05                2.84794580020158E-05   7.14458721819721E-05   1.42615272360271E-07   6.61333163241506E-06   4.25549255150422E-05   1.17505448930317E-05   8.44648652835179E-07   5.14020597592010E-09   5.95750302724407E+00   1.61481303001150E-03   3.42385041816523E-04
  1.31075E-04                2.80736102490121E-05   7.04285035655792E-05   1.88321770972359E-07   6.42601774884437E-06   4.18540415274220E-05   1.14176942171681E-05   8.12947672938667E-07   5.00530730534546E-09   5.94840548619297E+00   1.62815173113427E-03   3.41725233684941E-04
  2.62147E-04                2.73012846283088E-05   6.84922859110490E-05   2.24044694121416E-07   6.07693070196095E-06   4.04953033388280E-05   1.07973765776574E-05   7.55661496798138E-07   4.74931841485427E-09   5.93591809517026E+00   1.63984209882856E-03   3.41057162272712E-04
  5.24291E-04                2.58951109901831E-05   6.49664828674068E-05   2.62237554017783E-07   5.46630323121698E-06   3.80726489883110E-05   9.71231502416938E-06   6.59436054606379E-07   4.28719253658808E-09   5.92087431508363E+00   1.63909005548422E-03   3.40735338300617E-04
  1.04858E-03                2.35402066907515E-05   5.90604048308720E-05   3.21591818159689E-07   4.51599833758515E-06   3.42201240333366E-05   8.02368500855029E-06   5.17184428875546E-07   3.52694264542610E-09   5.90236788865322E+00   1.61855817768740E-03   3.40919368780296E-04
  2.09715E-03                2.01602247525328E-05   5.05800980728838E-05   4.27352239509886E-07   3.31036899935235E-06   2.91819303083580E-05   5.88141416954714E-06   3.46915118822131E-07   2.46465327546305E-09   5.87760138769589E+00   1.58434884342430E-03   3.41340776656373E-04
