# Time          5.0000E+01
# Units: Weight % Mineral
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    2.6558927E+01    1.2280151E+01    9.7933587E-02    3.2860766E-01    0.0000000E+00    8.1529769E+00    1.0918591E+00    1.5861011E+01    1.9414002E+00    8.6966710E+00    1.6068639E+01    8.8789917E+00    1.0792276E-06    4.2827401E-02    1.1573415E-06    1.0461456E-06
    2.7000000E-01    2.6563137E+01    1.2286603E+01    9.8968993E-02    3.2871512E-01    0.0000000E+00    8.1326385E+00    1.0920321E+00    1.5863525E+01    1.9419295E+00    8.6974908E+00    1.6071186E+01    8.8809363E+00    1.0793995E-06    4.2834188E-02    1.1575250E-06    1.0463114E-06
    4.5000000E-01    2.6562469E+01    1.2289902E+01    9.9825052E-02    3.2876487E-01    0.0000000E+00    8.1324546E+00    1.0920046E+00    1.5863126E+01    1.9421709E+00    8.6944634E+00    1.6070781E+01    8.8812025E+00    1.0793733E-06    4.2833109E-02    1.1574958E-06    1.0462851E-06
    6.3000000E-01    2.6561818E+01    1.2292394E+01    1.0051602E-01    3.2881895E-01    0.0000000E+00    8.1322702E+00    1.0919779E+00    1.5862737E+01    1.9424793E+00    8.6923360E+00    1.6070387E+01    8.8814309E+00    1.0793481E-06    4.2832059E-02    1.1574674E-06    1.0462594E-06
    8.1000000E-01    2.6561256E+01    1.2294303E+01    1.0107149E-01    3.2887924E-01    0.0000000E+00    8.1321075E+00    1.0919548E+00    1.5862401E+01    1.9428355E+00    8.6906587E+00    1.6070047E+01    8.8816517E+00    1.0793268E-06    4.2831153E-02    1.1574429E-06    1.0462373E-06
    9.9000000E-01    2.6560784E+01    1.2295770E+01    1.0151538E-01    3.2894582E-01    0.0000000E+00    8.1319679E+00    1.0919353E+00    1.5862119E+01    1.9432197E+00    8.6892767E+00    1.6069761E+01    8.8818709E+00    1.0793094E-06    4.2830392E-02    1.1574224E-06    1.0462187E-06
    1.1700000E+00    2.6560392E+01    1.2296886E+01    1.0186481E-01    3.2901795E-01    0.0000000E+00    8.1318495E+00    1.0919192E+00    1.5861885E+01    1.9436169E+00    8.6881227E+00    1.6069524E+01    8.8820899E+00    1.0792953E-06    4.2829759E-02    1.1574053E-06    1.0462032E-06
    1.3500000E+00    2.6560071E+01    1.2297713E+01    1.0213211E-01    3.2907219E-01    0.0000000E+00    8.1317510E+00    1.0919060E+00    1.5861693E+01    1.9440200E+00    8.6871678E+00    1.6069330E+01    8.8823106E+00    1.0792844E-06    4.2829242E-02    1.1573913E-06    1.0461906E-06
    1.5300000E+00    2.6559815E+01    1.2298296E+01    1.0232625E-01    3.2909755E-01    0.0000000E+00    8.1316712E+00    1.0918955E+00    1.5861541E+01    1.9444256E+00    8.6863898E+00    1.6069175E+01    8.8825347E+00    1.0792763E-06    4.2828830E-02    1.1573802E-06    1.0461805E-06
    1.7100000E+00    2.6559617E+01    1.2298662E+01    1.0245374E-01    3.2910268E-01    0.0000000E+00    8.1316082E+00    1.0918874E+00    1.5861422E+01    1.9448315E+00    8.6857654E+00    1.6069055E+01    8.8827629E+00    1.0792707E-06    4.2828510E-02    1.1573715E-06    1.0461727E-06
    1.8900000E+00    2.6559469E+01    1.2298831E+01    1.0251939E-01    3.2910084E-01    0.0000000E+00    8.1315603E+00    1.0918813E+00    1.5861334E+01    1.9452368E+00    8.6852744E+00    1.6068966E+01    8.8829962E+00    1.0792672E-06    4.2828271E-02    1.1573651E-06    1.0461669E-06
    2.0700000E+00    2.1633547E+01    1.8720596E+01    1.0799995E-01    4.6207596E-01    0.0000000E+00    9.6858469E+00    1.5330622E+00    1.5105004E+01    2.0873981E+00    7.9792373E+00    1.0624998E+01    9.3542338E+00    1.1365166E-06    2.7059977E+00    1.2187538E-06    1.1016575E-06
    2.2500000E+00    2.1633393E+01    1.8720640E+01    1.0803076E-01    4.6207266E-01    0.0000000E+00    9.6857722E+00    1.5330513E+00    1.5104896E+01    2.0881555E+00    7.9785264E+00    1.0624922E+01    9.3545593E+00    1.1365118E-06    2.7059784E+00    1.2187451E-06    1.1016496E-06
    2.4300000E+00    2.1633255E+01    1.8720674E+01    1.0805642E-01    4.6206973E-01    0.0000000E+00    9.6857071E+00    1.5330415E+00    1.5104800E+01    2.0888400E+00    7.9778585E+00    1.0624855E+01    9.3548789E+00    1.1365081E-06    2.7059612E+00    1.2187374E-06    1.1016426E-06
    2.6100000E+00    2.1633125E+01    1.8720699E+01    1.0807871E-01    4.6206695E-01    0.0000000E+00    9.6856464E+00    1.5330323E+00    1.5104709E+01    2.0894681E+00    7.9772455E+00    1.0624791E+01    9.3551891E+00    1.1365050E-06    2.7059449E+00    1.2186509E-06    1.1016360E-06
    2.7900000E+00    2.1633002E+01    1.8720720E+01    1.0809846E-01    4.6206432E-01    0.0000000E+00    9.6855895E+00    1.5330236E+00    1.5104623E+01    2.0900442E+00    7.9766814E+00    1.0624730E+01    9.3554902E+00    1.1365024E-06    2.7059295E+00    1.2185924E-06    1.1016298E-06
    2.9700000E+00    2.1632885E+01    1.8720738E+01    1.0811629E-01    4.6206182E-01    0.0000000E+00    9.6855357E+00    1.5330153E+00    1.5104541E+01    2.0905727E+00    7.9761610E+00    1.0624673E+01    9.3557824E+00    1.1365003E-06    2.7059148E+00    1.2185600E-06    1.1016238E-06
