# Time          5.0000E+01
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    7.0649996E+01    2.9268786E+01    2.2169621E-03    2.6693662E-01    0.0000000E+00    3.9948971E-01    8.8660000E-01    2.5649807E+01    1.5084447E+00    3.3481667E+00    1.9683779E+01    6.2151984E+02    7.5544769E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    2.7000000E-01    7.0649999E+01    2.9275942E+01    2.2323232E-03    2.6696660E-01    0.0000000E+00    3.9843000E-01    8.8660000E-01    2.5649807E+01    1.5086169E+00    3.3479517E+00    1.9683779E+01    6.2155745E+02    7.5544826E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    4.5000000E-01    7.0650000E+01    2.9281673E+01    2.2452138E-03    2.6699801E-01    0.0000000E+00    3.9843102E-01    8.8660000E-01    2.5649807E+01    1.5088424E+00    3.3468707E+00    1.9683779E+01    6.2159173E+02    7.5544898E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    6.3000000E-01    7.0650000E+01    2.9286110E+01    2.2555983E-03    2.6703165E-01    0.0000000E+00    3.9843176E-01    8.8660000E-01    2.5649807E+01    1.5091190E+00    3.3461338E+00    1.9683779E+01    6.2162296E+02    7.5544988E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    8.1000000E-01    7.0650000E+01    2.9289555E+01    2.2639318E-03    2.6706806E-01    0.0000000E+00    3.9843222E-01    8.8660000E-01    2.5649807E+01    1.5094277E+00    3.3455589E+00    1.9683779E+01    6.2165157E+02    7.5545093E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    9.9000000E-01    7.0650000E+01    2.9292232E+01    2.2705817E-03    2.6710726E-01    0.0000000E+00    3.9843246E-01    8.8660000E-01    2.5649807E+01    1.5097530E+00    3.3450863E+00    1.9683779E+01    6.2167796E+02    7.5545214E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.1700000E+00    7.0650000E+01    2.9294292E+01    2.2758109E-03    2.6714893E-01    0.0000000E+00    3.9843254E-01    8.8660000E-01    2.5649807E+01    1.5100839E+00    3.3446915E+00    1.9683779E+01    6.2170247E+02    7.5545349E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.3500000E+00    7.0650000E+01    2.9295842E+01    2.2798085E-03    2.6718044E-01    0.0000000E+00    3.9843253E-01    8.8660000E-01    2.5649807E+01    1.5104153E+00    3.3443642E+00    1.9683779E+01    6.2172542E+02    7.5545497E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.5300000E+00    7.0650000E+01    2.9296955E+01    2.2827110E-03    2.6719588E-01    0.0000000E+00    3.9843245E-01    8.8660000E-01    2.5649807E+01    1.5107449E+00    3.3440969E+00    1.9683779E+01    6.2174709E+02    7.5545656E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.7100000E+00    7.0650000E+01    2.9297682E+01    2.2846179E-03    2.6719998E-01    0.0000000E+00    3.9843234E-01    8.8660000E-01    2.5649807E+01    1.5110716E+00    3.3438815E+00    1.9683779E+01    6.2176771E+02    7.5545825E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    1.8900000E+00    7.0650000E+01    2.9298059E+01    2.2856021E-03    2.6719998E-01    0.0000000E+00    3.9843221E-01    8.8660000E-01    2.5649807E+01    1.5113950E+00    3.3437111E+00    1.9683779E+01    6.2178750E+02    7.5546001E-09    4.4978718E-02    8.1010000E-08    7.3229065E-15
    2.0700000E+00    5.4640000E+01    4.2345304E+01    2.2862053E-03    3.6859999E-01    0.0000000E+00    4.5068440E-01    1.1820000E+00    2.3189826E+01    1.5401576E+00    2.6519680E+00    1.2359582E+01    5.5961277E+02    7.5546211E-09    2.6987231E+00    8.1010000E-08    7.3229065E-15
    2.2500000E+00    5.4640000E+01    4.2345572E+01    2.2866509E-03    3.6859999E-01    0.0000000E+00    4.5068415E-01    1.1820000E+00    2.3189826E+01    1.5407274E+00    2.6517506E+00    1.2359582E+01    5.5963624E+02    7.5546432E-09    2.6987231E+00    8.1010000E-08    7.3229065E-15
    2.4300000E+00    5.4640000E+01    4.2345803E+01    2.2870226E-03    3.6859999E-01    0.0000000E+00    4.5068398E-01    1.1820000E+00    2.3189826E+01    1.5412422E+00    2.6515455E+00    1.2359582E+01    5.5965892E+02    7.5546665E-09    2.6987231E+00    8.1010000E-08    7.3229065E-15
    2.6100000E+00    5.4640000E+01    4.2346011E+01    2.2873462E-03    3.6859999E-01    0.0000000E+00    4.5068386E-01    1.1820000E+00    2.3189826E+01    1.5417149E+00    2.6513577E+00    1.2359582E+01    5.5968084E+02    7.5546911E-09    2.6987231E+00    8.1006493E-08    7.3229065E-15
    2.7900000E+00    5.4640000E+01    4.2346202E+01    2.2876336E-03    3.6859999E-01    0.0000000E+00    4.5068378E-01    1.1820000E+00    2.3189826E+01    1.5421488E+00    2.6511853E+00    1.2359582E+01    5.5970204E+02    7.5547168E-09    2.6987231E+00    8.1004207E-08    7.3229065E-15
    2.9700000E+00    5.4640000E+01    4.2346382E+01    2.2878934E-03    3.6859999E-01    0.0000000E+00    4.5068372E-01    1.1820000E+00    2.3189826E+01    1.5425471E+00    2.6510267E+00    1.2359582E+01    5.5972255E+02    7.5547437E-09    2.6987231E+00    8.1003062E-08    7.3229065E-15
    3.1500000E+00    5.4640000E+01    4.2346554E+01    2.2881328E-03    3.6859999E-01    0.0000000E+00    4.5068367E-01    1.1820000E+00    2.3189826E+01    1.5429128E+00    2.6508804E+00    1.2359582E+01    5.5974241E+02    7.5547718E-09    2.6987231E+00    8.1002522E-08    7.3229065E-15
    3.3300000E+00    5.4640000E+01    4.2346721E+01    2.2883581E-03    3.6859999E-01    0.0000000E+00    4.5068364E-01    1.1820000E+00    2.3189826E+01    1.5432484E+00    2.6507451E+00    1.2359582E+01    5.5976164E+02    7.5548011E-09    2.6987231E+00    8.1002266E-08    7.3229065E-15
    3.5100000E+00    5.4640000E+01    4.2346886E+01    2.2885747E-03    3.6859999E-01    0.0000000E+00    4.5068360E-01    1.1820000E+00    2.3189826E+01    1.5435564E+00    2.6506198E+00    1.2359582E+01    5.5978026E+02    7.5548316E-09    2.6987231E+00    8.1002117E-08    7.3229065E-15
    3.6900000E+00    5.4640000E+01    4.2347051E+01    2.2887877E-03    3.6859999E-01    0.0000000E+00    4.5068358E-01    1.1820000E+00    2.3189826E+01    1.5438389E+00    2.6505032E+00    1.2359582E+01    5.5979830E+02    7.5548632E-09    2.6987231E+00    8.1002038E-08    7.3229065E-15
    3.8700000E+00    5.4640000E+01    4.2347220E+01    2.2890016E-03    3.6859999E-01    0.0000000E+00    4.5068356E-01    1.1820000E+00    2.3189826E+01    1.5440977E+00    2.6503946E+00    1.2359582E+01    5.5981578E+02    7.5548960E-09    2.6987231E+00    8.1001997E-08    7.3229065E-15
    4.0500000E+00    5.4640000E+01    4.2347394E+01    2.2892206E-03    3.6859999E-01    0.0000000E+00    4.5068354E-01    1.1820000E+00    2.3189826E+01    1.5443346E+00    2.6502931E+00    1.2359582E+01    5.5983271E+02    7.5549301E-09    2.6987231E+00    8.1001975E-08    7.3229065E-15
    4.2300000E+00    5.4640000E+01    4.2347575E+01    2.2894490E-03    3.6859999E-01    0.0000000E+00    4.5068352E-01    1.1820000E+00    2.3189826E+01    1.5445511E+00    2.6501980E+00    1.2359582E+01    5.5984912E+02    7.5549653E-09    2.6987231E+00    8.1001962E-08    7.3229065E-15
    4.4100000E+00    5.4640000E+01    4.2347765E+01    2.2896908E-03    3.6859999E-01    0.0000000E+00    4.5068351E-01    1.1820000E+00    2.3189826E+01    1.5447484E+00    2.6501085E+00    1.2359582E+01    5.5986501E+02    7.5550017E-09    2.6987231E+00    8.1001955E-08    7.3229065E-15
    4.5900000E+00    5.4640000E+01    4.2347967E+01    2.2899502E-03    3.6859999E-01    0.0000000E+00    4.5068350E-01    1.1820000E+00    2.3189826E+01    1.5449277E+00    2.6500241E+00    1.2359582E+01    5.5988039E+02    7.5550394E-09    2.6987231E+00    8.1001951E-08    7.3229065E-15
    4.7700000E+00    5.4640000E+01    4.2348181E+01    2.2902314E-03    3.6859999E-01    0.0000000E+00    4.5068350E-01    1.1820000E+00    2.3189826E+01    1.5450900E+00    2.6499442E+00    1.2359582E+01    5.5989529E+02    7.5550784E-09    2.6987231E+00    8.1001945E-08    7.3229065E-15
    4.9500000E+00    5.4640000E+01    4.2348412E+01    2.2905387E-03    3.6859999E-01    0.0000000E+00    4.5068349E-01    1.1820000E+00    2.3189826E+01    1.5452362E+00    2.6498682E+00    1.2359582E+01    5.5990971E+02    7.5551187E-09    2.6987231E+00    8.1001938E-08    7.3229065E-15
    5.1300000E+00    5.4640000E+01    4.2348660E+01    2.2908768E-03    3.6859999E-01    0.0000000E+00    4.5068350E-01    1.1820000E+00    2.3189826E+01    1.5453668E+00    2.6497958E+00    1.2359582E+01    5.5992366E+02    7.5551603E-09    2.6987231E+00    8.1001933E-08    7.3229065E-15
    5.3100000E+00    5.4640000E+01    4.2348928E+01    2.2912508E-03    3.6859999E-01    0.0000000E+00    4.5068350E-01    1.1820000E+00    2.3189826E+01    1.5454826E+00    2.6497263E+00    1.2359582E+01    5.5993714E+02    7.5552033E-09    2.6987231E+00    8.1001929E-08    7.3229065E-15
    5.4900000E+00    5.4640000E+01    4.2349219E+01    2.2916660E-03    3.6859999E-01    0.0000000E+00    4.5068352E-01    1.1820000E+00    2.3189826E+01    1.5455841E+00    2.6496593E+00    1.2359582E+01    5.5995017E+02    7.5552478E-09    2.6987231E+00    8.1001926E-08    7.3229065E-15
    5.6700000E+00    5.4640000E+01    4.2349535E+01    2.2921283E-03    3.6859999E-01    0.0000000E+00    4.5068353E-01    1.1820000E+00    2.3189826E+01    1.5456715E+00    2.6495945E+00    1.2359582E+01    5.5996274E+02    7.5552938E-09    2.6987231E+00    8.1001925E-08    7.3229065E-15
    5.8500000E+00    5.4640000E+01    4.2349880E+01    2.2926441E-03    3.6859999E-01    0.0000000E+00    4.5068356E-01    1.1820000E+00    2.3189826E+01    1.5457453E+00    2.6495314E+00    1.2359582E+01    5.5997487E+02    7.5553415E-09    2.6987231E+00    8.1001924E-08    7.3229065E-15
    6.0300000E+00    5.4640000E+01    4.2350257E+01    2.2932208E-03    3.6859999E-01    0.0000000E+00    4.5068359E-01    1.1820000E+00    2.3189826E+01    1.5458055E+00    2.6494696E+00    1.2359582E+01    5.5998655E+02    7.5553908E-09    2.6987231E+00    8.1001923E-08    7.3229065E-15
    6.2100000E+00    5.4640000E+01    4.2350669E+01    2.2938662E-03    3.6859999E-01    0.0000000E+00    4.5068363E-01    1.1820000E+00    2.3189826E+01    1.5458522E+00    2.6494086E+00    1.2359582E+01    5.5999778E+02    7.5554420E-09    2.6987231E+00    8.1001924E-08    7.3229065E-15
    6.3900000E+00    5.4640000E+01    4.2351120E+01    2.2945892E-03    3.6859999E-01    0.0000000E+00    4.5068367E-01    1.1820000E+00    2.3189826E+01    1.5458854E+00    2.6493480E+00    1.2359582E+01    5.6000856E+02    7.5554952E-09    2.6987231E+00    8.1001925E-08    7.3229065E-15
    6.5700000E+00    5.4640000E+01    4.2351615E+01    2.2953997E-03    3.6859999E-01    0.0000000E+00    4.5068373E-01    1.1820000E+00    2.3189826E+01    1.5459050E+00    2.6492875E+00    1.2359582E+01    5.6001889E+02    7.5555505E-09    2.6987231E+00    8.1001926E-08    7.3229065E-15
    6.7500000E+00    5.4640000E+01    4.2352159E+01    2.2963090E-03    3.6859999E-01    0.0000000E+00    4.5068379E-01    1.1820000E+00    2.3189826E+01    1.5459106E+00    2.6492265E+00    1.2359582E+01    5.6002876E+02    7.5556082E-09    2.6987231E+00    8.1001929E-08    7.3229065E-15
    6.9300000E+00    5.4640000E+01    4.2352757E+01    2.2973295E-03    3.6859999E-01    0.0000000E+00    4.5068386E-01    1.1820000E+00    2.3189826E+01    1.5459021E+00    2.6491645E+00    1.2359582E+01    5.6003817E+02    7.5556685E-09    2.6987231E+00    8.1001932E-08    7.3229065E-15
    7.1100000E+00    5.4640000E+01    4.2353416E+01    2.2984755E-03    3.6859999E-01    0.0000000E+00    4.5068394E-01    1.1820000E+00    2.3189826E+01    1.5458788E+00    2.6491012E+00    1.2359582E+01    5.6004710E+02    7.5557317E-09    2.6987231E+00    8.1001937E-08    7.3229065E-15
    7.2900000E+00    5.4640000E+01    4.2354141E+01    2.2997630E-03    3.6859999E-01    0.0000000E+00    4.5068403E-01    1.1820000E+00    2.3189826E+01    1.5458402E+00    2.6490359E+00    1.2359582E+01    5.6005555E+02    7.5557981E-09    2.6987231E+00    8.1001944E-08    7.3229065E-15
    7.4700000E+00    5.4640000E+01    4.2354941E+01    2.3012103E-03    3.6859999E-01    0.0000000E+00    4.5068413E-01    1.1820000E+00    2.3189826E+01    1.5457856E+00    2.6489681E+00    1.2359582E+01    5.6006350E+02    7.5558682E-09    2.6987231E+00    8.1001945E-08    7.3229065E-15
    7.6500000E+00    5.4640000E+01    4.2355825E+01    2.3028382E-03    3.6859999E-01    0.0000000E+00    4.5068425E-01    1.1820000E+00    2.3189826E+01    1.5457140E+00    2.6488972E+00    1.2359582E+01    5.6007093E+02    7.5559426E-09    2.6987231E+00    8.1001945E-08    7.3229065E-15
    7.8300000E+00    5.4640000E+01    4.2356800E+01    2.3046705E-03    3.6859999E-01    0.0000000E+00    4.5068437E-01    1.1820000E+00    2.3189826E+01    1.5456243E+00    2.6488226E+00    1.2359582E+01    5.6007783E+02    7.5560218E-09    2.6987231E+00    8.1001946E-08    7.3229065E-15
    8.0100000E+00    5.4640000E+01    4.2357878E+01    2.3067348E-03    3.6859999E-01    0.0000000E+00    4.5068450E-01    1.1820000E+00    2.3189826E+01    1.5455154E+00    2.6487436E+00    1.2359582E+01    5.6008417E+02    7.5561067E-09    2.6987231E+00    8.1001947E-08    7.3229065E-15
    8.1900000E+00    5.9170000E+01    4.5554457E+01    2.3091029E-03    3.6859999E-01    0.0000000E+00    4.8987414E-01    1.2810000E+00    2.4979812E+01    1.6741548E+00    2.8823054E+00    1.3427694E+01    7.4708466E+02    7.5561811E-09    4.4978718E-02    8.0929503E-07    7.3229065E-15
    8.3700000E+00    5.9170000E+01    4.5555716E+01    2.3114761E-03    3.6859999E-01    0.0000000E+00    4.8987434E-01    1.2810000E+00    2.4979812E+01    1.6740982E+00    2.8821885E+00    1.3427694E+01    7.4708760E+02    7.5562584E-09    4.4978718E-02    8.0929523E-07    7.3229065E-15
    8.5500000E+00    5.9170000E+01    4.5556927E+01    2.3137906E-03    3.6859999E-01    0.0000000E+00    4.8987450E-01    1.2810000E+00    2.4979812E+01    1.6740331E+00    2.8820796E+00    1.3427694E+01    7.4708962E+02    7.5563374E-09    4.4978718E-02    8.0929549E-07    7.3229065E-15
    8.7300000E+00    5.9170000E+01    4.5558087E+01    2.3160341E-03    3.6859999E-01    0.0000000E+00    4.8987461E-01    1.2810000E+00    2.4979812E+01    1.6739631E+00    2.8819781E+00    1.3427694E+01    7.4709077E+02    7.5564179E-09    4.4978718E-02    8.0929582E-07    7.3229065E-15
    8.9100000E+00    5.9170000E+01    4.5559197E+01    2.3182065E-03    3.6859999E-01    0.0000000E+00    4.8987470E-01    1.2810000E+00    2.4979812E+01    1.6738900E+00    2.8818830E+00    1.3427694E+01    7.4709114E+02    7.5564999E-09    4.4978718E-02    8.0929624E-07    7.3229065E-15
    9.0900000E+00    5.9170000E+01    4.5560259E+01    2.3203106E-03    3.6859999E-01    0.0000000E+00    4.8987475E-01    1.2810000E+00    2.4979812E+01    1.6738150E+00    2.8817939E+00    1.3427694E+01    7.4709077E+02    7.5565831E-09    4.4978718E-02    8.0929677E-07    7.3229065E-15
    9.2700000E+00    5.9170000E+01    4.5561277E+01    2.3223497E-03    3.6859999E-01    0.0000000E+00    4.8987478E-01    1.2810000E+00    2.4979812E+01    1.6737388E+00    2.8817100E+00    1.3427694E+01    7.4708973E+02    7.5566677E-09    4.4978718E-02    8.0929743E-07    7.3229065E-15
    9.4500000E+00    5.9170000E+01    4.5562252E+01    2.3243268E-03    3.6859999E-01    0.0000000E+00    4.8987479E-01    1.2810000E+00    2.4979812E+01    1.6736619E+00    2.8816309E+00    1.3427694E+01    7.4708805E+02    7.5567537E-09    4.4978718E-02    8.0929824E-07    7.3229065E-15
    9.6300000E+00    5.9170000E+01    4.5563187E+01    2.3262448E-03    3.6859999E-01    0.0000000E+00    4.8987479E-01    1.2810000E+00    2.4979812E+01    1.6735847E+00    2.8815563E+00    1.3427694E+01    7.4708580E+02    7.5568410E-09    4.4978718E-02    8.0929924E-07    7.3229065E-15
    9.8100000E+00    5.9170000E+01    4.5564084E+01    2.3281061E-03    3.6859999E-01    0.0000000E+00    4.8987477E-01    1.2810000E+00    2.4979812E+01    1.6735077E+00    2.8814857E+00    1.3427694E+01    7.4708302E+02    7.5569296E-09    4.4978718E-02    8.0930047E-07    7.3229065E-15
    9.9900000E+00    5.9170000E+01    4.5564946E+01    2.3299131E-03    3.6859999E-01    0.0000000E+00    4.8987474E-01    1.2810000E+00    2.4979812E+01    1.6734311E+00    2.8814188E+00    1.3427694E+01    7.4707974E+02    7.5570194E-09    4.4978718E-02    8.0930195E-07    7.3229065E-15
    1.0170000E+01    5.9170000E+01    4.5565774E+01    2.3316679E-03    3.6859999E-01    0.0000000E+00    4.8987471E-01    1.2810000E+00    2.4979812E+01    1.6733552E+00    2.8813554E+00    1.3427694E+01    7.4707600E+02    7.5571106E-09    4.4978718E-02    8.0930349E-07    7.3229065E-15
    1.0350000E+01    5.9170000E+01    4.5566569E+01    2.3333721E-03    3.6859999E-01    0.0000000E+00    4.8987468E-01    1.2810000E+00    2.4979812E+01    1.6732802E+00    2.8812952E+00    1.3427694E+01    7.4707185E+02    7.5572029E-09    4.4978718E-02    8.0930359E-07    7.3229065E-15
    1.0530000E+01    5.9170000E+01    4.5567334E+01    2.3350275E-03    3.6859999E-01    0.0000000E+00    4.8987464E-01    1.2810000E+00    2.4979812E+01    1.6732063E+00    2.8812379E+00    1.3427694E+01    7.4706732E+02    7.5572965E-09    4.4978718E-02    8.0930371E-07    7.3229065E-15
    1.0710000E+01    5.9170000E+01    4.5568070E+01    2.3366353E-03    3.6859999E-01    0.0000000E+00    4.8987460E-01    1.2810000E+00    2.4979812E+01    1.6731336E+00    2.8811834E+00    1.3427694E+01    7.4706243E+02    7.5573913E-09    4.4978718E-02    8.0930387E-07    7.3229065E-15
    1.0890000E+01    5.9170000E+01    4.5568777E+01    2.3381968E-03    3.6859999E-01    0.0000000E+00    4.8987457E-01    1.2810000E+00    2.4979812E+01    1.6730624E+00    2.8811314E+00    1.3427694E+01    7.4705722E+02    7.5574873E-09    4.4978718E-02    8.0930408E-07    7.3229065E-15
    1.1070000E+01    5.9170000E+01    4.5569457E+01    2.3397129E-03    3.6859999E-01    0.0000000E+00    4.8987453E-01    1.2810000E+00    2.4979812E+01    1.6729927E+00    2.8810819E+00    1.3427694E+01    7.4705171E+02    7.5575844E-09    4.4978718E-02    8.0930435E-07    7.3229065E-15
    1.1250000E+01    5.9170000E+01    4.5570111E+01    2.3411843E-03    3.6859999E-01    0.0000000E+00    4.8987450E-01    1.2810000E+00    2.4979812E+01    1.6729247E+00    2.8810346E+00    1.3427694E+01    7.4704594E+02    7.5576826E-09    4.4978718E-02    8.0930469E-07    7.3229065E-15
    1.1430000E+01    5.9170000E+01    4.5570739E+01    2.3426117E-03    3.6859999E-01    0.0000000E+00    4.8987446E-01    1.2810000E+00    2.4979812E+01    1.6728585E+00    2.8809895E+00    1.3427694E+01    7.4703993E+02    7.5577819E-09    4.4978718E-02    8.0930513E-07    7.3229065E-15
    1.1610000E+01    5.9170000E+01    4.5571342E+01    2.3439952E-03    3.6859999E-01    0.0000000E+00    4.8987443E-01    1.2810000E+00    2.4979812E+01    1.6727942E+00    2.8809464E+00    1.3427694E+01    7.4703370E+02    7.5578823E-09    4.4978718E-02    8.0930570E-07    7.3229065E-15
    1.1790000E+01    5.9170000E+01    4.5571921E+01    2.3453350E-03    3.6859999E-01    0.0000000E+00    4.8987440E-01    1.2810000E+00    2.4979812E+01    1.6727321E+00    2.8809051E+00    1.3427694E+01    7.4702727E+02    7.5579836E-09    4.4978718E-02    8.0930642E-07    7.3229065E-15
    1.1970000E+01    5.9170000E+01    4.5572477E+01    2.3466311E-03    3.6859999E-01    0.0000000E+00    4.8987438E-01    1.2810000E+00    2.4979812E+01    1.6726721E+00    2.8808657E+00    1.3427694E+01    7.4702067E+02    7.5580859E-09    4.4978718E-02    8.0930736E-07    7.3229065E-15
    1.2150000E+01    5.9170000E+01    4.5573009E+01    2.3478829E-03    3.6859999E-01    0.0000000E+00    4.8987435E-01    1.2810000E+00    2.4979812E+01    1.6726146E+00    2.8808280E+00    1.3427694E+01    7.4701392E+02    7.5581890E-09    4.4978718E-02    8.0930856E-07    7.3229065E-15
    1.2330000E+01    5.9170000E+01    4.5573517E+01    2.3490898E-03    3.6859999E-01    0.0000000E+00    4.8987433E-01    1.2810000E+00    2.4979812E+01    1.6725595E+00    2.8807920E+00    1.3427694E+01    7.4700704E+02    7.5582929E-09    4.4978718E-02    8.0931010E-07    7.3229065E-15
    1.2510000E+01    6.3400000E+01    8.1126474E+00    1.6163080E-03    9.5979878E+00    1.5057192E-03    4.1802835E-01    8.8660000E-01    2.8549785E+01    1.5619102E+00    1.2842550E+00    1.4953569E+01    1.8653904E+02    8.1237630E-11    4.4978718E-02    4.0470595E-01    7.3229065E-15
    1.2690000E+01    6.3400000E+01    8.1126565E+00    1.6166478E-03    9.5979892E+00    1.5057155E-03    4.1802919E-01    8.8660000E-01    2.8549785E+01    1.5618958E+00    1.2842517E+00    1.4953569E+01    1.8653880E+02    8.1237644E-11    4.4978718E-02    4.0470717E-01    7.3229065E-15
    1.2870000E+01    6.3400000E+01    8.1126655E+00    1.6169823E-03    9.5979912E+00    1.5057118E-03    4.1802971E-01    8.8660000E-01    2.8549785E+01    1.5618858E+00    1.2842489E+00    1.4953569E+01    1.8653855E+02    8.1237657E-11    4.4978718E-02    4.0470865E-01    7.3229065E-15
    1.3050000E+01    6.3400000E+01    8.1126743E+00    1.6173122E-03    9.5979924E+00    1.5057084E-03    4.1803004E-01    8.8660000E-01    2.8549785E+01    1.5618756E+00    1.2842463E+00    1.4953569E+01    1.8653830E+02    8.1237671E-11    4.4978718E-02    4.0471041E-01    7.3229065E-15
    1.3230000E+01    6.3400000E+01    8.1126829E+00    1.6176376E-03    9.5979930E+00    1.5057050E-03    4.1803025E-01    8.8660000E-01    2.8549785E+01    1.5618654E+00    1.2842438E+00    1.4953569E+01    1.8653806E+02    8.1237684E-11    4.4978718E-02    4.0471250E-01    7.3229065E-15
    1.3410000E+01    6.3400000E+01    8.1126914E+00    1.6179588E-03    9.5979934E+00    1.5057019E-03    4.1803038E-01    8.8660000E-01    2.8549785E+01    1.5618552E+00    1.2842414E+00    1.4953569E+01    1.8653781E+02    8.1237698E-11    4.4978718E-02    4.0471493E-01    7.3229065E-15
    1.3590000E+01    6.3400000E+01    8.1126998E+00    1.6182759E-03    9.5979936E+00    1.5056988E-03    4.1803046E-01    8.8660000E-01    2.8549785E+01    1.5618450E+00    1.2842391E+00    1.4953569E+01    1.8653756E+02    8.1237713E-11    4.4978718E-02    4.0471774E-01    7.3229065E-15
    1.3770000E+01    6.3400000E+01    8.1127081E+00    1.6185889E-03    9.5979934E+00    1.5056959E-03    4.1803052E-01    8.8660000E-01    2.8549785E+01    1.5618349E+00    1.2842369E+00    1.4953569E+01    1.8653732E+02    8.1237727E-11    4.4978718E-02    4.0472094E-01    7.3229065E-15
    1.3950000E+01    6.3400000E+01    8.1127162E+00    1.6188979E-03    9.5979932E+00    1.5056931E-03    4.1803055E-01    8.8660000E-01    2.8549785E+01    1.5618247E+00    1.2842348E+00    1.4953569E+01    1.8653707E+02    8.1237741E-11    4.4978718E-02    4.0472455E-01    7.3229065E-15
    1.4130000E+01    6.3400000E+01    8.1127242E+00    1.6192030E-03    9.5979930E+00    1.5056905E-03    4.1803058E-01    8.8660000E-01    2.8549785E+01    1.5618146E+00    1.2842328E+00    1.4953569E+01    1.8653682E+02    8.1237756E-11    4.4978718E-02    4.0472857E-01    7.3229065E-15
    1.4310000E+01    6.3400000E+01    8.1127320E+00    1.6195041E-03    9.5979928E+00    1.5056880E-03    4.1803060E-01    8.8660000E-01    2.8549785E+01    1.5618045E+00    1.2842309E+00    1.4953569E+01    1.8653658E+02    8.1237771E-11    4.4978718E-02    4.0473301E-01    7.3229065E-15
    1.4490000E+01    6.3400000E+01    8.1127398E+00    1.6198013E-03    9.5979927E+00    1.5056857E-03    4.1803062E-01    8.8660000E-01    2.8549785E+01    1.5617945E+00    1.2842290E+00    1.4953569E+01    1.8653633E+02    8.1237786E-11    4.4978718E-02    4.0473785E-01    7.3229065E-15
    1.4670000E+01    6.3400000E+01    8.1127474E+00    1.6200946E-03    9.5979926E+00    1.5056835E-03    4.1803063E-01    8.8660000E-01    2.8549785E+01    1.5617845E+00    1.2842272E+00    1.4953569E+01    1.8653608E+02    8.1237801E-11    4.4978718E-02    4.0474307E-01    7.3229065E-15
    1.4850000E+01    6.3400000E+01    8.1127548E+00    1.6203839E-03    9.5979922E+00    1.5056814E-03    4.1803064E-01    8.8660000E-01    2.8549785E+01    1.5617746E+00    1.2842255E+00    1.4953569E+01    1.8653584E+02    8.1237817E-11    4.4978718E-02    4.0474863E-01    7.3229065E-15
