# Time          5.0000E+01
# Units: Bars
    Distance        CO2(g)           O2(g)            CH4(g)          
    9.0000000E-02    2.3681493E-02    2.0664940E-01    1.9000023E-04
    2.7000000E-01    2.4008882E-02    2.0106361E-01    1.9000069E-04
    4.5000000E-01    2.4298445E-02    1.9558337E-01    1.9000114E-04
    6.3000000E-01    2.4652113E-02    1.9009679E-01    1.9000159E-04
    8.1000000E-01    2.5087913E-02    1.8459206E-01    1.9000204E-04
    9.9000000E-01    2.5615699E-02    1.7906795E-01    1.9000248E-04
    1.1700000E+00    2.6245573E-02    1.7352437E-01    1.9000291E-04
    1.3500000E+00    2.6988954E-02    1.6796142E-01    1.9000334E-04
    1.5300000E+00    2.7858840E-02    1.6237918E-01    1.9000377E-04
    1.7100000E+00    2.8869999E-02    1.5677770E-01    1.9000419E-04
    1.8900000E+00    3.0039175E-02    1.5115705E-01    1.9000461E-04
    2.0700000E+00    3.1376273E-02    1.4555517E-01    1.9000502E-04
    2.2500000E+00    3.2728133E-02    1.4014835E-01    1.9000542E-04
    2.4300000E+00    3.4080739E-02    1.3492383E-01    1.9000581E-04
    2.6100000E+00    3.5430378E-02    1.2988600E-01    1.9000620E-04
    2.7900000E+00    3.6775935E-02    1.2503625E-01    1.9000659E-04
    2.9700000E+00    3.8116631E-02    1.2037547E-01    1.9000697E-04
    3.1500000E+00    3.9451675E-02    1.1590450E-01    1.9000734E-04
    3.3300000E+00    4.0780212E-02    1.1162414E-01    1.9000771E-04
    3.5100000E+00    4.2101293E-02    1.0753519E-01    1.9000807E-04
    3.6900000E+00    4.3413869E-02    1.0363846E-01    1.9000843E-04
    3.8700000E+00    4.4716770E-02    9.9934716E-02    1.9000878E-04
    4.0500000E+00    4.6008690E-02    9.6424763E-02    1.9000912E-04
    4.2300000E+00    4.7288164E-02    9.3109389E-02    1.9000946E-04
    4.4100000E+00    4.8553553E-02    8.9989387E-02    1.9000980E-04
