# Time          5.0000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -4.9845785E-13   -2.9009598E-09   -1.8500115E-09   -2.6098088E-11    0.0000000E+00    3.0057252E-09    0.0000000E+00   -7.7461188E-12   -3.6850359E-12    1.4391366E-09   -3.2666945E-12   -1.4655907E-10   -1.1713282E-14   -4.4979038E-13    0.0000000E+00    6.7961302E-25
    2.7000000E-01   -1.9696582E-13   -2.6576586E-09   -1.7842204E-09   -2.3643801E-11    0.0000000E+00    1.1034883E-11    0.0000000E+00   -7.7461188E-12    1.6907031E-12    1.4176839E-09   -3.2666945E-12   -1.2845129E-11   -1.1713131E-14   -4.4979038E-13    0.0000000E+00    3.6193863E-25
    4.5000000E-01    0.0000000E+00   -2.4600382E-09   -1.7276035E-09   -2.1319172E-11    0.0000000E+00    1.3869750E-11    0.0000000E+00   -7.7461188E-12    9.3161392E-12    1.2643305E-09   -3.2666945E-12    1.0958343E-10   -1.1712949E-14   -4.4979038E-13    0.0000000E+00    2.3841585E-25
    6.3000000E-01    0.0000000E+00   -2.3057698E-09   -1.6812190E-09   -1.8970143E-11    0.0000000E+00    1.5924553E-11    0.0000000E+00   -7.7461188E-12    1.9714779E-11    1.1605409E-09   -3.2666945E-12    2.2153599E-10   -1.1712742E-14   -4.4979038E-13    0.0000000E+00    1.7809806E-25
    8.1000000E-01    0.0000000E+00   -2.1852925E-09   -1.6435363E-09   -1.6432806E-11    0.0000000E+00    1.7235131E-11    0.0000000E+00   -7.7461188E-12    3.2369030E-11    1.0794511E-09   -3.2666945E-12    3.2445397E-10   -1.1712513E-14   -4.4979038E-13    0.0000000E+00    1.4231201E-25
    9.9000000E-01    0.0000000E+00   -2.0913436E-09   -1.6131998E-09   -1.3623450E-11    0.0000000E+00    1.7944221E-11    0.0000000E+00   -7.7461188E-12    4.6579401E-11    1.0123770E-09   -3.2666945E-12    4.1968832E-10   -1.1712262E-14   -4.4979038E-13    0.0000000E+00    1.1858970E-25
    1.1700000E+00    0.0000000E+00   -2.0188739E-09   -1.5892029E-09   -1.0519064E-11    0.0000000E+00    1.8217996E-11    0.0000000E+00   -7.7461188E-12    6.1700911E-11    9.5593166E-10   -3.2666945E-12    5.0840287E-10   -1.1711992E-14   -4.4979038E-13    0.0000000E+00    1.0172474E-25
    1.3500000E+00    0.0000000E+00   -1.9643657E-09   -1.5708088E-09   -7.1261996E-12    0.0000000E+00    1.8202851E-11    0.0000000E+00   -7.7461188E-12    7.7237180E-11    9.0836146E-10   -3.2666945E-12    5.9160125E-10   -1.1711704E-14   -4.4979038E-13    0.0000000E+00    8.9148337E-26
    1.5300000E+00    0.0000000E+00   -1.9253462E-09   -1.5574744E-09   -3.4586694E-12    0.0000000E+00    1.8008947E-11    0.0000000E+00   -7.7461188E-12    9.2857894E-11    8.6857396E-10   -3.2666945E-12    6.7016194E-10   -1.1711400E-14   -4.4979038E-13    0.0000000E+00    7.9443350E-26
    1.7100000E+00    0.0000000E+00   -1.9000689E-09   -1.5487930E-09    0.0000000E+00    0.0000000E+00    1.7709958E-11    0.0000000E+00   -7.7461188E-12    1.0841524E-10    8.3598999E-10   -3.2666945E-12    7.4488935E-10   -1.1711083E-14   -4.4979038E-13    0.0000000E+00    7.1769098E-26
    1.8900000E+00    0.0000000E+00   -1.8872779E-09   -1.5444449E-09    0.0000000E+00    0.0000000E+00    1.7349888E-11    0.0000000E+00   -7.7461188E-12    1.2412279E-10    8.1129746E-10   -3.2666945E-12    8.1669425E-10   -1.1710756E-14   -4.4979038E-13    0.0000000E+00    6.5628743E-26
    2.0700000E+00    0.0000000E+00   -2.7144499E-09   -1.5416305E-09    0.0000000E+00    0.0000000E+00    1.6233353E-11    0.0000000E+00   -7.0032162E-12    2.6530002E-10    1.0593448E-09   -2.0511802E-12    8.3341048E-10   -1.1710365E-14   -2.6987423E-11    0.0000000E+00    7.7913177E-26
    2.2500000E+00    0.0000000E+00   -2.7048180E-09   -1.5395516E-09    0.0000000E+00    0.0000000E+00    1.5530243E-11    0.0000000E+00   -7.0032162E-12    2.9069938E-10    1.0271134E-09   -2.0511802E-12    9.2841828E-10   -1.1709954E-14   -2.6987423E-11    0.0000000E+00    7.0008006E-26
    2.4300000E+00    0.0000000E+00   -2.6964705E-09   -1.5378154E-09    0.0000000E+00    0.0000000E+00    1.5051204E-11    0.0000000E+00   -7.0032162E-12    3.1389279E-10    9.9613853E-10   -2.0511802E-12    1.0203017E-09   -1.1709521E-14   -2.6987423E-11    0.0000000E+00    6.3456733E-26
    2.6100000E+00    0.0000000E+00   -2.6889094E-09   -1.5363022E-09    0.0000000E+00    0.0000000E+00    1.4716261E-11    0.0000000E+00   -7.0032162E-12    3.3538524E-10    9.6754172E-10   -2.0511802E-12    1.1092103E-09   -1.1709068E-14   -2.6987423E-11   -3.6866763E-17    5.7976910E-26
    2.7900000E+00    0.0000000E+00   -2.6819092E-09   -1.5349573E-09    0.0000000E+00    0.0000000E+00    1.4474143E-11    0.0000000E+00   -7.0032162E-12    3.5526625E-10    9.4110140E-10   -2.0511801E-12    1.1952779E-09   -1.1708593E-14   -2.6987423E-11   -6.0384244E-17    5.3330851E-26
    2.9700000E+00    0.0000000E+00   -2.6753071E-09   -1.5337407E-09    0.0000000E+00    0.0000000E+00    1.4292655E-11    0.0000000E+00   -7.0032162E-12    3.7362931E-10    9.1662217E-10   -2.0511801E-12    1.2786259E-09   -1.1708097E-14   -2.6987423E-11   -7.1357665E-17    4.9346242E-26
    3.1500000E+00    0.0000000E+00   -2.6689684E-09   -1.5326192E-09    0.0000000E+00    0.0000000E+00    1.4151573E-11    0.0000000E+00   -7.0032162E-12    3.9056744E-10    8.9392540E-10   -2.0511801E-12    1.3593646E-09   -1.1707581E-14   -2.6987423E-11   -7.6478165E-17    4.5894960E-26
    3.3300000E+00    0.0000000E+00   -2.6627772E-09   -1.5315637E-09    0.0000000E+00    0.0000000E+00    1.4038168E-11    0.0000000E+00   -7.0032162E-12    4.0617020E-10    8.7284721E-10   -2.0511800E-12    1.4375945E-09   -1.1707043E-14   -2.6987423E-11   -7.8870699E-17    4.2879734E-26
    3.5100000E+00    0.0000000E+00   -2.6566316E-09   -1.5305486E-09    0.0000000E+00    0.0000000E+00    1.3944449E-11    0.0000000E+00   -7.0032162E-12    4.2052194E-10    8.5323753E-10   -2.0511800E-12    1.5134070E-09   -1.1706485E-14   -2.6987423E-11   -7.9991654E-17    4.0225390E-26
