# Time          5.0000E+01
# Units: Mole component in mineral/m^3 porous medium
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -3.4434480E+04    0.0000000E+00    1.1850649E+03    3.5459757E+01    3.4781727E+02    6.4796110E+03    2.3626865E+04    2.4539999E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9719591E+03    0.0000000E+00    0.0000000E+00    1.1084908E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    2.7000000E-01   -3.4407373E+04    0.0000000E+00    1.1852385E+03    3.5512135E+01    3.4782142E+02    6.4815568E+03    2.3629266E+04    2.4644754E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608479E+03    0.0000000E+00    0.0000000E+00    1.1085442E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    4.5000000E-01   -3.4407217E+04    0.0000000E+00    1.1854589E+03    3.5580257E+01    3.4782646E+02    6.4813354E+03    2.3629593E+04    2.4780998E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608504E+03    0.0000000E+00    0.0000000E+00    1.1086135E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    6.3000000E-01   -3.4407032E+04    0.0000000E+00    1.1856696E+03    3.5647155E+01    3.4783214E+02    6.4811092E+03    2.3629892E+04    2.4914796E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608529E+03    0.0000000E+00    0.0000000E+00    1.1086818E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    8.1000000E-01   -3.4407167E+04    0.0000000E+00    1.1858579E+03    3.5708585E+01    3.4783852E+02    6.4810038E+03    2.3630266E+04    2.5037655E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608552E+03    0.0000000E+00    0.0000000E+00    1.1087449E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    9.9000000E-01   -3.4407415E+04    0.0000000E+00    1.1860230E+03    3.5763765E+01    3.4784551E+02    6.4809524E+03    2.3630644E+04    2.5148014E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608572E+03    0.0000000E+00    0.0000000E+00    1.1088020E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.1700000E+00   -3.4407686E+04    0.0000000E+00    1.1861660E+03    3.5812641E+01    3.4785303E+02    6.4809242E+03    2.3630998E+04    2.5245767E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608590E+03    0.0000000E+00    0.0000000E+00    1.1088530E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.3500000E+00   -3.4407945E+04    0.0000000E+00    1.1862881E+03    3.5855195E+01    3.4786100E+02    6.4809072E+03    2.3631318E+04    2.5330875E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608604E+03    0.0000000E+00    0.0000000E+00    1.1088979E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.5300000E+00   -3.4408174E+04    0.0000000E+00    1.1863899E+03    3.5891260E+01    3.4786932E+02    6.4808961E+03    2.3631602E+04    2.5403004E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608614E+03    0.0000000E+00    0.0000000E+00    1.1089365E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.7100000E+00   -3.4408365E+04    0.0000000E+00    1.1864711E+03    3.5920463E+01    3.4787796E+02    6.4808885E+03    2.3631846E+04    2.5461411E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608621E+03    0.0000000E+00    0.0000000E+00    1.1089683E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
