# Time          5.0000E+01
# Units: Weight % Component
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -1.4871571E+00    0.0000000E+00    1.1674094E+00    6.0895847E-02    5.8271324E-01    7.4913640E+00    6.0829322E+01    4.6277492E-02    2.3141484E-05    0.0000000E+00    6.2924212E+00    4.7189310E+00    0.0000000E+00    0.0000000E+00    1.1544460E+00    0.0000000E+00    8.5638228E+00    0.0000000E+00
    2.7000000E-01   -1.4865577E+00    0.0000000E+00    1.1680293E+00    6.1009242E-02    5.8294423E-01    7.4964945E+00    6.0858894E+01    4.6492906E-02    2.3150381E-05    0.0000000E+00    6.2948403E+00    4.6941458E+00    0.0000000E+00    0.0000000E+00    1.1549454E+00    0.0000000E+00    8.5671153E+00    0.0000000E+00
    4.5000000E-01   -1.4865381E+00    0.0000000E+00    1.1682365E+00    6.1125747E-02    5.8294764E-01    7.4961738E+00    6.0859208E+01    4.6749530E-02    2.3150181E-05    0.0000000E+00    6.2947860E+00    4.6941112E+00    0.0000000E+00    0.0000000E+00    1.1550076E+00    0.0000000E+00    8.5670413E+00    0.0000000E+00
    6.3000000E-01   -1.4865187E+00    0.0000000E+00    1.1684351E+00    6.1240207E-02    5.8295269E-01    7.4958547E+00    6.0859514E+01    4.7001579E-02    2.3150004E-05    0.0000000E+00    6.2947377E+00    4.6940811E+00    0.0000000E+00    0.0000000E+00    1.1550699E+00    0.0000000E+00    8.5669756E+00    0.0000000E+00
    8.1000000E-01   -1.4865059E+00    0.0000000E+00    1.1686060E+00    6.1344969E-02    5.8295605E-01    7.4956385E+00    6.0859710E+01    4.7232760E-02    2.3149713E-05    0.0000000E+00    6.2946586E+00    4.6940275E+00    0.0000000E+00    0.0000000E+00    1.1551211E+00    0.0000000E+00    8.5668679E+00    0.0000000E+00
    9.9000000E-01   -1.4864963E+00    0.0000000E+00    1.1687527E+00    6.1438924E-02    5.8295980E-01    7.4954766E+00    6.0859851E+01    4.7440300E-02    2.3149396E-05    0.0000000E+00    6.2945725E+00    4.6939683E+00    0.0000000E+00    0.0000000E+00    1.1551648E+00    0.0000000E+00    8.5667507E+00    0.0000000E+00
    1.1700000E+00   -1.4864885E+00    0.0000000E+00    1.1688783E+00    6.1522083E-02    5.8296477E-01    7.4953458E+00    6.0859966E+01    4.7624081E-02    2.3149093E-05    0.0000000E+00    6.2944900E+00    4.6939109E+00    0.0000000E+00    0.0000000E+00    1.1552028E+00    0.0000000E+00    8.5666385E+00    0.0000000E+00
    1.3500000E+00   -1.4864819E+00    0.0000000E+00    1.1689847E+00    6.1594449E-02    5.8297115E-01    7.4952365E+00    6.0860064E+01    4.7784058E-02    2.3148816E-05    0.0000000E+00    6.2944148E+00    4.6938582E+00    0.0000000E+00    0.0000000E+00    1.1552358E+00    0.0000000E+00    8.5665361E+00    0.0000000E+00
    1.5300000E+00   -1.4864761E+00    0.0000000E+00    1.1690726E+00    6.1655754E-02    5.8297896E-01    7.4951447E+00    6.0860153E+01    4.7919618E-02    2.3148572E-05    0.0000000E+00    6.2943485E+00    4.6938113E+00    0.0000000E+00    0.0000000E+00    1.1552638E+00    0.0000000E+00    8.5664458E+00    0.0000000E+00
    1.7100000E+00   -1.4864711E+00    0.0000000E+00    1.1691422E+00    6.1705369E-02    5.8298821E-01    7.4950688E+00    6.0860237E+01    4.8029366E-02    2.3148365E-05    0.0000000E+00    6.2942922E+00    4.6937710E+00    0.0000000E+00    0.0000000E+00    1.1552866E+00    0.0000000E+00    8.5663692E+00    0.0000000E+00
    1.8900000E+00   -1.4864667E+00    0.0000000E+00    1.1691927E+00    6.1742262E-02    5.8299892E-01    7.4950085E+00    6.0860319E+01    4.8111020E-02    2.3148199E-05    0.0000000E+00    6.2942469E+00    4.6937380E+00    0.0000000E+00    0.0000000E+00    1.1553038E+00    0.0000000E+00    8.5663076E+00    0.0000000E+00
    2.0700000E+00   -1.4979406E+00    0.0000000E+00    1.7010766E+00    4.9440724E-02    5.4819248E-01    7.5601918E+00    5.7888788E+01    5.0732573E-02    2.4376577E-05    0.0000000E+00    5.6710626E+00    5.3557084E+00    0.0000000E+00    0.0000000E+00    7.8176746E-01    0.0000000E+00    5.4125314E+02    0.0000000E+00
    2.2500000E+00   -1.4979367E+00    0.0000000E+00    1.7011161E+00    4.9465456E-02    5.4822089E-01    7.5601594E+00    5.7888936E+01    5.0787483E-02    2.4376327E-05    0.0000000E+00    5.6710045E+00    5.3556524E+00    0.0000000E+00    0.0000000E+00    7.8178164E-01    0.0000000E+00    5.4124760E+02    0.0000000E+00
    2.4300000E+00   -1.4979312E+00    0.0000000E+00    1.7011538E+00    4.9487394E-02    5.4824854E-01    7.5601013E+00    5.7889100E+01    5.0836083E-02    2.4376150E-05    0.0000000E+00    5.6709633E+00    5.3556124E+00    0.0000000E+00    0.0000000E+00    7.8179579E-01    0.0000000E+00    5.4124367E+02    0.0000000E+00
    2.6100000E+00   -1.4979260E+00    0.0000000E+00    1.7011876E+00    4.9507335E-02    5.4827467E-01    7.5600471E+00    5.7889257E+01    5.0880270E-02    2.4375856E-05    0.0000000E+00    5.6709248E+00    5.3555751E+00    0.0000000E+00    0.0000000E+00    7.8180892E-01    0.0000000E+00    5.4123999E+02    0.0000000E+00
    2.7900000E+00   -1.4979210E+00    0.0000000E+00    1.7012184E+00    4.9525652E-02    5.4829886E-01    7.5599965E+00    5.7889406E+01    5.0920869E-02    2.4373994E-05    0.0000000E+00    5.6708885E+00    5.3555399E+00    0.0000000E+00    0.0000000E+00    7.8182121E-01    0.0000000E+00    5.4123653E+02    0.0000000E+00
    2.9700000E+00   -1.4979163E+00    0.0000000E+00    1.7012464E+00    4.9542558E-02    5.4832146E-01    7.5599491E+00    5.7889549E+01    5.0958347E-02    2.4372968E-05    0.0000000E+00    5.6708542E+00    5.3555066E+00    0.0000000E+00    0.0000000E+00    7.8183275E-01    0.0000000E+00    5.4123326E+02    0.0000000E+00
    3.1500000E+00   -1.4979117E+00    0.0000000E+00    1.7012720E+00    4.9558205E-02    5.4834273E-01    7.5599043E+00    5.7889687E+01    5.0993045E-02    2.4372384E-05    0.0000000E+00    5.6708217E+00    5.3554751E+00    0.0000000E+00    0.0000000E+00    7.8184359E-01    0.0000000E+00    5.4123015E+02    0.0000000E+00
    3.3300000E+00   -1.4979074E+00    0.0000000E+00    1.7012956E+00    4.9572720E-02    5.4836285E-01    7.5598619E+00    5.7889820E+01    5.1025238E-02    2.4372033E-05    0.0000000E+00    5.6707907E+00    5.3554451E+00    0.0000000E+00    0.0000000E+00    7.8185378E-01    0.0000000E+00    5.4122720E+02    0.0000000E+00
    3.5100000E+00   -1.4979032E+00    0.0000000E+00    1.7013173E+00    4.9586210E-02    5.4838197E-01    7.5598217E+00    5.7889948E+01    5.1055166E-02    2.4371783E-05    0.0000000E+00    5.6707612E+00    5.3554166E+00    0.0000000E+00    0.0000000E+00    7.8186337E-01    0.0000000E+00    5.4122438E+02    0.0000000E+00
    3.6900000E+00   -1.4978991E+00    0.0000000E+00    1.7013373E+00    4.9598771E-02    5.4840018E-01    7.5597834E+00    5.7890072E+01    5.1083039E-02    2.4371598E-05    0.0000000E+00    5.6707331E+00    5.3553894E+00    0.0000000E+00    0.0000000E+00    7.8187239E-01    0.0000000E+00    5.4122169E+02    0.0000000E+00
    3.8700000E+00   -1.4978952E+00    0.0000000E+00    1.7013557E+00    4.9610486E-02    5.4841755E-01    7.5597469E+00    5.7890192E+01    5.1109043E-02    2.4371448E-05    0.0000000E+00    5.6707061E+00    5.3553634E+00    0.0000000E+00    0.0000000E+00    7.8188090E-01    0.0000000E+00    5.4121912E+02    0.0000000E+00
    4.0500000E+00   -1.4978914E+00    0.0000000E+00    1.7013728E+00    4.9621433E-02    5.4843414E-01    7.5597119E+00    5.7890308E+01    5.1133347E-02    2.4371320E-05    0.0000000E+00    5.6706803E+00    5.3553385E+00    0.0000000E+00    0.0000000E+00    7.8188891E-01    0.0000000E+00    5.4121666E+02    0.0000000E+00
    4.2300000E+00   -1.4978877E+00    0.0000000E+00    1.7013887E+00    4.9631679E-02    5.4844998E-01    7.5596785E+00    5.7890421E+01    5.1156104E-02    2.4371204E-05    0.0000000E+00    5.6706555E+00    5.3553146E+00    0.0000000E+00    0.0000000E+00    7.8189647E-01    0.0000000E+00    5.4121429E+02    0.0000000E+00
    4.4100000E+00   -1.4978841E+00    0.0000000E+00    1.7014035E+00    4.9641289E-02    5.4846514E-01    7.5596463E+00    5.7890531E+01    5.1177452E-02    2.4371097E-05    0.0000000E+00    5.6706317E+00    5.3552917E+00    0.0000000E+00    0.0000000E+00    7.8190361E-01    0.0000000E+00    5.4121202E+02    0.0000000E+00
    4.5900000E+00   -1.4978806E+00    0.0000000E+00    1.7014173E+00    4.9650322E-02    5.4847963E-01    7.5596155E+00    5.7890638E+01    5.1197522E-02    2.4370995E-05    0.0000000E+00    5.6706088E+00    5.3552697E+00    0.0000000E+00    0.0000000E+00    7.8191035E-01    0.0000000E+00    5.4120984E+02    0.0000000E+00
    4.7700000E+00   -1.4978772E+00    0.0000000E+00    1.7014302E+00    4.9658833E-02    5.4849350E-01    7.5595857E+00    5.7890742E+01    5.1216440E-02    2.4370899E-05    0.0000000E+00    5.6705868E+00    5.3552485E+00    0.0000000E+00    0.0000000E+00    7.8191673E-01    0.0000000E+00    5.4120773E+02    0.0000000E+00
    4.9500000E+00   -1.4978739E+00    0.0000000E+00    1.7014424E+00    4.9666877E-02    5.4850684E-01    7.5595570E+00    5.7890844E+01    5.1234325E-02    2.4370802E-05    0.0000000E+00    5.6705654E+00    5.3552280E+00    0.0000000E+00    0.0000000E+00    7.8192276E-01    0.0000000E+00    5.4120569E+02    0.0000000E+00
    5.1300000E+00   -1.4978707E+00    0.0000000E+00    1.7014538E+00    4.9674510E-02    5.4851966E-01    7.5595292E+00    5.7890943E+01    5.1251299E-02    2.4370710E-05    0.0000000E+00    5.6705447E+00    5.3552082E+00    0.0000000E+00    0.0000000E+00    7.8192849E-01    0.0000000E+00    5.4120372E+02    0.0000000E+00
    5.3100000E+00   -1.4978675E+00    0.0000000E+00    1.7014647E+00    4.9681787E-02    5.4853198E-01    7.5595023E+00    5.7891040E+01    5.1267485E-02    2.4370621E-05    0.0000000E+00    5.6705247E+00    5.3551891E+00    0.0000000E+00    0.0000000E+00    7.8193394E-01    0.0000000E+00    5.4120180E+02    0.0000000E+00
