# Time          5.0000E+01
# Units: Mol/g solid
    Distance        NaXEel           KXEel            CaXEel           MgXEel          
    9.0000000E-02    3.1088732E-08    3.3100066E-07    6.2853857E-06    3.5353193E-06
    2.7000000E-01    3.5064758E-08    2.6606111E-07    6.2423738E-06    3.6117956E-06
    4.5000000E-01    3.8924718E-08    2.5068775E-07    6.2414619E-06    3.6183610E-06
    6.3000000E-01    4.2449190E-08    2.5835814E-07    6.2409825E-06    3.6131457E-06
    8.1000000E-01    4.5691015E-08    2.8153853E-07    6.2368589E-06    3.6039069E-06
    9.9000000E-01    4.8712183E-08    3.1656700E-07    6.2292044E-06    3.5923698E-06
    1.1700000E+00    5.1556031E-08    3.6067156E-07    6.2186510E-06    3.5792840E-06
    1.3500000E+00    5.4249062E-08    4.1124648E-07    6.2059110E-06    3.5652332E-06
    1.5300000E+00    5.6807065E-08    4.6578653E-07    6.1916878E-06    3.5507620E-06
    1.7100000E+00    5.9241042E-08    5.2202090E-07    6.1766128E-06    3.5363707E-06
    1.8900000E+00    6.1562011E-08    5.7802605E-07    6.1611701E-06    3.5225336E-06
    2.0700000E+00    1.6183523E-10    1.3786897E-09    1.5205547E-08    9.0351194E-09
    2.2500000E+00    1.6927851E-10    1.3201123E-09    1.5041268E-08    9.2244651E-09
    2.4300000E+00    1.7632380E-10    1.2678791E-09    1.4903552E-08    9.3843667E-09
    2.6100000E+00    1.8302457E-10    1.2207728E-09    1.4786587E-08    9.5211431E-09
    2.7900000E+00    1.8942357E-10    1.1778780E-09    1.4686166E-08    9.6394346E-09
    2.9700000E+00    1.9555567E-10    1.1384900E-09    1.4599149E-08    9.7427176E-09
    3.1500000E+00    2.0144976E-10    1.1020563E-09    1.4523138E-08    9.8336489E-09
    3.3300000E+00    2.0713013E-10    1.0681377E-09    1.4456276E-08    9.9142944E-09
    3.5100000E+00    2.1261734E-10    1.0363804E-09    1.4397096E-08    9.9862850E-09
    3.6900000E+00    2.1792905E-10    1.0064962E-09    1.4344430E-08    1.0050926E-08
    3.8700000E+00    2.2308044E-10    9.7824766E-10    1.4297331E-08    1.0109273E-08
    4.0500000E+00    2.2808474E-10    9.5143784E-10    1.4255027E-08    1.0162191E-08
    4.2300000E+00    2.3295350E-10    9.2590177E-10    1.4216878E-08    1.0210394E-08
    4.4100000E+00    2.3769686E-10    9.0150034E-10    1.4182354E-08    1.0254478E-08
    4.5900000E+00    2.4232378E-10    8.7811574E-10    1.4151008E-08    1.0294943E-08
    4.7700000E+00    2.4684206E-10    8.5570977E-10    1.4122451E-08    1.0332195E-08
    4.9500000E+00    2.5125873E-10    8.3419628E-10    1.4096360E-08    1.0366593E-08
    5.1300000E+00    2.5558003E-10    8.1349537E-10    1.4072463E-08    1.0398447E-08
    5.3100000E+00    2.5981154E-10    7.9353749E-10    1.4050524E-08    1.0428024E-08
    5.4900000E+00    2.6395819E-10    7.7426185E-10    1.4030340E-08    1.0455555E-08
    5.6700000E+00    2.6802434E-10    7.5561509E-10    1.4011732E-08    1.0481243E-08
    5.8500000E+00    2.7201381E-10    7.3755029E-10    1.3994546E-08    1.0505263E-08
    6.0300000E+00    2.7592989E-10    7.2002604E-10    1.3978646E-08    1.0527771E-08
    6.2100000E+00    2.7977533E-10    7.0300580E-10    1.3963911E-08    1.0548901E-08
    6.3900000E+00    2.8355235E-10    6.8645725E-10    1.3950237E-08    1.0568775E-08
    6.5700000E+00    2.8726258E-10    6.7035189E-10    1.3937529E-08    1.0587499E-08
    6.7500000E+00    2.9090703E-10    6.5466464E-10    1.3925704E-08    1.0605168E-08
    6.9300000E+00    2.9448600E-10    6.3937357E-10    1.3914689E-08    1.0621866E-08
    7.1100000E+00    2.9799897E-10    6.2445969E-10    1.3904417E-08    1.0637668E-08
    7.2900000E+00    3.0144448E-10    6.0990685E-10    1.3894830E-08    1.0652640E-08
    7.4700000E+00    3.0481989E-10    5.9570171E-10    1.3885875E-08    1.0666842E-08
    7.6500000E+00    3.0812121E-10    5.8183376E-10    1.3877507E-08    1.0680325E-08
    7.8300000E+00    3.1134276E-10    5.6829555E-10    1.3869684E-08    1.0693136E-08
    8.0100000E+00    3.1447696E-10    5.5508758E-10    1.3862370E-08    1.0705313E-08
    8.1900000E+00    5.0895956E-08    8.9004109E-08    2.2163050E-06    1.7137838E-06
    8.3700000E+00    5.1460394E-08    8.9177889E-08    2.2148346E-06    1.7148421E-06
    8.5500000E+00    5.2006261E-08    8.9330216E-08    2.2134000E-06    1.7158866E-06
    8.7300000E+00    5.2534337E-08    8.9462249E-08    2.2120060E-06    1.7169118E-06
    8.9100000E+00    5.3045467E-08    8.9574833E-08    2.2106554E-06    1.7179140E-06
    9.0900000E+00    5.3540488E-08    8.9668679E-08    2.2093496E-06    1.7188908E-06
    9.2700000E+00    5.4020205E-08    8.9744439E-08    2.2080883E-06    1.7198417E-06
    9.4500000E+00    5.4485376E-08    8.9802747E-08    2.2068695E-06    1.7207678E-06
    9.6300000E+00    5.4936713E-08    8.9844234E-08    2.2056897E-06    1.7216721E-06
    9.8100000E+00    5.5374886E-08    8.9869537E-08    2.2045427E-06    1.7225597E-06
    9.9900000E+00    5.5800524E-08    8.9879297E-08    2.2034201E-06    1.7234385E-06
    1.0170000E+01    5.6214222E-08    8.9874163E-08    2.2023104E-06    1.7243191E-06
    1.0350000E+01    5.6616541E-08    8.9854784E-08    2.2011990E-06    1.7252156E-06
    1.0530000E+01    5.7008016E-08    8.9821810E-08    2.2000686E-06    1.7261446E-06
    1.0710000E+01    5.7389152E-08    8.9775883E-08    2.1988994E-06    1.7271252E-06
    1.0890000E+01    5.7760436E-08    8.9717634E-08    2.1976705E-06    1.7281776E-06
    1.1070000E+01    5.8122327E-08    8.9647675E-08    2.1963612E-06    1.7293221E-06
    1.1250000E+01    5.8475268E-08    8.9566592E-08    2.1949523E-06    1.7305772E-06
    1.1430000E+01    5.8819682E-08    8.9474939E-08    2.1934279E-06    1.7319582E-06
    1.1610000E+01    5.9155973E-08    8.9373229E-08    2.1917770E-06    1.7334758E-06
    1.1790000E+01    5.9484534E-08    8.9261926E-08    2.1899942E-06    1.7351348E-06
    1.1970000E+01    5.9805743E-08    8.9141439E-08    2.1880806E-06    1.7369336E-06
    1.2150000E+01    6.0119975E-08    8.9012110E-08    2.1860441E-06    1.7388640E-06
    1.2330000E+01    6.0427460E-08    8.8874370E-08    2.1838991E-06    1.7409112E-06
    1.2510000E+01    3.7689938E-08    5.5763863E-08    1.3640166E-06    1.0893448E-06
    1.2690000E+01    3.7607686E-08    5.5970556E-08    1.3628463E-06    1.0904541E-06
    1.2870000E+01    3.7526755E-08    5.6174358E-08    1.3616617E-06    1.0915764E-06
    1.3050000E+01    3.7447136E-08    5.6375350E-08    1.3604683E-06    1.0927084E-06
    1.3230000E+01    3.7368791E-08    5.6573579E-08    1.3592704E-06    1.0938457E-06
    1.3410000E+01    3.7291681E-08    5.6769085E-08    1.3580725E-06    1.0949836E-06
    1.3590000E+01    3.7215771E-08    5.6961910E-08    1.3568793E-06    1.0961177E-06
    1.3770000E+01    3.7141025E-08    5.7152096E-08    1.3556952E-06    1.0972434E-06
    1.3950000E+01    3.7067409E-08    5.7339684E-08    1.3545247E-06    1.0983563E-06
    1.4130000E+01    3.6994891E-08    5.7524712E-08    1.3533720E-06    1.0994521E-06
    1.4310000E+01    3.6923437E-08    5.7707222E-08    1.3522411E-06    1.1005269E-06
    1.4490000E+01    3.6853019E-08    5.7887253E-08    1.3511355E-06    1.1015771E-06
    1.4670000E+01    3.6783608E-08    5.8064845E-08    1.3500585E-06    1.1025994E-06
    1.4850000E+01    3.6715175E-08    5.8240036E-08    1.3490130E-06    1.1035909E-06
    1.5030000E+01    3.6647695E-08    5.8412869E-08    1.3480013E-06    1.1045492E-06
    1.5210000E+01    3.6581142E-08    5.8583381E-08    1.3470257E-06    1.1054723E-06
    1.5390000E+01    3.6515493E-08    5.8751612E-08    1.3460876E-06    1.1063585E-06
    1.5570000E+01    3.6450724E-08    5.8917603E-08    1.3451883E-06    1.1072066E-06
    1.5750000E+01    3.6386814E-08    5.9081393E-08    1.3443289E-06    1.1080154E-06
    1.5930000E+01    3.6323741E-08    5.9243019E-08    1.3435102E-06    1.1087843E-06
    1.6110000E+01    3.6261486E-08    5.9402520E-08    1.3427328E-06    1.1095125E-06
    1.6290000E+01    3.6200029E-08    5.9559930E-08    1.3419976E-06    1.1101992E-06
    1.6470000E+01    3.6139351E-08    5.9715284E-08    1.3413057E-06    1.1108432E-06
    1.6650000E+01    3.6079431E-08    5.9868611E-08    1.3406587E-06    1.1114430E-06
    1.6830000E+01    3.6020252E-08    6.0019939E-08    1.3400590E-06    1.1119961E-06
    1.7010000E+01    3.5961793E-08    6.0169287E-08    1.3395100E-06    1.1124992E-06
    1.7190000E+01    3.5904033E-08    6.0316671E-08    1.3390166E-06    1.1129474E-06
    1.7370000E+01    3.5846950E-08    6.0462097E-08    1.3385852E-06    1.1133342E-06
    1.7550000E+01    3.5790522E-08    6.0605563E-08    1.3382243E-06    1.1136513E-06
    1.7730000E+01    3.5734724E-08    6.0747054E-08    1.3379445E-06    1.1138880E-06
    1.7910000E+01    3.5679548E-08    6.0886498E-08    1.3377586E-06    1.1140314E-06
