# Time          5.0000E+01
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    2.3399998E+01    1.0950371E+01    7.9005718E-02    2.9951496E-01    0.0000000E+00    6.1382148E+00    9.0000000E-01    1.1499870E+01    5.8995823E+00    7.8188559E+00    1.2899928E+01    9.9989853E+00    9.2924622E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    2.7000000E-01    2.3399998E+01    1.0952112E+01    7.9342976E-02    2.9953383E-01    0.0000000E+00    6.1000369E+00    9.0000000E-01    1.1499870E+01    5.8997840E+00    7.8276190E+00    1.2899928E+01    9.9992751E+00    9.2924645E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    4.5000000E-01    2.3399999E+01    1.0954322E+01    7.9781614E-02    2.9955883E-01    0.0000000E+00    6.1000454E+00    9.0000000E-01    1.1499870E+01    5.9000123E+00    7.8253570E+00    1.2899928E+01    9.9995547E+00    9.2924671E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    6.3000000E-01    2.3399999E+01    1.0956433E+01    8.0212374E-02    2.9958468E-01    0.0000000E+00    6.1000539E+00    9.0000000E-01    1.1499870E+01    5.9002875E+00    7.8231086E+00    1.2899928E+01    9.9998248E+00    9.2924701E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    8.1000000E-01    2.3400000E+01    1.0958321E+01    8.0607921E-02    2.9961038E-01    0.0000000E+00    6.1000618E+00    9.0000000E-01    1.1499870E+01    5.9006219E+00    7.8215583E+00    1.2899928E+01    1.0000083E+01    9.2924735E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    9.9000000E-01    2.3400000E+01    1.0959976E+01    8.0963222E-02    2.9963594E-01    0.0000000E+00    6.1000688E+00    9.0000000E-01    1.1499870E+01    5.9010090E+00    7.8203812E+00    1.2899928E+01    1.0000330E+01    9.2924773E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.1700000E+00    2.3400000E+01    1.0961410E+01    8.1277937E-02    2.9966148E-01    0.0000000E+00    6.1000748E+00    9.0000000E-01    1.1499870E+01    5.9014402E+00    7.8194188E+00    1.2899928E+01    1.0000565E+01    9.2924815E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.3500000E+00    2.3400000E+01    1.0962634E+01    8.1551941E-02    2.9968708E-01    0.0000000E+00    6.1000796E+00    9.0000000E-01    1.1499870E+01    5.9019075E+00    7.8186077E+00    1.2899928E+01    1.0000790E+01    9.2924859E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.5300000E+00    2.3400000E+01    1.0963654E+01    8.1784162E-02    2.9971278E-01    0.0000000E+00    6.1000832E+00    9.0000000E-01    1.1499870E+01    5.9024045E+00    7.8179208E+00    1.2899928E+01    1.0001006E+01    9.2924907E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.7100000E+00    2.3400000E+01    1.0964468E+01    8.1972203E-02    2.9973858E-01    0.0000000E+00    6.1000857E+00    9.0000000E-01    1.1499870E+01    5.9029261E+00    7.8173475E+00    1.2899928E+01    1.0001215E+01    9.2924958E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    1.8900000E+00    2.3400000E+01    1.0965068E+01    8.2112155E-02    2.9976448E-01    0.0000000E+00    6.1000868E+00    9.0000000E-01    1.1499870E+01    5.9034689E+00    7.8168862E+00    1.2899928E+01    1.0001417E+01    9.2925011E-07    9.9929060E-02    1.0000000E-06    1.0000000E-06
    2.0700000E+00    1.8100000E+01    1.5850197E+01    8.2223179E-02    3.9976665E-01    0.0000000E+00    6.9000851E+00    1.2000000E+00    1.0399883E+01    6.0083941E+00    6.8229318E+00    8.0999550E+00    1.0001538E+01    9.2925079E-07    5.9957436E+00    1.0000000E-06    1.0000000E-06
    2.2500000E+00    1.8100000E+01    1.5850747E+01    8.2313016E-02    3.9981249E-01    0.0000000E+00    6.9000835E+00    1.2000000E+00    1.0399883E+01    6.0096499E+00    6.8225346E+00    8.0999550E+00    1.0001793E+01    9.2925150E-07    5.9957436E+00    1.0000000E-06    1.0000000E-06
    2.4300000E+00    1.8100000E+01    1.5851231E+01    8.2392383E-02    3.9985753E-01    0.0000000E+00    6.9000821E+00    1.2000000E+00    1.0399883E+01    6.0107980E+00    6.8219978E+00    8.0999550E+00    1.0002042E+01    9.2925225E-07    5.9957436E+00    1.0000000E-06    1.0000000E-06
    2.6100000E+00    1.8100000E+01    1.5851669E+01    8.2464560E-02    3.9989534E-01    0.0000000E+00    6.9000807E+00    1.2000000E+00    1.0399883E+01    6.0119182E+00    6.8214946E+00    8.0999550E+00    1.0002285E+01    9.2925303E-07    5.9957436E+00    9.9999474E-07    1.0000000E-06
    2.7900000E+00    1.8100000E+01    1.5852071E+01    8.2530889E-02    3.9992343E-01    0.0000000E+00    6.9000794E+00    1.2000000E+00    1.0399883E+01    6.0130109E+00    6.8210232E+00    8.0999550E+00    1.0002522E+01    9.2925385E-07    5.9957436E+00    9.9992474E-07    1.0000000E-06
    2.9700000E+00    1.8100000E+01    1.5852441E+01    8.2592133E-02    3.9994435E-01    0.0000000E+00    6.9000783E+00    1.2000000E+00    1.0399883E+01    6.0140742E+00    6.8205795E+00    8.0999550E+00    1.0002754E+01    9.2925470E-07    5.9957436E+00    9.9988868E-07    1.0000000E-06
