# Time series at grid cell:  50   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                3.23998503229658E-05   1.21999446745822E-04   1.16090511311018E-08   8.77017019855535E-06   4.39000270186482E-05   9.45019281888825E-06   8.82999964847108E-07   6.98000000000004E-09   5.64999101723000E+00   1.37975542775659E-03   3.43467211387018E-04
  2.00000E-09                3.23998540149186E-05   1.21999460511856E-04   1.16181057897424E-08   8.77017156926585E-06   4.39000540373041E-05   9.45019427012754E-06   8.82999929695262E-07   6.98000000000390E-09   5.64998904657820E+00   1.37975534709144E-03   3.43467190542568E-04
  3.00000E-09                3.23998577778016E-05   1.21999474508201E-04   1.16271569965685E-08   8.77017286949211E-06   4.39000810561917E-05   9.45019564104804E-06   8.82999894543098E-07   6.98000000000323E-09   5.64998742084929E+00   1.37975537401681E-03   3.43467169711428E-04
  4.00000E-09                3.23998614638748E-05   1.21999488195954E-04   1.16362082288109E-08   8.77017425965053E-06   4.39001080751562E-05   9.45019711453825E-06   8.82999859391347E-07   6.98000000000267E-09   5.64998607234246E+00   1.37975548980321E-03   3.43467148863200E-04
  5.00000E-09                3.23998650868165E-05   1.21999501630112E-04   1.16452594818591E-08   8.77017572376487E-06   4.39001350941849E-05   9.45019867237585E-06   8.82999824239926E-07   6.98000000000221E-09   5.64998495126686E+00   1.37975567849177E-03   3.43467128000935E-04
  7.00000E-09                3.23998720019156E-05   1.21999527221118E-04   1.16633725581477E-08   8.77017902771866E-06   4.39001891323023E-05   9.45020221650151E-06   8.82999753938215E-07   6.98000000000490E-09   5.64998333537706E+00   1.37975625923682E-03   3.43467086205220E-04
  1.10000E-08                3.23998857050309E-05   1.21999577810811E-04   1.16996199060597E-08   8.77018580390179E-06   4.39002972090195E-05   9.45020949676516E-06   8.82999613336524E-07   6.98000000000763E-09   5.64998146161935E+00   1.37975785216274E-03   3.43467002582580E-04
  1.90000E-08                3.23999128212547E-05   1.21999677741756E-04   1.17719745560838E-08   8.77019971576144E-06   4.39005133638696E-05   9.45022446739259E-06   8.82999332137060E-07   6.98000000000150E-09   5.64997967718614E+00   1.37976166176335E-03   3.43466835273085E-04
  3.50000E-08                3.23999666187421E-05   1.21999875838418E-04   1.19167963650972E-08   8.77022805324382E-06   4.39009456742551E-05   9.45025499461813E-06   8.82998769747882E-07   6.98000000000115E-09   5.64997787341181E+00   1.37976984733047E-03   3.43466500574733E-04
  6.70000E-08                3.24000738006298E-05   1.22000270428210E-04   1.22064409707664E-08   8.77028519992927E-06   4.39018102986250E-05   9.45031658697951E-06   8.82997644999686E-07   6.98000000000075E-09   5.64997514013322E+00   1.37978649900612E-03   3.43465831163158E-04
  1.31000E-07                3.24002879546986E-05   1.22001058812944E-04   1.27857381195873E-08   8.77039973065110E-06   4.39035395606828E-05   9.45044004226428E-06   8.82995395620291E-07   6.98000000000073E-09   5.64996990550087E+00   1.37981987090167E-03   3.43464492594475E-04
  2.59000E-07                3.24007162115967E-05   1.22002635389347E-04   1.39443164268741E-08   8.77062886069323E-06   4.39069981364214E-05   9.45068703072269E-06   8.82990897328159E-07   6.98000000000071E-09   5.64995947753048E+00   1.37988659714071E-03   3.43461816641846E-04
  5.15000E-07                3.24015727400031E-05   1.22005788590668E-04   1.62615007707451E-08   8.77108714992277E-06   4.39139154830994E-05   9.45118103960949E-06   8.82981902607062E-07   6.98000000000072E-09   5.64993866712808E+00   1.38001993864890E-03   3.43456469517564E-04
  1.02700E-06                3.24032858863456E-05   1.22012095302881E-04   2.08958362782252E-08   8.77200381042997E-06   4.39277508667004E-05   9.45216914589528E-06   8.82963920590798E-07   6.98000000000071E-09   5.64989721991001E+00   1.38028617559021E-03   3.43445794364384E-04
  2.05100E-06                3.24067125334481E-05   1.22024709952181E-04   3.01637756931987E-08   8.77383745391641E-06   4.39554236645313E-05   9.45414570619039E-06   8.82927986050068E-07   6.98000000000072E-09   5.64981501330049E+00   1.38081687052538E-03   3.43424520160718E-04
  4.09900E-06                3.24135672112821E-05   1.22049944028022E-04   4.86923745077594E-08   8.77750601181880E-06   4.40107717052281E-05   9.45810019717854E-06   8.82856233270179E-07   6.98000000000072E-09   5.64965330218556E+00   1.38187118813931E-03   3.43382273946433E-04
  8.19500E-06                3.24272818600205E-05   1.22100430426829E-04   8.56800161676464E-08   8.78484807770480E-06   4.41214328551656E-05   9.46601451626847E-06   8.82713180057735E-07   6.98000000000071E-09   5.64934030190830E+00   1.38395187763845E-03   3.43298972812709E-04
  1.63870E-05                3.24547302183766E-05   1.22201468608550E-04   1.58965416029423E-07   8.79955083848293E-06   4.43422568494299E-05   9.48186323698617E-06   8.82428787432498E-07   6.98000000000072E-09   5.64875294264610E+00   1.38800412087290E-03   3.43137000010890E-04
  3.27710E-05                3.25096877412426E-05   1.22403750795063E-04   3.00406306334459E-07   8.82902221151946E-06   4.47792480281862E-05   9.51363164169919E-06   8.81866199585852E-07   6.98000000000071E-09   5.64771013918784E+00   1.39569209351668E-03   3.42830548381745E-04
  6.55390E-05                3.26197505682909E-05   1.22808792851220E-04   5.47832209390096E-07   8.88817350069470E-06   4.56190464838573E-05   9.57739295722008E-06   8.80761893719868E-07   6.98000000000072E-09   5.64600871108095E+00   1.40955010035713E-03   3.42280309529626E-04
  1.31075E-04                3.28400555958720E-05   1.23619288042425E-04   8.73804447013886E-07   9.00706196961638E-06   4.71317687894301E-05   9.70554468248769E-06   8.78616559419218E-07   6.98000000000073E-09   5.64356374434425E+00   1.43225500682512E-03   3.41383280820051E-04
  2.62147E-04                3.32799629484644E-05   1.25236736311442E-04   1.10967467763016E-06   9.24635033087404E-06   4.97388106662614E-05   9.96346460429195E-06   8.74469704708512E-07   6.98000000000074E-09   5.64138158716733E+00   1.46399824978089E-03   3.40146601670272E-04
  5.24291E-04                3.41495972089102E-05   1.28430778701720E-04   1.10992429858201E-06   9.72731045199648E-06   5.44183543553907E-05   1.04818432163175E-05   8.66231589217892E-07   6.98000000000072E-09   5.64405520258157E+00   1.49941987463453E-03   3.38840721906418E-04
  1.04858E-03                3.58236445331899E-05   1.34567891667745E-04   8.87251613119174E-07   1.06850708936313E-05   6.31162626871799E-05   1.15140990775499E-05   8.48476882202260E-07   6.98000000000073E-09   5.65998071733696E+00   1.53062022156164E-03   3.37897314267286E-04
  2.09715E-03                3.89030442137929E-05   1.45820188332346E-04   5.61125558163939E-07   1.25591590375090E-05   7.87755544391365E-05   1.35340301500654E-05   8.06078895485666E-07   6.98000000000071E-09   5.69765922195785E+00   1.55799157791421E-03   3.37465753816776E-04
  4.19431E-03                4.42403951091649E-05   1.65212511763969E-04   2.80947420803766E-07   1.61508120743005E-05   1.04780045454435E-04   1.74055584385156E-05   7.01413585876636E-07   6.98000000000071E-09   5.76276613216474E+00   1.59374080688584E-03   3.37285653334417E-04
  7.90399E-03                5.20262851906372E-05   1.93244456847713E-04   1.24807798490999E-07   2.21639311366856E-05   1.39683689551762E-04   2.38886334709825E-05   5.06917415317972E-07   6.97999999999214E-09   5.84787133640548E+00   1.64901126162186E-03   3.37032526019844E-04
  1.40554E-02                6.23659625493553E-05   2.29993745503079E-04   5.36620681609953E-08   3.15307539244300E-05   1.79848707137179E-04   3.39906713308585E-05   2.74225663748427E-07   6.97999993104401E-09   5.94418466016219E+00   1.73430500445544E-03   3.36460056697544E-04
  2.36137E-02                7.52118904566083E-05   2.74902093218096E-04   2.39795672495371E-08   4.52932595376887E-05   2.20363770344029E-04   4.88400513085493E-05   1.18297040393823E-07   6.97997070323629E-09   6.04268619077783E+00   1.86071689409087E-03   3.35339048847485E-04
  3.53698E-02                8.83481264855408E-05   3.19968645361038E-04   1.27595503086315E-08   6.17522017003953E-05   2.53461114850030E-04   6.66122102127315E-05   6.04155203917317E-08   6.97927504173366E-09   6.12441326516880E+00   2.01303933424091E-03   3.33755620282598E-04
