# Time          5.0000E+01
# Units: Mole component in mineral/m^3 porous medium
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -3.4415625E+04    0.0000000E+00    1.1857060E+03    3.5658919E+01    3.4782946E+02    6.4808866E+03    2.3629669E+04    2.4938323E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9639135E+03    0.0000000E+00    0.0000000E+00    1.1086924E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    2.7000000E-01   -3.4407818E+04    0.0000000E+00    1.1861755E+03    3.5815917E+01    3.4785196E+02    6.4809612E+03    2.3631022E+04    2.5252319E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608589E+03    0.0000000E+00    0.0000000E+00    1.1088559E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    4.5000000E-01   -3.4408477E+04    0.0000000E+00    1.1865048E+03    3.5932731E+01    3.4788031E+02    6.4808959E+03    2.3631930E+04    2.5485947E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608633E+03    0.0000000E+00    0.0000000E+00    1.1089813E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    6.3000000E-01   -3.4409070E+04    0.0000000E+00    1.1867396E+03    3.6019809E+01    3.4791270E+02    6.4808796E+03    2.3632677E+04    2.5660103E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608655E+03    0.0000000E+00    0.0000000E+00    1.1090780E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    8.1000000E-01   -3.4409540E+04    0.0000000E+00    1.1869100E+03    3.6085221E+01    3.4794615E+02    6.4808737E+03    2.3633284E+04    2.5790928E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608663E+03    0.0000000E+00    0.0000000E+00    1.1091534E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    9.9000000E-01   -3.4409900E+04    0.0000000E+00    1.1870345E+03    3.6134235E+01    3.4797421E+02    6.4808710E+03    2.3633771E+04    2.5888955E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608663E+03    0.0000000E+00    0.0000000E+00    1.1092124E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.1700000E+00   -3.4410172E+04    0.0000000E+00    1.1871246E+03    3.6170353E+01    3.4799767E+02    6.4808695E+03    2.3634167E+04    2.5961191E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608660E+03    0.0000000E+00    0.0000000E+00    1.1092580E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.3500000E+00   -3.4410374E+04    0.0000000E+00    1.1871878E+03    3.6195989E+01    3.4801948E+02    6.4808687E+03    2.3634493E+04    2.6012463E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608656E+03    0.0000000E+00    0.0000000E+00    1.1092928E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.5300000E+00   -3.4410518E+04    0.0000000E+00    1.1872293E+03    3.6212877E+01    3.4804013E+02    6.4808682E+03    2.3634763E+04    2.6046239E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608651E+03    0.0000000E+00    0.0000000E+00    1.1093182E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
    1.7100000E+00   -3.4410613E+04    0.0000000E+00    1.1872527E+03    3.6222303E+01    3.4805971E+02    6.4808678E+03    2.3634987E+04    2.6065091E+01    1.6877637E-02    0.0000000E+00    2.6294933E+03    1.9608647E+03    0.0000000E+00    0.0000000E+00    1.1093358E+03    0.0000000E+00    9.9929060E+02    0.0000000E+00
