# Time          5.0000E+01
# Units: Weight % Component
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -1.4868535E+00    0.0000000E+00    1.1679184E+00    6.1071632E-02    5.8281939E-01    7.4938253E+00    6.0844130E+01    4.6648801E-02    2.3145388E-05    0.0000000E+00    6.2934825E+00    4.7064427E+00    0.0000000E+00    0.0000000E+00    1.1547418E+00    0.0000000E+00    8.5652673E+00    0.0000000E+00
    2.7000000E-01   -1.4865199E+00    0.0000000E+00    1.1685024E+00    6.1283365E-02    5.8294795E-01    7.4958449E+00    6.0859465E+01    4.7097122E-02    2.3149804E-05    0.0000000E+00    6.2946833E+00    4.6940415E+00    0.0000000E+00    0.0000000E+00    1.1550862E+00    0.0000000E+00    8.5669015E+00    0.0000000E+00
    4.5000000E-01   -1.4864976E+00    0.0000000E+00    1.1687839E+00    6.1459658E-02    5.8295623E-01    7.4954774E+00    6.0859806E+01    4.7486158E-02    2.3149311E-05    0.0000000E+00    6.2945493E+00    4.6939520E+00    0.0000000E+00    0.0000000E+00    1.1551729E+00    0.0000000E+00    8.5667191E+00    0.0000000E+00
    6.3000000E-01   -1.4864831E+00    0.0000000E+00    1.1690023E+00    6.1606150E-02    5.8296734E-01    7.4952373E+00    6.0860023E+01    4.7809873E-02    2.3148785E-05    0.0000000E+00    6.2944063E+00    4.6938535E+00    0.0000000E+00    0.0000000E+00    1.1552407E+00    0.0000000E+00    8.5665245E+00    0.0000000E+00
    8.1000000E-01   -1.4864720E+00    0.0000000E+00    1.1691735E+00    6.1726804E-02    5.8298261E-01    7.4950577E+00    6.0860191E+01    4.8076646E-02    2.3148311E-05    0.0000000E+00    6.2942775E+00    4.6937631E+00    0.0000000E+00    0.0000000E+00    1.1552961E+00    0.0000000E+00    8.5663492E+00    0.0000000E+00
    9.9000000E-01   -1.4864627E+00    0.0000000E+00    1.1693082E+00    6.1825507E-02    5.8300155E-01    7.4949138E+00    6.0860337E+01    4.8294954E-02    2.3147904E-05    0.0000000E+00    6.2941668E+00    4.6936842E+00    0.0000000E+00    0.0000000E+00    1.1553417E+00    0.0000000E+00    8.5661986E+00    0.0000000E+00
    1.1700000E+00   -1.4864547E+00    0.0000000E+00    1.1694133E+00    6.1905131E-02    5.8302339E-01    7.4947959E+00    6.0860471E+01    4.8471126E-02    2.3147561E-05    0.0000000E+00    6.2940734E+00    4.6936163E+00    0.0000000E+00    0.0000000E+00    1.1553790E+00    0.0000000E+00    8.5660714E+00    0.0000000E+00
    1.3500000E+00   -1.4864477E+00    0.0000000E+00    1.1694933E+00    6.1967727E-02    5.8304748E-01    7.4946991E+00    6.0860599E+01    4.8609682E-02    2.3147274E-05    0.0000000E+00    6.2939954E+00    4.6935588E+00    0.0000000E+00    0.0000000E+00    1.1554089E+00    0.0000000E+00    8.5659653E+00    0.0000000E+00
    1.5300000E+00   -1.4864415E+00    0.0000000E+00    1.1695515E+00    6.2014746E-02    5.8307174E-01    7.4946209E+00    6.0860723E+01    4.8713829E-02    2.3147040E-05    0.0000000E+00    6.2939319E+00    4.6935111E+00    0.0000000E+00    0.0000000E+00    1.1554319E+00    0.0000000E+00    8.5658789E+00    0.0000000E+00
    1.7100000E+00   -1.4864361E+00    0.0000000E+00    1.1695903E+00    6.2047204E-02    5.8309404E-01    7.4945599E+00    6.0860842E+01    4.8785806E-02    2.3146857E-05    0.0000000E+00    6.2938821E+00    4.6934730E+00    0.0000000E+00    0.0000000E+00    1.1554485E+00    0.0000000E+00    8.5658111E+00    0.0000000E+00
    1.8900000E+00   -1.4864314E+00    0.0000000E+00    1.1696110E+00    6.2065780E-02    5.8311512E-01    7.4945145E+00    6.0860961E+01    4.8827119E-02    2.3146720E-05    0.0000000E+00    6.2938449E+00    4.6934440E+00    0.0000000E+00    0.0000000E+00    1.1554590E+00    0.0000000E+00    8.5657605E+00    0.0000000E+00
    2.0700000E+00   -1.4978948E+00    0.0000000E+00    1.7016431E+00    4.9763345E-02    5.4843322E-01    7.5595818E+00    5.7890151E+01    5.1445937E-02    2.4374545E-05    0.0000000E+00    5.6705900E+00    5.3552651E+00    0.0000000E+00    0.0000000E+00    7.8196484E-01    0.0000000E+00    5.4120804E+02    0.0000000E+00
    2.2500000E+00   -1.4978888E+00    0.0000000E+00    1.7016523E+00    4.9772888E-02    5.4847341E-01    7.5595357E+00    5.7890355E+01    5.1467318E-02    2.4374367E-05    0.0000000E+00    5.6705485E+00    5.3552231E+00    0.0000000E+00    0.0000000E+00    7.8197658E-01    0.0000000E+00    5.4120408E+02    0.0000000E+00
    2.4300000E+00   -1.4978826E+00    0.0000000E+00    1.7016600E+00    4.9780935E-02    5.4851026E-01    7.5594870E+00    5.7890554E+01    5.1485360E-02    2.4374212E-05    0.0000000E+00    5.6705125E+00    5.3551870E+00    0.0000000E+00    0.0000000E+00    7.8198713E-01    0.0000000E+00    5.4120064E+02    0.0000000E+00
    2.6100000E+00   -1.4978768E+00    0.0000000E+00    1.7016664E+00    4.9787944E-02    5.4854452E-01    7.5594412E+00    5.7890744E+01    5.1501100E-02    2.4372641E-05    0.0000000E+00    5.6704785E+00    5.3551535E+00    0.0000000E+00    0.0000000E+00    7.8199660E-01    0.0000000E+00    5.4119740E+02    0.0000000E+00
    2.7900000E+00   -1.4978711E+00    0.0000000E+00    1.7016716E+00    4.9794130E-02    5.4857634E-01    7.5593978E+00    5.7890925E+01    5.1515014E-02    2.4371390E-05    0.0000000E+00    5.6704463E+00    5.3551220E+00    0.0000000E+00    0.0000000E+00    7.8200513E-01    0.0000000E+00    5.4119433E+02    0.0000000E+00
    2.9700000E+00   -1.4978656E+00    0.0000000E+00    1.7016760E+00    4.9799645E-02    5.4860587E-01    7.5593567E+00    5.7891100E+01    5.1527437E-02    2.4370710E-05    0.0000000E+00    5.6704157E+00    5.3550922E+00    0.0000000E+00    0.0000000E+00    7.8201283E-01    0.0000000E+00    5.4119140E+02    0.0000000E+00
    3.1500000E+00   -1.4978604E+00    0.0000000E+00    1.7016799E+00    4.9804614E-02    5.4863325E-01    7.5593176E+00    5.7891268E+01    5.1538648E-02    2.4370314E-05    0.0000000E+00    5.6703866E+00    5.3550640E+00    0.0000000E+00    0.0000000E+00    7.8201980E-01    0.0000000E+00    5.4118862E+02    0.0000000E+00
    3.3300000E+00   -1.4978553E+00    0.0000000E+00    1.7016834E+00    4.9809144E-02    5.4865863E-01    7.5592802E+00    5.7891430E+01    5.1548882E-02    2.4370066E-05    0.0000000E+00    5.6703587E+00    5.3550372E+00    0.0000000E+00    0.0000000E+00    7.8202613E-01    0.0000000E+00    5.4118596E+02    0.0000000E+00
    3.5100000E+00   -1.4978504E+00    0.0000000E+00    1.7016866E+00    4.9813331E-02    5.4868213E-01    7.5592445E+00    5.7891587E+01    5.1558350E-02    2.4369889E-05    0.0000000E+00    5.6703320E+00    5.3550115E+00    0.0000000E+00    0.0000000E+00    7.8203188E-01    0.0000000E+00    5.4118341E+02    0.0000000E+00
    3.6900000E+00   -1.4978456E+00    0.0000000E+00    1.7016897E+00    4.9817260E-02    5.4870388E-01    7.5592101E+00    5.7891738E+01    5.1567239E-02    2.4369739E-05    0.0000000E+00    5.6703063E+00    5.3549869E+00    0.0000000E+00    0.0000000E+00    7.8203714E-01    0.0000000E+00    5.4118096E+02    0.0000000E+00
    3.8700000E+00   -1.4978409E+00    0.0000000E+00    1.7016928E+00    4.9821007E-02    5.4872398E-01    7.5591770E+00    5.7891884E+01    5.1575721E-02    2.4369610E-05    0.0000000E+00    5.6702816E+00    5.3549632E+00    0.0000000E+00    0.0000000E+00    7.8204196E-01    0.0000000E+00    5.4117860E+02    0.0000000E+00
    4.0500000E+00   -1.4978364E+00    0.0000000E+00    1.7016960E+00    4.9824646E-02    5.4874255E-01    7.5591450E+00    5.7892025E+01    5.1583957E-02    2.4369495E-05    0.0000000E+00    5.6702577E+00    5.3549404E+00    0.0000000E+00    0.0000000E+00    7.8204641E-01    0.0000000E+00    5.4117632E+02    0.0000000E+00
    4.2300000E+00   -1.4978321E+00    0.0000000E+00    1.7016995E+00    4.9828246E-02    5.4875967E-01    7.5591141E+00    5.7892162E+01    5.1592098E-02    2.4369388E-05    0.0000000E+00    5.6702345E+00    5.3549183E+00    0.0000000E+00    0.0000000E+00    7.8205053E-01    0.0000000E+00    5.4117411E+02    0.0000000E+00
    4.4100000E+00   -1.4978278E+00    0.0000000E+00    1.7017033E+00    4.9831873E-02    5.4877541E-01    7.5590840E+00    5.7892295E+01    5.1600294E-02    2.4369287E-05    0.0000000E+00    5.6702120E+00    5.3548968E+00    0.0000000E+00    0.0000000E+00    7.8205439E-01    0.0000000E+00    5.4117196E+02    0.0000000E+00
    4.5900000E+00   -1.4978236E+00    0.0000000E+00    1.7017076E+00    4.9835594E-02    5.4878986E-01    7.5590546E+00    5.7892424E+01    5.1608692E-02    2.4369190E-05    0.0000000E+00    5.6701900E+00    5.3548759E+00    0.0000000E+00    0.0000000E+00    7.8205802E-01    0.0000000E+00    5.4116986E+02    0.0000000E+00
    4.7700000E+00   -1.4978195E+00    0.0000000E+00    1.7017124E+00    4.9839479E-02    5.4880307E-01    7.5590259E+00    5.7892549E+01    5.1617442E-02    2.4369096E-05    0.0000000E+00    5.6701685E+00    5.3548555E+00    0.0000000E+00    0.0000000E+00    7.8206149E-01    0.0000000E+00    5.4116781E+02    0.0000000E+00
    4.9500000E+00   -1.4978156E+00    0.0000000E+00    1.7017179E+00    4.9843596E-02    5.4881509E-01    7.5589977E+00    5.7892671E+01    5.1626701E-02    2.4369004E-05    0.0000000E+00    5.6701474E+00    5.3548355E+00    0.0000000E+00    0.0000000E+00    7.8206483E-01    0.0000000E+00    5.4116580E+02    0.0000000E+00
    5.1300000E+00   -1.4978117E+00    0.0000000E+00    1.7017242E+00    4.9848022E-02    5.4882598E-01    7.5589699E+00    5.7892789E+01    5.1636633E-02    2.4368914E-05    0.0000000E+00    5.6701266E+00    5.3548158E+00    0.0000000E+00    0.0000000E+00    7.8206809E-01    0.0000000E+00    5.4116381E+02    0.0000000E+00
    5.3100000E+00   -1.4978079E+00    0.0000000E+00    1.7017313E+00    4.9852835E-02    5.4883575E-01    7.5589423E+00    5.7892904E+01    5.1647414E-02    2.4368825E-05    0.0000000E+00    5.6701060E+00    5.3547963E+00    0.0000000E+00    0.0000000E+00    7.8207133E-01    0.0000000E+00    5.4116184E+02    0.0000000E+00
    5.4900000E+00   -1.4978042E+00    0.0000000E+00    1.7017396E+00    4.9858123E-02    5.4884445E-01    7.5589150E+00    5.7893016E+01    5.1659236E-02    2.4368736E-05    0.0000000E+00    5.6700855E+00    5.3547771E+00    0.0000000E+00    0.0000000E+00    7.8207458E-01    0.0000000E+00    5.4115988E+02    0.0000000E+00
    5.6700000E+00   -1.4978005E+00    0.0000000E+00    1.7017490E+00    4.9863980E-02    5.4885208E-01    7.5588877E+00    5.7893125E+01    5.1672308E-02    2.4368648E-05    0.0000000E+00    5.6700650E+00    5.3547579E+00    0.0000000E+00    0.0000000E+00    7.8207791E-01    0.0000000E+00    5.4115793E+02    0.0000000E+00
    5.8500000E+00   -1.4977969E+00    0.0000000E+00    1.7017598E+00    4.9870513E-02    5.4885866E-01    7.5588603E+00    5.7893232E+01    5.1686865E-02    2.4368560E-05    0.0000000E+00    5.6700445E+00    5.3547387E+00    0.0000000E+00    0.0000000E+00    7.8208137E-01    0.0000000E+00    5.4115597E+02    0.0000000E+00
    6.0300000E+00   -1.4977934E+00    0.0000000E+00    1.7017722E+00    4.9877838E-02    5.4886418E-01    7.5588327E+00    5.7893335E+01    5.1703164E-02    2.4368471E-05    0.0000000E+00    5.6700237E+00    5.3547195E+00    0.0000000E+00    0.0000000E+00    7.8208501E-01    0.0000000E+00    5.4115399E+02    0.0000000E+00
    6.2100000E+00   -1.4977899E+00    0.0000000E+00    1.7017863E+00    4.9886089E-02    5.4886864E-01    7.5588046E+00    5.7893436E+01    5.1721498E-02    2.4368380E-05    0.0000000E+00    5.6700027E+00    5.3547001E+00    0.0000000E+00    0.0000000E+00    7.8208891E-01    0.0000000E+00    5.4115199E+02    0.0000000E+00
