# Time          5.0000E+01
# Units: Mol/kgw/yr
    Distance        CH2O_decomp      FeII_oxidation_a
    9.0000000E-02    3.1811570E-01    7.1870553E-06
    2.7000000E-01    5.6294318E-02    9.9978050E-06
    4.5000000E-01    1.0598775E-02    1.2810978E-05
    6.3000000E-01    2.4414445E-03    1.5390174E-05
    8.1000000E-01    9.5369881E-04    1.7609608E-05
    9.9000000E-01    6.7632589E-04    1.9411281E-05
    1.1700000E+00    6.2333166E-04    2.0780688E-05
    1.3500000E+00    6.1282745E-04    2.1732552E-05
    1.5300000E+00    6.1052425E-04    2.2299652E-05
    1.7100000E+00    6.0981018E-04    2.2523475E-05
    1.8900000E+00    6.1220159E-04    2.2446717E-05
    2.0700000E+00    2.8311353E-02    2.1643742E-05
    2.2500000E+00    3.4366145E-02    2.0936001E-05
    2.4300000E+00    3.5719917E-02    2.0339335E-05
    2.6100000E+00    3.6024597E-02    1.9839176E-05
    2.7900000E+00    3.6088530E-02    1.9417146E-05
    2.9700000E+00    3.6095628E-02    1.9057549E-05
    3.1500000E+00    3.6088986E-02    1.8748098E-05
    3.3300000E+00    3.6079104E-02    1.8479107E-05
    3.5100000E+00    3.6068753E-02    1.8243216E-05
    3.6900000E+00    3.6058842E-02    1.8034907E-05
    3.8700000E+00    3.6049844E-02    1.7850128E-05
    4.0500000E+00    3.6042145E-02    1.7685996E-05
    4.2300000E+00    3.6036141E-02    1.7540570E-05
    4.4100000E+00    3.6032252E-02    1.7412680E-05
    4.5900000E+00    3.6030933E-02    1.7301790E-05
    4.7700000E+00    3.6032662E-02    1.7207899E-05
    4.9500000E+00    3.6037939E-02    1.7131463E-05
    5.1300000E+00    3.6047269E-02    1.7073335E-05
    5.3100000E+00    3.6061150E-02    1.7034723E-05
    5.4900000E+00    3.6080052E-02    1.7017155E-05
    5.6700000E+00    3.6104396E-02    1.7022457E-05
    5.8500000E+00    3.6134527E-02    1.7052741E-05
    6.0300000E+00    3.6170692E-02    1.7110399E-05
    6.2100000E+00    3.6213006E-02    1.7198112E-05
    6.3900000E+00    3.6261431E-02    1.7318865E-05
    6.5700000E+00    3.6315754E-02    1.7475984E-05
    6.7500000E+00    3.6375567E-02    1.7673191E-05
    6.9300000E+00    3.6440265E-02    1.7914684E-05
    7.1100000E+00    3.6509047E-02    1.8205259E-05
    7.2900000E+00    3.6580934E-02    1.8550472E-05
    7.4700000E+00    3.6654794E-02    1.8956872E-05
    7.6500000E+00    3.6729385E-02    1.9432319E-05
    7.8300000E+00    3.6803406E-02    1.9986419E-05
    8.0100000E+00    3.6871869E-02    2.0631202E-05
    8.1900000E+00    1.4792060E-02    2.1603767E-05
    8.3700000E+00    6.1141689E-03    2.2558312E-05
    8.5500000E+00    2.7307523E-03    2.3442994E-05
    8.7300000E+00    1.4241644E-03    2.4236869E-05
    8.9100000E+00    9.2464538E-04    2.4931883E-05
    9.0900000E+00    7.3560064E-04    2.5526285E-05
    9.2700000E+00    6.6475816E-04    2.6021786E-05
    9.4500000E+00    6.3844771E-04    2.6422258E-05
    9.6300000E+00    6.2873938E-04    2.6733077E-05
    9.8100000E+00    6.2515633E-04    2.6960711E-05
    9.9900000E+00    6.2381019E-04    2.7112413E-05
    1.0170000E+01    6.2327308E-04    2.7195949E-05
    1.0350000E+01    6.2302621E-04    2.7219355E-05
    1.0530000E+01    6.2288308E-04    2.7190706E-05
    1.0710000E+01    6.2277733E-04    2.7117920E-05
    1.0890000E+01    6.2268561E-04    2.7008579E-05
    1.1070000E+01    6.2259976E-04    2.6869784E-05
    1.1250000E+01    6.2251698E-04    2.6708040E-05
    1.1430000E+01    6.2243629E-04    2.6529171E-05
    1.1610000E+01    6.2235734E-04    2.6338269E-05
    1.1790000E+01    6.2228003E-04    2.6139662E-05
    1.1970000E+01    6.2220428E-04    2.5936916E-05
    1.2150000E+01    6.2213007E-04    2.5732847E-05
    1.2330000E+01    6.2205784E-04    2.5530560E-05
    1.2510000E+01    6.2555107E-04    2.8483968E-05
    1.2690000E+01    6.2647379E-04    3.0814568E-05
    1.2870000E+01    6.2659480E-04    3.2637700E-05
    1.3050000E+01    6.2647906E-04    3.4052991E-05
    1.3230000E+01    6.2630015E-04    3.5143601E-05
    1.3410000E+01    6.2611035E-04    3.5978097E-05
    1.3590000E+01    6.2592478E-04    3.6612349E-05
    1.3770000E+01    6.2574734E-04    3.7091371E-05
    1.3950000E+01    6.2557864E-04    3.7451031E-05
    1.4130000E+01    6.2541837E-04    3.7719612E-05
    1.4310000E+01    6.2526600E-04    3.7919182E-05
    1.4490000E+01    6.2512096E-04    3.8066784E-05
    1.4670000E+01    6.2498272E-04    3.8175448E-05
    1.4850000E+01    6.2485080E-04    3.8255032E-05
    1.5030000E+01    6.2472475E-04    3.8312915E-05
    1.5210000E+01    6.2460416E-04    3.8354562E-05
    1.5390000E+01    6.2448864E-04    3.8383968E-05
    1.5570000E+01    6.2437781E-04    3.8404015E-05
    1.5750000E+01    6.2427134E-04    3.8416747E-05
    1.5930000E+01    6.2416888E-04    3.8423579E-05
    1.6110000E+01    6.2407009E-04    3.8425460E-05
    1.6290000E+01    6.2397465E-04    3.8422994E-05
    1.6470000E+01    6.2388223E-04    3.8416524E-05
    1.6650000E+01    6.2379249E-04    3.8406196E-05
    1.6830000E+01    6.2370512E-04    3.8392007E-05
    1.7010000E+01    6.2361977E-04    3.8373830E-05
    1.7190000E+01    6.2353609E-04    3.8351432E-05
    1.7370000E+01    6.2345375E-04    3.8324486E-05
    1.7550000E+01    6.2337238E-04    3.8292568E-05
    1.7730000E+01    6.2329162E-04    3.8255156E-05
    1.7910000E+01    6.2321112E-04    3.8211631E-05
