# Time          5.0000E+01
# Units:           Transport Porosity  Mineral Porosity
    9.0000000E-02    1.0021425E-01    1.0021425E-01
    2.7000000E-01    1.0041575E-01    1.0041575E-01
    4.5000000E-01    1.0040336E-01    1.0040336E-01
    6.3000000E-01    1.0038641E-01    1.0038641E-01
    8.1000000E-01    1.0036729E-01    1.0036729E-01
    9.9000000E-01    1.0034855E-01    1.0034855E-01
    1.1700000E+00    1.0033093E-01    1.0033093E-01
    1.3500000E+00    1.0031467E-01    1.0031467E-01
    1.5300000E+00    1.0029985E-01    1.0029985E-01
    1.7100000E+00    1.0028653E-01    1.0028653E-01
    1.8900000E+00    1.0027477E-01    1.0027477E-01
    2.0700000E+00    1.0133107E-01    1.0133107E-01
    2.2500000E+00    1.0131193E-01    1.0131193E-01
    2.4300000E+00    1.0129522E-01    1.0129522E-01
    2.6100000E+00    1.0127930E-01    1.0127930E-01
    2.7900000E+00    1.0126410E-01    1.0126410E-01
    2.9700000E+00    1.0124960E-01    1.0124960E-01
    3.1500000E+00    1.0123576E-01    1.0123576E-01
    3.3300000E+00    1.0122255E-01    1.0122255E-01
    3.5100000E+00    1.0120993E-01    1.0120993E-01
    3.6900000E+00    1.0119787E-01    1.0119787E-01
    3.8700000E+00    1.0118635E-01    1.0118635E-01
    4.0500000E+00    1.0117534E-01    1.0117534E-01
    4.2300000E+00    1.0116482E-01    1.0116482E-01
    4.4100000E+00    1.0115474E-01    1.0115474E-01
    4.5900000E+00    1.0114510E-01    1.0114510E-01
    4.7700000E+00    1.0113587E-01    1.0113587E-01
    4.9500000E+00    1.0112702E-01    1.0112702E-01
    5.1300000E+00    1.0111853E-01    1.0111853E-01
    5.3100000E+00    1.0111039E-01    1.0111039E-01
    5.4900000E+00    1.0110256E-01    1.0110256E-01
    5.6700000E+00    1.0109504E-01    1.0109504E-01
    5.8500000E+00    1.0108781E-01    1.0108781E-01
    6.0300000E+00    1.0108083E-01    1.0108083E-01
    6.2100000E+00    1.0107411E-01    1.0107411E-01
    6.3900000E+00    1.0106761E-01    1.0106761E-01
    6.5700000E+00    1.0106132E-01    1.0106132E-01
    6.7500000E+00    1.0105523E-01    1.0105523E-01
    6.9300000E+00    1.0104931E-01    1.0104931E-01
    7.1100000E+00    1.0104353E-01    1.0104353E-01
    7.2900000E+00    1.0103789E-01    1.0103789E-01
    7.4700000E+00    1.0103236E-01    1.0103236E-01
    7.6500000E+00    1.0102690E-01    1.0102690E-01
    7.8300000E+00    1.0102151E-01    1.0102151E-01
    8.0100000E+00    1.0101613E-01    1.0101613E-01
    8.1900000E+00    9.9928575E-02    9.9928575E-02
    8.3700000E+00    9.9920341E-02    9.9920341E-02
    8.5500000E+00    9.9912704E-02    9.9912704E-02
    8.7300000E+00    9.9905627E-02    9.9905627E-02
    8.9100000E+00    9.9899065E-02    9.9899065E-02
    9.0900000E+00    9.9892972E-02    9.9892972E-02
    9.2700000E+00    9.9887311E-02    9.9887311E-02
    9.4500000E+00    9.9882047E-02    9.9882047E-02
    9.6300000E+00    9.9877149E-02    9.9877149E-02
    9.8100000E+00    9.9872590E-02    9.9872590E-02
    9.9900000E+00    9.9868347E-02    9.9868347E-02
    1.0170000E+01    9.9864395E-02    9.9864395E-02
    1.0350000E+01    9.9860715E-02    9.9860715E-02
    1.0530000E+01    9.9857287E-02    9.9857287E-02
    1.0710000E+01    9.9854096E-02    9.9854096E-02
    1.0890000E+01    9.9851123E-02    9.9851123E-02
    1.1070000E+01    9.9848356E-02    9.9848356E-02
    1.1250000E+01    9.9845779E-02    9.9845779E-02
    1.1430000E+01    9.9843380E-02    9.9843380E-02
    1.1610000E+01    9.9841147E-02    9.9841147E-02
    1.1790000E+01    9.9839069E-02    9.9839069E-02
    1.1970000E+01    9.9837134E-02    9.9837134E-02
    1.2150000E+01    9.9835331E-02    9.9835331E-02
    1.2330000E+01    9.9833652E-02    9.9833652E-02
    1.2510000E+01    9.9022319E-02    9.9022319E-02
    1.2690000E+01    9.9022517E-02    9.9022517E-02
    1.2870000E+01    9.9022290E-02    9.9022290E-02
    1.3050000E+01    9.9022086E-02    9.9022086E-02
    1.3230000E+01    9.9021900E-02    9.9021900E-02
    1.3410000E+01    9.9021726E-02    9.9021726E-02
    1.3590000E+01    9.9021560E-02    9.9021560E-02
    1.3770000E+01    9.9021400E-02    9.9021400E-02
    1.3950000E+01    9.9021243E-02    9.9021243E-02
    1.4130000E+01    9.9021089E-02    9.9021089E-02
    1.4310000E+01    9.9020935E-02    9.9020935E-02
    1.4490000E+01    9.9020781E-02    9.9020781E-02
    1.4670000E+01    9.9020626E-02    9.9020626E-02
    1.4850000E+01    9.9020471E-02    9.9020471E-02
