# Time series at grid cell:   1   1   1
  Time(yrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E-09                2.88997724799221E-05   7.24994417500962E-05   3.48335536211626E-09   6.81011836529929E-06   4.31999721838599E-05   1.21002266526704E-05   8.78999086979280E-07   5.27999553291157E-09   5.96999092743278E+00   1.59221849892946E-03   3.43460855785123E-04
  2.00000E-09                2.88997571690104E-05   7.24994034199720E-05   3.48671233556091E-09   6.81011079810248E-06   4.31999443677506E-05   1.21002131771170E-05   8.78998173960990E-07   5.27999106583017E-09   5.96999009227929E+00   1.59221852784089E-03   3.43460834935599E-04
  3.00000E-09                2.88997417854796E-05   7.24993648872193E-05   3.49006769692366E-09   6.81010327780756E-06   4.31999165516855E-05   1.21001997918606E-05   8.78997260943643E-07   5.27998659874849E-09   5.96998948808623E+00   1.59221870420452E-03   3.43460814069448E-04
  4.00000E-09                2.88997263182229E-05   7.24993261354246E-05   3.49342305573435E-09   6.81009580919364E-06   4.31998887356491E-05   1.21001865060367E-05   8.78996347927824E-07   5.27998213167088E-09   5.96998901506649E+00   1.59221896671653E-03   3.43460793185120E-04
  5.00000E-09                2.88997107898243E-05   7.24992872259712E-05   3.49677841176341E-09   6.81008837855385E-06   4.31998609196407E-05   1.21001732932233E-05   8.78995434913438E-07   5.27997766459720E-09   5.96998861690916E+00   1.59221927871602E-03   3.43460772287590E-04
  7.00000E-09                2.88996795835381E-05   7.24992090283835E-05   3.50349394014863E-09   6.81007360693669E-06   4.31998052877422E-05   1.21001470400829E-05   8.78993608891570E-07   5.27996873047105E-09   5.96998793942769E+00   1.59221998261402E-03   3.43460730461327E-04
  1.10000E-08                2.88996171154880E-05   7.24990524843191E-05   3.51693457253372E-09   6.81004409896515E-06   4.31996940244069E-05   1.21000946016342E-05   8.78989956872016E-07   5.27995086229047E-09   5.96998670633886E+00   1.59222146952607E-03   3.43460646798333E-04
  1.90000E-08                2.88994921225651E-05   7.24987392496423E-05   3.54375138623500E-09   6.80998511865545E-06   4.31994714993528E-05   1.20999897932101E-05   8.78982652898430E-07   5.27991512609579E-09   5.96998431003989E+00   1.59222448931257E-03   3.43460479467851E-04
  3.50000E-08                2.88992421080986E-05   7.24981127080940E-05   3.59743566061508E-09   6.80986717945078E-06   4.31990264563163E-05   1.20997802172149E-05   8.78968045305142E-07   5.27984365473503E-09   5.96997953934396E+00   1.59223054301868E-03   3.43460144831903E-04
  6.70000E-08                2.88987420792998E-05   7.24968596255661E-05   3.70480128906238E-09   6.80963131590127E-06   4.31981363980786E-05   1.20993610925867E-05   8.78938831472409E-07   5.27970071588476E-09   5.96997000232751E+00   1.59224265007812E-03   3.43459475684726E-04
