# Time          5.0000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02   -6.4963920E-13   -3.1097403E-09   -1.9027082E-09   -2.8049805E-11    0.0000000E+00    6.1732733E-09    0.0000000E+00   -7.7461186E-12   -5.2784930E-12    1.2776766E-09   -3.2666945E-12   -2.1360305E-10   -1.1710774E-14   -4.4978974E-13    0.0000000E+00    1.1178977E-24
    2.7000000E-01   -4.8820261E-13   -2.9822701E-09   -1.8705304E-09   -2.6839987E-11    0.0000000E+00    7.2958259E-12    0.0000000E+00   -7.7461186E-12   -3.3442037E-12    1.7149822E-09   -3.2666945E-12   -1.4201105E-10   -1.1710711E-14   -4.4978974E-13    0.0000000E+00    7.2133261E-25
    4.5000000E-01   -3.3254170E-13   -2.8345080E-09   -1.8318375E-09   -2.5415099E-11    0.0000000E+00    9.0630022E-12    0.0000000E+00   -7.7461186E-12   -1.3819027E-12    1.5564207E-09   -3.2666945E-12   -7.2976009E-11   -1.1710639E-14   -4.4978974E-13    0.0000000E+00    4.7994234E-25
    6.3000000E-01   -1.8329284E-13   -2.6980318E-09   -1.7947989E-09   -2.4044791E-11    0.0000000E+00    1.0762319E-11    0.0000000E+00   -7.7461186E-12    1.1285563E-12    1.4267050E-09   -3.2666945E-12   -6.7806855E-12   -1.1710557E-14   -4.4978974E-13    0.0000000E+00    3.5556485E-25
    8.1000000E-01   -4.1290430E-14   -2.5782322E-09   -1.7611978E-09   -2.2755460E-11    0.0000000E+00    1.2292668E-11    0.0000000E+00   -7.7461186E-12    4.4165633E-12    1.3372905E-09   -3.2666945E-12    5.6204301E-11   -1.1710469E-14   -4.4978974E-13    0.0000000E+00    2.8273609E-25
    9.9000000E-01    0.0000000E+00   -2.4747042E-09   -1.7312893E-09   -2.1520446E-11    0.0000000E+00    1.3606362E-11    0.0000000E+00   -7.7461186E-12    8.5273428E-12    1.2681197E-09   -3.2666945E-12    1.1608774E-10   -1.1710375E-14   -4.4978974E-13    0.0000000E+00    2.3498019E-25
    1.1700000E+00    0.0000000E+00   -2.3862525E-09   -1.7050600E-09   -2.0308587E-11    0.0000000E+00    1.4678037E-11    0.0000000E+00   -7.7461186E-12    1.3434284E-11    1.2110232E-09   -3.2666945E-12    1.7313269E-10   -1.1710277E-14   -4.4978974E-13    0.0000000E+00    2.0123476E-25
    1.3500000E+00    0.0000000E+00   -2.3119169E-09   -1.6825118E-09   -1.9095959E-11    0.0000000E+00    1.5497836E-11    0.0000000E+00   -7.7461186E-12    1.9061101E-11    1.1627733E-09   -3.2666945E-12    2.2764481E-10   -1.1710174E-14   -4.4978974E-13    0.0000000E+00    1.7614811E-25
    1.5300000E+00    0.0000000E+00   -2.2511565E-09   -1.6637277E-09   -1.7867895E-11    0.0000000E+00    1.6066946E-11    0.0000000E+00   -7.7461186E-12    2.5304272E-11    1.1219964E-09   -3.2666945E-12    2.7994377E-10   -1.1710069E-14   -4.4978974E-13    0.0000000E+00    1.5681360E-25
    1.7100000E+00    0.0000000E+00   -2.2038732E-09   -1.6488888E-09   -1.6617507E-11    0.0000000E+00    1.6393820E-11    0.0000000E+00   -7.7461186E-12    3.2057096E-11    1.0881701E-09   -3.2666945E-12    3.3035894E-10   -1.1709962E-14   -4.4978974E-13    0.0000000E+00    1.4151778E-25
