# Time          5.0000E+01
# Units: Mol/kgw
    Distance           H+               Li+              Na+              Ca++             K+               Al+++            SiO2(aq)         CO2(aq)          O2(aq)           Methane(aq)      Fe++             Fe+++            HS-              SO4--            Mg++             Cl-              CH2O             Tracer       
    9.0000000E-02   -2.7378482E-04    1.0000000E-04    8.9917916E-06    4.2991704E-06    5.3637817E-06    1.5925092E-06    1.1874075E-05    1.5147123E-03    3.3724929E-04    3.5589893E-07    5.9837148E-08    4.5684066E-11    1.0000000E-14    1.0000000E-14    2.7845755E-06    1.0000000E-14    1.0687791E-04    1.0000000E-30
    2.7000000E-01   -2.8894581E-04    1.0000000E-04    1.3830974E-05    7.7436878E-06    5.9687511E-06    9.5399377E-07    2.1237265E-05    1.5462152E-03    3.2816880E-04    3.5589801E-07    7.6873064E-08    1.8020050E-11    1.0000000E-14    1.0000000E-14    5.1392567E-06    1.0000000E-14    2.1975299E-05    1.0000000E-30
    4.5000000E-01   -3.0439987E-04    1.0000000E-04    1.8434138E-05    1.1023574E-05    6.9830050E-06    5.8061070E-07    3.0265381E-05    1.5626709E-03    3.1970821E-04    3.5589709E-07    9.1015704E-08    1.6324491E-11    1.0000000E-14    1.0000000E-14    7.3236251E-06    1.0000000E-14    4.7342049E-06    1.0000000E-30
    6.3000000E-01   -3.1994357E-04    1.0000000E-04    2.2820527E-05    1.4096986E-05    8.4772518E-06    3.9509650E-07    3.8921520E-05    1.5771609E-03    3.1132186E-04    3.5589618E-07    1.0240100E-07    1.4829224E-11    1.0000000E-14    1.0000000E-14    9.3486326E-06    1.0000000E-14    1.1635257E-06    1.0000000E-30
    8.1000000E-01   -3.3530616E-04    1.0000000E-04    2.7017566E-05    1.6954537E-05    1.0482088E-05    2.9098235E-07    4.7157298E-05    1.5924819E-03    3.0290170E-04    3.5589531E-07    1.1130311E-07    1.3575207E-11    1.0000000E-14    1.0000000E-14    1.1218709E-05    1.0000000E-14    4.1196277E-07    1.0000000E-30
    9.9000000E-01   -3.5041053E-04    1.0000000E-04    3.1051418E-05    1.9606552E-05    1.2978772E-05    2.2600356E-07    5.4987020E-05    1.6095404E-03    2.9442490E-04    3.5589448E-07    1.1807359E-07    1.2536571E-11    1.0000000E-14    1.0000000E-14    1.2944310E-05    1.0000000E-14    2.5400828E-07    1.0000000E-30
    1.1700000E+00   -3.6525146E-04    1.0000000E-04    3.4945789E-05    2.2077931E-05    1.5903661E-05    1.8250968E-07    6.2445157E-05    1.6289567E-03    2.8588628E-04    3.5589369E-07    1.2310516E-07    1.1683219E-11    1.0000000E-14    1.0000000E-14    1.4543980E-05    1.0000000E-14    2.2393809E-07    1.0000000E-30
    1.3500000E+00   -3.7984982E-04    1.0000000E-04    3.8722496E-05    2.4402859E-05    1.9163393E-05    1.5201064E-07    6.9571730E-05    1.6514035E-03    2.7728441E-04    3.5589293E-07    1.2680653E-07    1.0991541E-11    1.0000000E-14    1.0000000E-14    1.6042060E-05    1.0000000E-14    2.2228227E-07    1.0000000E-30
    1.5300000E+00   -3.9423810E-04    1.0000000E-04    4.2402373E-05    2.6618969E-05    2.2654187E-05    1.2995774E-07    7.6408584E-05    1.6777014E-03    2.6861865E-04    3.5589220E-07    1.2958447E-07    1.0445245E-11    1.0000000E-14    1.0000000E-14    1.7465056E-05    1.0000000E-14    2.2736877E-07    1.0000000E-30
    1.7100000E+00   -4.0845573E-04    1.0000000E-04    4.6006183E-05    2.8762409E-05    2.6278564E-05    1.1372515E-07    8.2998817E-05    1.7088731E-03    2.5988857E-04    3.5589148E-07    1.3183201E-07    1.0034743E-11    1.0000000E-14    1.0000000E-14    1.8838440E-05    1.0000000E-14    2.3440363E-07    1.0000000E-30
    1.8900000E+00   -4.2254834E-04    1.0000000E-04    4.9556030E-05    3.0865103E-05    2.9954182E-05    1.0171770E-07    8.9388437E-05    1.7461982E-03    2.5109378E-04    3.5589077E-07    1.3392098E-07    9.7566863E-12    1.0000000E-14    1.0000000E-14    2.0185241E-05    1.0000000E-14    2.4338038E-07    1.0000000E-30
    2.0700000E+00   -4.3807259E-04    1.0000000E-04    5.4584723E-05    3.3508129E-05    2.9900385E-05    1.1872982E-07    9.8671974E-05    1.7925236E-03    2.4229637E-04    3.5588978E-07    1.3298144E-07    9.5483148E-12    1.0000000E-14    1.0000000E-14    2.2792315E-05    1.0000000E-14    1.1274981E-05    1.0000000E-30
    2.2500000E+00   -4.5339087E-04    1.0000000E-04    5.9564452E-05    3.6140204E-05    2.9830171E-05    1.0635415E-07    1.0769543E-04    1.8405118E-03    2.3374748E-04    3.5588880E-07    1.3267466E-07    9.3922480E-12    1.0000000E-14    1.0000000E-14    2.5383489E-05    1.0000000E-14    1.4482542E-05    1.0000000E-30
    2.4300000E+00   -4.6861030E-04    1.0000000E-04    6.4501213E-05    3.8762677E-05    2.9744502E-05    9.6059577E-08    1.1650644E-04    1.8889346E-03    2.2544738E-04    3.5588781E-07    1.3293908E-07    9.2594704E-12    1.0000000E-14    1.0000000E-14    2.7960362E-05    1.0000000E-14    1.5739949E-05    1.0000000E-30
    2.6100000E+00   -4.8373794E-04    1.0000000E-04    6.9399108E-05    4.1376471E-05    2.9643632E-05    8.7549880E-08    1.2511558E-04    1.9374295E-03    2.1741357E-04    3.5588683E-07    1.3370992E-07    9.1425110E-12    1.0000000E-14    1.0000000E-14    3.0523874E-05    1.0000000E-14    1.6510763E-05    1.0000000E-30
    2.7900000E+00   -4.9877918E-04    1.0000000E-04    7.4261472E-05    4.3982337E-05    2.9527851E-05    8.0403886E-08    1.3353174E-04    1.9859038E-03    2.0965212E-04    3.5588585E-07    1.3492946E-07    9.0382893E-12    1.0000000E-14    1.0000000E-14    3.3074831E-05    1.0000000E-14    1.7169161E-05    1.0000000E-30
    2.9700000E+00   -5.1373898E-04    1.0000000E-04    7.9091184E-05    4.6580928E-05    2.9397482E-05    7.4325564E-08    1.4176305E-04    2.0343338E-03    2.0216618E-04    3.5588487E-07    1.3654826E-07    8.9449762E-12    1.0000000E-14    1.0000000E-14    3.5613971E-05    1.0000000E-14    1.7813223E-05    1.0000000E-30
    3.1500000E+00   -5.2862204E-04    1.0000000E-04    8.3890783E-05    4.9172821E-05    2.9252878E-05    6.9099074E-08    1.4981698E-04    2.0827131E-03    1.9495819E-04    3.5588389E-07    1.3852424E-07    8.8612074E-12    1.0000000E-14    1.0000000E-14    3.8141975E-05    1.0000000E-14    1.8469123E-05    1.0000000E-30
