# Time          5.0000E+01
# Units: Weight % Mineral
    Distance           Quartz           Albite           Dolomite-dis     Microcline       Pyrite           Fe(OH)3          Muscovite        Chamosite-7A     Illite           Kaolinite        Smectite-high    SiO2(am)         Calcite          POMC             O2(s)            Gibbsite     
    9.0000000E-02    2.6551513E+01    1.2271194E+01    9.6723397E-02    3.2846010E-01    0.0000000E+00    8.1926359E+00    1.0915543E+00    1.5856584E+01    1.9407844E+00    8.6874142E+00    1.6064154E+01    8.8761640E+00    1.0789258E-06    4.2815446E-02    1.1570185E-06    1.0458536E-06
    2.7000000E-01    2.6564340E+01    1.2278259E+01    9.7007474E-02    3.2863093E-01    0.0000000E+00    8.1329700E+00    1.0920817E+00    1.5864244E+01    1.9417716E+00    8.7052752E+00    1.6071914E+01    8.8806657E+00    1.0794473E-06    4.2836130E-02    1.1575774E-06    1.0463589E-06
    4.5000000E-01    2.6563945E+01    1.2280060E+01    9.7427520E-02    3.2864738E-01    0.0000000E+00    8.1328573E+00    1.0920654E+00    1.5864008E+01    1.9417986E+00    8.7039385E+00    1.6071675E+01    8.8807379E+00    1.0794314E-06    4.2835492E-02    1.1575602E-06    1.0463433E-06
    6.3000000E-01    2.6563908E+01    1.2282129E+01    9.7880242E-02    3.2867044E-01    0.0000000E+00    8.1328549E+00    1.0920638E+00    1.5863986E+01    1.9418589E+00    8.7012317E+00    1.6071652E+01    8.8809261E+00    1.0794302E-06    4.2835432E-02    1.1575586E-06    1.0463418E-06
    8.1000000E-01    2.6563710E+01    1.2283996E+01    9.8314589E-02    3.2869169E-01    0.0000000E+00    8.1328029E+00    1.0920557E+00    1.5863867E+01    1.9419203E+00    8.6992166E+00    1.6071532E+01    8.8810544E+00    1.0794224E-06    4.2835112E-02    1.1575499E-06    1.0463340E-06
    9.9000000E-01    2.6563428E+01    1.2285640E+01    9.8716549E-02    3.2871165E-01    0.0000000E+00    8.1327246E+00    1.0920441E+00    1.5863699E+01    1.9419887E+00    8.6977001E+00    1.6071362E+01    8.8811477E+00    1.0794112E-06    4.2834656E-02    1.1575376E-06    1.0463229E-06
    1.1700000E+00    2.6563128E+01    1.2287084E+01    9.9082085E-02    3.2873110E-01    0.0000000E+00    8.1326399E+00    1.0920317E+00    1.5863519E+01    1.9420676E+00    8.6964726E+00    1.6071179E+01    8.8812277E+00    1.0793993E-06    4.2834171E-02    1.1575245E-06    1.0463110E-06
    1.3500000E+00    2.6562838E+01    1.2288339E+01    9.9409045E-02    3.2875042E-01    0.0000000E+00    8.1325575E+00    1.0920198E+00    1.5863345E+01    1.9421574E+00    8.6954381E+00    1.6071004E+01    8.8813046E+00    1.0793879E-06    4.2833703E-02    1.1575118E-06    1.0462996E-06
    1.5300000E+00    2.6562571E+01    1.2289411E+01    9.9694671E-02    3.2876976E-01    0.0000000E+00    8.1324814E+00    1.0920088E+00    1.5863186E+01    1.9422579E+00    8.6945562E+00    1.6070843E+01    8.8813835E+00    1.0793775E-06    4.2833274E-02    1.1575002E-06    1.0462891E-06
    1.7100000E+00    2.6562338E+01    1.2290292E+01    9.9934606E-02    3.2878916E-01    0.0000000E+00    8.1324141E+00    1.0919992E+00    1.5863047E+01    1.9423684E+00    8.6938119E+00    1.6070701E+01    8.8814679E+00    1.0793684E-06    4.2832897E-02    1.1574901E-06    1.0462799E-06
    1.8900000E+00    2.6562145E+01    1.2290968E+01    1.0012226E-01    3.2880860E-01    0.0000000E+00    8.1323578E+00    1.0919913E+00    1.5862932E+01    1.9424886E+00    8.6932055E+00    1.6070585E+01    8.8815613E+00    1.0793610E-06    4.2832586E-02    1.1574817E-06    1.0462723E-06
    2.0700000E+00    2.1636423E+01    1.8709948E+01    1.0560095E-01    4.6173780E-01    0.0000000E+00    9.6871198E+00    1.5332661E+00    1.5107012E+01    2.0815040E+00    7.9915394E+00    1.0626411E+01    9.3530778E+00    1.1366495E-06    2.7063574E+00    1.2189159E-06    1.1018040E-06
    2.2500000E+00    2.1636163E+01    1.8710502E+01    1.0573446E-01    4.6177141E-01    0.0000000E+00    9.6870028E+00    1.5332476E+00    1.5106830E+01    2.0818313E+00    7.9911330E+00    1.0626283E+01    9.3531740E+00    1.1366364E-06    2.7063249E+00    1.2189012E-06    1.1017907E-06
